"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-MMU-1474244","Extracellular matrix organization",160,-0.51401712561512,-2.0646702396341,5.45683834085276e-09,5.29313319062718e-06,5.29313319062718e-06,1647,"tags=34%, list=13%, signal=30%","11490/11820/192897/14119/268935/12336/94216/12305/23876/12816/94352/213945/12814/11465/11492/21808/12406/16998/12831/77018/16948/18542/16775/15529/17395/16419/109700/12825/18214/100952/18453/16950/14789/16997/20649/12822/20750/246707/12833/21857/16949/18750/12834/12111/107581/16651/58223/26365/12843/320910/17150/216725/241226/237759",0.761460801445585
"R-MMU-1650814","Collagen biosynthesis and modifying enzymes",39,-0.68326265324974,-2.17877359309803,2.28043912161976e-06,0.00110601297398558,0.00110601297398558,1523,"tags=46%, list=12%, signal=41%","94216/12816/213945/12814/12406/12831/77018/18542/12825/18453/14789/12822/12833/12834/107581/12843/216725/237759",0.627256739718528
"R-MMU-1474290","Collagen formation",50,-0.625979327798568,-2.09708948487135,5.0227722452188e-06,0.00162402969262075,0.00162402969262075,1523,"tags=46%, list=12%, signal=41%","94216/12816/94352/213945/12814/12406/12831/77018/16948/18542/17395/12825/18453/16950/14789/12822/12833/16949/12834/107581/12843/216725/237759",0.610526878385931
"R-MMU-8948216","Collagen chain trimerization",19,-0.765039115258247,-2.08097402523803,2.35477900002459e-05,0.00571033907505963,0.00571033907505963,1323,"tags=58%, list=11%, signal=52%","12816/213945/12814/12831/77018/12825/12822/12833/12834/107581/237759",0.575610261071129
"R-MMU-211935","Fatty acids",3,-0.987321457229979,-1.60078103428925,6.38115398233194e-05,0.012379438725724,0.012379438725724,162,"tags=100%, list=1%, signal=99%","56448/11529/13110",0.538434096309916
"R-MMU-191273","Cholesterol biosynthesis",26,-0.67769474626879,-1.97718094600492,0.000105355172143389,0.0170324194965145,0.0170324194965145,2163,"tags=73%, list=17%, signal=61%","74754/13360/13595/235293/15490/15357/192156/20787/16987/13121/110460/17855/14137/68603/110196/20788/208715/18194/20775",0.538434096309916
"R-MMU-447115","Interleukin-12 family signaling",9,-0.863334165667614,-1.93194674923938,0.00029845503567852,0.0413573406583092,0.0413573406583092,1249,"tags=67%, list=10%, signal=60%","16161/12330/16195/20848/18453/12931",0.49849310876659
"R-MMU-211859","Biological oxidations",87,-0.471909830390401,-1.74058803421439,0.000415401378228499,0.0503674171102055,0.0503674171102055,1281,"tags=25%, list=10%, signal=23%","74134/211666/14865/13121/71670/19223/110175/22021/14863/11864/68312/11669/75475/394432/14862/11622/13123/68021/56448/109754/11529/13110",0.49849310876659
"R-MMU-948021","Transport to the Golgi and subsequent modification",146,-0.413615925822371,-1.66003388865815,0.00080549020305972,0.0794438652161796,0.0794438652161796,2481,"tags=33%, list=20%, signal=27%","50907/14069/216131/69162/20443/56494/103534/108124/69608/56386/56418/74498/53857/17156/66913/140481/66397/59288/11840/104318/19324/68137/66251/233824/214895/53334/67091/22142/11842/245828/76510/105522/53418/77371/105785/18195/56447/20440/16834/66111/22151/11733/98388/73710/13032/89867/56358/14799",0.477270815362862
"R-MMU-199977","ER to Golgi Anterograde Transport",125,-0.425654939936994,-1.65928989364399,0.000819008919754429,0.0794438652161796,0.0794438652161796,3285,"tags=42%, list=26%, signal=31%","12847/78232/76983/213827/68581/69654/50797/70349/317717/22143/66890/20742/50907/14069/216131/69162/56494/108124/69608/56418/74498/53857/66913/66397/59288/11840/104318/19324/68137/66251/233824/214895/53334/67091/22142/11842/245828/76510/105522/77371/105785/18195/56447/16834/66111/22151/11733/73710/13032/89867/56358/14799",0.477270815362862
"R-MMU-211897","Cytochrome P450 - arranged by substrate type",21,-0.684159903732512,-1.94655893514293,0.000956190883198103,0.0843186506092873,0.0843186506092873,1281,"tags=43%, list=10%, signal=39%","74134/13121/19223/11864/11622/13123/56448/11529/13110",0.477270815362862
"R-MMU-211981","Xenobiotics",6,-0.89306075803503,-1.80132433322193,0.00126608223304599,0.092597455118376,0.092597455118376,1281,"tags=83%, list=10%, signal=75%","74134/11864/11622/56448/13110",0.45505986738723
"R-MMU-9675108","Nervous system development",207,-0.373684974111659,-1.54933870969885,0.00133645811511058,0.092597455118376,0.092597455118376,2251,"tags=30%, list=18%, signal=25%","58234/26396/18643/14733/13866/18645/58194/53857/223435/18186/13639/22187/13638/11853/71770/16402/67300/14182/14784/110351/12569/20416/20563/11465/14083/26417/235611/13448/22142/53972/12831/20418/18749/83433/13845/18708/18846/18844/218397/13641/20564/15529/17395/67784/14432/12825/330662/623279/22151/11733/20315/13429/12833/73710/20351/18750/13841/12834/14586/11876/19876/17967/215798",0.45505986738723
