"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-MMU-211859","Biological oxidations",85,-0.523610594815372,-1.92016852289219,7.67038180971063e-06,0.00744027035541931,0.00744027035541931,1743,"tags=34%, list=14%, signal=30%","14629/110198/74134/211666/71670/68021/216558/14149/14854/22021/108645/20181/14863/68312/228608/75475/207182/110175/394432/11864/11622/13110/11669/56448/109754/11529/14862/13123/19223",0.593325476396405
"R-MMU-211897","Cytochrome P450 - arranged by substrate type",21,-0.740906381855883,-2.11201444243526,4.64885126272193e-05,0.0118107858346578,0.0118107858346578,1602,"tags=48%, list=13%, signal=42%","74134/14149/20181/11864/11622/13110/56448/11529/13123/19223",0.557332238758646
"R-MMU-211945","Phase I - Functionalization of compounds",37,-0.630189607683919,-1.98278511899448,4.87042714831249e-05,0.0118107858346578,0.0118107858346578,1602,"tags=38%, list=13%, signal=33%","74134/68021/14149/20181/228608/11864/11622/13110/11669/56448/109754/11529/13123/19223",0.557332238758646
"R-MMU-1474244","Extracellular matrix organization",159,-0.439477308636541,-1.76917472725639,3.6241674960322e-05,0.0118107858346578,0.0118107858346578,2216,"tags=37%, list=18%, signal=31%","16398/12816/268935/11490/14118/50817/11465/77018/21803/53867/192897/16399/16421/24051/11492/72947/100952/20750/18542/16775/16949/109700/17150/12841/21857/12822/18453/18073/83964/14119/18214/15529/12111/58223/12825/12831/94216/16950/237759/12814/12833/14268/213945/16948/20649/12305/16651/12834/17395/107581/94352/320910/18750/241226/26365/12843/216725/16997/246707",0.557332238758646
"R-MMU-211935","Fatty acids",3,-0.986722797927461,-1.63145642104506,0.000141550867655995,0.0274608683252631,0.0274608683252631,168,"tags=100%, list=1%, signal=99%","13110/56448/11529",0.518848077743792
"R-MMU-202733","Cell surface interactions at the vascular wall",60,0.481851637189673,1.82669565711434,0.000329470274561452,0.0479801256524487,0.0479801256524487,2082,"tags=45%, list=17%, signal=38%","13052/16456/19128/270152/21824/11931/18706/16412/22612/20779/16400/20340/14360/330836/20539/20501/50915/17254/12505/11601/16423/67374/11933/19124/16410/17096/16653",0.49849310876659
"R-MMU-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",76,0.460312168651971,1.79542180990598,0.000348631306724333,0.0479801256524487,0.0479801256524487,2772,"tags=54%, list=22%, signal=42%","14109/20042/20088/67427/76808/57294/22121/14852/67248/20085/20103/208643/20091/20115/100503670/270106/75617/22186/68028/66475/16898/27050/20102/66481/269261/20090/20005/19981/19989/16785/66480/54127/19934/267019/19933/68092/110954/19982/19988/67115/67891",0.49849310876659
"R-MMU-9954714","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA",71,0.45903214223445,1.79067120918756,0.000395712376515041,0.0479801256524487,0.0479801256524487,2772,"tags=55%, list=22%, signal=43%","14109/20042/20088/67427/76808/57294/22121/24015/67248/20085/20103/20091/20115/100503670/270106/75617/22186/68028/66475/16898/27050/20102/66481/269261/20090/20005/19981/19989/16785/66480/54127/19934/267019/19933/110954/19982/19988/67115/67891",0.49849310876659
"R-MMU-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",26,0.60820144468893,1.89310745910023,0.000505755338929023,0.0545091865290169,0.0545091865290169,450,"tags=27%, list=4%, signal=26%","13052/52118/12490/270152/54698/19294/16412",0.477270815362862
"R-MMU-1474290","Collagen formation",50,-0.529541317711268,-1.79696806740604,0.000598342910235548,0.0580392622928482,0.0580392622928482,1266,"tags=40%, list=10%, signal=36%","18542/16949/12841/12822/18453/12825/12831/94216/16950/237759/12814/12833/213945/16948/12834/17395/107581/94352/12843/216725",0.477270815362862
