"Gene","Class","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DNMT1","Chromatin / SAGA / retroelement control",7699.14576612969,1.08807362236547,0.110966324770583,9.80543984506109,1.06681206959575e-22,3.63675071657024e-22
"HDAC1","Chromatin / SAGA / retroelement control",2956.75146098427,-0.783516731451975,0.0873609829598912,-8.96872613958225,2.9996335475853e-19,8.95067754429126e-19
"KAT2A","Chromatin / SAGA / retroelement control",2852.79781594447,-1.37772425015316,0.078103624674909,-17.6396966963783,1.2211463715152e-69,1.19908695319105e-68
"TADA3","Chromatin / SAGA / retroelement control",1711.64492027207,0.543793772804964,0.134719248094772,4.03649649545563,5.4255335779099e-05,7.5744469873224e-05
"TAF5L","Chromatin / SAGA / retroelement control",893.758371891725,0.314481400103023,0.10040563151564,3.13210917909557,0.00173555322354209,0.00220407632494108
"TAF6","Chromatin / SAGA / retroelement control",1719.86282992447,1.16813995974877,0.082642100619812,14.1349257943321,2.31377760864361e-45,1.43114448131492e-44
"TAF9","Chromatin / SAGA / retroelement control",NA,NA,NA,NA,NA,NA
"TRRAP","Chromatin / SAGA / retroelement control",7280.86251790911,-0.945302386378125,0.0803172046040938,-11.7696126382608,5.59809677304222e-32,2.52229227015105e-31
"ABCE1","MYC-associated biosynthetic machinery",1790.10622455212,-0.422744594188615,0.0862677151334548,-4.90038009624615,9.56514199091115e-07,1.47948639330963e-06
"EIF3B","MYC-associated biosynthetic machinery",13439.490945186,0.106878103849372,0.0747576317975505,1.42966144431657,0.152814211159117,0.167849335615234
"EIF3C","MYC-associated biosynthetic machinery",3197.32044116612,-2.54001469368617,0.0896788687934692,-28.3234470713033,1.77788659073781e-176,7.28710069417311e-175
"EIF3D","MYC-associated biosynthetic machinery",9849.9650837248,-1.44734797834318,0.0851963546293249,-16.9883791934567,1.00117651747795e-64,8.90411371017593e-64
"EIF3E","MYC-associated biosynthetic machinery",7937.86819502362,-1.59711454307444,0.102787051485443,-15.5380908392009,1.91606923136905e-54,1.41565891754549e-53
"EIF3F","MYC-associated biosynthetic machinery",3104.67403415651,1.67129926512662,0.099478516360702,16.8006050579464,2.41567188998732e-63,2.08663599123763e-62
"EIF3G","MYC-associated biosynthetic machinery",3893.66146309428,0.636954890584581,0.0685003787287531,9.29856013069338,1.42360421818374e-20,4.48969254056291e-20
"EIF3H","MYC-associated biosynthetic machinery",15069.0543301884,-2.58320008986727,0.0815001284854517,-31.6956566556627,1.78323849455053e-220,1.08853836445424e-218
