"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSG00000005249",2032.7739136393,-3.57493085839266,0.0900078776266504,-39.7179774999401,0,0,"5577","PRKAR2B","protein_coding","HGNC Symbol",3,"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"ENSG00000013810",2782.60258601704,4.90220216353524,0.122496346654126,40.0191703461723,0,0,"10460","TACC3","protein_coding","HGNC Symbol",18,"transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]"
"ENSG00000069702",1575.41730570375,-4.20288276666042,0.0983610898171829,-42.7291195580695,0,0,"7049","TGFBR3","protein_coding","HGNC Symbol",11,"transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]"
"ENSG00000069869",17758.8636624606,-3.35169489099499,0.086630866475944,-38.6893843653947,0,0,"4734","NEDD4","protein_coding","HGNC Symbol",13,"NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]"
"ENSG00000076344",7338.04260130852,-7.99907144871978,0.137080261856706,-58.3531964440032,0,0,"8786","RGS11","protein_coding","HGNC Symbol",8,"regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]"
"ENSG00000089009",5790.18575473049,5.12765742895307,0.127491026463844,40.2197517046996,0,0,"6128","RPL6","protein_coding","HGNC Symbol",13,"ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]"
"ENSG00000100784",5036.91086850424,-5.72433692852587,0.116147682378245,-49.2849862460801,0,0,"9252","RPS6KA5","protein_coding","HGNC Symbol",8,"ribosomal protein S6 kinase A5 [Source:HGNC Symbol;Acc:HGNC:10434]"
"ENSG00000104313",5203.72166415763,-7.3625091458075,0.157112548905407,-46.8613691083343,0,0,"2138","EYA1","protein_coding","HGNC Symbol",24,"EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]"
"ENSG00000106333",8452.8213197931,-5.24127894854673,0.104130175225897,-50.3339107725158,0,0,"5118","PCOLCE","protein_coding","HGNC Symbol",10,"procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]"
"ENSG00000106366",8381.24832053915,7.53983816566303,0.182299310489513,41.3596636510414,0,0,"5054","SERPINE1","protein_coding","HGNC Symbol",1,"serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]"
"ENSG00000107796",9659.42736117545,-6.44320329763361,0.104804158016062,-61.4785082920676,0,0,"59","ACTA2","protein_coding","HGNC Symbol",6,"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]"
"ENSG00000108515",2846.14351267887,-4.8477904823778,0.107423015852293,-45.1280430354284,0,0,"2027","ENO3","protein_coding","HGNC Symbol",17,"enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]"
"ENSG00000108828",18044.3762909158,-3.24095317026738,0.0636352497506038,-50.9301555815238,0,0,"10493","VAT1","protein_coding","HGNC Symbol",9,"vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]"
"ENSG00000110719",1644.1334065177,-5.40627555656815,0.116269620190799,-46.4977484892136,0,0,"10312","TCIRG1","protein_coding","HGNC Symbol",16,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]"
"ENSG00000111275",4969.06974670117,-4.4832595264025,0.0968049421849851,-46.3123000252964,0,0,"217","ALDH2","protein_coding","HGNC Symbol",5,"aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]"
"ENSG00000113739",8410.61500007604,6.38761292982571,0.104588789227914,61.0735909362731,0,0,"8614","STC2","protein_coding","HGNC Symbol",5,"stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]"
"ENSG00000114270",13593.953089892,3.68991581128027,0.076786022018908,48.0545249547067,0,0,"1294","COL7A1","protein_coding","HGNC Symbol",10,"collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]"
"ENSG00000116641",6024.41423125005,-3.62282320975531,0.0717100930152379,-50.5204087377977,0,0,"85440","DOCK7","protein_coding","HGNC Symbol",37,"dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]"
"ENSG00000118523",8431.93637262612,5.62629710770375,0.119883511147889,46.9313674068412,0,0,"1490","CCN2","protein_coding","HGNC Symbol",1,"cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500]"
"ENSG00000118785",7644.06215928129,-6.18687379114075,0.142763808340323,-43.3364300312889,0,0,"6696","SPP1","protein_coding","HGNC Symbol",11,"secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]"
"ENSG00000118971",3872.36708322304,6.32191235441775,0.16158371926852,39.1246864661654,0,0,"894","CCND2","protein_coding","HGNC Symbol",4,"cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]"
"ENSG00000121089",2249.67121652437,-5.67202432206995,0.113408926528063,-50.0139142104163,0,0,"NA","NACA3P","processed_pseudogene","HGNC Symbol",1,"NACA family member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:33442]"
"ENSG00000125534",3306.38471767781,4.88772685003912,0.121482623094036,40.2339587798963,0,0,"79144","PPDPF","protein_coding","HGNC Symbol",4,"pancreatic progenitor cell differentiation and proliferation factor [Source:HGNC Symbol;Acc:HGNC:16142]"
"ENSG00000127824",9290.27159828864,-5.96900557517432,0.102855824744742,-58.0327423360577,0,0,"7277","TUBA4A","protein_coding","HGNC Symbol",10,"tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]"
