"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSG00000005249",2032.7739136393,-3.57080225397156,0.0900689753956822,0,0,"5577","PRKAR2B","protein_coding","HGNC Symbol",3,"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"ENSG00000013810",2782.60258601704,4.89674345691194,0.122572724975521,0,0,"10460","TACC3","protein_coding","HGNC Symbol",18,"transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]"
"ENSG00000069702",1575.41730570375,-4.1986770942735,0.098386332251409,0,0,"7049","TGFBR3","protein_coding","HGNC Symbol",11,"transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]"
"ENSG00000069869",17758.8636624606,-3.34739268269992,0.0866660388332587,0,0,"4734","NEDD4","protein_coding","HGNC Symbol",13,"NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]"
"ENSG00000076344",7338.04260130852,-7.99457987046481,0.13714912863749,0,0,"8786","RGS11","protein_coding","HGNC Symbol",8,"regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]"
"ENSG00000089009",5790.18575473049,5.12194228663851,0.127533169218625,0,0,"6128","RPL6","protein_coding","HGNC Symbol",13,"ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]"
"ENSG00000100784",5036.91086850424,-5.71968252351413,0.116148348252278,0,0,"9252","RPS6KA5","protein_coding","HGNC Symbol",8,"ribosomal protein S6 kinase A5 [Source:HGNC Symbol;Acc:HGNC:10434]"
"ENSG00000104313",5203.72166415763,-7.35622419292458,0.157008240411262,0,0,"2138","EYA1","protein_coding","HGNC Symbol",24,"EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]"
"ENSG00000106333",8452.8213197931,-5.2354123517875,0.104129760256196,0,0,"5118","PCOLCE","protein_coding","HGNC Symbol",10,"procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]"
"ENSG00000106366",8381.24832053915,7.53213358211735,0.182381806411653,0,0,"5054","SERPINE1","protein_coding","HGNC Symbol",1,"serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]"
