"Gene","Class","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dnmt1","Chromatin / SAGA / retroelement control",18390.5046292094,-0.39893284146561,0.0592953840486133,-6.72789033862308,1.72140571654831e-11,9.4516934995572e-11
"Hdac1","Chromatin / SAGA / retroelement control",6194.48209462388,0.119362945257073,0.0639377689377729,1.86686128152583,0.0619209620103103,0.0963699479174547
"Kat2a","Chromatin / SAGA / retroelement control",5513.4436486276,0.33689201755878,0.0590480203749366,5.7053905519545,1.1607662484385e-08,4.876710981698e-08
"Tada3","Chromatin / SAGA / retroelement control",2114.25705226567,0.220882383234122,0.085913202029762,2.57099465525222,0.0101406891967986,0.018886389546349
"Taf5l","Chromatin / SAGA / retroelement control",4278.12201751269,0.384638785162444,0.0653753510028471,5.88354447451752,4.01572121899958e-09,1.76652658184518e-08
"Taf6","Chromatin / SAGA / retroelement control",3821.18396335911,-0.0100168661281146,0.0680032937214797,-0.147299720056805,0.882895453431119,0.912399558084644
"Taf9","Chromatin / SAGA / retroelement control",NA,NA,NA,NA,NA,NA
"Trrap","Chromatin / SAGA / retroelement control",15594.1652695322,0.408942074262735,0.0553000129774994,7.39497248272123,1.41437560499234e-13,9.33475476145143e-13
"Abce1","MYC-associated biosynthetic machinery",29513.4595838551,0.0789668135876675,0.0551137995100897,1.43279567530471,0.151916237616405,0.213224733249213
"Eif3b","MYC-associated biosynthetic machinery",28782.7733759617,0.668244777930403,0.0584995234019633,11.4230807204829,3.20661825724238e-30,6.52084697832727e-29
"Eif3c","MYC-associated biosynthetic machinery",51976.6948508638,-0.0305671115196686,0.0522928861483409,-0.584536707975114,0.558859275913429,0.638380753909016
"Eif3d","MYC-associated biosynthetic machinery",8147.80387509672,0.329555723820133,0.066031353474367,4.99089760363711,6.00993529001913e-07,2.09019457390436e-06
"Eif3e","MYC-associated biosynthetic machinery",10575.6785515512,0.419504797269631,0.0660885653223568,6.34761543428025,2.18677886234674e-10,1.08817591865387e-09
"Eif3f","MYC-associated biosynthetic machinery",14536.7872167163,0.299614431580137,0.0643460545542173,4.65629841108106,3.21945205867873e-06,1.02157781963311e-05
"Eif3g","MYC-associated biosynthetic machinery",8462.19426984155,0.182907322443302,0.0577255019147806,3.16857049962641,0.00153190591062859,0.00329207522163971
"Eif3h","MYC-associated biosynthetic machinery",23484.1784841749,-0.0864007935947205,0.0557678605160578,-1.5492936755184,0.121311139415591,0.174891001835907
"Eif3i","MYC-associated biosynthetic machinery",7453.88207361867,0.751047668985907,0.0752727828411055,9.97767905793128,1.90879349993006e-23,2.6365210217784e-22
"Eif3j1","MYC-associated biosynthetic machinery",7125.91301249887,-0.0210819159716523,0.0761555030750353,-0.276827216949515,0.781912781451539,0.831840951412553
