"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSMUSG00000028037",3097.41383290286,3.17860899802409,0.0724640455288952,43.8646362458001,0,0,"99899","Ifi44","protein_coding","MGI Symbol",4,"interferon-induced protein 44 [Source:MGI Symbol;Acc:MGI:2443016]"
"ENSMUSG00000033880",3718.5593544176,3.03539583811319,0.0730369834518259,41.5597098162644,0,0,"19039","Lgals3bp","protein_coding","MGI Symbol",5,"lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]"
"ENSMUSG00000035783",2897.17921492658,3.77360203436114,0.0967140084707339,39.0181535646208,0,0,"11475","Acta2","protein_coding","MGI Symbol",2,"actin, alpha 2, smooth muscle, aorta [Source:MGI Symbol;Acc:MGI:87909]"
"ENSMUSG00000029561",3485.61824014487,2.65935829051833,0.0695996186127353,38.2093802168008,1.96736940173984e-319,7.39140684233659e-316,"23962","Oasl2","protein_coding","MGI Symbol",9,"2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390]"
"ENSMUSG00000018593",66133.4283103764,1.84132480533464,0.0520872542995825,35.350774965871,9.75480376083579e-274,2.9319038183568e-270,"20692","Sparc","protein_coding","MGI Symbol",9,"secreted acidic cysteine rich glycoprotein [Source:MGI Symbol;Acc:MGI:98373]"
"ENSMUSG00000022389",5330.75459356851,-2.04889786557432,0.0622121119335057,-32.934067047334,7.15382520640383e-238,1.79179475336395e-234,"21685","Tef","protein_coding","MGI Symbol",10,"thyrotroph embryonic factor [Source:MGI Symbol;Acc:MGI:98663]"
"ENSMUSG00000021453",2110.47178381249,-3.04363729889451,0.0970412197125502,-31.3643759621962,6.19574201942441e-216,1.33013730097014e-212,"23882","Gadd45g","protein_coding","MGI Symbol",2,"growth arrest and DNA-damage-inducible 45 gamma [Source:MGI Symbol;Acc:MGI:1346325]"
"ENSMUSG00000040618",4315.63714768058,2.39333576597896,0.0768271361166261,31.1522189548469,4.73294331950293e-213,8.89083402568625e-210,"74551","Pck2","protein_coding","MGI Symbol",13,"phosphoenolpyruvate carboxykinase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1860456]"
"ENSMUSG00000028268",1341.1237279944,2.83985334328182,0.092613925127134,30.6633515357811,1.75425659824173e-206,2.92921868426409e-203,"55932","Gbp3","protein_coding","MGI Symbol",7,"guanylate binding protein 3 [Source:MGI Symbol;Acc:MGI:1926263]"
"ENSMUSG00000036256",1066.14793692864,3.26864157310947,0.107048113930359,30.5343219333684,9.13235572837522e-205,1.37241041886023e-201,"29817","Igfbp7","protein_coding","MGI Symbol",2,"insulin-like growth factor binding protein 7 [Source:MGI Symbol;Acc:MGI:1352480]"
"ENSMUSG00000028179",8826.98815523408,1.68883745031772,0.056222807498967,30.0382980758964,3.1043458484386e-198,4.24110085548503e-195,"107869","Cth","protein_coding","MGI Symbol",4,"cystathionase (cystathionine gamma-lyase) [Source:MGI Symbol;Acc:MGI:1339968]"
"ENSMUSG00000025498",1117.21448605635,2.87279684898643,0.0967333939400267,29.6980880332548,8.12777317518689e-194,1.0178681273059e-190,"54123","Irf7","protein_coding","MGI Symbol",13,"interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]"
