"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa03010","Ribosome",164,0.532990478909887,2.35945839905447,1e-10,3.47e-08,4.31551755508818e-09,2791,"tags=40%, list=18%, signal=33%","6187/6130/6128/6228/6146/3921/6159/6129/11222/6171/116832/64969/6133/6218/7818/23107/55173/6231/6230/6136/6224/60488/6144/51253/64975/128308/6232/23521/51121/51318/9553/6124/9045/11224/740/6158/6189/65003/6122/64963/6150/6201/6233/6170/65080/64983/79590/57129/6173/6235/51187/6210/6204/26589/10573/6182/6234/51021/51264/6205/51263/6137/64968/6141/64979",NA
"hsa05017","Spinocerebellar ataxia",134,-0.452007643446034,-2.11803549725606,4.49413448366591e-08,7.79732332916035e-06,9.69725812959369e-07,2821,"tags=39%, list=18%, signal=32%","5602/5687/2906/5704/7436/5332/5291/23236/2903/2902/23152/10524/5690/6261/10213/5710/5684/5719/5685/9821/9698/55626/5718/2891/488/5331/23369/487/11047/7979/2959/55062/6311/5694/5717/5701/5689/8678/25814/5295/5686/9706/5709/5290/3710/5691/2081/5707/1600/3516/3708/291",0.719512826338911
"hsa03460","Fanconi anemia pathway",49,0.633350161349837,2.29793049922283,8.50650473923328e-08,9.83919048171316e-06,1.22366568448674e-06,3567,"tags=63%, list=23%, signal=49%","201254/2175/55215/3280/5889/2189/197342/29089/22909/5395/6118/79728/2176/2177/2067/9894/672/84464/80233/2178/6119/2188/5429/83990/146956/4292/641/7156/2187/84126/116028",0.704975715167238
"hsa04141","Protein processing in endoplasmic reticulum",163,-0.414103233516681,-2.00436531834748,2.62653568276652e-07,2.27851970479995e-05,2.83371521201111e-06,3132,"tags=41%, list=20%, signal=33%","8720/51465/2923/23190/10299/51035/6745/201595/100506742/5602/54431/7323/10525/91319/5034/55768/9632/55829/1649/9709/7095/5887/80267/10952/6747/10427/56681/54788/581/4121/55741/596/55176/10130/55968/3703/7321/84447/8454/10113/7184/4780/7322/573/9695/22872/9532/9601/9978/56886/23480/81567/79139/10277/22824/57134/29978/10294/10273/746/7415/9373/2081/267/1410/3310/3305",0.674962860011025
"hsa04120","Ubiquitin mediated proteolysis",138,-0.427409450852907,-2.0208023500723,3.37188275777574e-07,2.34008663389636e-05,2.91028384697607e-06,2803,"tags=36%, list=18%, signal=30%","51529/134111/7323/9040/10401/7334/8453/63893/11059/6923/4591/55294/10393/8452/8881/10075/27339/51433/64682/9820/7321/84447/29882/65264/8454/7317/11060/9354/389898/54926/89910/7322/7320/55585/9039/55958/3093/9978/25898/26272/57448/10277/51366/10273/9320/29945/64326/9063/4734/1642",0.674962860011025
"hsa01200","Carbon metabolism",105,-0.463469685626962,-2.09985678383197,7.12054319557447e-07,4.11804748144057e-05,5.12147152704422e-06,2474,"tags=33%, list=16%, signal=28%","55753/3418/5232/1738/441531/3419/2806/39/6390/729020/3101/5313/26227/4191/2821/2098/414328/6888/50/51/38/221823/3098/10873/3417/4199/55902/2747/35/5160/5230/2026/5091/230/2027",0.659444398037935
"hsa05171","Coronavirus disease",192,0.426766002281465,1.92770736275698,1.27521489452301e-06,6.32142240570693e-05,7.86173180546284e-06,2120,"tags=28%, list=14%, signal=24%","6187/6130/6128/6228/6146/57506/3921/103/6159/6129/1956/6171/3654/3454/116832/6133/4312/6218/5610/6231/6230/6136/6224/7132/6144/7297/4615/6232/5578/23521/51121/6124/9045/11224/6773/5293/6158/6189/6122/8829/6201/6233/6170/7099/6173/6300/6235/51187/6210/9636/6204/5336/4600",0.643551836150722
"hsa04814","Motor proteins",175,-0.38077500204003,-1.86178940519945,2.03256064657874e-06,8.81623180453528e-05,1.09644389401149e-05,2086,"tags=25%, list=14%, signal=22%","89953/3796/4622/1770/55860/4640/6990/3797/23046/10540/399687/4627/72/51168/51626/11127/4641/55614/10121/830/10120/6993/10749/10382/58498/10126/56171/23095/347688/4644/4647/4542/4643/146754/832/147700/22920/283446/285643/55605/7277/58/4629/59",0.627256739718528
"hsa04145","Phagocytosis",210,-0.349712927966793,-1.75918483513432,9.48705112482198e-06,0.00036577852670147,4.54905951946537e-05,3397,"tags=35%, list=22%, signal=28%","9554/7096/3684/23710/248/51143/114876/26130/2204/55054/3916/140735/4153/7280/8417/89849/4353/6844/5869/8547/83658/5291/30835/929/200576/84557/55860/1991/5657/9550/10952/6990/9902/7058/9296/4689/10540/9114/55176/51626/23673/7879/23545/10121/537/4318/10120/50617/6810/7405/535/7059/3134/6993/8678/533/10382/5295/1080/51606/23480/528/347688/4481/5290/3127/1759/55823/3135/11337/718/523/10312/7277",0.593325476396405
"hsa00010","Glycolysis / Gluconeogenesis",53,-0.518641026614266,-2.03697316668151,1.97061133084901e-05,0.000683802131804606,8.50420779253458e-05,2323,"tags=40%, list=15%, signal=34%","5232/1738/441531/131/3101/5313/160287/2821/222/218/3098/5236/55902/10327/223/5160/5230/2026/230/2027/217",0.575610261071129
"hsa04966","Collecting duct acid secretion",24,-0.673394618875343,-2.21036468187196,3.2489948801834e-05,0.0010249102031124,0.000127464494925664,1947,"tags=38%, list=13%, signal=33%","9550/9296/9114/23545/50617/535/528/523/10312",0.557332238758646
