"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-5607764","CLEC7A (Dectin-1) signaling",85,-0.584749531984951,-2.57813812604933,1e-10,1.16359207711823e-08,5.97156520240297e-09,2840,"tags=48%, list=18%, signal=40%","84433/5687/5704/5971/23118/9040/7334/801/4792/5532/1147/5690/10213/4772/5684/5719/5685/5580/5718/11047/7321/8454/4791/7979/7322/5694/5717/9039/5701/5689/4790/6714/5686/5709/3710/4775/5691/10768/5530/5707/3708",NA
"R-HSA-5621481","C-type lectin receptors (CLRs)",117,-0.543624928958785,-2.52615108392641,1e-10,1.16359207711823e-08,5.97156520240297e-09,2840,"tags=44%, list=18%, signal=37%","84433/5687/5704/5971/23118/9040/7334/801/4792/94025/5532/30835/1147/727897/56667/4583/5568/5690/10213/4772/5684/5719/5685/3265/5580/5718/2534/5058/11047/7321/8454/4791/7979/7322/5694/5717/9039/5701/5689/4790/6714/5686/5709/3710/2033/4775/5691/10768/5530/5707/3708/9252",NA
"R-HSA-5419276","Mitochondrial translation termination",101,0.616728523168844,2.52308243395559,1e-10,1.16359207711823e-08,5.97156520240297e-09,2791,"tags=46%, list=18%, signal=38%","4514/4513/4538/4508/4512/4539/4535/4519/4540/5018/11222/64969/4537/7818/23107/90480/55173/60488/51253/55037/64975/128308/51318/9553/4536/740/65003/64963/6150/65080/54998/64983/79590/26284/4509/57129/26589/10573/6182/51021/78988/51264/54516/51263/64968/64979",NA
"R-HSA-5368287","Mitochondrial translation",112,0.598529497597624,2.50857408086923,1e-10,1.16359207711823e-08,5.97156520240297e-09,2791,"tags=44%, list=18%, signal=36%","4514/4513/4538/4508/4512/4539/4535/4519/4540/5018/11222/64969/4537/7818/23107/90480/55173/60488/51253/55037/64975/128308/51318/9553/4536/740/65003/64963/6150/65080/54998/64983/79590/26284/4509/57129/7284/26589/91574/10573/6182/219402/51021/78988/51264/54516/51263/64968/64979",NA
"R-HSA-156842","Eukaryotic Translation Elongation",83,0.620357829082241,2.44878526070554,1e-10,1.16359207711823e-08,5.97156520240297e-09,2098,"tags=42%, list=14%, signal=37%","6187/6130/6128/6228/6146/3921/6159/6129/6171/116832/6133/6218/6231/6230/6136/6224/1936/6144/1915/6232/23521/51121/6124/9045/6158/6189/6122/6201/6233/6170/6173/6235/1933/6210/6204",NA
"R-HSA-156902","Peptide chain elongation",80,0.616257603447382,2.4153107157261,1e-10,1.16359207711823e-08,5.97156520240297e-09,2098,"tags=41%, list=14%, signal=36%","6187/6130/6128/6228/6146/3921/6159/6129/6171/116832/6133/6218/6231/6230/6136/6224/6144/1915/6232/23521/51121/6124/9045/6158/6189/6122/6201/6233/6170/6173/6235/6210/6204",NA
"R-HSA-72312","rRNA processing",190,0.518551897271541,2.32697753258655,1e-10,1.16359207711823e-08,5.97156520240297e-09,3016,"tags=38%, list=20%, signal=31%","6187/6130/6128/6228/6146/3921/6159/6129/6171/29960/116832/6133/51504/114049/6218/6231/6230/6136/81554/6224/25926/27341/54913/6144/51335/81875/6232/23521/79707/51121/285367/6124/9045/55720/6158/6189/60528/11102/26995/6122/9692/1736/6201/6233/6170/10813/22868/6173/6235/88745/6210/51077/26354/6204/55127/10200/28987/10438/84946/6234/55623/115939/55505/92856/6205/6137/6141/79050/9790/79922/9277/27042/6139",NA
"R-HSA-8868773","rRNA processing in the nucleus and cytosol",173,0.509452273515375,2.26109259889693,1e-10,1.16359207711823e-08,5.97156520240297e-09,3016,"tags=37%, list=20%, signal=30%","6187/6130/6128/6228/6146/3921/6159/6129/6171/116832/6133/51504/114049/6218/6231/6230/6136/6224/25926/27341/54913/6144/81875/6232/23521/79707/51121/6124/9045/55720/6158/6189/11102/6122/1736/6201/6233/6170/10813/6173/6235/88745/6210/51077/26354/6204/55127/10200/28987/10438/84946/6234/55623/115939/55505/92856/6205/6137/6141/79050/9790/9277/27042/6139",NA
"R-HSA-5673001","RAF/MAP kinase cascade",242,-0.438449445554627,-2.24464118556164,1e-10,1.16359207711823e-08,5.97156520240297e-09,2789,"tags=36%, list=18%, signal=30%","3667/5778/8649/5687/2906/5604/5704/1847/801/1852/115727/5291/3561/5786/673/2902/9986/3084/3716/4254/5690/10213/818/5528/5684/5719/5518/5685/3265/1741/8452/2255/5718/1843/2534/8831/1439/5159/5147/2668/408/2260/11047/5906/7979/817/1740/5900/5921/5694/5717/2675/28956/3718/5519/8036/5526/5701/8315/5689/9978/5037/5747/6714/51104/5295/10048/5686/5501/3717/5709/5290/4763/58489/284/5691/5593/5707/5515/2263/23179/11221/5525/5595/5156/57731/3082/2252",NA
"R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol",163,0.505546711341907,2.2348716583255,1e-10,1.16359207711823e-08,5.97156520240297e-09,3016,"tags=36%, list=20%, signal=29%","6187/6130/6128/6228/6146/3921/6159/6129/6171/116832/6133/114049/6218/6231/6230/6136/6224/25926/27341/54913/6144/81875/6232/23521/79707/51121/6124/9045/55720/6158/6189/11102/6122/6201/6233/6170/10813/6173/6235/88745/6210/51077/26354/6204/55127/10200/28987/10438/84946/6234/92856/6205/6137/6141/79050/9790/9277/27042/6139",NA
"R-HSA-5684996","MAPK1/MAPK3 signaling",248,-0.427426479531072,-2.2024649742402,1e-10,1.16359207711823e-08,5.97156520240297e-09,2789,"tags=35%, list=18%, signal=30%","3667/5778/8649/5687/2906/5604/5704/1847/801/1852/115727/5291/3561/5786/673/2902/9986/3084/3716/4254/5690/10213/818/5528/5684/5719/5518/5685/3265/1741/8452/2255/5718/1843/2534/8831/1439/5159/5147/2668/408/2260/11047/5906/7979/817/1740/5900/5921/5694/5717/2675/28956/3718/5519/8036/5526/5701/8315/5689/9978/5037/5747/6714/51104/5295/10048/5686/5501/3717/5709/5290/4763/58489/284/5691/5593/5707/5515/2263/23179/11221/5525/5595/5156/57731/3082/2252",NA
"R-HSA-5683057","MAPK family signaling cascades",286,-0.40138409112363,-2.08388186007178,1e-10,1.16359207711823e-08,5.97156520240297e-09,2737,"tags=34%, list=18%, signal=29%","5778/8649/5687/2906/998/5604/5704/4609/1847/801/1852/115727/5291/3561/5786/673/2902/9986/3084/3716/4254/5568/5690/10213/818/5528/5684/5719/5518/5685/3265/1741/8452/2255/5718/1843/2534/8831/27327/1439/5058/148170/5159/5147/2668/408/2260/11047/5906/7979/817/1740/5900/5921/5694/5717/2675/28956/3718/5519/8036/5526/5701/8315/5689/9978/5037/2308/5747/6714/51104/5295/26523/10048/5686/5501/3717/5709/5290/4763/58489/284/5691/27161/5593/5707/5515/23112/2263/23179/11221/5525/5595/5156/57731/8997/3082/2252",NA
