"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",3.43706370385151e-20,1.68416121488724e-18,1.16017957183021,0.735868329907424,2.82485382764666,87,"99899;19039;55932;54123;24110;66141;15959;246730;209086;547253;100038882;67775;243771;80285;69550;50908;70110;71586;16423;22169;16391;17069;74153;22375;64685;12799;19186;80861;20847;234311;80876;319236;17454;16913;19106;17858;12977;217069;19188;71701;21354;100121;109032;56791;72075;58185;68713;231655"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",6.55357109266341e-18,1.60562491770254e-16,1.0959292864312,0.601370853044586,2.56002669667435,167,"11475;20692;12552;14119;12842;20563;12843;14451;20564;12563;98932;12111;20750;23876;58859;235106;16010;20720;12826;14118;12835;12834;21859;14314;21923;18933;21838;17181;14609;19288;13003;12931;21857;107581;16949;18542;17387;23892;22240;16009;12832;12825;17313;12827;234407;16419;21814;192176;22004;12816;18822;22352;14268;18793;12332;17392;15902;16948;56213;20254;107589;20315;13601;16971;18113;21810;27279;21826;14733;19035;13732"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.33949255131822e-15,3.82117116715309e-14,1.00731795687447,0.592845437707605,2.49011179641312,153,"99899;19039;55932;54123;672511;24110;66141;15959;209086;547253;100038882;67775;230073;243771;58203;69550;327959;50908;70110;246728;17768;71586;22169;16391;17069;246727;109552;22375;19171;64685;20846;19186;80861;24105;20847;234311;19225;12363;80876;21928;16913;19106;17858;217069;19188;71701;18578;21354;100121;109032;56791;72075;12702;58185;231655;17874;22271;434341;20306;192786;50523;78388;12369;107607;18783;60533;56045;20821;66988;16912;15976;19167;66552"
"HALLMARK_GLYCOLYSIS",4.14241766636149e-06,5.07446164129282e-05,0.610526878385931,0.416809323659786,1.79391323770022,180,"107869;66171;14635;50527;53618;11603;74747;14381;110695;18451;13003;53418;54371;14936;16009;20856;70186;22359;24105;83398;15529;57875;11639;11674;18822;16828;15926;20855;21983;18194;50797;18484;22166;17436;21810;54128;76524;14043;268373;14733;16164;76898;22021;57357;14629;16765;67005;23897;11876;26432;110006;21351;15937;107029;66646;22339;117592;78688;21991;100910;22122;12337;110611;16563;23959;208211;236900;104458;69080;11541;14042"
"HALLMARK_MYC_TARGETS_V1",3.13489631811654e-05,0.000307219839175421,0.557332238758646,0.394021400739878,1.71105056327076,193,"18263;12567;22335;23918;27979;15452;26444;27050;14694;18148;13681;20174;18458;20383;13690;52530;107508;16828;20103;12464;59029;11792;20810;14375;69719;55949;230721;19934;16898;18393;268373;73192;68092;27756;28185;53381;12468;67134;15382;19384;14852;67115;27966;22333;21454;103136;68988;22171;109801;11837;74326;15510;105148;53605;55944;18674;56200;70316;28126;66445;20382;53607;51810;20104;381760;67097;20588;110809;225027;67089;12729;12465;230484;85305;26965;56150;107686;17463;30877;22630;19935;12034;19385;11757;51797;22384;17220;22123;19988;11431"
"HALLMARK_COAGULATION",0.000227736010563108,0.00185984408626538,0.518848077743792,0.469575798553222,1.78836399434852,84,"20692;12266;50908;14118;19072;21859;17385;21857;17387;17384;54381;229445;21824;67603;13038;14268;22388;17392;16952;56213;16971;14701;13039;14693;18791"
"HALLMARK_G2M_CHECKPOINT",0.000348422310270279,0.00243895617189195,0.49849310876659,-0.335066757990728,-1.58132729236592,192,"18141;19704;17215;20878;233406;108000;16319;231386;18005;12428;78733;11799;72119;240641;19891;100710;20641;77782;18969;12534;60406;108907;12545;12455;110033;19359;229841;13486;16551;17345;12235;105988;50927;66197;20460;242705;16573;23834;71375;16571;14056;12237;107995;17420;14211;56452;18286;238247;26885;26934"
"HALLMARK_MITOTIC_SPINDLE",0.000605805243004339,0.00371055711340158,0.477270815362862,-0.321754216425954,-1.52396841733684,195,"20878;233406;74018;108000;16319;18005;218977;14086;11789;11799;72119;240641;22627;211673;19303;381921;12534;108907;68097;110033;229841;13605;16551;110279;70394;12235;75786;105988;208084;286940;232944;26403;16573;544817;72776;22350;64930;16571;12125;16561;71602;110380;74360;226407;22330;83767;68724;75547;16569;26934;71704;54126;16593;269587;171207;18015;223435;21844;71819;56430"
"HALLMARK_ANGIOGENESIS",0.000743620804876165,0.00404860215988134,0.477270815362862,0.626272688734669,1.86009998786036,25,"20750;14314;13003;18186;21857;12832;12825;21824;20855;12444;20198;11820;22339;50706;22325;14083"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00103536350457199,0.00507328117240273,0.45505986738723,0.401661682553413,1.60652445066581,109,"20539;56454;17768;50527;74747;69065;68090;109019;20856;228998;245474;13685;110960;15270;22393;27998;13629;18148;13681;27053;107272;67398;69162;52530;52639;218343;73192;233908;22631;67134;27966;20416;208643;12611;22339;105148;55963;11911"
"HALLMARK_PROTEIN_SECRETION",0.00141487180673903,0.00630261077547386,0.45505986738723,-0.394127867232665,-1.6602347072565,90,"16004;69938;11605;54214;67300;14420;16784;12757;107767;24045;56418;211673;108123;11977;271457;11765;107338;21985;56382;53331;19063;20333;12390;16561;72736;22365;108664;70349"
"HALLMARK_MTORC1_SIGNALING",0.00180317489459185,0.00736296415291671,0.45505986738723,0.345252457205639,1.50336284895196,196,"107869;26570;18641;20539;100678;228026;17768;20135;50527;74747;14381;18451;22375;20514;108037;18030;14782;20525;76267;14751;22359;15452;56772;12035;236539;27053;107272;11639;11674;104112;107508;21753;16828;11951;15926;20855;107476;59029;56473;21399;17436;12466;268373;67895;72157;50493;12227;19192;15525;14629"
"HALLMARK_ADIPOGENESIS",0.00202307356174441,0.0076254311173443,0.431707695803346,0.354840480383594,1.5278952450166,181,"18641;16775;66375;12266;12826;13358;20514;109019;51798;11520;11409;68653;74610;20509;67914;67460;67171;70335;22628;57875;11674;104112;29864;15926;11836;107589;12476;13171;93747;23943;17436;16922;235339;15929;108958;66588;72157;69956;108954;12039;52538;19376;18569;230027;18618;66205;21351;22273;625249;56428;67680;70316;15107;11600"
"HALLMARK_SPERMATOGENESIS",0.0026409628959063,0.00886755255243098,0.431707695803346,-0.39766435415514,-1.6310567093615,79,"18415;20878;18005;17776;68961;24084;12534;235559;12235;54137;12672;12794;215387;14056;56324;18551;19087;12326;22115;11861;72350"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0027145569038054,0.00886755255243098,0.431707695803346,0.371521348438231,1.54783940806417,141,"66375;22436;16010;14873;11432;11529;110208;16177;19171;20514;108037;14782;74114;51798;15452;71093;52585;12499;68943;12035;21937;59083;74142;15902;225913;15926;228608;246277;11532;78038;22021;14629;108156;22271;18618;68021;19286;14854;18081;19128;69071;18104;56376;14538"
"HALLMARK_KRAS_SIGNALING_UP",0.00319961910003154,0.00979883349384659,0.431707695803346,0.375903446795123,1.55241293512183,134,"19092;20568;20750;67776;11732;13874;50527;217410;11815;18933;17385;18186;16600;17384;78560;16009;67778;74114;228662;13730;19225;16913;57875;67603;18793;107527;15902;233315;79221;12444;18080;104156"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00415031606784018,0.0119626757249511,0.407017918923954,0.381001052560016,1.5530260801159,125,"54123;67775;69550;18414;13874;11535;17069;18442;16177;109552;21857;64685;17387;54371;18438;142980;26362;20312;19106;24088;16174;11987;18793;12977;21983;18578;54598;13732;12227;68713"
"HALLMARK_FATTY_ACID_METABOLISM",0.00464675574746122,0.0126495017569778,0.407017918923954,0.382235474265376,1.56938660587797,128,"20917;12353;11529;14194;18263;51798;19186;19270;11409;14874;12167;67460;70335;76238;12972;11674;16828;15926;15108;231086;18194;14104;113868;11792;171210;93747;11370;17436;21743;56791;23986;15929;17025;433256;52538;66357;18597;13808;68021;22276;19286"
"HALLMARK_HYPOXIA",0.00573695585299822,0.0147953071998375,0.407017918923954,0.338079610945131,1.45464124163309,177,"12870;18641;74155;12111;228026;14635;50527;11535;74747;18451;13358;231507;19664;18030;54371;20525;14936;16009;20856;70186;14751;11520;22359;12778;76238;15529;57875;56174;11639;11674;21753;18793;20439;16828;16948;20855;21983;18484;78889;17035;21810;17988;54683;14733;20198;72157"
"HALLMARK_ALLOGRAFT_REJECTION",0.00874925526514938,0.021435675399616,0.380730400722792,0.372716668584527,1.49880232723806,110,"54123;16423;13874;21838;22375;21857;19171;16156;20846;142980;18148;20091;11651;12035;192176;226414;24088;16174;230861;12977;12332;79221;21354;12444"
