"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"mmu05171","Coronavirus disease",177,0.504426871220171,2.20709268212383,1.0700716785677e-10,1.8351729287436e-08,7.83746563515089e-09,3610,"tags=60%, list=29%, signal=43%","246730/100038882/12266/230073/50908/246728/71586/16391/23960/246727/18186/20846/50909/27207/20847/142980/27050/27370/20091/19106/68028/17858/24088/21937/26961/19946/20085/67427/20103/23961/17392/54217/266632/27367/19934/16898/67945/12268/268449/319195/76808/19896/270106/27176/16179/17874/11421/56040/619547/269261/26420/67115/16451/16785/21898/20102/67281/19981/67891/26417/11837/68436/100043813/20090/19944/18706/68052/26419/66489/20116/15976/19982/20104/18709/67097/14281/100502825/15975/22121/19943/19951/317677/20084/100503670/18803/54721/75617/67025/16193/16151/66480/72512/19942/13649/26414/17174/664969/20848/19988/20115/114641/76846/56417/667277/54127/102632403",0.839088935621274
"mmu04142","Lysosome biogenesis",219,-0.44204394926076,-2.14280513626182,1e-10,1.8351729287436e-08,7.83746563515089e-09,2122,"tags=37%, list=17%, signal=31%","15586/13032/94178/11974/114128/71240/15212/68724/240283/228545/108664/56325/103199/77573/19063/66144/252972/18010/110173/69091/271564/192654/17939/53599/12492/13340/27426/26889/19156/11765/20597/74105/18145/432486/215335/58911/11984/64138/11973/19141/19349/54170/12752/100561/12514/64933/114143/14628/13030/74325/18711/217265/12757/211978/71732/16784/20661/83429/67474/14420/67300/14466/56433/67166/11966/21425/65114/16783/11605/15211/11964/66335/56692/73834/13033/16004/11972/104082/66848/52187",NA
"mmu03010","Ribosome",165,0.473744724179782,2.03697074041051,3.63929425243099e-08,4.16092642861277e-06,1.77700517394673e-06,4090,"tags=60%, list=33%, signal=41%","27397/27207/27050/27370/14694/20091/68028/26961/19946/20085/67427/20103/68537/54217/67707/66047/27367/19934/16898/67945/68836/66407/268449/319195/76808/19896/27398/270106/27176/94067/56040/619547/269261/67115/64659/16785/20102/67281/19981/67891/11837/68436/100043813/121022/65111/56282/20090/19944/68052/66489/20116/19982/20104/67097/100502825/107732/94062/66242/67212/118451/22121/19943/19951/67270/353242/69163/20084/100503670/75617/67025/66480/66230/19935/66448/27395/19942/50529/664969/18100/66258/56284/19988/20115/114641/76846/94066/54127/102632403/20005/57294/78294/110954/19989/107734/64660/94064/68611/67941/67248",0.719512826338911
"mmu00480","Glutathione metabolism",47,0.614606242356376,2.15107137620948,3.70867795553175e-06,0.000254415307749478,0.000108653043008213,2884,"tags=55%, list=23%, signal=43%","20135/14873/14381/18263/110208/69065/14782/211666/14870/15926/20810/269951/382985/68312/75475/14629/14768/14854/625249/14869/14630/66988/11758/14863/14775/68044",0.627256739718528
"mmu01230","Biosynthesis of amino acids",63,0.565871525161649,2.13430728113111,2.99055979511035e-06,0.000254415307749478,0.000108653043008213,2170,"tags=38%, list=17%, signal=32%","107869/18641/108682/56454/100678/232087/108037/19895/12035/11898/236539/27053/107272/11674/15926/15929/269951/14433/13808/21351/66646/109652/20425/21991",0.627256739718528
"mmu01200","Carbon metabolism",99,0.477107543221777,1.91082240126194,2.01033751969991e-05,0.000985065384652956,0.000420691477063134,2170,"tags=40%, list=17%, signal=34%","18641/108682/100678/20917/66171/14381/14194/110208/108037/14751/11409/19895/14661/236539/66904/107272/11674/225913/15926/100198/11532/93747/17436/235339/239017/15929/72141/110446/269951/18597/14433/17850/13808/110821/21351/107029/66646/20425/67680/21991",0.575610261071129
"mmu05168","Herpes simplex virus 1 infection",144,0.429512204118555,1.80567190179261,1.95545891512985e-05,0.000985065384652956,0.000420691477063134,2583,"tags=35%, list=21%, signal=28%","54123/15040/246730/12266/230073/69550/246728/71586/20684/16391/67996/23960/246727/22059/224045/20846/13685/12048/20847/142980/11651/19106/78781/24088/21937/20383/23961/266632/21354/15039/12702/16179/17874/108067/14082/16451/19294/14972/22084/12028/71609/20779/18706/15015/20382/15976/18709/110809/56717/225027/15975",0.575610261071129
"mmu04710","Circadian rhythm",32,-0.626890589401474,-2.13020502033826,3.31918948194014e-05,0.00142310249038183,0.000607763807375972,1867,"tags=47%, list=15%, signal=40%","56438/12912/12952/108079/12953/18628/20893/19079/12753/18627/353187/217166/18626/13170/79362",0.557332238758646
"mmu05164","Influenza A",109,0.461564464350604,1.86840587320546,4.85060596815228e-05,0.0018486198300847,0.000789489326254743,2186,"tags=36%, list=17%, signal=30%","54123/246730/230073/246728/71586/26396/16391/23960/246727/11739/12567/20846/20847/142980/11651/19106/17858/21937/11740/19326/217069/23961/266632/110196/26395/12702/58185/11461/17874/14082/16451/22333/21898/26417/54196/12028/66679/71609/18706",0.557332238758646
"mmu00280","Valine, leucine and isoleucine degradation",43,0.573917221233626,1.98025563067581,6.57581071177086e-05,0.00212873166975017,0.000909116576798374,1821,"tags=42%, list=15%, signal=36%","110695/11409/12035/66885/66904/15108/231086/113868/257633/13171/93747/78038/110446/78894/12039/52538/17850/110821",0.538434096309916
"mmu01240","Biosynthesis of cofactors",112,0.450547381159917,1.8376242303925,6.82683625867401e-05,0.00212873166975017,0.000909116576798374,2372,"tags=37%, list=19%, signal=30%","270685/192185/17768/22169/232087/11566/77697/56520/226518/108037/71883/229949/12035/107272/11639/55936/107508/71743/69719/54128/66588/17025/69568/14629/20751/108156/230027/56316/66812/110006/22276/19286/14854/18104/68646/20425/14287/15288/14630/319945/394435",0.538434096309916
"mmu05160","Hepatitis C",117,0.441373051768566,1.78520449494896,7.62219119061832e-05,0.0021786763153184,0.000930446416464699,2186,"tags=32%, list=17%, signal=27%","54123/246730/230073/15957/246728/26396/16391/23960/246727/12567/22059/20846/20847/142980/11651/19106/22628/17858/21937/23961/11836/12443/26395/12702/58185/15461/22631/19192/16341/19645/14082/16451/18176/13555/26417/12028/71609/18706",0.538434096309916
"mmu04966","Collecting duct acid secretion",17,-0.712918681908862,-2.07344212023823,0.000227448826807292,0.00600114981499239,0.00256290863437023,2594,"tags=65%, list=21%, signal=51%","21871/11975/11974/66144/11984/11973/11966/11964/66335/73834/11972",0.518848077743792
"mmu04512","ECM-receptor interaction",64,0.494115312792105,1.82913656835285,0.000349805145775877,0.00750171036766317,0.00320375242520971,886,"tags=27%, list=7%, signal=25%","12842/16775/12843/20750/12826/12833/16423/12835/12834/11603/21923/241226/12827/16419/21827/16403/14268",0.49849310876659
"mmu01232","Nucleotide metabolism",72,0.48093987202943,1.81970188295687,0.000336554318696334,0.00750171036766317,0.00320375242520971,3985,"tags=58%, list=32%, signal=40%","22436/22169/20135/11566/56520/320685/23918/15452/229949/12499/14923/11639/55936/50773/66588/382985/27369/68106/22271/76952/22171/66566/76025/68556/80914/23959/109674/11717/12497/103850/66422/51797/11534/54369/75686/11821/23917/11486/66355/21877/105446/110074",0.49849310876659
"mmu04140","Autophagy - animal",153,-0.351861401163716,-1.63962507206605,0.000349934011319565,0.00750171036766317,0.00320375242520971,1428,"tags=25%, list=11%, signal=22%","108079/64930/53331/93739/100502698/76559/22190/18607/22034/56790/71648/19324/78610/237782/19349/54170/56418/13030/17966/57436/74769/71732/16784/67443/384783/67474/68118/100504663/18710/170749/67526/16367/13666/56486/16783/13033/17532/52187",0.49849310876659
"mmu00983","Drug metabolism - other enzymes",50,0.522869060351823,1.83659153614717,0.000384632086798442,0.00762790321190959,0.00325764555237459,2561,"tags=36%, list=20%, signal=29%","22436/20135/14873/56520/23918/15452/211666/14870/66588/382985/68312/22271/110006/14869/68556/80914/394435/14863",0.49849310876659
"mmu00970","Aminoacyl-tRNA biosynthesis",44,0.531563948593298,1.81703367197035,0.000400298127738695,0.00762790321190959,0.00325764555237459,3577,"tags=59%, list=29%, signal=42%","381314/353172/22375/107045/23874/110960/22321/70223/68915/226414/107508/15115/27267/20226/105148/216443/104458/107271/85305/109093/97541/71941/71984/102436/244141/70560",0.49849310876659
"mmu00030","Pentose phosphate pathway",26,0.641925076036504,1.99614246756004,0.0004811724929991,0.00868642974203639,0.00370971005124686,1975,"tags=46%, list=16%, signal=39%","18641/66171/14381/110208/14751/19895/11674/100198/72157/232449/21351/66646",0.49849310876659
"mmu05162","Measles",99,0.430475176031778,1.72405911672275,0.000589174025316298,0.00998338018279344,0.00426359815360058,2462,"tags=38%, list=20%, signal=31%","54123/246730/230073/246728/71586/16391/23960/246727/12567/22059/20846/16453/12048/208650/20847/14694/11651/19106/17858/24088/23961/266632/12443/12444/17698/16179/17874/14082/26420/16451/21898/12028/71609/18706/26419/15976/18709/14281",0.477270815362862
"mmu04621","NOD-like receptor signaling pathway",133,0.397382637031473,1.65428605787867,0.000611227358130211,0.00998338018279344,0.00426359815360058,2230,"tags=29%, list=18%, signal=24%","55932/54123/15944/246730/15951/54396/229900/246728/69146/14469/16391/23960/246727/20846/22335/12048/24105/20847/12364/12363/18798/23961/266632/22166/18795/14468/215999/17874/14082/26420/16451/22333/21898/26417/74006/107607/26419/216877",0.477270815362862
"mmu00980","Metabolism of xenobiotics by cytochrome P450",27,0.613662255891318,1.89426050388092,0.000802014441026805,0.0122238922556596,0.00522045274213524,2561,"tags=44%, list=20%, signal=35%","14873/11529/211666/14870/11532/68312/14869/110198/394435/13078/67689/14863",0.477270815362862
"mmu04151","PI3K-Akt signaling pathway",262,0.335187903170161,1.51069019308207,0.000819677906356182,0.0122238922556596,0.00522045274213524,2862,"tags=34%, list=23%, signal=27%","74551/12842/16775/78134/12843/20750/18414/14178/12826/12833/12835/26396/12834/68401/13874/74747/21923/15234/12567/22059/12915/14936/16453/13685/241226/12048/12827/16419/56636/14600/11651/22628/21827/24088/16403/75778/14268/12977/13866/74370/235542/12443/14701/12444/21826/26987/26395/15461/319480/18595/22631/14693/14708/16451/11876/18176/16773/21898/13639/26417/13640/22084/22339/56716/226519/18706/11911/11600/15976/20104/18709/14688/16188/56717/17210/71785/67168/15975/14696/14083/225849/54401/109700/14706/11839/16416/16189/18596/94216/14173",0.477270815362862
"mmu00240","Pyrimidine metabolism",47,0.50914943493264,1.78198121043778,0.0011804722099233,0.0168709153334872,0.00720505501627413,2402,"tags=38%, list=19%, signal=31%","22169/20135/56520/320685/12499/55936/50773/69719/66588/382985/68106/22271/76952/22171/76025/68556/80914/23959",0.45505986738723
"mmu00670","One carbon pool by folate",30,0.580593803276018,1.86135478664596,0.00131280507928977,0.0174478470870524,0.00745144502789502,2245,"tags=53%, list=18%, signal=44%","107869/270685/17768/192166/232087/110695/108037/107747/216188/108147/229709/269378/108156/22171/20425/14450",0.45505986738723
"mmu00620","Pyruvate metabolism",34,0.550777889615201,1.78546998064713,0.00132257733021389,0.0174478470870524,0.00745144502789502,1965,"tags=41%, list=16%, signal=35%","74551/110695/11529/14194/76238/16828/107476/11532/17436/235339/110446/18597/107029/109801",0.45505986738723
"mmu04721","Synaptic vesicle cycle",54,-0.451644814744814,-1.7602249877357,0.00150098508287441,0.0188286884706861,0.00804116040143382,645,"tags=24%, list=5%, signal=23%","11984/11973/114143/74325/12757/20907/67300/11966/20908/11964/66335/73834/11972",0.45505986738723
"mmu04926","Relaxin signaling pathway",105,0.39537245941914,1.59740182610938,0.0015370357935254,0.0188286884706861,0.00804116040143382,3351,"tags=42%, list=27%, signal=31%","11475/12842/12843/12826/26396/12915/12825/12827/18798/11651/14701/18795/26395/15461/26398/14693/14708/26420/20416/18176/17386/104111/216148/26417/22339/20779/18706/11911/26419/21813/18709/14281/14688/26400/14696/14706/94216/17395/21803/13618/14702/18797/13649/26414",0.45505986738723
"mmu00260","Glycine, serine and threonine metabolism",29,0.575012148557904,1.8337204092554,0.00241730846946611,0.0276378935008958,0.0118033040455499,1061,"tags=34%, list=8%, signal=32%","107869/100678/192166/26912/110695/108037/76238/236539/107272/14431",0.431707695803346
"mmu00230","Purine metabolism",95,0.41100307559844,1.63340166786818,0.00241706836177911,0.0276378935008958,0.0118033040455499,2607,"tags=33%, list=21%, signal=26%","22436/18573/20135/11566/56520/18576/23918/15452/229949/108147/12499/14923/11639/238871/18578/50773/72157/382985/27369/23984/53893/104111/76952/66566/76025/14450/23959/67054/109674/218461/11717",0.431707695803346
"mmu04270","Vascular smooth muscle contraction",81,0.419936345345481,1.61695499747237,0.00266070777855869,0.0285194615014259,0.012179794936462,1998,"tags=28%, list=16%, signal=24%","11475/98932/213498/26396/11535/56089/14673/18798/11836/107589/14682/66350/18795/12288/54598/26395/223780/11550/109624/16801/104111/18754/26417",0.431707695803346
"mmu04518","Integrin signaling",118,0.372635929223074,1.53043598863491,0.00264285316580166,0.0285194615014259,0.012179794936462,2840,"tags=38%, list=23%, signal=30%","12842/16775/12843/12266/20750/12826/14118/12833/12835/12834/21923/15234/241226/12827/16419/11651/192176/21827/16403/14268/13866/12443/12444/21826/57342/319480/18595/11461/16773/114249/22339/226519/20779/18706/18709/12540/56717/71785/14083/109700/11465/70549/16416/18596/94216",0.431707695803346
"mmu04960","Aldosterone-regulated sodium reabsorption",27,-0.543797875613125,-1.76563981155817,0.00296596512370411,0.0299213540420738,0.0127785006191479,992,"tags=26%, list=8%, signal=24%","18607/83814/18752/74769/18710/11931/16367",0.431707695803346
"mmu05217","Basal cell carcinoma",48,-0.450118859817237,-1.70552142935587,0.00289800622623333,0.0299213540420738,0.0127785006191479,3088,"tags=46%, list=25%, signal=35%","14366/12018/107986/13197/19206/19207/24069/21414/12006/16576/14634/14369/22410/216795/11789/14367/21415/12159/27015/14632/17873/23882",0.431707695803346
"mmu05219","Bladder cancer",35,0.531267445524148,1.77301400563278,0.00313769930312222,0.0303386548926697,0.0129567171253332,2177,"tags=40%, list=17%, signal=33%","26396/12567/22059/11836/13866/12443/26395/15461/19645/18176/13555/26417/22339/20779",0.431707695803346
"mmu04010","MAPK signaling pathway",239,-0.285265291306542,-1.39932007325319,0.00318423200039682,0.0303386548926697,0.0129567171253332,1980,"tags=24%, list=16%, signal=20%","16478/18591/216869/29857/17165/22030/58231/72349/15507/232889/13836/319520/338372/14184/12367/20807/18479/14013/13637/26403/13712/269881/12928/13198/26940/22034/14171/14102/26412/18018/18049/381921/18590/76089/18752/15370/17347/193740/21808/330177/30957/12929/13636/12295/16476/63953/56692/13638/70686/14254/17532/19099/18218/26401/15511/17873/23882",0.431707695803346
"mmu04820","Cytoskeleton in muscle cells",160,0.363648553152192,1.55512854364568,0.0033172345243218,0.0307516605903345,0.0131330993022862,1823,"tags=24%, list=15%, signal=21%","14119/12842/12843/98932/12111/12826/14118/12833/12835/12834/11603/22793/13003/213019/241226/12832/12825/12827/16419/14201/21827/22004/15529/16403/22352/70435/14268/223697/21826/319480/11461/109676/18073/13808/13726/24052/16773/14115/54132",0.431707695803346
"mmu04217","Necroptosis",110,0.386424559406461,1.56848897598207,0.00383852983610694,0.0337593777893508,0.014417603875034,2246,"tags=29%, list=18%, signal=24%","58203/16391/11739/20846/16453/22335/14319/24105/20847/142980/15270/12333/14661/19106/21937/11740/20852/208092/268373/74568/66700/14082/26420/16451/22333/21898/108058/74006/12028/71609/26419/18783",0.431707695803346
"mmu04110","Cell cycle",150,-0.322257158085315,-1.48314194752711,0.00378671678688431,0.0337593777893508,0.014417603875034,1936,"tags=23%, list=15%, signal=19%","66591/56438/77011/56452/12914/71988/107995/12237/218914/23834/242705/22629/12566/105988/12235/268697/22642/12545/12534/21770/22390/22627/100710/26932/67849/12428/21808/229776/17217/12236/12581/17215/17873/23882",0.431707695803346
"mmu03273","Virion - Lassa virus and SFTS virus",12,-0.682422601887027,-1.80846599955652,0.0039588924366947,0.033947502644657,0.0144979462812175,375,"tags=25%, list=3%, signal=24%","16784/16783/75599",0.407017918923954
"mmu03250","Viral life cycle - HIV-1",53,0.471853272195111,1.69622228804678,0.00430406999551182,0.0360072197185501,0.0153775888223606,2301,"tags=40%, list=18%, signal=32%","20587/69550/209387/26943/27632/22088/80287/319236/17858/23988/64144/57314/235180/208092/268373/16543/19384/14534/17755/432508/56045",0.407017918923954
"mmu04974","Protein digestion and absorption",51,0.454656191507771,1.61968440602904,0.00454333426067412,0.037103896462172,0.0158459461175442,1212,"tags=29%, list=10%, signal=27%","12842/12843/12826/12833/12835/12834/20514/107581/12832/12825/12827/17254/12816/67760/12837",0.407017918923954
"mmu00982","Drug metabolism - cytochrome P450",22,0.591092326855139,1.77048621688956,0.00484455075555165,0.0377654752080503,0.0161284862860785,2561,"tags=45%, list=20%, signal=36%","14873/11529/211666/14870/11532/68312/14869/394435/67689/14863",0.407017918923954
"mmu04620","Toll-like receptor signaling pathway",70,0.431940983924139,1.64775514656249,0.00479474159929121,0.0377654752080503,0.0161284862860785,3360,"tags=50%, list=27%, signal=37%","54123/20750/26396/16391/20846/20847/142980/11651/24088/13038/266632/26395/26398/117149/16179/17874/14082/26420/16451/21898/26417/18706/26419/15976/18709/14281/26400/15975/12370/20304/54721/16193/16151/26414/26399",0.407017918923954
"mmu03272","Virion - Hepatitis viruses",25,-0.538877082051327,-1.73233289496381,0.00618214133539073,0.0471216550675338,0.0201242262502243,864,"tags=24%, list=7%, signal=22%","71955/20778/16784/16783/60363/22134",0.407017918923954
"mmu05323","Rheumatoid arthritis",46,-0.434998517865382,-1.58091394526995,0.00713280230996902,0.0531858954852038,0.0227140789628686,645,"tags=24%, list=5%, signal=23%","11984/11973/114143/21808/16476/11966/11964/66335/73834/14254/11972",0.407017918923954
"mmu05166","Human T-cell leukemia virus 1 infection",187,0.337366579867322,1.47939641099929,0.00744951072022136,0.0543655782348069,0.0232178855995939,2462,"tags=31%, list=20%, signal=25%","15040/26396/16177/18186/11739/12567/22059/12915/20525/16453/22335/19056/12048/21423/12257/73181/11651/12442/14283/21937/59008/11740/52206/19057/12443/110196/69957/100683/12444/15039/26395/15461/26398/19645/19384/26406/26420/16451/18176/22333/14534/104111/13555/217232/26417/81601/14972/12028/245000/18706/11911/26419/50883/21813/15015/18709/16818/14281",0.407017918923954
"mmu00860","Porphyrin metabolism",26,0.553521176116905,1.72124001318482,0.00971704158031973,0.0694363596260348,0.0296541581381979,2616,"tags=38%, list=21%, signal=30%","12870/77697/14319/107508/17025/110006/22276/15288/394435/12892",0.380730400722792
"mmu05230","Central carbon metabolism in cancer",57,0.431384078053199,1.57374095023543,0.00993368034430828,0.069535762410158,0.0296966100451763,1740,"tags=33%, list=14%, signal=29%","18641/20539/228026/26396/14381/20514/22059/20525/11651/16828/15926/13866/50721/269951/26395/15461/18595/18597/18176",0.380730400722792
"mmu04540","Gap junction",64,0.411614786152907,1.52373269545645,0.0106734051905521,0.0730234510045048,0.0311860958084071,2370,"tags=34%, list=19%, signal=28%","19092/26396/22154/14609/22142/67951/22143/18798/227613/14682/22146/22152/18795/26395/15461/18595/18176/104111/26417/20779/23938/14672",0.380730400722792
"mmu05210","Colorectal cancer",84,-0.357694102926353,-1.49864258898314,0.0109178938355487,0.0730234510045048,0.0311860958084071,453,"tags=13%, list=4%, signal=13%","11799/11789/74769/21808/18710/21415/16476/27015/58801/17873/23882",0.380730400722792
"mmu03013","Nucleocytoplasmic transport",100,-0.329837041518163,-1.42709382173216,0.0110706106479133,0.0730234510045048,0.0311860958084071,3011,"tags=30%, list=24%, signal=23%","75826/16650/16648/73666/269966/53319/433702/103573/66069/16649/192160/70699/19826/78428/20220/18949/107939/69482/227720/22196/60365/22218/326622/51796/17149/19387/19704/18141/100042165/77595",0.380730400722792
"mmu05204","Chemical carcinogenesis - DNA adducts",24,0.544205973652864,1.66698397495812,0.0113100706453251,0.0731953628555947,0.0312595141334101,2561,"tags=38%, list=20%, signal=30%","14873/19225/211666/14870/68312/14869/394435/13078/14863",0.380730400722792
"mmu04720","Long-term potentiation",50,0.440398313986394,1.54691083740288,0.0117212028604771,0.0744513440952527,0.0317959055355519,2199,"tags=34%, list=18%, signal=28%","26396/20112/14799/19056/18798/11836/14682/19057/18795/12288/26395/15461/18176/108058/109905/26417/11911",0.380730400722792
"mmu00010","Glycolysis / Gluconeogenesis",44,0.442786020270009,1.51356597910277,0.0126156260112898,0.0785702188256124,0.033554951707663,1734,"tags=34%, list=14%, signal=29%","74551/18641/68401/110695/11529/14751/11674/16828/11532/235339/72141/72157/18597/14433/13808",0.380730400722792
"mmu05161","Hepatitis B",137,0.341865136963784,1.42624582109275,0.0128277908286714,0.0785702188256124,0.033554951707663,2635,"tags=34%, list=21%, signal=27%","54123/230073/71586/26396/22059/12915/20846/16453/22335/20847/142980/12364/73181/11651/24088/13194/20852/11836/266632/13655/26395/15461/22631/26398/117149/16179/17874/19645/14082/26420/16451/18176/21898/13555/26417/12028/20779/18706/11911/26419/21813/18709/14281/26400/15975/54401",0.380730400722792
"mmu01212","Fatty acid metabolism",55,0.430311803181273,1.55671619212176,0.013524494690408,0.0813842399791218,0.0347567345882724,2548,"tags=44%, list=20%, signal=35%","56348/106529/76267/11409/66885/231086/14104/107476/113868/257633/56473/93747/11370/110446/433256/234309/66775/52538/78070/26922/15107/20250/50790/223722",0.380730400722792
"mmu00020","Citrate cycle (TCA cycle)",29,0.508596802431245,1.62192110034401,0.0181888599863467,0.107565154746843,0.0459378073130815,1718,"tags=34%, list=14%, signal=30%","74551/20917/14194/104112/15926/235339/239017/15929/269951/18597",0.352487857583619
"mmu04146","Peroxisome",69,0.39191208184764,1.46837024992449,0.0188359183981524,0.109503728992649,0.0467657134354267,3223,"tags=43%, list=26%, signal=32%","22436/74114/51798/18634/14712/15926/113868/19298/16922/23986/54683/269951/17855/28200/433256/26378/17117/11666/20524/234384/93732/18477/50790/19299/111175/110959/26874/80911/18633/228061",0.352487857583619
