"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-MMU-1474244","Extracellular matrix organization",167,0.530578664298505,2.2833353024561,1e-10,9.7e-08,9.7e-08,1994,"tags=41%, list=16%, signal=35%","11475/14119/16775/12843/14789/12111/20750/23876/58859/12826/14118/12833/16423/12834/17150/11603/56693/21923/17385/58223/21857/107581/16949/18542/17387/17384/12380/11492/241226/12832/12825/12827/16950/234407/16419/12333/210530/216725/268977/13528/16998/15529/16403/13038/12816/18822/14268/17392/16948/56213/18214/12837/108075/69675/19035/13039/11461/11820/18073/24052/26432/14115/17386/12338/94352/16997/12339/23794/268935",NA
"R-MMU-72689","Formation of a pool of free 40S subunits",88,0.589827780284775,2.29461817552681,3.48083676455806e-09,1.68820583081066e-06,1.68820583081066e-06,3715,"tags=62%, list=29%, signal=45%","27207/27979/27050/27370/54709/20091/68028/26961/20085/67427/20103/27367/19934/16898/73830/268449/76808/16341/270106/56040/67115/269261/16785/20102/67281/19981/67891/11837/100043813/55944/20090/19944/68052/20116/66085/19982/20104/67097/100502825/22121/19943/20084/100503670/98221/75617/67025/66480/19942/53356/19988/20115/76846/54127/20005/57294",0.774939030136436
"R-MMU-156827","L13a-mediated translational silencing of Ceruloplasmin expression",98,0.567458346433916,2.23374854729427,5.78559004763382e-09,1.8706741154016e-06,1.8706741154016e-06,3909,"tags=64%, list=31%, signal=45%","27207/27979/27050/27370/54709/20091/13681/68028/18458/26961/20085/67427/20103/27367/19934/16898/73830/268449/76808/16341/270106/56040/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/55944/20090/19944/68052/20116/66085/19982/20104/67097/100502825/22121/19943/20084/100503670/98221/75617/67025/66480/75705/19942/53356/22384/19988/20115/76846/54127/20005/57294/67204/110954/19989",0.761460801445585
"R-MMU-72766","Translation",274,0.424309007161908,1.91565806715594,8.51199205413372e-09,2.06415807312743e-06,2.06415807312743e-06,3809,"tags=49%, list=30%, signal=35%","13627/27397/74776/224045/13685/27207/27979/26444/27050/27370/13629/54709/20091/13681/69089/66855/67768/68028/18458/26961/20085/67427/20103/68537/59029/67707/235606/66047/27367/55949/19934/16898/67895/73830/68836/66407/69956/268449/75452/67840/76808/27398/16341/270106/216080/108067/56040/14852/67115/269261/67160/64659/16785/208643/20813/20102/67281/19181/67871/77987/19981/67891/11837/67673/100043813/121022/65111/56282/55944/20090/19944/70316/68052/20116/66085/211253/19982/20104/19167/67097/100502825/107732/94062/66242/67212/71745/66661/118451/239555/19173/22121/67089/66656/19943/67270/353242/69163/67674/20084/100503670/98221/75617/67025/17463/66480/66230/75705/19935/66448/56550/66105/27395/19942/53356/50529/18100/66258/22384/56284/22123/19988/20115/76846/94066/54127/20005/26441/57294/19170/70247/78294/67204/213753",0.747739663149885
"R-MMU-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",99,0.552571557173473,2.20531255106869,1.19137884477782e-08,2.31127495886896e-06,2.31127495886896e-06,3909,"tags=63%, list=31%, signal=44%","27207/27979/27050/27370/54709/20091/13681/68028/26961/20085/67427/20103/27367/19934/16898/73830/268449/76808/16341/270106/56040/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/55944/20090/19944/68052/20116/66085/19982/20104/67097/100502825/22121/19943/20084/100503670/98221/75617/67025/66480/75705/19942/53356/22384/19988/20115/76846/54127/20005/57294/67204/110954/19989",0.747739663149885
"R-MMU-9954716","ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA",82,0.57780501876707,2.23918810771417,6.09519302527434e-08,9.85389539086018e-06,9.85389539086018e-06,3909,"tags=68%, list=31%, signal=48%","27207/27050/27370/20091/68028/26961/20085/67427/20103/27367/19934/16898/268449/75452/76808/270106/216080/56040/67115/269261/16785/20102/67281/77987/19981/67891/11837/100043813/20090/19944/68052/20116/19982/20104/67097/100502825/22121/19943/20084/100503670/75617/67025/66480/56550/66105/19942/19988/20115/76846/54127/20005/57294/78294/213753/110954/19989",0.704975715167238
"R-MMU-72613","Eukaryotic Translation Initiation",106,0.527509480790104,2.09320881846113,1.0484725770053e-07,1.27127299961892e-05,1.27127299961892e-05,3909,"tags=62%, list=31%, signal=43%","224045/13685/27207/27979/27050/27370/54709/20091/13681/68028/18458/26961/20085/67427/20103/27367/19934/16898/73830/268449/76808/16341/270106/108067/56040/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/55944/20090/19944/68052/20116/66085/19982/20104/67097/100502825/22121/19943/20084/100503670/98221/75617/67025/66480/75705/19942/53356/22384/19988/20115/76846/54127/20005/57294/67204/110954/19989",0.704975715167238
"R-MMU-72737","Cap-dependent Translation Initiation",106,0.527509480790104,2.09320881846113,1.0484725770053e-07,1.27127299961892e-05,1.27127299961892e-05,3909,"tags=62%, list=31%, signal=43%","224045/13685/27207/27979/27050/27370/54709/20091/13681/68028/18458/26961/20085/67427/20103/27367/19934/16898/73830/268449/76808/16341/270106/108067/56040/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/55944/20090/19944/68052/20116/66085/19982/20104/67097/100502825/22121/19943/20084/100503670/98221/75617/67025/66480/75705/19942/53356/22384/19988/20115/76846/54127/20005/57294/67204/110954/19989",0.704975715167238
"R-MMU-1799339","SRP-dependent cotranslational protein targeting to membrane",78,0.578312270772685,2.21778539622941,2.46132768673224e-07,2.6527642845892e-05,2.6527642845892e-05,3909,"tags=65%, list=31%, signal=46%","27207/27050/27370/20091/68028/26961/20085/67427/20103/27367/19934/16898/268449/76808/270106/56040/67115/269261/16785/20813/20102/67281/19981/67891/11837/100043813/20090/19944/68052/20116/19982/20104/67097/100502825/66661/22121/19943/20084/100503670/75617/67025/66480/19942/19988/20115/76846/54127/20005/57294/110954/19989",0.674962860011025
"R-MMU-9954714","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA",75,0.573158336882618,2.18363062788743,3.7247725957048e-07,3.61302941783365e-05,3.61302941783365e-05,3909,"tags=65%, list=31%, signal=46%","27207/27050/27370/20091/68028/26961/20085/67427/20103/27367/19934/16898/268449/76808/270106/56040/67115/269261/16785/20102/67281/19981/67891/11837/100043813/20090/19944/68052/20116/19982/20104/67097/100502825/22121/19943/20084/100503670/75617/67025/66480/19942/19988/20115/76846/54127/20005/57294/110954/19989",0.674962860011025
