"scatter_comparison","comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"human_vs_mouse_KD_Hallmark","human KD vs control vs mouse KD vs control","Hallmark","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","either",0.05,"opposite direction",3.54885229149498,3.54885229149498,-1.30797476517379,2.24087752632119,0.041911154325645,1.48778709570153e-11,"17215;20878;12236;17217;76131;52276;70218;218977;103135;12189;22256;11799;78833;19891;100710;22390;18969;12534;110033;229841;17345;18861;11637;53892;54141;101565;105988;50927;106618;66197;70472;13433;67196;16571;14056;67967","2547;4288;10460;1026;5591;6241;9787;1854;701;5425;3609;146909;4605;10615;332;6941;3149;147841;9833;9232;55143;7374;9238;5889;55635;55148;29089;29980;3835;5395;204;9319;4173;9738;6790;4678;6118;3930;9837;3838;197335;4830;57405;27338;7083;672;994;10635;1033;4001;1163;6119;3364;7037;4683;10535;23594;81624;5982;57122;4361;9221;991;8914;4292;64785;1786;7884;84296;5902;5426;10797;9918;79077;64858;3159;10212;1062;4085;81611;9212;24137;10528;55723;4174;7514;9700;580;4176;7153;675;56655;5810;7913;7157;5111;3925;29893;51155;203068;1111;10051;23649;7283;10248","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",10.8274592124578,-1.37767037757336,TRUE,TRUE,3.54885229149498,3.54885229149498,"opposite direction"
"human_vs_mouse_KD_Hallmark","human KD vs control vs mouse KD vs control","Hallmark","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","either",0.05,"opposite direction",3.46823221428305,3.46823221428305,-1.58132729236592,1.88690492191713,0.00243895617189195,8.96660041977804e-06,"18141;19704;17215;20878;233406;108000;16319;231386;18005;12428;78733;11799;72119;240641;19891;100710;20641;77782;18969;12534;60406;108907;12545;12455;110033;19359;229841;13486;16551;17345;12235;105988;50927;66197;20460;242705;16573;23834;71375;16571;14056;12237;107995;17420;14211;56452;18286;238247;26885;26934","4288;10460;10762;3151;51203;3609;22974;1063;6541;10036;55872;4605;332;3149;10024;57082;7040;9232;4502;5371;699;26271;9156;94239;6491;4088;3835;8140;85236;6790;4678;6118;3930;990;7468;2176;3838;1841;3832;1736;7272;27338;81539;7486;994;1033;9493;4001;1163;3364;11065;9055;1870;1058;23594;595;899;9221;3619;991;51659;5426;1112;1810;3159;10721;51776;10212;1062;4085;56992;9212;24137;5119;4174;7514;9700","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",5.0473721833527,-2.61279600389968,TRUE,TRUE,3.46823221428305,3.46823221428305,"opposite direction"
"human_vs_mouse_KD_Hallmark","human KD vs control vs mouse KD vs control","Hallmark","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","either",0.05,"opposite direction",-3.26610772104256,3.26610772104256,1.54783940806417,-1.71826831297839,0.00886755255243098,0.000605007751717099,"66375;22436;16010;14873;11432;11529;110208;16177;19171;20514;108037;14782;74114;51798;15452;71093;52585;12499;68943;12035;21937;59083;74142;15902;225913;15926;228608;246277;11532;78038;22021;14629;108156;22271;18618;68021;19286;14854;18081;19128;69071;18104;56376;14538","7498;217;2052;4128;5091;223;54498;10237;3417;9536;2110;4355;978;4814;7358;225;51380;8460;2099;4836;50;218;51;1528;5166;3398;4864;645;10611;55502;3162;488;316;866;22949;65018;5447;4121;9663;131;5627;6747;3735;1573;6539","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",-3.21823906087415,2.05219622905696,TRUE,TRUE,-3.26610772104256,3.26610772104256,"opposite direction"
"human_vs_mouse_KD_Hallmark","human KD vs control vs mouse KD vs control","Hallmark","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","either",0.05,"opposite direction",-3.04140065786361,3.04140065786361,1.56938660587797,-1.47201405198564,0.0126495017569778,0.0212737709620819,"20917;12353;11529;14194;18263;51798;19186;19270;11409;14874;12167;67460;70335;76238;12972;11674;16828;15926;15108;231086;18194;14104;113868;11792;171210;93747;11370;17436;21743;56791;23986;15929;17025;433256;52538;66357;18597;13808;68021;22276;19286","2027;2052;4128;33;2026;35;5160;223;3157;4199;3417;3956;2110;7358;50814;5910;6281;50;218;51;8639","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",-1.67215552077588,1.89792658029501,TRUE,TRUE,-3.04140065786361,3.04140065786361,"opposite direction"
"human_vs_mouse_KD_Hallmark","human KD vs control vs mouse KD vs control","Hallmark","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","either",0.05,"opposite direction",-3.01116515169122,3.01116515169122,1.45464124163309,-1.55652391005813,0.0147953071998375,0.00372415027321296,"12870;18641;74155;12111;228026;14635;50527;11535;74747;18451;13358;231507;19664;18030;54371;20525;14936;16009;20856;70186;14751;11520;22359;12778;76238;15529;57875;56174;11639;11674;21753;18793;20439;16828;16948;20855;21983;18484;78889;17035;21810;17988;54683;14733;20198;72157","6275;2027;694;230;3516;4601;2026;8459;5230;5165;7511;10397;272;1356;5236;9215;7043;1942;54206;3098;23210;538;2584;2548;26355;2817;3073;54800;9957;10370;55818;123;8839;1466;5033;2821;10957;596;3162;56925;4627;1843;3623;3669;7360;5313;6576","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",-2.42897280311754,1.82987601301033,TRUE,TRUE,-3.01116515169122,3.01116515169122,"opposite direction"
"human_vs_mouse_KD_Hallmark","human KD vs control vs mouse KD vs control","Hallmark","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","either",0.05,"opposite direction",-2.92441531683625,2.92441531683625,1.5278952450166,-1.39652007181965,0.0076254311173443,0.0212737709620819,"18641;16775;66375;12266;12826;13358;20514;109019;51798;11520;11409;68653;74610;20509;67914;67460;67171;70335;22628;57875;11674;104112;29864;15926;11836;107589;12476;13171;93747;23943;17436;16922;235339;15929;108958;66588;72157;69956;108954;12039;52538;19376;18569;230027;18618;66205;21351;22273;625249;56428;67680;70316;15107;11600","217;5168;718;2167;33;35;284;47;4199;3417;29103;5236;112;9131;376497;10140;6776;4836;50;51;79071;8491;8436;58472;6342;123;10113;6888;5495;2109;26353;4191;483;23187;5447;23788;10162;1351;6576;7905;10989;7423;1537;4958;1384;6390;9908;3419;5195;1147;2879;1738;5860;57678;25813;26994;6647;27069;54996;25979;1737;4189;3991;1376;1468;10313","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",-1.67215552077588,2.11773559767418,TRUE,TRUE,-2.92441531683625,2.92441531683625,"opposite direction"
"human_vs_mouse_KD_Hallmark","human KD vs control vs mouse KD vs control","Hallmark","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","either",0.05,"opposite direction",-2.90669402144011,2.90669402144011,1.86009998786036,-1.04659403357975,0.00404860215988134,0.465753424657534,"20750;14314;13003;18186;21857;12832;12825;21824;20855;12444;20198;11820;22339;50706;22325;14083","6275;6696;5747","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",-0.331843943078201,2.39269489753564,FALSE,TRUE,-2.90669402144011,2.90669402144011,"opposite direction"
"human_vs_mouse_KD_Hallmark","human KD vs control vs mouse KD vs control","Hallmark","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","either",0.05,"opposite direction",-2.79657490714465,2.79657490714465,1.50336284895196,-1.29321205819269,0.00736296415291671,0.0948617336976256,"107869;26570;18641;20539;100678;228026;17768;20135;50527;74747;14381;18451;22375;20514;108037;18030;14782;20525;76267;14751;22359;15452;56772;12035;236539;27053;107272;11639;11674;104112;107508;21753;16828;11951;15926;20855;107476;59029;56473;21399;17436;12466;268373;67895;72157;50493;12227;19192;15525;14629","7277;3638;5230;6713;3157;2181;928;47;4199;3417;5236;5052;900;4836;5701;10987;79071;7108;9695;23753;10061;7184;8878;4048;3156;5033;2821;3336;23760;488;441024;5718;3475;10096;3145;26227;516;10989;3992;5684;5685;5719;27071;3308;2107;10213;2717;29110;31;8615;2965;27230;1649;5861;7436;2729;4802;8553;5704;2058;5860","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",-1.02290894242469,2.13294731390987,FALSE,TRUE,-2.79657490714465,2.79657490714465,"opposite direction"
"human_vs_mouse_KD_Hallmark","human KD vs control vs mouse KD vs control","Hallmark","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","either",0.05,"opposite direction",-2.77968293399474,2.77968293399474,1.292693593922,-1.48698934007274,0.166121112929624,0.0350747663597587,"74114;17999;76267;67452;217262;18634;63959;14712;15926;19298;56473;29815;16922;54683;269951;433256;17117;11835;11666;13123;14630;13371;73836;16818;11303;27410;19299;111175","4734;223;3417;20;8630;225;196743;21;2730;80270;6342;4864;51703;866;3992;5947;5825;23461;6258;10350;64137;9420;3418;5191;5213;6647;64241;3991;215;189;8435;366;9971;50640;9415;3932;9963","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",-1.45500521321494,0.779575167993321,TRUE,FALSE,-2.77968293399474,2.77968293399474,"opposite direction"
"human_vs_mouse_KD_Hallmark","human KD vs control vs mouse KD vs control","Hallmark","HALLMARK_COAGULATION","HALLMARK_COAGULATION","either",0.05,"opposite direction",-2.7162685525306,2.7162685525306,1.78836399434852,-0.927904558182077,0.00185984408626538,0.635578818571137,"20692;12266;50908;14118;19072;21859;17385;21857;17387;17384;54381;229445;21824;67603;13038;14268;22388;17392;16952;56213;16971;14701;13039;14693;18791","718;716;928;22933;4319;715;2934;4318;4313;10411;4035;4048;4323;2783;4320;301;2534;5550;3249;10404;4314;5627","HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",-0.196830584609648,2.7305234618642,FALSE,TRUE,-2.7162685525306,2.7162685525306,"opposite direction"
