"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0007094","mitotic spindle assembly checkpoint signaling","either",0.05,"opposite direction",3.74919871275259,3.74919871275259,-1.76985727825899,1.9793414344936,0.0637309550932253,0.00386181513948376,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/55755/9319/7517/55055/83540/220134/7272/57405","GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","mitotic spindle assembly checkpoint signaling",2.41320851922147,-1.19564957299025,TRUE,FALSE,3.74919871275259,3.74919871275259,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0071173","spindle assembly checkpoint signaling","either",0.05,"opposite direction",3.74919871275259,3.74919871275259,-1.76985727825899,1.9793414344936,0.0637309550932253,0.00386181513948376,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/55755/9319/7517/55055/83540/220134/7272/57405","GO:0071173","GO:0071173","spindle assembly checkpoint signaling","spindle assembly checkpoint signaling",2.41320851922147,-1.19564957299025,TRUE,FALSE,3.74919871275259,3.74919871275259,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0071174","mitotic spindle checkpoint signaling","either",0.05,"opposite direction",3.74919871275259,3.74919871275259,-1.76985727825899,1.9793414344936,0.0637309550932253,0.00386181513948376,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/55755/9319/7517/55055/83540/220134/7272/57405","GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","mitotic spindle checkpoint signaling",2.41320851922147,-1.19564957299025,TRUE,FALSE,3.74919871275259,3.74919871275259,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0031577","spindle checkpoint signaling","either",0.05,"opposite direction",3.72805873296809,3.72805873296809,-1.72585620472677,2.00220252824132,0.0559722932803457,0.00188792813699233,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/55755/9319/7517/55055/83540/220134/7272/57405","GO:0031577","GO:0031577","spindle checkpoint signaling","spindle checkpoint signaling",2.72401454091807,-1.2520268989429,TRUE,FALSE,3.72805873296809,3.72805873296809,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0033046","negative regulation of sister chromatid segregation","either",0.05,"opposite direction",3.71284474389645,3.71284474389645,-1.70970475962459,2.00313998427186,0.061791075579251,0.00187507199205309,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/7272/57405","GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","negative regulation of sister chromatid segregation",2.72698205318897,-1.2090742450821,TRUE,FALSE,3.71284474389645,3.71284474389645,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0033048","negative regulation of mitotic sister chromatid segregation","either",0.05,"opposite direction",3.71284474389645,3.71284474389645,-1.70970475962459,2.00313998427186,0.061791075579251,0.00187507199205309,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/7272/57405","GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","negative regulation of mitotic sister chromatid segregation",2.72698205318897,-1.2090742450821,TRUE,FALSE,3.71284474389645,3.71284474389645,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","either",0.05,"opposite direction",3.71284474389645,3.71284474389645,-1.70970475962459,2.00313998427186,0.061791075579251,0.00187507199205309,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/7272/57405","GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","negative regulation of mitotic metaphase/anaphase transition",2.72698205318897,-1.2090742450821,TRUE,FALSE,3.71284474389645,3.71284474389645,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:2000816","negative regulation of mitotic sister chromatid separation","either",0.05,"opposite direction",3.71284474389645,3.71284474389645,-1.70970475962459,2.00313998427186,0.061791075579251,0.00187507199205309,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/7272/57405","GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","negative regulation of mitotic sister chromatid separation",2.72698205318897,-1.2090742450821,TRUE,FALSE,3.71284474389645,3.71284474389645,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","either",0.05,"opposite direction",3.68158702980215,3.68158702980215,-1.6840171185417,1.99756991126045,0.0642060101900454,0.00214609239917974,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/7272/57405","GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","negative regulation of metaphase/anaphase transition of cell cycle",2.66835158358627,-1.19242431663207,TRUE,FALSE,3.68158702980215,3.68158702980215,"opposite direction"
"human KD vs control vs mouse KD vs control","GO_BP","GO:1905819","negative regulation of chromosome separation","either",0.05,"opposite direction",3.68158702980215,3.68158702980215,-1.6840171185417,1.99756991126045,0.0642060101900454,0.00214609239917974,"66977/26951/66591/74335/107995/12237/24010/219114/52696/12235/268697/229841/11799/11789/70385/52276/16319/12236","54908/11130/701/1063/221150/8379/332/147841/57082/55143/699/348654/26271/55755/9319/7517/55055/83540/220134/7272/57405","GO:1905819","GO:1905819","negative regulation of chromosome separation","negative regulation of chromosome separation",2.66835158358627,-1.19242431663207,TRUE,FALSE,3.68158702980215,3.68158702980215,"opposite direction"
