"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"GO_BP","GO:0007094","GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","mitotic spindle assembly checkpoint signaling",1.9793414344936,-1.76985727825899,0.00386181513948376,0.0637309550932253,2.41320851922147,-1.19564957299025,TRUE,FALSE,"mitotic spindle assembly checkpoint signaling",3.74919871275259,3.74919871275259,"opposite direction"
"GO_BP","GO:0071173","GO:0071173","GO:0071173","spindle assembly checkpoint signaling","spindle assembly checkpoint signaling",1.9793414344936,-1.76985727825899,0.00386181513948376,0.0637309550932253,2.41320851922147,-1.19564957299025,TRUE,FALSE,"spindle assembly checkpoint signaling",3.74919871275259,3.74919871275259,"opposite direction"
"GO_BP","GO:0071174","GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","mitotic spindle checkpoint signaling",1.9793414344936,-1.76985727825899,0.00386181513948376,0.0637309550932253,2.41320851922147,-1.19564957299025,TRUE,FALSE,"mitotic spindle checkpoint signaling",3.74919871275259,3.74919871275259,"opposite direction"
"GO_BP","GO:0031577","GO:0031577","GO:0031577","spindle checkpoint signaling","spindle checkpoint signaling",2.00220252824132,-1.72585620472677,0.00188792813699233,0.0559722932803457,2.72401454091807,-1.2520268989429,TRUE,FALSE,"spindle checkpoint signaling",3.72805873296809,3.72805873296809,"opposite direction"
"GO_BP","GO:0033046","GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","negative regulation of sister chromatid segregation",2.00313998427186,-1.70970475962459,0.00187507199205309,0.061791075579251,2.72698205318897,-1.2090742450821,TRUE,FALSE,"negative regulation of sister chromatid segregation",3.71284474389645,3.71284474389645,"opposite direction"
"GO_BP","GO:0033048","GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","negative regulation of mitotic sister chromatid segregation",2.00313998427186,-1.70970475962459,0.00187507199205309,0.061791075579251,2.72698205318897,-1.2090742450821,TRUE,FALSE,"negative regulation of mitotic sister chromatid segregation",3.71284474389645,3.71284474389645,"opposite direction"
"GO_BP","GO:0045841","GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","negative regulation of mitotic metaphase/anaphase transition",2.00313998427186,-1.70970475962459,0.00187507199205309,0.061791075579251,2.72698205318897,-1.2090742450821,TRUE,FALSE,"negative regulation of mitotic metaphase/anaphase transition",3.71284474389645,3.71284474389645,"opposite direction"
"GO_BP","GO:2000816","GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","negative regulation of mitotic sister chromatid separation",2.00313998427186,-1.70970475962459,0.00187507199205309,0.061791075579251,2.72698205318897,-1.2090742450821,TRUE,FALSE,"negative regulation of mitotic sister chromatid separation",3.71284474389645,3.71284474389645,"opposite direction"
"GO_BP","GO:1902100","GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","negative regulation of metaphase/anaphase transition of cell cycle",1.99756991126045,-1.6840171185417,0.00214609239917974,0.0642060101900454,2.66835158358627,-1.19242431663207,TRUE,FALSE,"negative regulation of metaphase/anaphase transition of cell cycle",3.68158702980215,3.68158702980215,"opposite direction"
"GO_BP","GO:1905819","GO:1905819","GO:1905819","negative regulation of chromosome separation","negative regulation of chromosome separation",1.99756991126045,-1.6840171185417,0.00214609239917974,0.0642060101900454,2.66835158358627,-1.19242431663207,TRUE,FALSE,"negative regulation of chromosome separation",3.68158702980215,3.68158702980215,"opposite direction"
"GO_BP","GO:0045839","GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","negative regulation of mitotic nuclear division",1.95089998458966,-1.727503136115,0.00214726902719002,0.053830359642504,2.66811354023787,-1.26897271863809,TRUE,FALSE,"negative regulation of mitotic nuclear division",3.67840312070466,3.67840312070466,"opposite direction"
"GO_BP","GO:0048846","GO:0048846","GO:0048846","axon extension involved in axon guidance","axon extension involved in axon guidance",-1.5412911513006,2.08560829267467,0.186395954873064,0.0106623115539623,-0.729563516849899,1.97214863149125,FALSE,TRUE,"axon extension involved in axon guidance",-3.62689944397527,3.62689944397527,"opposite direction"
"GO_BP","GO:0044786","GO:0044786","GO:0044786","cell cycle DNA replication","cell cycle DNA replication",1.79521701360165,-1.82831076260669,0.0269560228170584,0.039109402682032,1.56934418468947,-1.40771881697751,TRUE,TRUE,"cell cycle DNA replication",3.62352777620834,3.62352777620834,"opposite direction"
"GO_BP","GO:0051985","GO:0051985","GO:0051985","negative regulation of chromosome segregation","negative regulation of chromosome segregation",2.02333683005358,-1.59143090347943,0.00163183270358738,0.142640877815641,2.78732436741615,-0.845755997165035,TRUE,FALSE,"negative regulation of chromosome segregation",3.61476773353301,3.61476773353301,"opposite direction"
"GO_BP","GO:0140014","GO:0140014","GO:0140014","mitotic nuclear division","mitotic nuclear division",1.77146756168119,-1.82080058833918,0.000216386566954127,2.63406057066442e-05,3.66476970326406,-4.57937424258499,TRUE,TRUE,"mitotic nuclear division",3.59226815002037,3.59226815002037,"opposite direction"
"GO_BP","GO:0046496","GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","nicotinamide nucleotide metabolic process",-1.85211430433836,1.73030586805744,0.00147838969603391,0.006630064403503,-2.83021107302549,2.17848225289988,TRUE,TRUE,"nicotinamide nucleotide metabolic process",-3.5824201723958,3.5824201723958,"opposite direction"
"GO_BP","GO:0007088","GO:0007088","GO:0007088","regulation of mitotic nuclear division","regulation of mitotic nuclear division",1.927771898982,-1.65139503301889,0.000811769163621448,0.0430838744290564,3.09056745009117,-1.36568524856116,TRUE,TRUE,"regulation of mitotic nuclear division",3.57916693200089,3.57916693200089,"opposite direction"
"GO_BP","GO:0050000","GO:0050000","GO:0050000","chromosome localization","chromosome localization",1.84279281417239,-1.73152553336766,0.00386181513948376,0.0133603204157991,2.41320851922147,-1.87418312620592,TRUE,TRUE,"chromosome localization",3.57431834754005,3.57431834754005,"opposite direction"
"GO_BP","GO:0034405","GO:0034405","GO:0034405","response to fluid shear stress","response to fluid shear stress",-1.67292550709854,1.87553710864724,0.042127487022192,0.050924490442825,-1.37543444652104,1.29307330791398,TRUE,FALSE,"response to fluid shear stress",-3.54846261574578,3.54846261574578,"opposite direction"
"GO_BP","GO:0051310","GO:0051310","GO:0051310","metaphase chromosome alignment","metaphase chromosome alignment",1.83187241498581,-1.7150229360201,0.00485995672440601,0.011800762110898,2.31336759790547,-1.92808994439983,TRUE,TRUE,"metaphase chromosome alignment",3.54689535100591,3.54689535100591,"opposite direction"
"GO_BP","GO:0110076","GO:0110076","GO:0110076","negative regulation of ferroptosis","negative regulation of ferroptosis",-1.71151966858533,1.82458194277817,0.104246525589561,0.0559722932803457,-0.981938410622084,1.2520268989429,FALSE,FALSE,"negative regulation of ferroptosis",-3.5361016113635,3.5361016113635,"opposite direction"
"GO_BP","GO:0071229","GO:0071229","GO:0071229","cellular response to acid chemical","cellular response to acid chemical",-1.84812371842211,1.67757547795786,0.00754988991747523,0.0401899998031937,-2.12205938063328,1.39588199593466,TRUE,TRUE,"cellular response to acid chemical",-3.52569919637997,3.52569919637997,"opposite direction"
"GO_BP","GO:0033047","GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","regulation of mitotic sister chromatid segregation",1.84620674135186,-1.67686466058386,0.0081577664871414,0.0783742143352684,2.08842873034981,-1.10582679973785,TRUE,FALSE,"regulation of mitotic sister chromatid segregation",3.52307140193572,3.52307140193572,"opposite direction"
"GO_BP","GO:0000070","GO:0000070","GO:0000070","mitotic sister chromatid segregation","mitotic sister chromatid segregation",1.70538625613528,-1.80404223898796,0.00187507199205309,0.000506908376325918,2.72698205318897,-3.295070532288,TRUE,TRUE,"mitotic sister chromatid segregation",3.50942849512324,3.50942849512324,"opposite direction"
