"database","pathway_key","pathway_id_human_KD","pathway_id_mouse_KD","pathway_name_human_KD","pathway_name_mouse_KD","NES_human_KD","NES_mouse_KD","padj_human_KD","padj_mouse_KD","signed_log10padj_human_KD","signed_log10padj_mouse_KD","significant_human_KD","significant_mouse_KD","pathway_name","delta_NES_human_minus_mouse","abs_delta_NES_human_minus_mouse","direction_pattern"
"Reactome","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","R-HSA-190840","R-MMU-190840","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",-1.88039735273384,1.98607271075239,0.0194674273359285,0.00363018354294996,-1.71069143767531,2.44007141637568,TRUE,TRUE,"Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane",-3.86647006348623,3.86647006348623,"opposite direction"
"Reactome","Gluconeogenesis","R-HSA-70263","R-MMU-70263","Gluconeogenesis","Gluconeogenesis",-1.96426273610022,1.79756550572888,0.00438770856212244,0.0429840204022832,-2.35776222659993,1.36669296630227,TRUE,TRUE,"Gluconeogenesis",-3.7618282418291,3.7618282418291,"opposite direction"
"Reactome","Cross-presentation of soluble exogenous antigens (endosomes)","R-HSA-1236978","R-MMU-1236978","Cross-presentation of soluble exogenous antigens (endosomes)","Cross-presentation of soluble exogenous antigens (endosomes)",-2.27704366093387,1.48348017979168,6.00506037821972e-05,0.272448362285023,-4.22148262160065,0.564715798340585,TRUE,FALSE,"Cross-presentation of soluble exogenous antigens (endosomes)",-3.76052384072555,3.76052384072555,"opposite direction"
"Reactome","Transport of connexons to the plasma membrane","R-HSA-190872","R-MMU-190872","Transport of connexons to the plasma membrane","Transport of connexons to the plasma membrane",-1.7528308511138,1.98607271075239,0.0255257622805653,0.00363018354294996,-1.59302127963087,2.44007141637568,TRUE,TRUE,"Transport of connexons to the plasma membrane",-3.73890356186619,3.73890356186619,"opposite direction"
"Reactome","Amplification of signal from the kinetochores","R-HSA-141424","R-MMU-141424","Amplification of signal from the kinetochores","Amplification of signal from the kinetochores",1.92026048812139,-1.66587398827837,0.0003233651264945,0.0368310977635968,3.49030681865242,-1.43378533665506,TRUE,TRUE,"Amplification of signal from the kinetochores",3.58613447639976,3.58613447639976,"opposite direction"
"Reactome","Amplification of signal from unattached kinetochores via a MAD2 inhibitory signal","R-HSA-141444","R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",1.92026048812139,-1.66587398827837,0.0003233651264945,0.0368310977635968,3.49030681865242,-1.43378533665506,TRUE,TRUE,"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",3.58613447639976,3.58613447639976,"opposite direction"
"Reactome","Metabolism of polyamines","R-HSA-351202","R-MMU-351202","Metabolism of polyamines","Metabolism of polyamines",-2.32493067514805,1.20628034186498,2.49570661479088e-05,0.538982829251286,-4.6028064698976,0.268425070212518,TRUE,FALSE,"Metabolism of polyamines",-3.53121101701303,3.53121101701303,"opposite direction"
"Reactome","Regulation of ornithine decarboxylase (ODC)","R-HSA-350562","R-MMU-350562","Regulation of ornithine decarboxylase (ODC)","Regulation of ornithine decarboxylase (ODC)",-2.34360405307854,1.18313853366364,2.5128020267419e-05,0.59719790779971,-4.59984172632204,0.22388172243501,TRUE,FALSE,"Regulation of ornithine decarboxylase (ODC)",-3.52674258674218,3.52674258674218,"opposite direction"
"Reactome","Gap junction assembly","R-HSA-190861","R-MMU-190861","Gap junction assembly","Gap junction assembly",-1.60964804609168,1.87574388491157,0.0756090175029796,0.0223778755942561,-1.12142640531573,1.65018114486236,FALSE,TRUE,"Gap junction assembly",-3.48539193100325,3.48539193100325,"opposite direction"
"Reactome","Antigen processing: Ub, ATP-independent proteasomal degradation","R-HSA-9912633","R-MMU-9912633","Antigen processing: Ub, ATP-independent proteasomal degradation","Antigen processing: Ub, ATP-independent proteasomal degradation",-1.82597897317011,1.64413587593451,0.0127493782769375,0.203327404905738,-1.8945109930715,0.691804082270825,TRUE,FALSE,"Antigen processing: Ub, ATP-independent proteasomal degradation",-3.47011484910462,3.47011484910462,"opposite direction"
