"database","significant_either","significant_both","direction_class","n_pathways","mean_delta_NES"
"GO_BP",FALSE,FALSE,"opposite direction",2029,-0.789342972857032
"GO_BP",FALSE,FALSE,"shared negative",827,-0.0791754204912517
"GO_BP",FALSE,FALSE,"shared positive",1101,-0.0622916876121038
"GO_BP",TRUE,FALSE,"opposite direction",235,-0.687701745837898
"GO_BP",TRUE,FALSE,"shared negative",65,-0.631161642559403
"GO_BP",TRUE,FALSE,"shared positive",155,-0.0743377067146345
"GO_BP",TRUE,TRUE,"opposite direction",18,0.44907638609555
"GO_BP",TRUE,TRUE,"shared negative",6,0.031694538302815
"GO_BP",TRUE,TRUE,"shared positive",17,-0.372002448259221
"Hallmark",FALSE,FALSE,"opposite direction",7,-1.64357657805704
"Hallmark",FALSE,FALSE,"shared negative",3,-0.347968514028337
"Hallmark",FALSE,FALSE,"shared positive",11,0.100222661117779
"Hallmark",TRUE,FALSE,"opposite direction",7,-1.94976833933832
"Hallmark",TRUE,FALSE,"shared negative",3,0.1377510247006
"Hallmark",TRUE,FALSE,"shared positive",11,-0.499354443901633
"Hallmark",TRUE,TRUE,"opposite direction",6,-0.871000723609268
"Hallmark",TRUE,TRUE,"shared positive",1,-0.97255022244144
