"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KO","padj_mouse_KO","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KO","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0030199","collagen fibril organization","either",0.05,"opposite direction",3.9658963559477,3.9658963559477,-1.85684442627385,2.10905192967385,0.0565859700439121,0.000345987434925343,"53867/20289/66180/100952/219151/74777/14042/16949/18214/14230/12825/12831/94216/16950/12814/12833/213945/16948/195209/12842/94352/18015/11568/239337/210719/12843/216725","12842/12843/58859/12826/12833/50527/56693/18451/17385/16949/23892/12832/12825/12827/16950/234407/237360/216725/18822/104799/16948/14230/18214/74777/66180/239337/69675/11568/19645/56429/26432/219151/94352/12306/100952/13078/53867/12814","GO:0030199","GO:0030199","GO:0030199","collagen fibril organization","collagen fibril organization","collagen fibril organization",-2.1637456371602,0.000343980524583424,3.46093967300397,-3.46346614552552,-1.24729123467419,TRUE,TRUE,FALSE,"12306/11977/56693/108153/237360/17300/18015/94216/94352/213945/12814/74777/21808/12406/12831/20289/16948/66180/14230/12825/18214/14042/56429/100952/219151/16950/11568/12842/195209/12833/16949/210719/12843/239337/216725",-0.30690121088635,3.9658963559477,-4.27279756683405,0.30690121088635,3.9658963559477,4.27279756683405,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0071359","cellular response to dsRNA","either",0.05,"opposite direction",3.66841656693189,3.66841656693189,-1.53079548522482,2.13762108170707,0.46355009380433,0.00269070929563585,"72512/18439/14799","246730/230073/71586/14799/23960/246727/142980/18148/78781/23961","GO:0071359","GO:0071359","GO:0071359","cellular response to dsRNA","cellular response to dsRNA","cellular response to dsRNA",-1.19402842416722,0.544407839104875,2.57013322089885,-0.264075629876713,-0.333903326703416,TRUE,FALSE,FALSE,"18439/14799",0.3367670610576,3.66841656693189,-3.33164950587429,0.3367670610576,3.66841656693189,3.33164950587429,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0035456","response to interferon-beta","either",0.05,"opposite direction",3.66634922083343,3.66634922083343,-0.89957220456368,2.76677701626975,0.828166768734265,7.41857142857143e-08,"15953/71701/72512/68713/16362/15165","55932/66141/15944/15959/246730/15951/54396/60440/15957/15950/381308/100040462/69550/327959/229900/16145/236312/15953/14469/23960/102639543/20846/80876/240327/226691/213002/100039796/226695/23961/71701/21822/64704/100033459/68713/240328","GO:0035456","GO:0035456","GO:0035456","response to interferon-beta","response to interferon-beta","response to interferon-beta",0.785013857723439,0.959898420494502,7.1296797174192,0.0177747229529804,-0.0818822001133871,TRUE,FALSE,FALSE,"15951/381308/114643/23961/236312/226691/15957/94088/246730/15959/21822/60440/69550/72935/216150/12314/100702/80290/16145/327959/67184",1.68458606228712,3.66634922083343,-1.98176315854631,1.68458606228712,3.66634922083343,1.98176315854631,"het opposite"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0043062","extracellular structure organization","either",0.05,"opposite direction",3.57506659168222,3.57506659168222,-1.60272307786768,1.97234351381454,0.0451519277102368,1.70501204877138e-06,"21817/100952/229534/219151/74777/14042/16949/107250/12841/15117/20848/26427/72043/12822/66214/545370/18073/18214/14230/58223/12825/12831/94216/16950/237759/229595/12814/102693/12833/268396/14268/71602/21938/224697/213945/15227/16948/195209/12305/12842/17395/107581/94352/18015/21859/12006/11568/241226/239337/17181/210719/12843/18858/18128/170441/216725/20682/241327","12842/12843/23876/58859/269959/12826/243853/14118/12833/50527/399558/56348/20356/56693/21859/18451/229534/17181/17385/58223/19288/241327/207596/107581/16949/17387/23892/17384/101489/14251/241226/12832/12825/234356/12827/16950/234407/68273/21814/237360/216725/21937/18822/14268/18793/104799/17392/16948/14230/217734/18214/74777/12837/53614/16971/21810/268396/66180/108075/239337/69675/18595/11568/53381/19645/11820/56429/18073/26432/70779/16773/17386/219151/94352/14726/23794/114249/26561/14453/12306/66214/226519/72043/20586/100952/102058/11350/15227/13078/50706/53867/12814/14114","GO:0043062","GO:0043062","GO:0043062","extracellular structure organization","extracellular structure organization","extracellular structure organization",-1.95305633037894,9.16846953696725e-06,5.76827254764132,-5.03770315365632,-1.34532370324534,TRUE,TRUE,TRUE,"67896/11785/94216/12305/19288/23876/207596/94352/213945/12814/14083/241327/74777/14453/66548/69538/21808/26561/12406/20356/545370/20848/12831/240725/14758/20289/229534/21817/20682/16948/15227/66180/224697/17395/66214/14230/67547/268396/12825/18214/14042/56429/100952/107250/18128/219151/16950/18858/269959/12822/11568/12842/26427/195209/12833/16949/210719/229595/21810/50706/107581/12006/71602/58223/72043/12843/15117/21859/17181/170441/239337/216725/241226/237759",-0.35033325251126,3.57506659168222,-3.92539984419348,0.35033325251126,3.57506659168222,3.92539984419348,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0030198","extracellular matrix organization","either",0.05,"opposite direction",3.55760660584011,3.55760660584011,-1.60341140869587,1.95419519714424,0.0515689692801224,2.38446439452533e-06,"21817/100952/229534/219151/74777/14042/16949/107250/12841/15117/20848/26427/72043/12822/66214/545370/18073/18214/14230/58223/12825/12831/94216/16950/237759/229595/12814/102693/12833/268396/14268/71602/21938/224697/213945/15227/16948/195209/12305/12842/17395/107581/94352/18015/21859/12006/11568/241226/239337/17181/210719/12843/18858/18128/170441/216725/20682/241327","12842/12843/23876/58859/269959/12826/243853/14118/12833/50527/399558/56348/20356/56693/21859/18451/229534/17181/17385/58223/19288/241327/207596/107581/16949/17387/23892/17384/101489/14251/241226/12832/12825/234356/12827/16950/234407/68273/21814/237360/216725/21937/18822/14268/18793/104799/17392/16948/14230/217734/18214/74777/12837/53614/16971/21810/268396/66180/108075/239337/69675/18595/11568/53381/19645/11820/56429/18073/26432/70779/16773/17386/219151/94352/14726/23794/114249/26561/14453/12306/66214/226519/72043/20586/100952/102058/11350/15227/13078/50706/53867/12814/14114","GO:0030198","GO:0030198","GO:0030198","extracellular matrix organization","extracellular matrix organization","extracellular matrix organization",-1.95355845654755,8.37173821270715e-06,5.62260915818571,-5.07718436066712,-1.28761154884205,TRUE,TRUE,FALSE,"67896/11785/94216/12305/19288/23876/207596/94352/213945/12814/14083/241327/74777/14453/66548/69538/21808/26561/12406/20356/545370/20848/12831/240725/14758/20289/229534/21817/20682/16948/15227/66180/224697/17395/66214/14230/67547/268396/12825/18214/14042/56429/100952/107250/18128/219151/16950/18858/269959/12822/11568/12842/26427/195209/12833/16949/210719/229595/21810/50706/107581/12006/71602/58223/72043/12843/15117/21859/17181/170441/239337/216725/241226/237759",-0.35014704785168,3.55760660584011,-3.90775365369179,0.35014704785168,3.55760660584011,3.90775365369179,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0045229","external encapsulating structure organization","either",0.05,"opposite direction",3.55760660584011,3.55760660584011,-1.60341140869587,1.95419519714424,0.0515689692801224,2.38446439452533e-06,"21817/100952/229534/219151/74777/14042/16949/107250/12841/15117/20848/26427/72043/12822/66214/545370/18073/18214/14230/58223/12825/12831/94216/16950/237759/229595/12814/102693/12833/268396/14268/71602/21938/224697/213945/15227/16948/195209/12305/12842/17395/107581/94352/18015/21859/12006/11568/241226/239337/17181/210719/12843/18858/18128/170441/216725/20682/241327","12842/12843/23876/58859/269959/12826/243853/14118/12833/50527/399558/56348/20356/56693/21859/18451/229534/17181/17385/58223/19288/241327/207596/107581/16949/17387/23892/17384/101489/14251/241226/12832/12825/234356/12827/16950/234407/68273/21814/237360/216725/21937/18822/14268/18793/104799/17392/16948/14230/217734/18214/74777/12837/53614/16971/21810/268396/66180/108075/239337/69675/18595/11568/53381/19645/11820/56429/18073/26432/70779/16773/17386/219151/94352/14726/23794/114249/26561/14453/12306/66214/226519/72043/20586/100952/102058/11350/15227/13078/50706/53867/12814/14114","GO:0045229","GO:0045229","GO:0045229","external encapsulating structure organization","external encapsulating structure organization","external encapsulating structure organization",-1.95355845654755,8.37173821270715e-06,5.62260915818571,-5.07718436066712,-1.28761154884205,TRUE,TRUE,FALSE,"67896/11785/94216/12305/19288/23876/207596/94352/213945/12814/14083/241327/74777/14453/66548/69538/21808/26561/12406/20356/545370/20848/12831/240725/14758/20289/229534/21817/20682/16948/15227/66180/224697/17395/66214/14230/67547/268396/12825/18214/14042/56429/100952/107250/18128/219151/16950/18858/269959/12822/11568/12842/26427/195209/12833/16949/210719/229595/21810/50706/107581/12006/71602/58223/72043/12843/15117/21859/17181/170441/239337/216725/241226/237759",-0.35014704785168,3.55760660584011,-3.90775365369179,0.35014704785168,3.55760660584011,3.90775365369179,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0085029","extracellular matrix assembly","either",0.05,"opposite direction",3.51685239366119,3.51685239366119,-1.72626672850445,1.79058566515674,0.183862836509615,0.0427950853852533,"21812/17127/69538/14118/21803/207596/100952/15117/66214/14230/12825/12833/16948/12843/18128/20682","12843/23876/58859/14118/12833/207596/12825/21814/16948/14230/12837/108075/69675","GO:0085029","GO:0085029","GO:0085029","extracellular matrix assembly","extracellular matrix assembly","extracellular matrix assembly",-1.6606792759524,0.109547122310166,1.36860610277696,-0.960399026421217,-0.735506044170517,TRUE,FALSE,FALSE,"23876/207596/69538/14758/20682/16948/66214/14230/12825/100952/18128/12833/12843/15117",0.0655874525520499,3.51685239366119,-3.45126494110914,0.0655874525520499,3.51685239366119,3.45126494110914,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0035458","cellular response to interferon-beta","either",0.05,"opposite direction",3.47483228925933,3.47483228925933,-0.768225072130611,2.70660721712872,0.924391179640828,7.41857142857143e-08,"15953/71701/72512/16362/15165","55932/15944/15959/246730/15951/54396/60440/15957/15950/381308/100040462/229900/16145/236312/15953/14469/23960/102639543/20846/80876/240327/226691/100039796/226695/23961/71701/21822/64704/100033459","GO:0035458","GO:0035458","GO:0035458","cellular response to interferon-beta","cellular response to interferon-beta","cellular response to interferon-beta",0.945273564691366,0.793027852650494,7.1296797174192,0.100711559164122,-0.0341442071258495,TRUE,FALSE,FALSE,"15951/381308/114643/23961/236312/226691/15957/94088/246730/15959/21822/60440/72935/216150/12314/100702/16145/67184/15950/229900/12334",1.71349863682198,3.47483228925933,-1.76133365243735,1.71349863682198,3.47483228925933,1.76133365243735,"het opposite"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0097401","synaptic vesicle lumen acidification","either",0.05,"opposite direction",-3.46924933588532,3.46924933588532,1.2642467051156,-2.20500263076972,0.590757896706905,0.000674279017852924,"12725/11964/70495/108664/66144/11966/66290","11984/11973/11966/11964/66335/73834/11972/70495","GO:0097401","GO:0097401","GO:0097401","synaptic vesicle lumen acidification","synaptic vesicle lumen acidification","synaptic vesicle lumen acidification",1.5311224546298,0.259398706603676,-3.17116035444537,0.586032193696375,0.228590464408564,TRUE,FALSE,FALSE,"12725/66144/70495/11966/11972/108664/11973/66290",0.2668757495142,-3.46924933588532,3.73612508539952,0.2668757495142,3.46924933588532,3.73612508539952,"KD opposite"
"mouse KD vs control vs mouse het vs WT","GO_BP","GO:0048846","axon extension involved in axon guidance","either",0.05,"opposite direction",3.4590873246459,3.4590873246459,-1.37347903197123,2.08560829267467,0.52356968428397,0.0106623115539623,"20563/20356/22418/20315/20346/20564/18846","20563/20564/18846/20356/11658/20346/18186/319757/20315/269878","GO:0048846","GO:0048846","GO:0048846","axon extension involved in axon guidance","axon extension involved in axon guidance","axon extension involved in axon guidance",-1.96474454336566,0.0149325573359564,1.97214863149125,-1.82586580903415,-0.281025507899255,TRUE,TRUE,FALSE,"20187/18186/20563/20356/11658/18846/20564/22418/20315",-0.59126551139443,3.4590873246459,-4.05035283604033,0.59126551139443,3.4590873246459,4.05035283604033,"mixed or incomplete"
