"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KO","padj_mouse_KO","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KO","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KD vs control vs mouse het vs WT","Hallmark","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","either",0.05,"opposite direction",4.27995394615854,4.27995394615854,-1.71992724948419,2.56002669667435,0.0048695452462971,1.60562491770254e-16,"12931;16009;13612;30794;16010;18858;12843;17181;18596;13601;68588;21859;107581;14451;13132;12842;13732;12834;20649;20720;16948;14268;12552;12814;16852;12835;12831;12825;20564;70350;20692;12111;14119;20315;21857;22004;22418;16949;13003;17313;18542;18129;20750;21817;50706;24051;65112;22003;53867;19736;21803;67305;14118;22341;14314;12816;16398;235106;14733;20563;16476;21810;71665;12827;218952;107528;74488;76477;16971;18113;12836;21923;20254;83554","11475;20692;12552;14119;12842;20563;12843;14451;20564;12563;98932;12111;20750;23876;58859;235106;16010;20720;12826;14118;12835;12834;21859;14314;21923;18933;21838;17181;14609;19288;13003;12931;21857;107581;16949;18542;17387;23892;22240;16009;12832;12825;17313;12827;234407;16419;21814;192176;22004;12816;18822;22352;14268;18793;12332;17392;15902;16948;56213;20254;107589;20315;13601;16971;18113;21810;27279;21826;14733;19035;13732","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.15933188340939,9.52358046944001e-09,15.7943559006497,-8.02119974428566,-2.31251159448257,TRUE,TRUE,TRUE,"17313;13601;12931;18596;17181;21859;12843;14451;68588;30794;16010;107581;12111;50706;21810;12834;13612;14314;12552;16949;21857;12842;20750;20649;13732;18858;20720;20315;22418;13132;16852;13003;235106;12835;12825;16009;16419;18787;20564;65112;20692;18542;16948;22003;21817;12831;12406;12332;67305;18129;21838;12814;20563;12816;23876;19288;218952;14119;21826;14102;16402;107528",-0.4394046339252,4.27995394615854,-4.71935858008374,0.4394046339252,4.27995394615854,4.71935858008374,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","Hallmark","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","either",0.05,"opposite direction",3.23818744826488,3.23818744826488,-0.748075651851764,2.49011179641312,0.991489361702128,3.82117116715309e-14,"319974;192786;21930;16362;14528;16651;12494;53620;20306;109032;20848;192656;27056;71701;16421;18035;17069;22320;16149;71939;217069;21928;20304;19188;12370;20454","99899;19039;55932;54123;672511;24110;66141;15959;209086;547253;100038882;67775;230073;243771;58203;69550;327959;50908;70110;246728;17768;71586;22169;16391;17069;246727;109552;22375;19171;64685;20846;19186;80861;24105;20847;234311;19225;12363;80876;21928;16913;19106;17858;217069;19188;71701;18578;21354;100121;109032;56791;72075;12702;58185;231655;17874;22271;434341;20306;192786;50523;78388;12369;107607;18783;60533;56045;20821;66988;16912;15976;19167;66552","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",1.40906587979068,0.0393187985935482,13.4178035079056,1.40539976073217,-0.00371194124571716,TRUE,TRUE,FALSE,"14190;19225;18712;15958;71664;71586;231655;18783;209086;22670;65972;16168;60533;56421;18578;19106;12367;50523;246728;15945;268749;243771;246696;229003;110168;59027;56791;20821;17979;100121;74735;64685;67138;12575;12363;234311;56045;66552;246727;52668;17858;58185;27056;98999;30934;21929;21354;547253;15959;67775;11861;16169;16912;16391",2.15714153164244,3.23818744826488,-1.08104591662244,2.15714153164244,3.23818744826488,1.08104591662244,"het opposite"
"mouse KD vs control vs mouse het vs WT","Hallmark","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","either",0.05,"opposite direction",-3.06673354263044,3.06673354263044,1.40649883537394,-1.6602347072565,0.132765422816375,0.00630261077547386,"12725;17113;20619;21985;14420;18484;107767;20655;26413;11765;20479;15893;208449;11773;20844;108664;53330;11777;16004;107338;74006;110651;16784;76332;77929;271457;11487;22088;53331","16004;69938;11605;54214;67300;14420;16784;12757;107767;24045;56418;211673;108123;11977;271457;11765;107338;21985;56382;53331;19063;20333;12390;16561;72736;22365;108664;70349","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",0.888841598677786,0.802691238847448,-2.2004795123704,0.0954514772013426,0.876915017101561,TRUE,FALSE,FALSE,"12725;20619;21985;17113;16004;11765;11777;20844;20479;67804;76332;107338;208449;16561;108664;271457;107767;69938;18484",-0.517657236696154,-3.06673354263044,2.54907630593429,0.517657236696154,3.06673354263044,2.54907630593429,"KD opposite"
"mouse KD vs control vs mouse het vs WT","Hallmark","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","either",0.05,"opposite direction",3.05434872284329,3.05434872284329,-1.50650931477912,1.54783940806417,0.038594014779207,0.00886755255243098,"18104;16010;26874;11529;11669;13110;110351;16480;109672;110213;71093;14528;246277;59083;18107;11429;50997;18984;228608;66397;233016;51793;22021;69071;11761;12359;110172;22436;14854;223455;68021;12349;74134;66082;66841;11430;56376;14629;18618;11655;29858;29811;64898","66375;22436;16010;14873;11432;11529;110208;16177;19171;20514;108037;14782;74114;51798;15452;71093;52585;12499;68943;12035;21937;59083;74142;15902;225913;15926;228608;246277;11532;78038;22021;14629;108156;22271;18618;68021;19286;14854;18081;19128;69071;18104;56376;14538","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",-1.6062193401912,0.0284789862069273,2.05219622905696,-1.54547547474634,-1.4134800411808,TRUE,TRUE,TRUE,"13110;11529;16010;68021;16480;59083;26874;71093;11669;18984;246277;110213;110172;22021;51798;18787;11429;56376;223455;66841;14865;18104;233016;69071;18618;109672;21808;11761;22436;74134;51793;53328;16177;110351;18107;67442;14528;12035;14102;66397;67880;50500;11655;29811;29858;66082;78038",-0.09971002541208,3.05434872284329,-3.15405874825537,0.09971002541208,3.05434872284329,3.15405874825537,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","Hallmark","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","either",0.05,"opposite direction",3.00853524360094,3.00853524360094,-1.14843525574058,1.86009998786036,0.446489190637842,0.00404860215988134,"20198;14182;12825;21857;13003;20750;50706;14314;24059","20750;14314;13003;18186;21857;12832;12825;21824;20855;12444;20198;11820;22339;50706;22325;14083","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",-1.60425751125658,0.0523606079788677,2.39269489753564,-1.28099531933415,-0.35018905078028,TRUE,FALSE,FALSE,"20198;50706;14314;21857;20750;13003;12825;14083;14182;16976;11820;18186",-0.455822255516,3.00853524360094,-3.46435749911694,0.455822255516,3.00853524360094,3.46435749911694,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","Hallmark","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","either",0.05,"opposite direction",-2.93769733771324,2.93769733771324,1.30664062835174,-1.6310567093615,0.209203036053131,0.00886755255243098,"20744;18415;15925;17349;72350;13000;21888;22335;20394;93759;231600;17354;14056;56088","18415;20878;18005;17776;68961;24084;12534;235559;12235;54137;12672;12794;215387;14056;56324;18551;19087;12326;22115;11861;72350","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",1.26056655568932,0.232384823848238,-2.05219622905696,0.633792237444253,0.67943201707267,TRUE,FALSE,FALSE,"20744;18415;15925;21888;72350;13000;17349;56324;17354;71838;22335;109880;20394;93759;11861;231600;17776;53885;12235",-0.04607407266242,-2.93769733771324,2.89162326505082,0.04607407266242,2.93769733771324,2.89162326505082,"KD opposite"
"mouse KD vs control vs mouse het vs WT","Hallmark","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","either",0.05,"opposite direction",2.83006081097286,2.83006081097286,-1.03614757327264,1.79391323770022,0.54720608688538,5.07446164129282e-05,"50786;16009;20682;54371;76429;13649;110695;109672;23989;11541;17449;217119;56248;11876;12831;69976;18452;14635;15529;83398;77559;27376;13003;14042;22021","107869;66171;14635;50527;53618;11603;74747;14381;110695;18451;13003;53418;54371;14936;16009;20856;70186;22359;24105;83398;15529;57875;11639;11674;18822;16828;15926;20855;21983;18194;50797;18484;22166;17436;21810;54128;76524;14043;268373;14733;16164;76898;22021;57357;14629;16765;67005;23897;11876;26432;110006;21351;15937;107029;66646;22339;117592;78688;21991;100910;22122;12337;110611;16563;23959;208211;236900;104458;69080;11541;14042","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",-1.31772316889052,0.119010266779378,4.29461002604881,-0.924415571268821,-0.261849080355868,TRUE,FALSE,FALSE,"54371;76429;83398;11876;21810;18194;74747;18452;13003;50786;14042;77559;22021;16009;15529;78688;23908;105785;57875;20682;12831;53418;27376;93692;15366;11541;109672;217119;14635;107869;22122;23989;16164;93683;14583;14936;17295;21351;13638",-0.28157559561788,2.83006081097286,-3.11163640659074,0.28157559561788,2.83006081097286,3.11163640659074,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","Hallmark","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","either",0.05,"opposite direction",2.79397697333847,2.79397697333847,-1.72615294712746,1.06782402621101,0.0414980986918141,0.4375,"18128;13543;16842;12006;21414;14534;14362;103806;22059;20602;15184;12387","14362;19664;22059;19165;59287;12444;14534;20602;103806;12005","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",-1.59682068977766,0.0523606079788677,0.359021942641668,-1.28099531933415,-1.3819718007956,FALSE,FALSE,TRUE,"21414;16842;14362;12006;18128;12387;27373;14534;15184;27401;13543;17869",0.1293322573498,2.79397697333847,-2.66464471598867,0.1293322573498,2.79397697333847,2.66464471598867,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","Hallmark","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","either",0.05,"opposite direction",2.7734587565736,2.7734587565736,-1.20407215069563,1.56938660587797,0.343607921707637,0.0126495017569778,"11529;13808;52538;11370;17449;16852;52683;11564;11429;12894;14104;67460;17025;70335;68021;12349;14645;66841;11430;170789;98314;114664;12896;12040;110460;18194;13177;11671;56451;73724;67442;20520;208715;109857;109778;15488;227095;66945","20917;12353;11529;14194;18263;51798;19186;19270;11409;14874;12167;67460;70335;76238;12972;11674;16828;15926;15108;231086;18194;14104;113868;11792;171210;93747;11370;17436;21743;56791;23986;15929;17025;433256;52538;66357;18597;13808;68021;22276;19286","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",-1.44572585762937,0.0523606079788677,1.89792658029501,-1.28099531933415,-0.463936832284754,TRUE,FALSE,FALSE,"11529;13808;68021;18194;52683;12167;16852;208715;11370;52538;51798;14104;11564;11429;110460;66841;67460;14645;15107;15490;67442;12894;14874;12896;74754;17252;23986;70335;12349;66945;12972;17449;17448;17025;98314;319554;56690;78920;75624;11430",-0.24165370693374,2.7734587565736,-3.01511246350734,0.24165370693374,2.7734587565736,3.01511246350734,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","Hallmark","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","either",0.05,"opposite direction",2.74697652340496,2.74697652340496,-1.32597570364479,1.42100081976017,0.132765422816375,0.041911154325645,"216616;19274;18858;12843;19663;18596;18750;15901;67916;13132;12842;57810;11541;12814;99633;218038;12825;57265;15529;50768;328365;20975;20181;15117;20238","12842;12843;23876;15901;14609;18186;109552;217692;19220;12286;14007;22359;12832;12825;17250;99633;21814;67916;18798;268977;15529;11987;57810;229615;12394;13866;218038;252875;19088;15893;18754;17755;20975;56376;12306;226519;21813;23938;12814;226751;22325;11541;11746;14360;64009;17389;21788;16416;18596;19252","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",-1.42648663517515,0.0771503935266728,1.37767037757336,-1.11266185435746,-0.876915017101561,TRUE,FALSE,FALSE,"67916;18596;15117;12843;99633;18750;12842;236915;18858;13132;19274;12825;15901;57265;18787;15529;20975;56376;19088;231070;11541;20893;18129;12814;23876;14007;235574;20747;14745;20238;17295;17869;109552;18186;67972;14815;12389;13866;12306;71175;20181;12832;17755;328365;116870",-0.10051093153036,2.74697652340496,-2.84748745493532,0.10051093153036,2.74697652340496,2.84748745493532,"mixed or incomplete"
