"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KO","padj_mouse_KO","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KO","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04974","Protein digestion and absorption","either",0.05,"opposite direction",3.61578068131284,3.61578068131284,-1.98126749916708,1.63451318214576,0.0123357977916289,0.0635242463138027,"67760/12841/16529/12822/17380/12825/12831/94216/237759/12835/12814/12833/213945/12834/12842/107581/215335/12843","12842/12843/12826/12833/12835/12834/20514/107581/12832/12825/12827/17254/12816/67760/12837","mmu04974","mmu04974","mmu04974","Protein digestion and absorption","Protein digestion and absorption","Protein digestion and absorption",-2.20790164013021,5.83488381775484e-05,1.19706047895289,-4.23396778705825,-1.90883275818899,FALSE,TRUE,TRUE,"67760/94216/12816/213945/12814/12831/77018/16529/12825/12835/72472/12822/12842/12833/12834/107581/17380/12843/237759",-0.22663414096313,3.61578068131284,-3.84241482227597,0.22663414096313,3.61578068131284,3.84241482227597,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04512","ECM-receptor interaction","either",0.05,"opposite direction",3.411480475531,3.411480475531,-1.57421818896271,1.83726228656829,0.313537796908782,0.00888295848257154,"192897/16399/16421/15530/15366/20750/21827/16775/109700/12841/64051/94216/12835/12833/14268/12834/12842/320910/241226/12843","12842/16775/12843/20750/12826/12833/16423/12835/12834/11603/21923/241226/12827/16419/21827/16403/14268","mmu04512","mmu04512","mmu04512","ECM-receptor interaction","ECM-receptor interaction","ECM-receptor interaction",-1.72725117571094,0.0545720552457574,2.05144236770441,-1.26302968988401,-0.503710097578191,TRUE,FALSE,FALSE,"16398/114249/16402/21826/192897/94216/319480/21827/15366/64051/16775/16419/109700/12835/20750/12842/12833/12834/12843/320910/241226",-0.15303298674823,3.411480475531,-3.56451346227923,0.15303298674823,3.411480475531,3.56451346227923,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00480","Glutathione metabolism","either",0.05,"opposite direction",3.36322360181785,3.36322360181785,-1.25265345009034,2.11057015172751,0.571772939346812,0.000190912469124801,"56615/382985/14768/67305/14629/211666/14860/14854/14863/68312/75475/207182/110175/14862","20135/14873/14381/18263/110208/69065/14782/211666/14870/15926/20810/269951/382985/68312/75475/14629/14768/14854/625249/14869/14630/66988/11758/14863/14775/68044","mmu00480","mmu00480","mmu00480","Glutathione metabolism","Glutathione metabolism","Glutathione metabolism",-1.26336203568748,0.413923750887994,3.71916570547094,-0.383079653126524,-0.242776402616463,TRUE,FALSE,FALSE,"14860/14381/382985/56615/14866/211666/67305/14865/110175/14863/68312/75475/14862",-0.0107085855971401,3.36322360181785,-3.37393218741499,0.0107085855971401,3.36322360181785,3.37393218741499,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00982","Drug metabolism - cytochrome P450","either",0.05,"opposite direction",3.35970215155211,3.35970215155211,-1.60038284291523,1.75931930863688,0.384105493033712,0.0465041676056482,"211666/14860/67689/11761/14863/68312/394432/11529/14862","14873/11529/211666/14870/11532/68312/14869/394435/67689/14863","mmu00982","mmu00982","mmu00982","Drug metabolism - cytochrome P450","Drug metabolism - cytochrome P450","Drug metabolism - cytochrome P450",-1.74589276300089,0.0621306413761628,1.33250812480831,-1.20669416313096,-0.415549482011674,TRUE,FALSE,FALSE,"14860/56615/14866/67689/211666/11761/14865/14863/68312/394432/14862/11529",-0.14550992008566,3.35970215155211,-3.50521207163777,0.14550992008566,3.35970215155211,3.50521207163777,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00980","Metabolism of xenobiotics by cytochrome P450","either",0.05,"opposite direction",3.35128237657689,3.35128237657689,-1.44180699547644,1.90947538110045,0.456832450242664,0.00678746809258312,"110198/74134/211666/14860/67689/14863/68312/394432/11529/14862","14873/11529/211666/14870/11532/68312/14869/110198/394435/13078/67689/14863","mmu00980","mmu00980","mmu00980","Metabolism of xenobiotics by cytochrome P450","Metabolism of xenobiotics by cytochrome P450","Metabolism of xenobiotics by cytochrome P450",-1.5808766637393,0.173081307381893,2.16829219898654,-0.761749832986848,-0.340243054366456,TRUE,FALSE,FALSE,"56615/14866/67689/74134/211666/14865/14863/68312/394432/14862/11529",-0.13906966826286,3.35128237657689,-3.49035204483975,0.13906966826286,3.35128237657689,3.49035204483975,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00670","One carbon pool by folate","either",0.05,"opposite direction",3.32161846218836,3.32161846218836,-1.45884430348905,1.86277415869931,0.456832450242664,0.0196983229147922,"100039707/108037/107885/216188/270685/22171/12411/108645/20425/107747/110695/192166","107869/270685/17768/192166/232087/110695/108037/107747/216188/108147/229709/269378/108156/22171/20425/14450","mmu00670","mmu00670","mmu00670","One carbon pool by folate","One carbon pool by folate","One carbon pool by folate",-1.47520349731552,0.259685453091361,1.70557074743515,-0.585552377744961,-0.340243054366456,TRUE,FALSE,FALSE,"110695/108645/13382/229709/107885/108037/108156/22171/100039707/20425/216188/12411/107869/270685/107747/192166",-0.01635919382647,3.32161846218836,-3.33797765601483,0.01635919382647,3.32161846218836,3.33797765601483,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu04820","Cytoskeleton in muscle cells","either",0.05,"opposite direction",3.30914234639077,3.30914234639077,-1.74925143768359,1.55989090870718,0.0123357977916289,0.0251450833460895,"11465/20648/53867/76441/22003/192897/16399/56376/16421/15530/24051/212073/21827/71409/13003/70435/109700/12841/22004/77579/18073/14119/15529/12111/17886/12825/18810/12831/94216/12835/12814/12833/14268/20742/20649/16651/12834/12842/320910/13808/16480/22379/241226/70549/12843/30794/109676/13008","14119/12842/12843/98932/12111/12826/14118/12833/12835/12834/11603/22793/13003/213019/241226/12832/12825/12827/16419/14201/21827/22004/15529/16403/22352/14268/70435/223697/21826/319480/11461/109676/18073/13808/13726/24052/16773/54132/14115","mmu04820","mmu04820","mmu04820","Cytoskeleton in muscle cells","Cytoskeleton in muscle cells","Cytoskeleton in muscle cells",-1.80609201639356,0.00583538077140338,1.59954692052479,-2.23393080002582,-1.90883275818899,TRUE,TRUE,TRUE,"11735/16402/21826/192897/14119/94216/319480/212073/12814/18810/11465/17886/21827/118449/12831/22003/20648/70435/56376/15529/16419/109700/12825/12835/13003/70549/20649/12842/12833/12834/16480/12111/16651/22379/13808/30794/12843/320910/13008/241226/109676",-0.0568405787099702,3.30914234639077,-3.36598292510074,0.0568405787099702,3.30914234639077,3.36598292510074,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu00280","Valine, leucine and isoleucine degradation","either",0.05,"opposite direction",3.29664996948751,3.29664996948751,-1.32120883526615,1.97544113422136,0.541958372753075,0.0040174797101635,"12039/78038/67041/15356/78894/66904/56357/227095/208715/97212/66948/73724/11671/110460/12040/11761/52538/110695/11669","110695/11409/12035/66885/66904/15108/231086/113868/13171/257633/93747/78038/110446/78894/12039/52538/17850/110821","mmu00280","mmu00280","mmu00280","Valine, leucine and isoleucine degradation","Valine, leucine and isoleucine degradation","Valine, leucine and isoleucine degradation",-1.3719768133592,0.307154322403119,2.39604630791528,-0.512643368729198,-0.266034069878427,TRUE,FALSE,FALSE,"227095/110695/13382/11364/113868/110821/78894/12036/66948/235674/78038/66904/12035/257633/15107/11761/67041/110460/52538/208715/11669",-0.0507679780930501,3.29664996948751,-3.34741794758056,0.0507679780930501,3.29664996948751,3.34741794758056,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu01240","Biosynthesis of cofactors","either",0.05,"opposite direction",3.20718662761468,3.20718662761468,-1.36695168550413,1.84023494211055,0.447914567801733,0.00339217932242779,"12035/227683/11565/229949/14287/20751/211347/71562/17434/77697/58810/11636/12850/57028/108037/69080/103711/55936/27973/11671/56316/77974/71743/270685/29858/11655/18102/70383/14629/217707/216558/14854/56738/17025/108645/20425/14151/18103/74080/11564/394432/56248/14528/216134/11669/18104","270685/192185/17768/22169/232087/11566/77697/56520/226518/108037/71883/229949/12035/107272/11639/55936/107508/71743/69719/54128/66588/17025/69568/14629/20751/108156/230027/56316/66812/110006/22276/19286/14854/18104/68646/20425/14287/15288/14630/319945/394435","mmu01240","mmu01240","mmu01240","Biosynthesis of cofactors","Biosynthesis of cofactors","Biosynthesis of cofactors",-1.49843230202503,0.125896628081188,2.46952119748774,-0.899985901546975,-0.348804812498333,TRUE,FALSE,FALSE,"69080/22247/268566/58810/20751/11656/108037/14151/217707/18103/15288/71883/108156/14854/12036/17025/56738/110006/71743/70383/77697/18102/12850/17252/29858/11655/20425/56316/27973/55936/57028/216134/230027/12035/14528/18104/270685/11565/11564/74080/229949/11669/394432/11636",-0.1314806165209,3.20718662761468,-3.33866724413558,0.1314806165209,3.20718662761468,3.33866724413558,"mixed or incomplete"
"mouse KD vs control vs mouse het vs WT","KEGG","mmu01232","Nucleotide metabolism","either",0.05,"opposite direction",3.20560558034858,3.20560558034858,-1.37739366830459,1.82821191204399,0.449197860962567,0.00419620992955412,"21915/22436/12496/22171/14544/21877/103850/18103/11564/209558/667034/56248/76025/50773/14923/68106/66355","22436/22169/20135/11566/56520/320685/23918/15452/229949/12499/14923/11639/55936/50773/66588/382985/27369/68106/22271/76952/22171/66566/76025/80914/68556/23959/109674/11717/12497/103850/66422/11534/51797/54369/75686/11821/23917/11486/66355/21877/105446/110074","mmu01232","mmu01232","mmu01232","Nucleotide metabolism","Nucleotide metabolism","Nucleotide metabolism",-1.46927344838205,0.173081307381893,2.37714279288879,-0.761749832986848,-0.347562320474617,TRUE,FALSE,FALSE,"210808/18103/76654/22171/18102/12496/27369/382985/55936/21915/22436/50773/667034/103850/11565/11564/68106/14923/66355/21877/14544/229949/209558/76025/11636/18605",-0.09187978007746,3.20560558034858,-3.29748536042604,0.09187978007746,3.20560558034858,3.29748536042604,"mixed or incomplete"
