"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_het","padj_mouse_het","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_het","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-1474244","Extracellular matrix organization","either",0.05,"opposite direction",-4.3480055420902,4.3480055420902,2.2833353024561,-2.0646702396341,9.7e-08,5.29313319062718e-06,"11475/14119/16775/12843/14789/12111/20750/23876/58859/12826/14118/12833/16423/12834/17150/11603/56693/21923/17385/58223/21857/107581/16949/18542/17387/17384/12380/11492/241226/12832/12825/12827/16950/234407/16419/12333/210530/216725/268977/13528/16998/15529/16403/13038/12816/18822/14268/17392/16948/56213/18214/12837/108075/69675/19035/13039/11461/11820/18073/24052/26432/14115/17386/12338/94352/16997/12339/23794/268935","11490/11820/192897/14119/268935/12336/94216/12305/23876/12816/94352/213945/12814/11465/11492/21808/12406/16998/12831/77018/16948/18542/16775/15529/17395/16419/109700/12825/18214/100952/18453/16950/14789/16997/20649/12822/20750/246707/12833/21857/16949/18750/12834/12111/107581/16651/58223/26365/12843/320910/17150/216725/241226/237759","R-MMU-1474244","R-MMU-1474244","R-MMU-1474244","Extracellular matrix organization","Extracellular matrix organization","Extracellular matrix organization",-1.76917472725639,0.0118107858346578,7.01322826573375,-5.27628717775884,-1.92772120549389,TRUE,TRUE,TRUE,"16398/12816/268935/11490/14118/50817/11465/77018/21803/53867/192897/16399/16421/24051/11492/72947/100952/20750/18542/16775/16949/109700/17150/12841/21857/12822/18453/18073/83964/14119/18214/15529/12111/58223/12825/12831/94216/16950/237759/12814/12833/14268/213945/16948/20649/12305/16651/12834/17395/107581/94352/320910/18750/241226/26365/12843/216725/16997/246707",-0.29549551237771,4.05251002971249,-4.3480055420902,0.29549551237771,4.05251002971249,4.3480055420902,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-1650814","Collagen biosynthesis and modifying enzymes","either",0.05,"opposite direction",-4.1177198288087,4.1177198288087,1.93894623571067,-2.17877359309803,0.00545034000170317,0.00110601297398558,"12843/14789/12826/12833/12834/56693/107581/18542/12832/12825/12827/234407/210530/216725/12816/18822","94216/12816/213945/12814/12406/12831/77018/18542/12825/18453/14789/12822/12833/12834/107581/12843/216725/237759","R-MMU-1650814","R-MMU-1650814","R-MMU-1650814","Collagen biosynthesis and modifying enzymes","Collagen biosynthesis and modifying enzymes","Collagen biosynthesis and modifying enzymes",-1.75677461913028,0.123593119421993,2.26357640483203,-2.95623977854913,-0.908005706271778,TRUE,TRUE,FALSE,"18822/12826/12406/12836/76477/12827/14789/12816/77018/53867/18542/12841/12822/18453/12825/12831/94216/237759/12814/12833/213945/12834/107581/12843/216725",-0.42199897396775,3.69572085484095,-4.1177198288087,0.42199897396775,3.69572085484095,4.1177198288087,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-1474290","Collagen formation","either",0.05,"opposite direction",-4.10170946695987,4.10170946695987,2.00461998208852,-2.09708948487135,0.00105920190021089,0.00162402969262075,"12843/14789/12826/12833/12834/56693/107581/16949/18542/12832/12825/12827/16950/234407/210530/216725/12816/18822/17392/16948/12837/69675/19035/13039/26432/17386/94352","94216/12816/94352/213945/12814/12406/12831/77018/16948/18542/17395/12825/18453/16950/14789/12822/12833/16949/12834/107581/12843/216725/237759","R-MMU-1474290","R-MMU-1474290","R-MMU-1474290","Collagen formation","Collagen formation","Collagen formation",-1.79696806740604,0.0580392622928482,2.97502124877828,-2.78940603468631,-1.23627811629256,TRUE,TRUE,FALSE,"18542/16949/12841/12822/18453/12825/12831/94216/16950/237759/12814/12833/213945/16948/12834/17395/107581/94352/12843/216725",-0.30012141746531,3.80158804949456,-4.10170946695987,0.30012141746531,3.80158804949456,4.10170946695987,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-1566948","Elastic fibre formation","either",0.05,"opposite direction",-3.76452231289185,3.76452231289185,1.97001094127151,-1.79451137162034,0.0063066155120564,0.101731123038774,"14119/23876/58859/14118/17150/16949/241226/16950/16419/268977/16998/14268/16948/108075/14115/94352/16997","16402/14119/23876/94352/21808/16998/16948/16419/100952/16950/16997/246707/16949/320910/17150/241226","R-MMU-1566948","R-MMU-1566948","R-MMU-1566948","Elastic fibre formation","Elastic fibre formation","Elastic fibre formation",-1.56369100900449,0.31831327362539,2.2002036453159,-0.992546161175598,-0.497145250973508,TRUE,FALSE,FALSE,"100952/16949/17150/14119/16950/14268/16948/94352/320910/241226/16997/246707",-0.23082036261585,3.533701950276,-3.76452231289185,0.23082036261585,3.533701950276,3.76452231289185,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-2129379","Molecules associated with elastic fibres","either",0.05,"opposite direction",-3.7487101184609,3.7487101184609,1.89431685116762,-1.85439326729328,0.0218067804694193,0.129100013794171,"14119/23876/58859/14118/17150/241226/16419/268977/16998/14268/108075/14115/16997","14119/23876/21808/16998/16419/100952/16997/246707/320910/17150/241226","R-MMU-2129379","R-MMU-2129379","R-MMU-2129379","Molecules associated with elastic fibres","Molecules associated with elastic fibres","Molecules associated with elastic fibres",-1.54349325215512,0.321857099914036,1.661408448478,-0.889073711329769,-0.49233690623525,TRUE,FALSE,FALSE,"14118/21803/100952/17150/14119/14268/320910/241226/16997/246707",-0.31090001513816,3.43781010332274,-3.7487101184609,0.31090001513816,3.43781010332274,3.7487101184609,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-77387","Insulin receptor recycling","either",0.05,"opposite direction",3.70146342077483,3.70146342077483,-2.20361113973236,1.49785228104247,0.000461233988630515,0.501343265029717,"21871/11975/11974/108664/66144/11984/19246/11973/114143/11966/11964/66335/13033/73834/11972","66144/16337/11966/27060/11972/11974/114143/108664/11973","R-MMU-77387","R-MMU-77387","R-MMU-77387","Insulin receptor recycling","Insulin receptor recycling","Insulin receptor recycling",0.938728409743844,0.91042855269198,-3.33607869675724,0.299864814930372,0.0407541304721579,TRUE,FALSE,FALSE,"11964/16337/108664/66144/11966/66290/11974/11973/114143/11972/54411",0.559123871298626,-3.1423395494762,3.70146342077483,0.559123871298626,3.1423395494762,3.70146342077483,"KD opposite"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-1222556","ROS and RNS production in phagocytes","either",0.05,"opposite direction",3.68725017217677,3.68725017217677,-2.18448453964609,1.50276563253068,0.000629127851932323,0.564222646462236,"21871/11975/17969/74096/11974/108664/66144/11984/11973/114143/11966/11964/66335/73834/11972","66144/11966/27060/11972/11974/114143/108664/11973/66290","R-MMU-1222556","R-MMU-1222556","R-MMU-1222556","ROS and RNS production in phagocytes","ROS and RNS production in phagocytes","ROS and RNS production in phagocytes",0.834712127447024,0.967682949411155,-3.20126108786734,0.248549486354704,0.0142669111581368,TRUE,FALSE,FALSE,"11964/108664/66144/11966/66290/11974",0.668053505083656,-3.01919666709311,3.68725017217677,0.668053505083656,3.01919666709311,3.68725017217677,"KD opposite"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-1474228","Degradation of the extracellular matrix","either",0.05,"opposite direction",-3.64138661211328,3.64138661211328,2.05980959607518,-1.5815770160381,0.000421210500235661,0.21135673059398,"14119/20750/12826/14118/12833/12834/17385/58223/21857/17387/17384/12380/12832/12825/12827/12333/13038/12816/14268/17392/56213/12837/13039/18073/17386/12338/12339/23794/268935/12336/12337/53867/12814/11490","11490/14119/268935/12336/94216/12816/12814/12831/77018/17395/12825/12822/20750/12833/21857/12834/58223","R-MMU-1474228","R-MMU-1474228","R-MMU-1474228","Degradation of the extracellular matrix","Degradation of the extracellular matrix","Degradation of the extracellular matrix",-1.45514729710857,0.415287589125459,3.37550081094912,-0.674983917632535,-0.381651047591946,TRUE,FALSE,FALSE,"12816/268935/11490/14118/50817/77018/53867/72947/20750/21857/12822/18073/14119/58223/12825/12831/94216/12814/12833/14268/12834/17395",-0.12642971892953,3.51495689318375,-3.64138661211328,0.12642971892953,3.51495689318375,3.64138661211328,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-419037","NCAM1 interactions","either",0.05,"opposite direction",-3.62154870319365,3.62154870319365,1.8564007146857,-1.76514798850795,0.0231770015780794,0.210126437296097,"12826/12833/12834/12832/12825/12827","12831/12825/12833/12834/17967","R-MMU-419037","R-MMU-419037","R-MMU-419037","NCAM1 interactions","NCAM1 interactions","NCAM1 interactions",-1.73914531971528,0.151385241191451,1.63494274966336,-0.677519302903435,-0.819916462891078,TRUE,FALSE,FALSE,"53867/12841/12825/12831/12833/17967/12834",-0.02600266879267,3.59554603440098,-3.62154870319365,0.02600266879267,3.59554603440098,3.62154870319365,"mixed or incomplete"
"mouse KO vs WT vs mouse KD vs control","Reactome","R-MMU-216083","Integrin cell surface interactions","either",0.05,"opposite direction",-3.60173464613078,3.60173464613078,2.00226904080482,-1.59946560532596,0.00209237134542873,0.257425181954474,"20750/12826/14118/12833/16423/12834/21923/107581/241226/12832/12825/12827/16419/16403/14268","12831/16419/109700/12825/12822/20750/12833/12834/107581/320910/241226","R-MMU-216083","R-MMU-216083","R-MMU-216083","Integrin cell surface interactions","Integrin cell surface interactions","Integrin cell surface interactions",-1.4983217939706,0.270038509415553,2.67936123617251,-0.589348971616005,-0.568574297936909,TRUE,FALSE,FALSE,"16398/14118/53867/16399/16421/20750/109700/12841/12822/83964/12825/12831/94216/12833/14268/12834/107581/320910/241226",-0.10114381135536,3.50059083477542,-3.60173464613078,0.10114381135536,3.50059083477542,3.60173464613078,"mixed or incomplete"
