"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KD","padj_mouse_KD","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KD","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0014910","regulation of smooth muscle cell migration","either",0.05,"opposite direction",-2.66180127385437,2.66180127385437,1.01938046542766,-1.64242080842671,0.732200969322634,0.0407907230851802,"50490/214968/18792/19241/71785/20195/23789/11504/21898/20779/18590/14066/18124/12043/14107/17246/19664","11977/211770/12389/16398/238871/18186/17869/14745/13653/67299/14673/20563/22433/14083/17886/16195/20851/108058/22003/18442/18844/18787/238130/16009/18214/17260/72508/20660/11421/50706/22402/15117/18596","GO:0014910","GO:0014910","GO:0014910","regulation of smooth muscle cell migration","regulation of smooth muscle cell migration","regulation of smooth muscle cell migration",1.3119235389987,0.360748332763338,0.442795667367817,-1.38943859600381,0.135369700514318,FALSE,TRUE,FALSE,"20563/18442/18186/19664/16009/68813/238130/14673/19241/67299/14870/24088/14739/319757/238871/23789/11792/18214/16971/11421/208727/21898/108058/18024/14869/20779/13078/50706/71785/14083/16416/18596/22433/18844/57320/20304/76709",-2.66180127385437,0.29254307357104,-2.95434434742541,2.66180127385437,0.29254307357104,2.95434434742541,"KO opposite"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0086009","membrane repolarization","either",0.05,"opposite direction",-2.53431486857125,2.53431486857125,0.721423811804743,-1.81289105676651,0.942816150850584,0.0452594434626168,"13383/11931/14609","12389/16518/70357/238161/20266/20648/12293/109676","GO:0086009","GO:0086009","GO:0086009","membrane repolarization","membrane repolarization","membrane repolarization",-0.989844340333178,0.739081890358845,-0.13130743906036,-1.34429079069504,0.0255729864306922,FALSE,TRUE,FALSE,"20266/70729/20648/12389/16511/83814/22627/11931",-2.53431486857125,-1.71126815213792,-0.823046716433332,2.53431486857125,1.71126815213792,0.823046716433332,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0099625","ventricular cardiac muscle cell membrane repolarization","either",0.05,"shared negative",-1.03759929952388,1.03759929952388,-0.848460035893524,-1.8860593354174,0.854533108599515,0.0345176124887192,"109676","20266/20648/12293/109676","GO:0099625","GO:0099625","GO:0099625","ventricular cardiac muscle cell membrane repolarization","ventricular cardiac muscle cell membrane repolarization","ventricular cardiac muscle cell membrane repolarization",0.868266319703231,0.821764627659574,0.0852525566040554,-1.46195925116174,-0.0682711060228034,FALSE,TRUE,FALSE,"14609/22388/109676",-1.03759929952388,1.71672635559676,-2.75432565512063,1.03759929952388,1.71672635559676,2.75432565512063,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0099623","regulation of cardiac muscle cell membrane repolarization","either",0.05,"shared negative",-1.00184382623461,1.00184382623461,-1.01411428425012,-2.01595811048473,0.744292636081889,0.00654185654400723,"100986/16511/20266/20648/109676","20266/20648/12293/109676","GO:0099623","GO:0099623","GO:0099623","regulation of cardiac muscle cell membrane repolarization","regulation of cardiac muscle cell membrane repolarization","regulation of cardiac muscle cell membrane repolarization",1.10329501511425,0.669832630717926,0.174033699740981,-2.18429898372512,-0.128256277830406,FALSE,TRUE,FALSE,"14609/192176/22388/109676",-1.00184382623461,2.11740929936437,-3.11925312559898,1.00184382623461,2.11740929936437,3.11925312559898,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0033490","cholesterol biosynthetic process via lathosterol","either",0.05,"shared negative",-0.940338816298267,0.940338816298267,-0.975422539477183,-1.91576135577545,0.774637302576056,0.019530259082209,"16987/13595/192156/208715/13360/17855/18194/110460/14137/20775","74754/13360/13595/235293/15490/15357/192156/16987/110460/17855/14137/68603/110196/208715/18194/20775","GO:0033490","GO:0033490","GO:0033490","cholesterol biosynthetic process via lathosterol","cholesterol biosynthetic process via lathosterol","cholesterol biosynthetic process via lathosterol",0.835630346167314,0.868491794475954,0.0612342804185507,-1.70929199546138,-0.110901593442276,FALSE,TRUE,FALSE,"18194/110196/17855/14137/68865/74754",-0.940338816298267,1.8110528856445,-2.75139170194276,0.940338816298267,1.8110528856445,2.75139170194276,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0060307","regulation of ventricular cardiac muscle cell membrane repolarization","either",0.05,"shared negative",-0.89858859328509,0.89858859328509,-1.06238821931149,-1.96097681259658,0.733166160081054,0.0126456024438945,"100986/16511/20266/20648/109676","20266/20648/12293/109676","GO:0060307","GO:0060307","GO:0060307","regulation of ventricular cardiac muscle cell membrane repolarization","regulation of ventricular cardiac muscle cell membrane repolarization","regulation of ventricular cardiac muscle cell membrane repolarization",0.930606750128553,0.791103421087214,0.101766737398057,-1.89806047578366,-0.134797588485088,FALSE,TRUE,FALSE,"14609/22388/109676",-0.89858859328509,1.99299496944004,-2.89158356272513,0.89858859328509,1.99299496944004,2.89158356272513,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0033489","cholesterol biosynthetic process via desmosterol","either",0.05,"shared negative",-0.86954487723776,0.86954487723776,-1.14953084754749,-2.01907572478525,0.671115414475004,0.0103907417783647,"16987/13595/192156/208715/13360/17855/18194/110460/14137/20775","74754/13360/13595/235293/15490/15357/192156/16987/110460/17855/14137/68603/110196/208715/18194/20775","GO:0033489","GO:0033489","GO:0033489","cholesterol biosynthetic process via desmosterol","cholesterol biosynthetic process via desmosterol","cholesterol biosynthetic process via desmosterol",0.811005780504322,0.884441615359007,0.0533308308880169,-1.98335344775067,-0.173202786001835,FALSE,TRUE,FALSE,"18194/110196/17855/14137/68865/74754/13595/98386/68603/12642/208715",-0.86954487723776,1.96053662805181,-2.83008150528957,0.86954487723776,1.96053662805181,2.83008150528957,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0140374","antiviral innate immune response","either",0.05,"shared positive",0.83740453831409,0.83740453831409,1.03038261414771,1.8677871524618,0.708953254714109,0.0134808865991751,"15958/338467/73945/207521/252870/19697/93762/74841/66799/70796/224703/66369","15958/73945/71586/231655/224703/19106/246728/15945/19697/338467/114643/23961/93762/22034/70796/20821/66799/76952/15957/94088/252870/74841/246727/26943/246730/15959/23962/667370","GO:0140374","GO:0140374","GO:0140374","antiviral innate immune response","antiviral innate immune response","antiviral innate immune response",1.99889705053267,0.00165489276048687,2.78123014390505,1.87028154456127,0.149382399357116,TRUE,TRUE,FALSE,"23962/24110/15959/246730/230073/15957/58203/246728/71586/26943/667370/23960/246727/80861/80287/19106/217069/23961",0.83740453831409,0.96851443638496,-0.13110989807087,0.83740453831409,0.96851443638496,0.13110989807087,"all positive"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0016126","sterol biosynthetic process","either",0.05,"shared negative",-0.823407779254276,0.823407779254276,-0.968647550547934,-1.79205532980221,0.784949860493384,0.0235367787719361,"16987/13595/13121/20280/192156/208715/13360/16211/231070/17855/18194/110460/14137/223455/20775/105787/20787/20788/234564/109754","74754/13360/14381/13595/58520/235293/15490/15357/192156/20787/16987/13121/231070/105787/110460/223455/17855/14137/68603/110196/20788/208715/234564/18194/20775/109754","GO:0016126","GO:0016126","GO:0016126","sterol biosynthetic process","sterol biosynthetic process","sterol biosynthetic process",1.19223999139628,0.535616880983154,0.271145743828995,-1.62825297468287,-0.105158083390409,FALSE,TRUE,FALSE,"56453/14381/72017/20787/11651/235623/18194/231474/110196/244373/58520/17855/109754",-0.823407779254276,2.16088754194421,-2.98429532119849,0.823407779254276,2.16088754194421,2.98429532119849,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0036196","zymosterol metabolic process","either",0.05,"shared negative",-0.81905939148584,0.81905939148584,-1.34517344587854,-2.16423283736438,0.564655907741649,0.000467893163618693,"16987/192156/208715/17855/18194/110460/14137/20775","15490/15357/192156/16987/110460/17855/14137/68603/110196/208715/18194/20775","GO:0036196","GO:0036196","GO:0036196","zymosterol metabolic process","zymosterol metabolic process","zymosterol metabolic process",1.08730399007832,0.675476611025016,0.170389684212092,-3.32985330023284,-0.248216123671163,FALSE,TRUE,FALSE,"18194/110196/17855/14137",-0.81905939148584,2.43247743595686,-3.2515368274427,0.81905939148584,2.43247743595686,3.2515368274427,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0036197","zymosterol biosynthetic process","either",0.05,"shared negative",-0.81905939148584,0.81905939148584,-1.34517344587854,-2.16423283736438,0.564655907741649,0.000467893163618693,"16987/192156/208715/17855/18194/110460/14137/20775","15490/15357/192156/16987/110460/17855/14137/68603/110196/208715/18194/20775","GO:0036197","GO:0036197","GO:0036197","zymosterol biosynthetic process","zymosterol biosynthetic process","zymosterol biosynthetic process",1.08730399007832,0.675476611025016,0.170389684212092,-3.32985330023284,-0.248216123671163,FALSE,TRUE,FALSE,"18194/110196/17855/14137",-0.81905939148584,2.43247743595686,-3.2515368274427,0.81905939148584,2.43247743595686,3.2515368274427,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0014812","muscle cell migration","either",0.05,"shared negative",-0.812191989076799,0.812191989076799,-0.909008359232211,-1.72120034830901,0.842283166148269,0.0158003875463432,"57784/20563/20304/12928/16398/18605/18591/22433/20474/14673/68813/22003/14674/50706/17260/11421/238130/18133/15117/18844/18214/13653/20660/17886/20851/12305/22402/72508/18596/16009","11977/18791/211770/12389/16398/238871/18186/17869/17295/14745/13653/67299/14673/12305/20563/22433/14083/17886/16195/20851/16952/108058/22003/18442/18844/18787/238130/16009/67220/18214/17260/18133/72508/20660/11421/50706/18605/22402/15117/18596","GO:0014812","GO:0014812","GO:0014812","muscle cell migration","muscle cell migration","muscle cell migration",1.28376254162201,0.367590251794924,0.43463601428214,-1.80133226069278,-0.0745418790211211,FALSE,TRUE,FALSE,"20563/18442/18186/19664/16009/68813/238130/216198/14673/67771/19241/67299/14870/24088/14739/319757/238871/16952/23789/11792/18214/16971/57342/11421/18791/208727/21898/108058/18024/14869",-0.812191989076799,2.19277090085422,-3.00496288993102,0.812191989076799,2.19277090085422,3.00496288993102,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0070977","bone maturation","either",0.05,"shared negative",-0.81083710150431,0.81083710150431,-1.17913517025271,-1.98997227175702,0.646020962425542,0.010602778692041,"71982/13595/108153/76566/18605/105722/235611/237928/233781/21827/20190/14042/233651/239337","108153/13595/329628/233651/20190/21827/235611/237928/233781/76566/105722/14042/18605/239337","GO:0070977","GO:0070977","GO:0070977","bone maturation","bone maturation","bone maturation",0.904859311525104,0.801671612398062,0.0960034947201298,-1.97458030336956,-0.189753389562137,FALSE,TRUE,FALSE,"23892/21827/239337/329628/235611/71982/14042/233781/12156/11474",-0.81083710150431,2.08399448177781,-2.89483158328212,0.81083710150431,2.08399448177781,2.89483158328212,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0048799","animal organ maturation","either",0.05,"shared negative",-0.80934686820402,0.80934686820402,-1.22479368598281,-2.03414055418683,0.626516080799576,0.00550657495726987,"71982/13595/108153/76566/18605/105722/14462/235611/237928/233781/21827/20190/14042/233651/239337","108153/13595/329628/233651/20190/14462/21827/235611/237928/233781/76566/105722/14042/18605/239337","GO:0048799","GO:0048799","GO:0048799","animal organ maturation","animal organ maturation","animal organ maturation",0.945417726814641,0.781695474538724,0.106962402292018,-2.25911844464389,-0.203067777482452,FALSE,TRUE,FALSE,"23892/21827/239337/329628/235611/71982/14042/233781/14462/12156/11474",-0.80934686820402,2.17021141279745,-2.97955828100147,0.80934686820402,2.17021141279745,2.97955828100147,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0060306","regulation of membrane repolarization","either",0.05,"shared negative",-0.77946190603684,0.77946190603684,-1.15783203701759,-1.93729394305443,0.671115414475004,0.0190470722982557,"16518/100986/83814/16511/20266/20648/22627/238161/109676","12389/16518/238161/20266/20648/12293/109676","GO:0060306","GO:0060306","GO:0060306","regulation of membrane repolarization","regulation of membrane repolarization","regulation of membrane repolarization",0.844860562546337,0.858707214996879,0.0661548880734837,-1.72017176972203,-0.173202786001835,FALSE,TRUE,FALSE,"14609/192176/22388/109676/16518/432442",-0.77946190603684,2.00269259956393,-2.78215450560077,0.77946190603684,2.00269259956393,2.78215450560077,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:0006695","cholesterol biosynthetic process","either",0.05,"shared negative",-0.77727376701892,0.77727376701892,-1.00110220995808,-1.778375976977,0.746126230457441,0.0391669014872904,"16987/13595/13121/20280/192156/208715/13360/16211/231070/17855/18194/110460/14137/223455/20775/105787/20787/20788/234564/109754","74754/13360/14381/13595/235293/15490/15357/192156/20787/16987/13121/231070/105787/110460/223455/17855/14137/68603/110196/20788/208715/234564/18194/20775/109754","GO:0006695","GO:0006695","GO:0006695","cholesterol biosynthetic process","cholesterol biosynthetic process","cholesterol biosynthetic process",1.03782206745087,0.693695689156156,0.158831004334994,-1.40708078434181,-0.127187691892615,FALSE,TRUE,FALSE,"56453/14381/20787/11651/235623/18194/231474/110196/244373/17855/109754",-0.77727376701892,2.03892427740895,-2.81619804442787,0.77727376701892,2.03892427740895,2.81619804442787,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","GO_BP","GO:1902653","secondary alcohol biosynthetic process","either",0.05,"shared negative",-0.77727376701892,0.77727376701892,-1.00110220995808,-1.778375976977,0.746126230457441,0.0391669014872904,"16987/13595/13121/20280/192156/208715/13360/16211/231070/17855/18194/110460/14137/223455/20775/105787/20787/20788/234564/109754","74754/13360/14381/13595/235293/15490/15357/192156/20787/16987/13121/231070/105787/110460/223455/17855/14137/68603/110196/20788/208715/234564/18194/20775/109754","GO:1902653","GO:1902653","GO:1902653","secondary alcohol biosynthetic process","secondary alcohol biosynthetic process","secondary alcohol biosynthetic process",1.03782206745087,0.693695689156156,0.158831004334994,-1.40708078434181,-0.127187691892615,FALSE,TRUE,FALSE,"56453/14381/20787/11651/235623/18194/231474/110196/244373/17855/109754",-0.77727376701892,2.03892427740895,-2.81619804442787,0.77727376701892,2.03892427740895,2.81619804442787,"mixed or incomplete"
