"comparison","database","pathway_key","pathway_name","filter_mode_used","fdr_cutoff_used","direction_class","delta_NES","abs_delta_NES","NES_x","NES_y","padj_x","padj_y","leading_edge_x","leading_edge_y","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KD","padj_mouse_KD","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KD","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"mouse KO vs WT vs mouse het vs WT","Reactome","R-MMU-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","either",0.05,"shared positive",-0.76260717602849,0.76260717602849,1.79542180990598,1.03281463387749,0.0479801256524487,0.994351793325878,"14109/20042/20088/67427/76808/57294/22121/14852/67248/20085/20103/208643/20091/20115/100503670/270106/75617/22186/68028/66475/16898/27050/20102/66481/269261/20090/20005/19981/19989/16785/66480/54127/19934/267019/19933/68092/110954/19982/19988/67115/67891","269261/270106/14109/66481/20088/76808/100503670/20044/16898/66480/20005/22186/20042/67427/20084/19704/67097/19989/67025/20104/75617/267019/54127/225363/67248/20115/19988/19981/100043813/19934/68028/68193/27050/16785/57294/66475","R-MMU-975956","R-MMU-975956","R-MMU-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",2.08946682607426,8.84385490713248e-05,4.05335839109882,0.00245993867056008,1.31893861901734,TRUE,FALSE,TRUE,"27207/27050/27370/20091/68028/18458/26961/20085/67427/20103/27367/19934/16898/268449/68092/76808/270106/56040/14852/67115/269261/16785/208643/20102/67281/19981/67891/11837/100043813/20090/19944/68052/20116/19982/20104/67097/100502825/22121/19943/20084/100503670/75617/67025/66480/19942/19988/20115/76846/54127/20005/57294",-0.76260717602849,0.29404501616828,-1.05665219219677,0.76260717602849,0.29404501616828,1.05665219219677,"all positive"
"mouse KO vs WT vs mouse het vs WT","Reactome","R-MMU-191273","Cholesterol biosynthesis","either",0.05,"shared negative",-0.75053614630946,0.75053614630946,-1.22664479969546,-1.97718094600492,0.71711706043351,0.0170324194965145,"16987/13595/13121/192156/208715/13360/17855/18194/110460/14137/20775/20787/20788","74754/13360/13595/235293/15490/15357/192156/20787/16987/13121/110460/17855/14137/68603/110196/20788/208715/18194/20775","R-MMU-191273","R-MMU-191273","R-MMU-191273","Cholesterol biosynthesis","Cholesterol biosynthesis","Cholesterol biosynthesis",0.991738613867884,0.82300197181091,0.0845991242706321,-1.76872365507033,-0.144409945377243,FALSE,TRUE,FALSE,"20787/18194/110196/17855/14137/74411/68865/74754/14593/13595/98386",-0.75053614630946,2.21838341356334,-2.9689195598728,0.75053614630946,2.21838341356334,2.9689195598728,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","Reactome","R-MMU-9954714","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA","either",0.05,"shared positive",-0.72153707390149,0.72153707390149,1.79067120918756,1.06913413528607,0.0479801256524487,0.936978031192353,"14109/20042/20088/67427/76808/57294/22121/24015/67248/20085/20103/20091/20115/100503670/270106/75617/22186/68028/66475/16898/27050/20102/66481/269261/20090/20005/19981/19989/16785/66480/54127/19934/267019/19933/110954/19982/19988/67115/67891","269261/270106/14109/66481/24015/20088/76808/100503670/20044/16898/66480/20005/22186/20042/67427/20084/67097/19989/67025/20104/75617/267019/54127/67248/20115/19988/19981/100043813/19934/68028/68193/27050/16785/57294/66475","R-MMU-9954714","R-MMU-9954714","R-MMU-9954714","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA",2.18363062788743,3.61302941783365e-05,4.44212850232602,0.0282705916562822,1.31893861901734,TRUE,FALSE,TRUE,"27207/27050/27370/20091/68028/26961/20085/67427/20103/27367/19934/16898/268449/76808/270106/56040/67115/269261/16785/20102/67281/19981/67891/11837/100043813/20090/19944/68052/20116/19982/20104/67097/100502825/22121/19943/20084/100503670/75617/67025/66480/19942/19988/20115/76846/54127/20005/57294/110954/19989",-0.72153707390149,0.39295941869987,-1.11449649260136,0.72153707390149,0.39295941869987,1.11449649260136,"all positive"
"mouse KO vs WT vs mouse het vs WT","Reactome","R-MMU-202733","Cell surface interactions at the vascular wall","either",0.05,"shared positive",-0.45012901363024,0.45012901363024,1.82669565711434,1.3765666434841,0.0479801256524487,0.457816661855131,"13052/16456/19128/270152/21824/11931/18706/16412/22612/20779/16400/20340/14360/330836/20539/20501/50915/17254/12505/11601/16423/67374/11933/19124/16410/17096/16653","13052/16456/67374/19124/21824/20779/330836/20340/20539/17096/22612/16400/16818/19128/16410/16412/16653/20662/16401","R-MMU-202733","R-MMU-202733","R-MMU-202733","Cell surface interactions at the vascular wall","Cell surface interactions at the vascular wall","Cell surface interactions at the vascular wall",1.36103865608893,0.333597883597884,0.476776713264143,0.339308405588817,1.31893861901734,FALSE,FALSE,TRUE,"26570/20539/16423/66053/17254/21824/16403/14268/20340/268373/15461/20416/19128/18706/20779/11600/50915/18709/16818/14360/16416/80879/26365/18803",-0.45012901363024,-0.46565700102541,0.0155279873951699,0.45012901363024,0.46565700102541,0.0155279873951699,"all positive"
"mouse KO vs WT vs mouse het vs WT","Reactome","R-MMU-1650814","Collagen biosynthesis and modifying enzymes","either",0.05,"shared negative",-0.42199897396775,0.42199897396775,-1.75677461913028,-2.17877359309803,0.123593119421993,0.00110601297398558,"18822/12826/12406/12836/76477/12827/14789/12816/77018/53867/18542/12841/12822/18453/12825/12831/94216/237759/12814/12833/213945/12834/107581/12843/216725","94216/12816/213945/12814/12406/12831/77018/18542/12825/18453/14789/12822/12833/12834/107581/12843/216725/237759","R-MMU-1650814","R-MMU-1650814","R-MMU-1650814","Collagen biosynthesis and modifying enzymes","Collagen biosynthesis and modifying enzymes","Collagen biosynthesis and modifying enzymes",1.93894623571067,0.00545034000170317,2.26357640483203,-2.95623977854913,-0.908005706271778,TRUE,TRUE,FALSE,"12843/14789/12826/12833/12834/56693/107581/18542/12832/12825/12827/234407/210530/216725/12816/18822",-0.42199897396775,3.69572085484095,-4.1177198288087,0.42199897396775,3.69572085484095,4.1177198288087,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","Reactome","R-MMU-447115","Interleukin-12 family signaling","either",0.05,"shared negative",-0.34491182520385,0.34491182520385,-1.58703492403553,-1.93194674923938,0.292920504494945,0.0413573406583092,"54721/12330/16161/20848/18453/12931","16161/12330/16195/20848/18453/12931","R-MMU-447115","R-MMU-447115","R-MMU-447115","Interleukin-12 family signaling","Interleukin-12 family signaling","Interleukin-12 family signaling",0.916953137719472,0.899352061149903,0.0460702656817271,-1.38344739483078,-0.533250226552181,FALSE,TRUE,FALSE,"12931/16452/54721/20848/18453",-0.34491182520385,2.503988061755,-2.84889988695885,0.34491182520385,2.503988061755,2.84889988695885,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","Reactome","R-MMU-1474290","Collagen formation","either",0.05,"shared negative",-0.30012141746531,0.30012141746531,-1.79696806740604,-2.09708948487135,0.0580392622928482,0.00162402969262075,"18542/16949/12841/12822/18453/12825/12831/94216/16950/237759/12814/12833/213945/16948/12834/17395/107581/94352/12843/216725","94216/12816/94352/213945/12814/12406/12831/77018/16948/18542/17395/12825/18453/16950/14789/12822/12833/16949/12834/107581/12843/216725/237759","R-MMU-1474290","R-MMU-1474290","R-MMU-1474290","Collagen formation","Collagen formation","Collagen formation",2.00461998208852,0.00105920190021089,2.97502124877828,-2.78940603468631,-1.23627811629256,TRUE,TRUE,FALSE,"12843/14789/12826/12833/12834/56693/107581/16949/18542/12832/12825/12827/16950/234407/210530/216725/12816/18822/17392/16948/12837/69675/19035/13039/26432/17386/94352",-0.30012141746531,3.80158804949456,-4.10170946695987,0.30012141746531,3.80158804949456,4.10170946695987,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","Reactome","R-MMU-1474244","Extracellular matrix organization","either",0.05,"shared negative",-0.29549551237771,0.29549551237771,-1.76917472725639,-2.0646702396341,0.0118107858346578,5.29313319062718e-06,"16398/12816/268935/11490/14118/50817/11465/77018/21803/53867/192897/16399/16421/24051/11492/72947/100952/20750/18542/16775/16949/109700/17150/12841/21857/12822/18453/18073/83964/14119/18214/15529/12111/58223/12825/12831/94216/16950/237759/12814/12833/14268/213945/16948/20649/12305/16651/12834/17395/107581/94352/320910/18750/241226/26365/12843/216725/16997/246707","11490/11820/192897/14119/268935/12336/94216/12305/23876/12816/94352/213945/12814/11465/11492/21808/12406/16998/12831/77018/16948/18542/16775/15529/17395/16419/109700/12825/18214/100952/18453/16950/14789/16997/20649/12822/20750/246707/12833/21857/16949/18750/12834/12111/107581/16651/58223/26365/12843/320910/17150/216725/241226/237759","R-MMU-1474244","R-MMU-1474244","R-MMU-1474244","Extracellular matrix organization","Extracellular matrix organization","Extracellular matrix organization",2.2833353024561,9.7e-08,7.01322826573375,-5.27628717775884,-1.92772120549389,TRUE,TRUE,TRUE,"11475/14119/16775/12843/14789/12111/20750/23876/58859/12826/14118/12833/16423/12834/17150/11603/56693/21923/17385/58223/21857/107581/16949/18542/17387/17384/12380/11492/241226/12832/12825/12827/16950/234407/16419/12333/210530/216725/268977/13528/16998/15529/16403/13038/12816/18822/14268/17392/16948/56213/18214/12837/108075/69675/19035/13039/11461/11820/18073/24052/26432/14115/17386/12338/94352/16997/12339/23794/268935",-0.29549551237771,4.05251002971249,-4.3480055420902,0.29549551237771,4.05251002971249,4.3480055420902,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","Reactome","R-MMU-8948216","Collagen chain trimerization","either",0.05,"shared negative",-0.2530745375109,0.2530745375109,-1.82789948772713,-2.08097402523803,0.0974304341139589,0.00571033907505963,"12816/77018/53867/12841/12822/12825/12831/237759/12814/12833/213945/12834/107581","12816/213945/12814/12831/77018/12825/12822/12833/12834/107581/237759","R-MMU-8948216","R-MMU-8948216","R-MMU-8948216","Collagen chain trimerization","Collagen chain trimerization","Collagen chain trimerization",1.19868271722678,0.629621552010635,0.200920414449666,-2.24333810295289,-1.01130536239038,FALSE,TRUE,FALSE,"12833/12834/107581/12832/12825/12816/12837",-0.2530745375109,3.02658220495391,-3.27965674246481,0.2530745375109,3.02658220495391,3.27965674246481,"mixed or incomplete"
"mouse KO vs WT vs mouse het vs WT","Reactome","R-MMU-211945","Phase I - Functionalization of compounds","either",0.05,"shared negative",0.18915870574544,0.18915870574544,-1.98278511899448,-1.79362641324904,0.0118107858346578,0.101731123038774,"74134/68021/14149/20181/228608/11864/11622/13110/11669/56448/109754/11529/13123/19223","13121/19223/11864/11669/11622/13123/68021/56448/109754/11529/13110","R-MMU-211945","R-MMU-211945","R-MMU-211945","Phase I - Functionalization of compounds","Phase I - Functionalization of compounds","Phase I - Functionalization of compounds",1.07655106620815,0.723492962056304,0.140565689223558,-0.992546161175598,-1.92772120549389,FALSE,FALSE,TRUE,"11529/11864/19224/228608/11532/109754/68021/13123/18105/13078/19223",0.18915870574544,3.05933618520263,-2.87017747945719,0.18915870574544,3.05933618520263,2.87017747945719,"mixed or incomplete"
