"database","pathway_key","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KD","NES_mouse_KO","NES_mouse_het","padj_mouse_KD","padj_mouse_KO","padj_mouse_het","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KD","leading_edge_mouse_KO","leading_edge_mouse_het","pathway_name","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"KEGG","mmu04514","mmu04514","mmu04514","mmu04514","Cell adhesion molecule (CAM) interaction","Cell adhesion molecule (CAM) interaction","Cell adhesion molecule (CAM) interaction",1.04437242246349,-1.19838970760309,1.53210459177519,0.582351093897205,0.442456268221574,0.384105493033712,0.234815104406571,-0.354129647923485,0.415549482011674,FALSE,FALSE,FALSE,"15040/11658/13003/12490/241226/15529/16403/53321/20340","320840/171486/50723/11658/54167/102657/15529/53321/239250/19274/13003/242122/17967/75409/320910/241226","13052/18007/16456/52118/12490/270152/20970/80883/19294/16412/20340","Cell adhesion molecule (CAM) interaction",-2.73049429937828,-0.4877321693117,-2.24276213006658,2.73049429937828,0.4877321693117,2.24276213006658,"KO opposite"
"KEGG","mmu04720","mmu04720","mmu04720","mmu04720","Long-term potentiation","Long-term potentiation","Long-term potentiation",1.55466489097964,-1.51728414658198,1.16190644508058,0.0829640934405931,0.194800558277512,0.598958101429271,1.08110982804134,-0.710409802814203,0.222603556499655,FALSE,FALSE,FALSE,"26396/20112/14799/19056/18798/11836/14682/19057/18795/12288/26395/15461/18176/108058/109905/26417/11911","18751/19056/12323/14814/19057/11911/26396/11836/19058/11514/12325/328572/14811/26417/19055/12315/18749/108058/18750/14799","16439/19045/18176/19046/18798/26395/14682/26413/109905/18797/215449/18795/12914/110651","Long-term potentiation",-2.67919059166256,0.39275844589906,-3.07194903756162,2.67919059166256,0.39275844589906,3.07194903756162,"KO opposite"
"KEGG","mmu04080","mmu04080","mmu04080","mmu04080","Neuroactive ligand-receptor interaction","Neuroactive ligand-receptor interaction","Neuroactive ligand-receptor interaction",1.23478302495993,-1.41541885626738,1.21535920521258,0.305805977462028,0.224197608558842,0.579268292682927,0.514554029867443,-0.649369024190813,0.23712024275885,FALSE,FALSE,FALSE,"78134/12266/11535/18442/14799/228139/19220/18438/12257/14600/14739/54598/72075/14806/223780/11550/13610","14802/53328/14811/11541/69071/11548/94045/18442/12257/12266/18619/108073/18439/21833/13610/19222/14658/78134/13609/12672/13617/14799","14063/11443/11609/11535/67168/14765/13614/13618/15558/15551/12062/14062/381677/12267/53623/11551/18166","Neuroactive ligand-receptor interaction",-2.63077806147996,0.0194238197473502,-2.65020188122731,2.63077806147996,0.0194238197473502,2.65020188122731,"KO opposite"
"KEGG","mmu04972","mmu04972","mmu04972","mmu04972","Pancreatic secretion","Pancreatic secretion","Pancreatic secretion",0.667237064527372,-1.22040038705581,1.3811927345934,0.983232881213229,0.448426573426573,0.541958372753075,0.00734360622953216,-0.34830865934519,0.266034069878427,FALSE,FALSE,FALSE,"18798/14682/233979/53313/66350/18795/104111/109905","11513/66350/18751/233979/12349/67972/19340/11515/11514/11512/20535/104111/104110/18750/12494","16439/22063/17274/66350/11931/18798/14682/53869/109905/18797/215449/18795/11513/11933","Pancreatic secretion",-2.60159312164921,-0.713955670066028,-1.88763745158318,2.60159312164921,0.713955670066028,1.88763745158318,"KO opposite"
"KEGG","mmu04261","mmu04261","mmu04261","mmu04261","Adrenergic signaling in cardiomyocytes","Adrenergic signaling in cardiomyocytes","Adrenergic signaling in cardiomyocytes",0.659923427286412,-1.11613824178993,1.41363280558949,0.992378048780488,0.535567474454841,0.384105493033712,0.00332285080746826,-0.271185805994808,0.415549482011674,FALSE,FALSE,FALSE,"12915/18798/11651/22004/14682/235542/53313/18795/12288/11550/104111/108058/26417/16526/11911","67972/11515/19052/11514/12325/26417/12295/20266/12315/19094/11512/11548/18749/108058/22003/12293/104111/104110/26427/18750/29857","11609/81904/326618/231991/11931/19053/19045/12916/19046/73086/18798/16526/14682/225849/26413/18797/12043/18795/52432/20541/11513/11933/235542/12912/23797/59069/21956/12314/11928/320207/51792/12313/26416","Adrenergic signaling in cardiomyocytes",-2.52977104737942,-0.753709378303078,-1.77606166907634,2.52977104737942,0.753709378303078,1.77606166907634,"KO opposite"
"KEGG","mmu04350","mmu04350","mmu04350","mmu04350","TGF-beta signaling pathway","TGF-beta signaling pathway","TGF-beta signaling pathway",1.1420681480753,-1.38079810495252,1.138088411502,0.42094861660079,0.243505784278008,0.60686119873817,0.375770913401062,-0.613490718021485,0.216910629378217,FALSE,FALSE,FALSE,"14118/15901/15903/207596/23892/434215/12167/21815/268977/15216/15902/75788/218441/13559/13732","434215/66313/15216/19052/17869/17129/11479/328572/75788/207596/26417/56438/21808/20185/55994/17130/21809/15901/12167/13732/17965/72508/15904/15903","18007/12156/21815/23892/17125/16323/104394/68010/19053/21825/20482/12159/21781/26413/18741","TGF-beta signaling pathway",-2.51888651645452,0.00397973657330009,-2.52286625302782,2.51888651645452,0.00397973657330009,2.52286625302782,"KO opposite"
"KEGG","mmu04540","mmu04540","mmu04540","mmu04540","Gap junction","Gap junction","Gap junction",1.53456302399999,-1.3412933625366,1.17116381129812,0.117272481180313,0.298862115127175,0.598958101429271,0.930803886210594,-0.524529134254815,0.222603556499655,FALSE,FALSE,FALSE,"19092/26396/22154/14609/22142/67951/22143/18798/227613/14682/22146/22152/18795/26395/15461/18595/18176/104111/26417/20779/23938/14672","53857/11515/11514/14745/14784/104318/26417/22142/11512/18749/19092/104111/54635/22151/104110/73710/18750/18596","16439/71785/234889/15558/18176/20779/14609/18798/18590/26395/14682/26413/20663/18797","Gap junction",-2.51245717383472,0.36339921270187,-2.87585638653659,2.51245717383472,0.36339921270187,2.87585638653659,"KO opposite"
"KEGG","mmu00900","mmu00900","mmu00900","mmu00900","Terpenoid backbone biosynthesis","Terpenoid backbone biosynthesis","Terpenoid backbone biosynthesis",0.886100475714446,-1.37887034599818,1.11300890243027,0.750742291587362,0.336246449639502,0.710920177383592,0.124509118320802,-0.473342292595821,0.148179159422069,FALSE,FALSE,FALSE,"14272/110196/110446/17855/110606/19671/66881/14593/56075","15357/192156/110460/17855/68603/110196/208715","19671/71365/52014/66881/14272/57295/14593","Terpenoid backbone biosynthesis",-2.49187924842845,-0.226908426715824,-2.26497082171263,2.49187924842845,0.226908426715824,2.26497082171263,"KO opposite"
"KEGG","mmu04360","mmu04360","mmu04360","mmu04360","Axon guidance","Axon guidance","Axon guidance",-1.05890671405737,-1.37284255413196,1.0924350204782,0.520441780929371,0.194800558277512,0.62895256916996,-0.283627845664048,-0.710409802814203,0.201382104514106,FALSE,FALSE,FALSE,"18479/13637/22063/13841/20562/18607/13642/245857/16728/13845/20358/13641/58220/11854/74769/13643/18710/13636/18007/13638/234779/18845/14159/67268","20187/140570/18186/13639/13638/19058/17295/12325/20563/14083/26417/235611/18209/53972/19055/20356/108058/13845/259302/18708/18846/18844/218397/13641/20564/12167/20358/22418/20315/226251/20351/18750/13841/268902/19876/107449/22253","18007/214968/22063/80883/18706/93742/58220/13836/16412/224105/18176/12631/20779/223881/11854/20352/14360/243743/56513/13642/26413/18021/12632/20353","Axon guidance",-2.46527757461016,-2.15134173453557,-0.31393584007459,2.46527757461016,2.15134173453557,0.31393584007459,"mixed or incomplete"
"KEGG","mmu04971","mmu04971","mmu04971","mmu04971","Gastric acid secretion","Gastric acid secretion","Gastric acid secretion",0.720297120218745,-1.48253489672998,0.973558005077188,0.9458120468029,0.207835652853934,0.76442011631885,0.0241951586789084,-0.682279949995512,0.116667892664488,FALSE,FALSE,FALSE,"18798/107589/14682/18795/11461/16518/104111/108058/16526/20606/11465","107589/11513/18751/12323/12349/20606/72258/16518/11515/11514/12325/11465/12315/11512/18749/108058/110895/20535/104111/104110/18750","16439/22350/11931/18798/16526/14682/18797/18795/11513/11933/12314/11928/12313/107589","Gastric acid secretion",-2.45609290180717,-0.253260884858443,-2.20283201694872,2.45609290180717,0.253260884858443,2.20283201694872,"KO opposite"
