"database","pathway_key","pathway_id_mouse_KD","pathway_id_mouse_KO","pathway_id_mouse_het","pathway_name_mouse_KD","pathway_name_mouse_KO","pathway_name_mouse_het","NES_mouse_KD","NES_mouse_KO","NES_mouse_het","padj_mouse_KD","padj_mouse_KO","padj_mouse_het","signed_log10padj_mouse_KD","signed_log10padj_mouse_KO","signed_log10padj_mouse_het","significant_mouse_KD","significant_mouse_KO","significant_mouse_het","leading_edge_mouse_KD","leading_edge_mouse_KO","leading_edge_mouse_het","pathway_name","delta_NES_KO_minus_het","delta_NES_KD_minus_het","delta_NES_KO_minus_KD","abs_delta_NES_KO_minus_het","abs_delta_NES_KD_minus_het","abs_delta_NES_KO_minus_KD","direction_pattern"
"Reactome","R-MMU-9842860","R-MMU-9842860","R-MMU-9842860","R-MMU-9842860","Regulation of endogenous retroelements","Regulation of endogenous retroelements","Regulation of endogenous retroelements",-1.18837163027072,1.35886392125905,-1.45984687648324,0.540322580645161,0.426514315422583,0.245707449964073,-0.267346882461409,0.370066387697635,-0.60958167530976,FALSE,FALSE,FALSE,"54343/224585/73233/74149/210503/24132/319615/233168/22712/233060/100041677/104348","378466/100041677/626848/232440/319615/210503/73233/104348/320332/631624/319190/237412/15078/108168395","319178/319150/319158/22712/68024/319157/319179/260423/97122/319181/243834/319151/100041230/319155/319184/319148/380850/319161/319156/319182/360198/319168/319152/319153/54343/319160/24132/326619/319180/319166/319169/319187/319177/319173/319172/319185/319159/319176/97908/74149/100041979/77605/15081","Regulation of endogenous retroelements",2.81871079774229,0.27147524621252,2.54723555152977,2.81871079774229,0.27147524621252,2.54723555152977,"mixed or incomplete"
"Reactome","R-MMU-9843940","R-MMU-9843940","R-MMU-9843940","R-MMU-9843940","Regulation of endogenous retroelements by KRAB-ZFP proteins","Regulation of endogenous retroelements by KRAB-ZFP proteins","Regulation of endogenous retroelements by KRAB-ZFP proteins",-1.18837163027072,1.35886392125905,-1.45984687648324,0.540322580645161,0.426514315422583,0.245707449964073,-0.267346882461409,0.370066387697635,-0.60958167530976,FALSE,FALSE,FALSE,"54343/224585/73233/74149/210503/24132/319615/233168/22712/233060/100041677/104348","378466/100041677/626848/232440/319615/210503/73233/104348/320332/631624/319190/237412/15078/108168395","319178/319150/319158/22712/68024/319157/319179/260423/97122/319181/243834/319151/100041230/319155/319184/319148/380850/319161/319156/319182/360198/319168/319152/319153/54343/319160/24132/326619/319180/319166/319169/319187/319177/319173/319172/319185/319159/319176/97908/74149/100041979/77605/15081","Regulation of endogenous retroelements by KRAB-ZFP proteins",2.81871079774229,0.27147524621252,2.54723555152977,2.81871079774229,0.27147524621252,2.54723555152977,"mixed or incomplete"
"Reactome","R-MMU-373076","R-MMU-373076","R-MMU-373076","R-MMU-373076","Class A/1 (Rhodopsin-like receptors)","Class A/1 (Rhodopsin-like receptors)","Class A/1 (Rhodopsin-like receptors)",0.969715383446177,-1.4337548337761,1.17367154484949,0.860983397190294,0.514760511273179,0.709362880886427,0.0650052232015845,-0.288394776441196,0.149131540769582,FALSE,FALSE,FALSE,"78134/12266/18442/19220/12778/20312/14739/16952/20315/13610/11820/20306/75805/15551/11609/21333/67168/11541/20606","235044/229791/11541/15199/16952/18442/12266/18619/20315/13610/19222/78134/13609/12672/20312/13617/20306","14063/11609/14825/67168/13614/13618/15558/15551/12062/14062/230857/12267","Class A/1 (Rhodopsin-like receptors)",-2.60742637862559,-0.203956161403313,-2.40347021722228,2.60742637862559,0.203956161403313,2.40347021722228,"KO opposite"
"Reactome","R-MMU-201451","R-MMU-201451","R-MMU-201451","R-MMU-201451","Signaling by BMP","Signaling by BMP","Signaling by BMP",1.26418280455877,-1.4487158486344,1.14705051164,0.511248897021811,0.557108958179043,0.785003811154921,0.291367615938847,-0.254059858132826,0.105128234771265,FALSE,FALSE,FALSE,"14314/12167/21814/75788/218441/83453/216080","66313/17129/75788/55994/83453/17130/12167/14314","12156/17125/16323","Signaling by BMP",-2.5957663602744,0.11713229291877,-2.71289865319317,2.5957663602744,0.11713229291877,2.71289865319317,"KO opposite"
"Reactome","R-MMU-9006936","R-MMU-9006936","R-MMU-9006936","R-MMU-9006936","Signaling by TGFB family members","Signaling by TGFB family members","Signaling by TGFB family members",1.09613689711002,-1.13892936813453,1.35924647185264,0.663306253480525,0.906259732170663,0.297921559942384,0.178285908265799,-0.0427473165805954,0.525898066690307,FALSE,FALSE,FALSE,"14118/14314/21857/17387/241226/12167/16419/21814/21815/268977/16998/22192/19165/75788/59287/218441/13559/108075/83453","108075/66313/14173/22187/17129/170749/11479/75788/26417/21808/16998/55994/83453/16419/17130/12167/16997/21857/14314/320910/241226","16456/12156/21815/17125/16323/104394/68010/93742/16412/20482/18550/19042/67903/56513/21781/26413/107951/66105/13559/19165/22186/20901/268977/17283/226548/59287/22192/17387","Signaling by TGFB family members",-2.49817583998717,-0.26310957474262,-2.23506626524455,2.49817583998717,0.26310957474262,2.23506626524455,"KO opposite"
"Reactome","R-MMU-888590","R-MMU-888590","R-MMU-888590","R-MMU-888590","GABA synthesis, release, reuptake and degradation","GABA synthesis, release, reuptake and degradation","GABA synthesis, release, reuptake and degradation",-1.17752296236352,1.12327064143109,-1.36871700494754,0.647806522952955,0.951302789616428,0.611511846117757,-0.188554683265929,0.0216812297188801,-0.213595125457226,FALSE,FALSE,FALSE,"22318/12889/20910/19339/13002/20614/20907","20910/13002/19339/20907","214579/22318/20614","GABA synthesis, release, reuptake and degradation",2.49198764637863,0.19119404258402,2.30079360379461,2.49198764637863,0.19119404258402,2.30079360379461,"mixed or incomplete"
"Reactome","R-MMU-500792","R-MMU-500792","R-MMU-500792","R-MMU-500792","GPCR ligand binding","GPCR ligand binding","GPCR ligand binding",1.13744511078995,-1.37539533914588,1.10938918747899,0.593290135045116,0.498789543899359,0.771049665942204,0.226732872850965,-0.302082659191905,0.112917646657298,FALSE,FALSE,FALSE,"78134/12266/11535/56089/18442/19220/12778/20312/14739/16952/20315/14701/54598/223780/13610/14693/14708/11820/20306/75805/15551/14688/11609/21333/67168/11541/14696/20606/14706","235044/229791/11541/15199/16952/14708/18442/12266/18619/108073/26364/20315/14706/13610/19222/78134/13609/12672/20312/13617/20306","14063/11609/11535/14825/67168/13614/13618/15558/15551/12062/14062/230857/12267","GPCR ligand binding",-2.48478452662487,0.0280559233109599,-2.51284044993583,2.48478452662487,0.0280559233109599,2.51284044993583,"KO opposite"
"Reactome","R-MMU-375276","R-MMU-375276","R-MMU-375276","R-MMU-375276","Peptide ligand-binding receptors","Peptide ligand-binding receptors","Peptide ligand-binding receptors",0.784880517315367,-1.03645904426869,1.37995982059918,1,0.999159469971653,0.542598967297763,0,-0.000365191051717016,0.265521037145211,FALSE,FALSE,FALSE,"12266/12778/20312/16952/20315/11820/20306/75805/11609/21333/20606/20304/13617/13618","15199/16952/12266/18619/20315/20312/13617/20306","14063/11609/14825/13614/13618/12062/14062/230857/12267","Peptide ligand-binding receptors",-2.41641886486787,-0.595079303283813,-1.82133956158406,2.41641886486787,0.595079303283813,1.82133956158406,"KO opposite"
"Reactome","R-MMU-114608","R-MMU-114608","R-MMU-114608","R-MMU-114608","Platelet degranulation","Platelet degranulation","Platelet degranulation",1.60765141846618,-1.51121665901395,0.899544224867469,0.0604460261024109,0.268748300534695,0.955332831238051,1.21863224564728,-0.57065427338606,0.0198452969108851,FALSE,FALSE,FALSE,"19039/20692/239273/21859/21857/67988/15234/72017/192176/19241/21346/11674/14268/22388/80884/13601/11820/268936/19128/22339/68117/223601/68038/21767/227612","18591/16416/16399/385643/14069/12759/14268/60595/109711/19156/11820/54216/240334/80884/11465/21808/15234/68038/20692/71946/26968/21857/235505/218454/21859/13601","19128/19241/22340/11747/54216/27999/67072/18590/12527/20655/239273/66866/11674","Platelet degranulation",-2.41076088388142,0.708107193598711,-3.11886807748013,2.41076088388142,0.708107193598711,3.11886807748013,"KO opposite"
"Reactome","R-MMU-9670095","R-MMU-9670095","R-MMU-9670095","R-MMU-9670095","Inhibition of DNA recombination at telomere","Inhibition of DNA recombination at telomere","Inhibition of DNA recombination at telomere",-0.935133585228977,1.05359548763263,-1.34124370757548,0.904140502354788,0.943121050072922,0.559800995024876,-0.0437640754361826,0.0254325617644978,-0.251966333927325,FALSE,FALSE,FALSE,"21749/57321","497652/232440/13163/320332/319190/15078","319178/319158/68024/319157/319179/97122/319181/100041230/319155/319184/319161/319156/319182/319168/319160/326619/319180/319166/319169/319187/319177/319173/319172/319185/319159/319176/77605/15081","Inhibition of DNA recombination at telomere",2.39483919520811,0.406110122346503,1.98872907286161,2.39483919520811,0.406110122346503,1.98872907286161,"mixed or incomplete"
