"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0051961","negative regulation of nervous system development",111,-0.565464927064297,-2.15525144382346,4.01318531445135e-09,1.1059797032629e-05,8.68237640017329e-06,2171,"tags=39%, list=17%, signal=32%","15205/68585/20187/50849/74498/18186/18015/14102/11820/213084/320840/20563/14083/21838/29869/19055/216190/20356/74762/83433/20983/217166/12257/56741/18846/12387/216858/15901/15982/107503/235106/18128/22418/239667/17756/235402/13841/20660/14168/19876/20666/15904/103743",0.761460801445585
"GO:0061448","connective tissue development",243,-0.467636326173198,-1.97495380091943,4.26032243167528e-09,1.1059797032629e-05,8.68237640017329e-06,1657,"tags=32%, list=13%, signal=28%","17129/666173/13653/237859/15586/71939/14182/16194/269941/328572/14705/94352/12814/22433/22410/59056/12399/14462/26417/21827/21808/67041/14534/23967/12406/16998/55994/12831/106522/105787/240725/83925/20289/229534/20682/19092/16948/76566/21417/216820/12387/20204/268396/12825/15982/14042/71566/17260/19411/12977/18128/12167/20678/20613/18984/22418/18133/21833/12842/12833/21857/18750/210719/21810/20660/12111/18605/12006/58250/22402/72043/215798/15904/18596/320910/239337/13601/17313",0.761460801445585
"GO:0050768","negative regulation of neurogenesis",105,-0.569027041712926,-2.17235405852436,1.58626907978642e-08,1.21760791576979e-05,9.5587018471991e-06,2171,"tags=38%, list=17%, signal=32%","15205/68585/20187/50849/74498/18186/18015/14102/213084/320840/20563/14083/21838/29869/19055/216190/20356/83433/20983/217166/12257/56741/18846/12387/216858/15901/15982/107503/235106/18128/22418/239667/17756/235402/13841/20660/14168/20666/15904/103743",0.73376198835648
"GO:0051216","cartilage development",165,-0.507322332411385,-2.05077819120857,1.6416131375941e-08,1.21760791576979e-05,9.5587018471991e-06,1575,"tags=35%, list=13%, signal=31%","15586/14182/269941/328572/94352/12814/22410/59056/12399/14462/26417/21827/21808/14534/23967/12406/16998/55994/106522/240725/83925/20289/229534/20682/19092/76566/21417/12387/20204/12825/14042/17260/19411/12167/20678/20613/18984/22418/18133/21833/12842/12833/21857/18750/210719/21810/12111/18605/12006/58250/22402/72043/215798/320910/239337/13601/17313",0.73376198835648
"GO:0043062","extracellular structure organization",229,-0.462807974719049,-1.9551850165088,8.90029467415728e-09,1.21760791576979e-05,9.5587018471991e-06,1539,"tags=32%, list=12%, signal=29%","67896/11785/94216/12305/19288/23876/207596/94352/213945/12814/14083/241327/74777/14453/66548/69538/21808/26561/12406/20356/545370/20848/12831/240725/14758/20289/229534/21817/20682/16948/15227/66180/224697/17395/66214/14230/67547/268396/12825/18214/14042/56429/100952/107250/18128/219151/16950/18858/269959/12822/11568/12842/26427/195209/12833/16949/210719/229595/21810/50706/107581/12006/71602/58223/72043/12843/15117/21859/17181/170441/239337/216725/241226/237759",0.747739663149885
"GO:0030198","extracellular matrix organization",228,-0.464653063690982,-1.93275546968743,1.5274169484359e-08,1.21760791576979e-05,9.5587018471991e-06,1539,"tags=32%, list=12%, signal=29%","67896/11785/94216/12305/19288/23876/207596/94352/213945/12814/14083/241327/74777/14453/66548/69538/21808/26561/12406/20356/545370/20848/12831/240725/14758/20289/229534/21817/20682/16948/15227/66180/224697/17395/66214/14230/67547/268396/12825/18214/14042/56429/100952/107250/18128/219151/16950/18858/269959/12822/11568/12842/26427/195209/12833/16949/210719/229595/21810/50706/107581/12006/71602/58223/72043/12843/15117/21859/17181/170441/239337/216725/241226/237759",0.73376198835648
"GO:0045229","external encapsulating structure organization",228,-0.464653063690982,-1.93275546968743,1.5274169484359e-08,1.21760791576979e-05,9.5587018471991e-06,1539,"tags=32%, list=12%, signal=29%","67896/11785/94216/12305/19288/23876/207596/94352/213945/12814/14083/241327/74777/14453/66548/69538/21808/26561/12406/20356/545370/20848/12831/240725/14758/20289/229534/21817/20682/16948/15227/66180/224697/17395/66214/14230/67547/268396/12825/18214/14042/56429/100952/107250/18128/219151/16950/18858/269959/12822/11568/12842/26427/195209/12833/16949/210719/229595/21810/50706/107581/12006/71602/58223/72043/12843/15117/21859/17181/170441/239337/216725/241226/237759",0.73376198835648
"GO:0060348","bone development",186,-0.48572283598051,-1.98467341166102,2.52174276278041e-08,1.63661105304449e-05,1.28480415520233e-05,1977,"tags=39%, list=16%, signal=33%","108153/13595/212627/17300/56316/27973/12411/329628/59035/17129/233328/233651/216892/102866/269941/66910/229644/56208/23876/20190/59056/18129/21827/235611/14534/77583/237928/22160/233781/233016/12406/16998/55994/19094/231070/240725/20289/21817/94045/20682/17937/16948/76566/20692/54635/105722/97086/68964/268396/12825/18214/72055/231633/14042/17260/19411/76737/12167/18984/12842/16878/12833/12111/18605/12006/22402/80752/72043/15117/21859/239337/13601",0.73376198835648
"GO:0002062","chondrocyte differentiation",94,-0.573182363895204,-2.12342874655198,3.64786348412726e-08,2.10441191217653e-05,1.65204625985634e-05,1514,"tags=36%, list=12%, signal=32%","14182/269941/94352/12814/22410/12399/23967/12406/16998/106522/240725/83925/20289/20682/19092/76566/12387/12825/14042/17260/19411/12167/20678/18984/18133/18750/210719/21810/12006/58250/22402/72043/239337/13601",0.719512826338911
"GO:0050767","regulation of neurogenesis",322,-0.423467088381595,-1.82986163175354,5.00522855350817e-08,2.59871466498144e-05,2.0400933951548e-05,2251,"tags=29%, list=18%, signal=24%","58234/26396/12306/15205/98733/18472/68585/20674/13631/20187/140570/50849/74498/18186/18015/17869/17295/22596/14102/20238/66993/68151/18080/213084/67299/70237/328572/320840/330914/75788/20563/14083/21838/20893/16195/235611/29869/18606/12361/19055/216190/20356/83433/20983/21817/11484/104156/217166/12257/11865/56741/18846/12387/67784/216858/17118/15228/13169/15901/15982/107503/235106/76901/13385/18128/22418/20315/239667/20720/14375/16878/17756/235402/13841/665113/20660/16480/11421/56320/14168/108100/268902/16842/20393/17380/19876/14254/20666/15904/103743/20312/20317",0.719512826338911
"GO:0050803","regulation of synapse structure or activity",293,-0.419880663060154,-1.82065594637505,1.4406268724899e-07,6.23311226830632e-05,4.89323870034068e-05,2679,"tags=35%, list=21%, signal=29%","18002/77097/29819/76108/73181/12323/52398/12568/66713/74488/18190/17755/14735/93840/330814/94245/442801/319504/56212/58234/18472/68585/70178/106042/27205/13631/72621/230775/57028/11735/18015/21826/223870/11820/54216/545428/14182/12569/70237/19655/320840/235604/218194/330914/53328/20563/333605/14083/16180/229791/238205/22142/12361/59036/13196/53972/217333/80749/210274/17999/74762/83433/217124/104156/53413/56376/107065/13845/259302/66725/18708/20692/13602/12387/15529/238130/53321/17118/223701/13169/18003/330662/18483/239250/235106/17260/13385/22418/210094/22631/210293/20351/18750/16981/13841/56320/11838/14362/99633/108100/19876/319387/75409/64085",0.690132458796796
"GO:0050807","regulation of synapse organization",290,-0.423546216095825,-1.81442742062662,1.32765446850806e-07,6.23311226830632e-05,4.89323870034068e-05,2679,"tags=36%, list=21%, signal=29%","18002/77097/29819/76108/73181/12323/52398/12568/66713/74488/18190/17755/14735/93840/330814/94245/442801/319504/56212/58234/18472/68585/70178/106042/27205/13631/72621/230775/57028/11735/18015/21826/223870/11820/54216/545428/14182/12569/70237/19655/320840/235604/218194/330914/53328/20563/333605/14083/16180/229791/238205/22142/12361/59036/13196/53972/217333/80749/210274/17999/74762/83433/217124/104156/53413/56376/107065/13845/259302/66725/18708/20692/13602/12387/15529/238130/53321/17118/223701/13169/18003/330662/18483/239250/235106/17260/13385/22418/210094/22631/210293/20351/18750/16981/13841/56320/11838/14362/99633/108100/19876/319387/75409/64085",0.690132458796796
"GO:0006029","proteoglycan metabolic process",75,-0.598348737025124,-2.13924407076871,2.2471428934895e-07,8.97474300230576e-05,7.04552684022601e-05,2311,"tags=49%, list=19%, signal=40%","93840/50917/14733/54616/108153/15442/212898/15531/93683/235534/15586/269941/338362/60322/12814/73836/11881/15476/217119/27029/233781/330671/240725/23908/12387/14042/50786/12167/76025/98388/11600/58250/83398/72043/170441/239337/13617",0.690132458796796
"GO:0030278","regulation of ossification",106,-0.54990987041366,-2.07246257095263,2.59356949662685e-07,9.61843773320473e-05,7.55085256401505e-05,1626,"tags=38%, list=13%, signal=33%","14119/11479/269941/75788/84035/22410/26417/77583/237928/22160/23967/16998/106522/14758/76457/102657/20682/18442/76566/105722/17130/18214/231633/17260/12977/18439/18128/12167/22418/18133/26427/210719/11732/18605/13609/80752/20666/215798/13601/17313",0.674962860011025
"GO:0030199","collagen fibril organization",63,-0.612167074065325,-2.11521959247758,8.74150150896594e-07,0.000269230127840639,0.000211356257378219,2190,"tags=56%, list=18%, signal=46%","12306/11977/56693/108153/237360/17300/18015/94216/94352/213945/12814/74777/21808/12406/12831/20289/16948/66180/14230/12825/18214/14042/56429/100952/219151/16950/11568/12842/195209/12833/16949/210719/12843/239337/216725",0.659444398037935
"GO:0001649","osteoblast differentiation",168,-0.467053525754458,-1.91454123251799,8.81531620433526e-07,0.000269230127840639,0.000211356257378219,2028,"tags=33%, list=16%, signal=28%","20674/14173/12609/320799/16905/114249/242253/18015/17129/14119/218952/268935/14182/15184/14083/22410/16195/21930/22160/60530/19055/55994/19094/102657/20682/18619/16948/225998/12387/17130/12606/16009/15901/268396/18214/231633/17260/18128/12167/20613/20750/12842/26427/11622/68713/18605/12006/14362/68588/16842/22402/80752/20666/15904/15903",0.659444398037935
"GO:0010721","negative regulation of cell development",189,-0.455508950405024,-1.88827552520368,8.39245509838607e-07,0.000269230127840639,0.000211356257378219,2254,"tags=35%, list=18%, signal=29%","19401/16149/15205/13866/68585/211770/50500/20187/50849/74498/18186/57259/56468/18015/17869/14102/213084/107829/21807/12578/16362/320840/20563/14083/12399/21838/29869/21930/19055/216190/16952/20356/83433/20983/20850/20535/217166/12257/18708/56741/76566/18846/12387/216858/15901/15284/15982/107503/235106/16852/18128/22418/239667/16950/217154/13610/17756/14461/235402/13841/20660/14168/70673/20666/26365/15904/103743",0.659444398037935
"GO:0007416","synapse assembly",204,-0.442819543517078,-1.82740195125325,9.64697270697457e-07,0.0002782615683034,0.000218446293958646,1668,"tags=30%, list=13%, signal=27%","21826/223870/11820/54216/545428/67299/14182/70237/320840/330914/20563/12217/14083/16180/238205/235611/219228/217333/80749/210274/74762/217124/53413/56376/107065/13845/259302/18708/71436/18846/18844/12387/13641/15529/238130/67784/13169/14432/330662/18483/239250/235106/17260/73340/13385/22418/210094/210293/236915/93887/20351/18750/16981/13841/14362/99633/14168/19876/319387/75409/64085/14799",0.643551836150722
"GO:0036196","zymosterol metabolic process",15,-0.850302095343462,-2.18710144301649,1.11681941210453e-06,0.000289926319382335,0.000227603583118913,1445,"tags=80%, list=12%, signal=71%","15490/15357/192156/16987/110460/17855/14137/68603/110196/208715/18194/20775",0.643551836150722
"GO:0036197","zymosterol biosynthetic process",15,-0.850302095343462,-2.18710144301649,1.11681941210453e-06,0.000289926319382335,0.000227603583118913,1445,"tags=80%, list=12%, signal=71%","15490/15357/192156/16987/110460/17855/14137/68603/110196/208715/18194/20775",0.643551836150722
"GO:0071674","mononuclear cell migration",136,-0.49193678567671,-1.95549127803475,1.36166916353901e-06,0.000336656490337836,0.000264288608375987,1476,"tags=31%, list=12%, signal=28%","216892/171486/12261/20563/18810/53416/14083/14462/239393/26417/68279/193385/16952/83433/17470/12520/17395/18787/105722/445007/18003/14042/12977/100952/22418/20315/18453/18133/17965/13123/27226/18605/13609/109934/11876/14254/20296/19261/20312/20306/56532/13601",0.643551836150722
"GO:0030500","regulation of bone mineralization",68,-0.586878480331337,-2.10165956004015,2.1892996880217e-06,0.000516674726373121,0.000405610015951768,1208,"tags=35%, list=10%, signal=32%","22410/77583/237928/22160/23967/16998/106522/14758/102657/20682/76566/105722/18214/231633/17260/18439/12167/11732/18605/13609/80752/215798/13601/17313",0.627256739718528
"GO:0032964","collagen biosynthetic process",56,-0.611708823982027,-2.0925292694082,2.46715131473682e-06,0.000547177264613085,0.000429555710197216,2006,"tags=46%, list=16%, signal=39%","30951/16398/67557/11479/16194/328572/11541/12406/12831/20289/66180/18787/66214/114886/223701/21809/18214/100952/18128/14789/12842/26427/210719/52377/20296/18596",0.627256739718528
"GO:0070167","regulation of biomineral tissue development",79,-0.562280653798664,-2.04981203756936,2.52932479790332e-06,0.000547177264613085,0.000429555710197216,1208,"tags=33%, list=10%, signal=30%","22410/77583/237928/22160/23967/16998/106522/14758/102657/20682/20535/76566/105722/18214/231633/17260/18439/18128/12167/11732/18605/13609/80752/215798/13601/17313",0.627256739718528
