"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"mmu04974","Protein digestion and absorption",42,-0.689796290246444,-2.24670068749817,3.30241634847812e-07,0.000112942639117952,7.37241165359784e-05,1734,"tags=45%, list=14%, signal=39%","67760/94216/12816/213945/12814/12831/77018/16529/12825/12835/72472/12822/12842/12833/12834/107581/17380/12843/237759",0.674962860011025
"mmu04820","Cytoskeleton in muscle cells",140,-0.456812989586341,-1.80814823889172,5.03074352279117e-05,0.00860257142397291,0.00561539010530567,1755,"tags=29%, list=14%, signal=25%","11735/16402/21826/192897/14119/94216/319480/212073/12814/18810/11465/17886/21827/118449/12831/22003/20648/70435/56376/15529/16419/109700/12825/12835/13003/70549/20649/12842/12833/12834/16480/12111/16651/22379/13808/30794/12843/320910/13008/241226/109676",0.557332238758646
"mmu04916","Melanogenesis",66,-0.538477234891533,-1.93689740444614,0.000104259099138555,0.00891415297634646,0.00581877719504473,1822,"tags=39%, list=15%, signal=34%","11515/21415/14369/11514/13543/17342/12325/328572/22410/26417/12315/11512/18749/108058/12387/104111/17311/14681/57265/104110/22418/26427/18750/14362/16842/21414",0.538434096309916
"mmu04713","Circadian entrainment",60,-0.537928325654404,-1.85310316187684,8.17171952617744e-05,0.00891415297634646,0.00581877719504473,1859,"tags=37%, list=15%, signal=31%","14281/11515/11514/12325/14802/14811/18628/20190/26417/12315/11512/18749/108058/14708/19092/104111/14681/104110/14706/18750/239556/14799",0.538434096309916
"mmu05412","Arrhythmogenic right ventricular cardiomyopathy",50,-0.548427772888188,-1.84389160348251,0.000449685372099053,0.0215380560171996,0.0140591203124991,1962,"tags=40%, list=16%, signal=34%","16398/16905/21415/16402/192897/319480/11465/12295/20648/12293/12387/16419/109700/20649/16480/16651/16842/21414/320910/241226",0.49849310876659
"mmu05414","Dilated cardiomyopathy",60,-0.503417468008958,-1.73421710146339,0.000566790947821041,0.0215380560171996,0.0140591203124991,1962,"tags=40%, list=16%, signal=34%","16398/16905/11515/16402/11514/192897/319480/11465/21808/12295/11512/18749/22003/20648/12293/104111/16419/109700/21809/104110/20649/16651/320910/241226",0.477270815362862
"mmu04550","Signaling pathways regulating pluripotency of stem cells",101,-0.457921097508558,-1.72960913808839,0.000457211534539119,0.0215380560171996,0.0140591203124991,2033,"tags=35%, list=16%, signal=29%","21423/20674/14173/13984/14369/17869/13543/17129/22658/11479/14182/14784/23805/22410/26417/16195/16600/55994/19094/20848/16392/18708/12387/57265/15901/12167/22418/21386/16878/29857/12006/14362/21414/15904/15903",0.49849310876659
"mmu04518","Integrin signaling",108,-0.440888748005698,-1.68778119496663,0.000396009219901915,0.0215380560171996,0.0140591203124991,2637,"tags=37%, list=21%, signal=29%","18591/16416/16399/170736/14268/60595/109711/13866/16398/114249/17295/16402/12443/21826/192897/218952/94216/319480/11465/14083/21827/15234/12266/18708/16775/12387/54635/16419/109700/12835/70549/20750/12842/12833/12834/14254/12843/18596/320910/241226",0.49849310876659
"mmu04714","Thermogenesis",196,-0.388775732531281,-1.6000078352419,0.000538470028912517,0.0215380560171996,0.0140591203124991,2626,"tags=29%, list=21%, signal=23%","75597/19079/19017/66043/68202/70383/66945/67605/68197/20586/75406/67273/57279/12896/68342/20587/12894/83796/11515/78070/66272/11514/66993/66594/83797/14182/12864/71679/14784/11465/19082/26408/19094/18160/11512/105787/18749/57376/22272/19092/74370/208501/11951/66445/104111/66379/66218/52469/67130/104110/67942/216739/72508/26427/29857/70673",0.477270815362862
"mmu05225","Hepatocellular carcinoma",140,-0.409120674316038,-1.61937344957858,0.00123507424940843,0.0422395393297682,0.0275721618008384,1929,"tags=31%, list=15%, signal=26%","20587/83796/21415/14369/17869/17295/12443/13543/56615/14866/66993/83797/77044/14784/12578/23805/23882/20416/11465/211666/22410/26417/21808/15234/18104/14865/20418/57376/271849/18708/12387/57265/21809/14863/68312/22418/72508/14862/18750/12006/14362/16842/21414",0.45505986738723
"mmu04512","ECM-receptor interaction",56,-0.507422816646391,-1.72122164404406,0.00156909354918388,0.0487845448928078,0.0318444610549247,1962,"tags=38%, list=16%, signal=32%","16398/114249/16402/21826/192897/94216/319480/21827/15366/64051/16775/16419/109700/12835/20750/12842/12833/12834/12843/320910/241226",0.45505986738723
"mmu00100","Steroid biosynthesis",15,-0.694878679162506,-1.78971761648316,0.00236769820107678,0.0563644731599425,0.0367923135158273,2163,"tags=67%, list=17%, signal=55%","74754/13360/13595/235293/15490/16987/13121/14137/18194/20775",0.431707695803346
"mmu04082","Neuroactive ligand signaling",66,-0.477536804134082,-1.71769526457534,0.00280174281789188,0.0563644731599425,0.0367923135158273,1384,"tags=30%, list=11%, signal=27%","14802/14811/20512/11541/11512/11548/18749/94045/14708/18442/18619/104111/14681/108073/104110/14706/14658/18750/12672/14799",0.431707695803346
"mmu00230","Purine metabolism",89,-0.444344761993987,-1.64087962463756,0.00260622226686676,0.0563644731599425,0.0367923135158273,2383,"tags=37%, list=19%, signal=30%","18102/229589/12496/74167/27369/382985/238871/11515/11514/18577/224794/22436/50773/18160/11512/667034/103850/237823/11565/11564/18576/104111/18574/14923/66355/14544/229949/104110/209558/76025/11636/54611/18605",0.431707695803346
