"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0007405","neuroblast proliferation",52,-0.642490281459213,-2.21126975850194,2.05661044521843e-07,0.00106779214315741,0.000562384830873872,2034,"tags=46%, list=16%, signal=39%","22341/21803/26934/12387/20678/14183/233064/216858/18472/140570/320265/18032/231871/15904/14182/216739/195018/100182/18015/68519/16842/20312/14168/18128",0.690132458796796
"GO:0050767","regulation of neurogenesis",321,-0.381238092731635,-1.65332886572972,1.04086823286099e-05,0.0270209393250713,0.0142313899664489,2319,"tags=30%, list=19%, signal=25%","66713/13643/26396/235106/18627/18109/230674/11858/23879/22341/18080/21648/213084/74498/20356/20893/21803/71751/56381/76441/17118/69807/50849/56741/12387/15205/20983/17755/233064/23999/235611/217166/21817/11421/22422/83431/12704/216858/76854/56320/18472/224617/140570/94091/13841/13838/20238/235472/12257/22418/70237/13631/20315/216869/330914/20481/22084/20393/20660/17380/228357/20346/75788/18846/328572/15904/15982/14268/235402/21938/14375/20720/107503/67784/19876/13385/239667/17756/18015/16480/13169/268902/15901/13649/11484/20666/16842/20312/14168/76901/18128/103743/108100/14254/20317",0.593325476396405
"GO:0046621","negative regulation of organ growth",34,0.636959684673453,2.10442743218145,3.35420266519686e-05,0.0274922568780013,0.0144796235238796,1675,"tags=41%, list=14%, signal=36%","13052/232334/211652/52357/14609/19211/108655/16526/19735/17684/14297/28185/15567/17283",0.557332238758646
"GO:0008038","neuron recognition",36,-0.641078661533477,-1.98806286819,3.84811136536849e-05,0.0274922568780013,0.0144796235238796,1206,"tags=42%, list=10%, signal=38%","14042/13838/235472/22418/12569/319504/20346/22631/13845/17967/14432/67784/19876/268902/13723",0.557332238758646
"GO:0050768","negative regulation of neurogenesis",106,-0.483880664925386,-1.854915826093,3.45282799078896e-05,0.0274922568780013,0.0144796235238796,2403,"tags=42%, list=19%, signal=34%","29869/20563/13643/235106/18109/230674/21648/213084/74498/20356/21803/76441/50849/56741/12387/15205/20983/217166/22422/12704/216858/94091/13841/235472/12257/22418/20481/22084/20660/228357/20346/18846/15904/15982/235402/107503/239667/17756/18015/15901/20666/14168/18128/103743",0.557332238758646
"GO:0051961","negative regulation of nervous system development",113,-0.469365532680412,-1.80569429091532,4.75848562693578e-05,0.0274922568780013,0.0144796235238796,2403,"tags=41%, list=19%, signal=33%","29869/20563/13643/235106/18109/230674/21648/213084/74498/20356/21803/76441/50849/56741/12387/15205/20983/217166/22422/12704/216858/94091/13841/74762/235472/12257/22418/20481/22084/20660/228357/20346/18846/15904/15982/235402/107503/19876/239667/17756/18015/15901/20666/14168/18128/103743",0.557332238758646
"GO:0097485","neuron projection guidance",166,-0.429459173851757,-1.73554046088661,5.29511881317437e-05,0.0274922568780013,0.0144796235238796,1206,"tags=25%, list=10%, signal=23%","14042/13924/13637/13841/13838/18209/235472/22418/12569/77579/319504/19271/13617/18844/20315/223435/73710/20346/20564/237847/18846/16564/11876/108699/20351/13845/17967/107449/14432/19876/14451/268902/226251/107448/18612/17181/22253/18128/19274/23965/13723",0.557332238758646
"GO:0007411","axon guidance",165,-0.424994745776949,-1.72106322221224,4.69570220611338e-05,0.0274922568780013,0.0144796235238796,1301,"tags=25%, list=11%, signal=23%","22422/14042/13924/13637/13841/13838/18209/235472/22418/12569/77579/319504/19271/13617/20315/223435/73710/20346/20564/237847/18846/16564/11876/108699/20351/13845/17967/107449/14432/19876/14451/268902/226251/107448/18612/17181/22253/18128/19274/23965/13723",0.557332238758646
"GO:0009410","response to xenobiotic stimulus",256,-0.385629477404665,-1.62657722156876,3.46599784251195e-05,0.0274922568780013,0.0144796235238796,2230,"tags=34%, list=18%, signal=28%","19361/16398/27973/56615/21423/22210/19299/67702/22341/14118/22433/14673/57138/11655/18618/21803/19366/14629/17101/12387/99586/14281/20512/74134/17755/68021/15184/14462/216964/27364/17260/14860/13435/12578/14811/17711/12359/11761/17025/71111/54611/13433/217337/11303/12257/12038/14863/68312/170472/22059/18984/11898/14362/18673/56208/105787/12894/237823/104184/20787/217124/667034/22631/328572/74370/12833/11864/17967/16948/12494/18439/12842/17395/11622/14923/14463/13110/11669/56448/75409/14862/19274/210274/18104/269823/20296/14799",0.557332238758646
"GO:0061448","connective tissue development",241,-0.385100964194031,-1.62091499119101,5.28763463428494e-05,0.0274922568780013,0.0144796235238796,2001,"tags=31%, list=16%, signal=27%","22433/71939/23967/77006/12399/21803/20289/19092/12387/15530/20678/14633/114679/14462/17260/13521/70235/666173/22410/12411/229534/22422/22187/21827/14042/17313/21417/18133/59056/22418/15434/72043/21857/18984/237859/71566/12111/13653/20660/105787/83925/14534/16969/12825/12831/12814/328572/15904/15982/14182/12833/268396/58250/216820/21833/16948/22402/20613/19411/12842/19401/230793/94352/320910/12006/18750/215798/13601/18596/239337/20204/210719/18128/20682/216616",0.557332238758646
