"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"mmu04974","Protein digestion and absorption",42,-0.618871000209299,-2.01348903464483,3.15147339523445e-05,0.0107780390117018,0.00660461754508876,1089,"tags=43%, list=9%, signal=39%","67760/12841/16529/12822/17380/12825/12831/94216/237759/12835/12814/12833/213945/12834/12842/107581/215335/12843",0.557332238758646
"mmu04820","Cytoskeleton in muscle cells",139,-0.440678956681149,-1.75474047671111,8.31440137838211e-05,0.0142176263570334,0.00871234409016601,1940,"tags=35%, list=16%, signal=29%","11465/20648/53867/76441/22003/192897/16399/56376/16421/15530/24051/212073/21827/71409/13003/70435/109700/12841/22004/77579/18073/14119/15529/12111/17886/12825/18810/12831/94216/12835/12814/12833/14268/20742/20649/16651/12834/12842/320910/13808/16480/22379/241226/70549/12843/30794/109676/13008",0.538434096309916
"mmu00410","beta-Alanine metabolism",19,-0.674432070729384,-1.85261840632657,0.00124040890580675,0.101356105259101,0.0621094718964483,2766,"tags=63%, list=22%, signal=49%","227095/97212/237940/80911/11671/11430/99586/67689/228608/246277/110695/11669",0.45505986738723
"mmu05217","Basal cell carcinoma",45,-0.526327099063516,-1.75212457882214,0.00148181440437281,0.101356105259101,0.0621094718964483,1654,"tags=38%, list=13%, signal=33%","23882/12387/14633/22410/22422/22418/22059/14632/57265/14362/21415/21414/16576/12006/23805/16842/13543",0.45505986738723
"mmu04714","Thermogenesis",197,-0.367033269451005,-1.52132752268857,0.00113771129290633,0.101356105259101,0.0621094718964483,3530,"tags=40%, list=29%, signal=29%","72900/277250/67680/19017/64930/66108/104130/68375/26408/78070/17719/66414/68094/17993/216036/19079/76947/18749/11512/68202/12861/75406/20586/66945/73694/17720/17709/56717/66043/228033/69875/68342/68197/17705/74205/66272/67605/12896/19094/11465/17708/104110/70383/19092/69802/108099/57279/66594/104111/14784/18160/17711/83796/67892/26427/12864/83797/66379/22084/19082/57376/105787/12894/52469/11951/71679/67942/66152/22272/14182/74370/216739/66445/208501/67130/72508/70673/66218/29857",0.45505986738723
"mmu04610","Complement and coagulation cascades",25,0.609785487001322,1.88817962338795,0.00237640959635526,0.13545534699225,0.0830049659636405,1325,"tags=40%, list=11%, signal=36%","18792/19128/21824/12062/15160/14062/12267/14066/17174/18793",0.431707695803346
"mmu03460","Fanconi anemia pathway",50,-0.489983498988107,-1.63996620733215,0.00468086410495176,0.2286936462705,0.140139970449965,2453,"tags=38%, list=20%, signal=31%","67030/71718/19361/69928/245000/60534/17350/15205/104806/114714/21975/237911/20892/211651/268465/208836/71885/12189/68275",0.407017918923954
"mmu00830","Retinol metabolism",18,-0.626419282750287,-1.66836978773078,0.00847978421821155,0.248588188488375,0.152331041798012,2348,"tags=44%, list=19%, signal=36%","67442/28200/77974/74134/11761/13350/394432/11529",0.380730400722792
"mmu00071","Fatty acid degradation",35,-0.519682058980803,-1.62086038612932,0.00938705625204119,0.248588188488375,0.152331041798012,2295,"tags=40%, list=19%, signal=33%","80911/74205/11671/13177/110460/12896/11430/12894/216739/11370/52538/110695/11669/11529",0.380730400722792
"mmu00380","Tryptophan metabolism",20,-0.578344815401858,-1.61743033598423,0.0121049729489097,0.248588188488375,0.152331041798012,2936,"tags=45%, list=24%, signal=34%","70266/97212/11671/110460/209692/12359/11761/110695/11669",0.380730400722792
"mmu00982","Drug metabolism - cytochrome P450",21,-0.577578052039414,-1.6161186507303,0.0106911115552825,0.248588188488375,0.152331041798012,1593,"tags=43%, list=13%, signal=37%","211666/14860/67689/11761/14863/68312/394432/11529/14862",0.380730400722792
"mmu00053","Ascorbate and aldarate metabolism",8,-0.750259218039403,-1.61554353534644,0.0123567228195976,0.248588188488375,0.152331041798012,526,"tags=38%, list=4%, signal=36%","394432/110695/11669",0.380730400722792
"mmu03440","Homologous recombination",40,-0.49667712006819,-1.6053938964105,0.0105282010629551,0.248588188488375,0.152331041798012,1326,"tags=25%, list=11%, signal=22%","114714/21975/237911/11920/19360/268465/18972/12189/19364/68275",0.380730400722792
"mmu04512","ECM-receptor interaction",57,-0.460257048760314,-1.5754710538801,0.0105081804238533,0.248588188488375,0.152331041798012,1752,"tags=35%, list=14%, signal=30%","192897/16399/16421/15530/15366/20750/21827/16775/109700/12841/64051/94216/12835/12833/14268/12834/12842/320910/241226/12843",0.380730400722792
"mmu04658","Th1 and Th2 cell differentiation",52,-0.463671990317055,-1.56113158571823,0.0114730340702716,0.248588188488375,0.152331041798012,2457,"tags=40%, list=20%, signal=32%","433586/16476/54721/18131/19058/19094/12399/18035/14281/14462/18129/18018/16161/15979/103806/26420/20850/20851/18037/18128/29857",0.380730400722792
"mmu04141","Protein processing in endoplasmic reticulum",158,0.322780457182941,1.4223373635604,0.0075068811424624,0.248588188488375,0.152331041798012,2732,"tags=34%, list=22%, signal=27%","18415/17155/226641/12955/50527/229801/67437/225896/12333/230904/67838/74126/12282/69038/19358/26419/67475/71853/23802/66105/14376/12043/81489/26400/80286/270669/66357/110616/72265/67075/67812/217379/12317/15516/22027/109815/69276/56445/66435/108159/22230/226418/17872/15519/27054/12304/99683/20334/140499/19089/50762/12017/26965/14828",0.407017918923954
"mmu05171","Coronavirus disease",190,0.299483842512371,1.36337089704719,0.00856430018366821,0.248588188488375,0.152331041798012,2937,"tags=38%, list=24%, signal=30%","83996/57808/14109/20042/18706/12675/21898/20088/67427/76808/57294/12267/22121/19697/16193/17174/26413/114641/18033/17392/26419/67248/20085/20103/20091/20115/100503670/270106/75617/22186/15975/19951/68028/66475/16898/27050/20102/66481/269261/629595/20090/20005/19981/19989/16785/66480/54127/24088/19934/108168114/54131/267019/66489/19933/15200/23961/68652/110954/670832/17874/19982/26416/108169197/19988/67115/67891/16179/619547/18707/16150/671641/225215/100043813",0.380730400722792
"mmu04514","Cell adhesion molecule (CAM) interaction",57,0.408741178778155,1.54339657915598,0.0159501872670842,0.291267562197151,0.178484309577461,641,"tags=19%, list=5%, signal=18%","13052/18007/16456/52118/12490/270152/20970/80883/19294/16412/20340",0.352487857583619
"mmu00600","Sphingolipid metabolism",43,0.433428029235939,1.5394808027807,0.0176778243588781,0.291267562197151,0.178484309577461,1254,"tags=21%, list=10%, signal=19%","74442/11886/14420/18010/66190/54447/20397/208449/14667",0.352487857583619
"mmu04071","Sphingolipid signaling pathway",100,0.349396284787811,1.42928192509398,0.0172891686545645,0.291267562197151,0.178484309577461,2909,"tags=41%, list=24%, signal=32%","74442/11886/19053/18706/14389/18176/12062/18798/19211/26395/54447/20397/19697/14360/14682/225849/26413/18033/26419/18797/17250/208449/12043/18795/52432/19877/235542/76893/23797/16653/170758/12122/110157/51792/26416/18754/59032/18707/227102/15461/14678",0.352487857583619
"mmu05225","Hepatocellular carcinoma",140,-0.354884078845247,-1.40235066081114,0.0178848503103514,0.291267562197151,0.178484309577461,1940,"tags=26%, list=16%, signal=22%","11465/18708/21803/242705/23882/12387/21809/211666/14860/22410/12578/14784/22422/83796/22418/14863/68312/22059/77044/83797/57265/57376/20418/14362/271849/21415/21414/72508/13649/12006/18750/23805/16842/14862/13543/18104",0.352487857583619
"mmu00340","Histidine metabolism",12,-0.660826273172192,-1.58353981688617,0.0213340973239247,0.331648240217375,0.203228971778571,2172,"tags=42%, list=18%, signal=34%","11671/67689/110695/11484/11669",0.352487857583619
"mmu01240","Biosynthesis of cofactors",110,-0.356360613034186,-1.36544336489665,0.02281199549686,0.339204454779396,0.207859304552148,3700,"tags=42%, list=30%, signal=30%","12035/227683/11565/229949/14287/20751/211347/71562/17434/77697/58810/11636/12850/57028/108037/69080/103711/55936/27973/11671/56316/77974/71743/270685/29858/11655/18102/70383/14629/217707/216558/14854/56738/17025/108645/20425/14151/18103/74080/11564/394432/56248/14528/216134/11669/18104",0.352487857583619
"mmu04530","Tight junction",114,0.322007713959564,1.37791573681426,0.0246922103740071,0.351863997829602,0.215616879009934,2088,"tags=30%, list=17%, signal=25%","68178/16456/21873/13383/22350/17274/19053/56217/93742/58220/16412/22323/20779/53310/17904/23859/56513/64945/109905/67771/26419/18759/76089/17698/26400/52432/72065/17356/21872/67374/19877/67268/76709/102098",0.352487857583619
"mmu04014","Ras signaling pathway",164,0.291134913050024,1.30043827643761,0.0262387499332035,0.358946099086224,0.219956682397618,2986,"tags=40%, list=24%, signal=31%","14165/22340/56392/71785/54354/18783/66350/18706/225870/18654/13836/12675/224105/14389/18176/66922/16337/18590/26395/19697/26413/109905/18033/20663/26419/54153/215449/240168/18481/13636/23872/19732/11352/11601/17356/56784/85031/14701/14205/271457/23797/18049/12015/16653/56289/53357/14688/12314/170758/12064/54635/14696/12540/110157/20416/20662/12313/114713/18479/19344/18707/16150/16001/15461/56044/14707",0.352487857583619
"mmu03272","Virion - Hepatitis viruses",22,0.509398567304059,1.53555266096111,0.0324278245781041,0.426550615604292,0.261383696665957,3029,"tags=59%, list=25%, signal=45%","71955/16783/12527/64945/20479/116733/22134/67028/16784/22088/234852/16835/75608",0.321775918075361
"mmu04726","Serotonergic synapse",59,0.385413067704737,1.46665670617023,0.0339046531166744,0.429458939477876,0.263165873076843,1083,"tags=25%, list=9%, signal=23%","19225/16439/22063/18783/19252/15558/18176/15551/18798/26395/14682/214084/26413/19224/18797",0.321775918075361
"mmu05033","Nicotine addiction",9,-0.676696124461057,-1.53974194564829,0.0353509939118499,0.429505317381644,0.263194292747304,1347,"tags=44%, list=11%, signal=40%","14811/14802/12287/14799",0.321775918075361
"mmu04261","Adrenergic signaling in cardiomyocytes",88,0.348640654485614,1.40264171703756,0.0364200415323616,0.429505317381644,0.263194292747304,2709,"tags=38%, list=22%, signal=29%","11609/81904/326618/231991/11931/19053/19045/12916/19046/73086/18798/16526/14682/225849/26413/18797/12043/18795/52432/20541/11513/11933/235542/12912/23797/59069/21956/12314/11928/320207/51792/12313/26416",0.321775918075361
"mmu01523","Antifolate resistance",22,0.49612911738863,1.49555266795963,0.0413294672441174,0.441708681171505,0.270672327527853,1098,"tags=36%, list=9%, signal=33%","27416/12675/14590/19697/16193/18033/239273/17250",0.321775918075361
"mmu05322","Systemic lupus erythematosus",72,-0.392751471806961,-1.39295754299809,0.0406015037593985,0.441708681171505,0.270672327527853,4028,"tags=56%, list=33%, signal=38%","319178/319150/319158/621893/68024/109711/319157/319179/260423/97122/319181/319151/100041230/319155/319184/319148/319161/319156/319182/360198/319168/319152/319153/319186/319160/326619/319180/319166/319169/319187/319177/319173/319172/319185/319159/319176/97908/14811/77605/15081",0.276500599254472
"mmu05224","Breast cancer",104,-0.360326679418603,-1.37728895811456,0.04,0.441708681171505,0.270672327527853,1887,"tags=27%, list=15%, signal=23%","18708/242705/13866/23882/12387/14281/15205/22410/14784/22422/18129/22418/22059/57265/20418/14362/271849/14182/21415/12189/21414/72508/13649/12006/23805/16842/13543/18128",0.276500599254472
"mmu04340","Hedgehog signaling pathway",45,-0.438797911768731,-1.46074296328991,0.0450885668276973,0.448524590163934,0.274849012365258,2645,"tags=42%, list=21%, signal=33%","14634/74239/27373/20747/103583/109689/240888/104318/14633/59056/68897/216869/14632/226861/75788/16568/57810/16576/14451",0.271288554688953
"mmu00670","One carbon pool by folate",30,-0.484801723305444,-1.45882242364185,0.0505059857155855,0.448524590163934,0.274849012365258,2894,"tags=40%, list=23%, signal=31%","100039707/108037/107885/216188/270685/22171/12411/108645/20425/107747/110695/192166",0.321775918075361
"mmu00980","Metabolism of xenobiotics by cytochrome P450",24,-0.497580223546657,-1.4454921236603,0.0524590163934426,0.448524590163934,0.274849012365258,1682,"tags=42%, list=14%, signal=36%","110198/74134/211666/14860/67689/14863/68312/394432/11529/14862",0.252961123069611
"mmu03250","Viral life cycle - HIV-1",54,-0.413340473155101,-1.40761180362012,0.0522022838499184,0.448524590163934,0.274849012365258,3012,"tags=41%, list=24%, signal=31%","432508/56045/64144/57314/103573/218442/12455/270058/27632/19428/17755/235180/268373/93736/80287/14534/12121/15239/328572/208092/20922/17754",0.252961123069611
"mmu04659","Th17 cell differentiation",64,-0.397265000085274,-1.40321537415683,0.0473083197389886,0.448524590163934,0.274849012365258,2434,"tags=34%, list=20%, signal=28%","16476/21812/17127/54721/19058/19094/21803/18035/14281/14462/18018/16161/15979/20848/20181/26420/20850/20851/11622/19401/18037/29857",0.266350657088526
"mmu01232","Nucleotide metabolism",68,-0.387821521224324,-1.37410231474729,0.0496124031007752,0.448524590163934,0.274849012365258,1449,"tags=25%, list=12%, signal=22%","21915/22436/12496/22171/14544/21877/103850/18103/11564/209558/667034/56248/76025/50773/14923/68106/66355",0.252961123069611
"mmu04148","Efferocytosis",108,0.319775210125769,1.34383645560039,0.0433234509339216,0.448524590163934,0.274849012365258,2171,"tags=30%, list=18%, signal=25%","19225/12484/19128/17304/18263/21825/70686/76295/18218/50770/240672/320940/26395/11502/12929/26413/18021/17164/20501/20525/16452/69981/192654/16423/93759/12912/12317/271457/16410/319520/11487/53357",0.321775918075361
"mmu05226","Gastric cancer",107,-0.345671976030474,-1.31393616672216,0.0510204081632653,0.448524590163934,0.274849012365258,1887,"tags=26%, list=15%, signal=22%","18708/17350/21803/242705/13866/23882/12387/21809/14183/22410/14784/22422/22418/20181/22059/57265/20418/14362/271849/21415/21414/72508/16480/13649/12006/23805/16842/13543",0.241339976815091
