"experiment","condition","sample","sample_label","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","normalized_count"
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000001","14679","Gnai3","protein_coding",5927.15793976961
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000001","14679","Gnai3","protein_coding",5728.01809753483
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000001","14679","Gnai3","protein_coding",6733.3813723387
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000001","14679","Gnai3","protein_coding",6204.80024270817
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000001","14679","Gnai3","protein_coding",6591.56461097426
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000001","14679","Gnai3","protein_coding",6883.45836065393
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000001","14679","Gnai3","protein_coding",5355.66902707212
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000001","14679","Gnai3","protein_coding",5805.96748928716
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000001","14679","Gnai3","protein_coding",5291.65849877512
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000028","12544","Cdc45","protein_coding",954.446178389748
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000028","12544","Cdc45","protein_coding",1198.16317384288
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000028","12544","Cdc45","protein_coding",857.497879749278
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000028","12544","Cdc45","protein_coding",976.0980962607
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000028","12544","Cdc45","protein_coding",1248.29916547469
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000028","12544","Cdc45","protein_coding",1019.85965695753
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000028","12544","Cdc45","protein_coding",815.201298041152
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000028","12544","Cdc45","protein_coding",801.273103713714
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000028","12544","Cdc45","protein_coding",957.030883586697
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000031","14955","H19","lncRNA",45.5995703019814
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000031","14955","H19","lncRNA",47.6929289344446
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000031","14955","H19","lncRNA",125.949079750084
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000031","14955","H19","lncRNA",160.287909351984
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000031","14955","H19","lncRNA",89.0893610960109
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000031","14955","H19","lncRNA",97.4691047441931
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000031","14955","H19","lncRNA",327.99582329409
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000031","14955","H19","lncRNA",217.935844169691
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000031","14955","H19","lncRNA",285.303546427732
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000037","107815","Scml2","protein_coding",2.35859846389559
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000037","107815","Scml2","protein_coding",0
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000037","107815","Scml2","protein_coding",1.3051718108817
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000037","107815","Scml2","protein_coding",47.5336558767952
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000037","107815","Scml2","protein_coding",34.587634307863
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000037","107815","Scml2","protein_coding",26.1502476142957
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000037","107815","Scml2","protein_coding",28.7295611644459
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000037","107815","Scml2","protein_coding",19.5750758236249
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000037","107815","Scml2","protein_coding",7.22287459310715
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000056","67608","Narf","protein_coding",727.234526367806
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000056","67608","Narf","protein_coding",773.793438834356
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000056","67608","Narf","protein_coding",484.871327742552
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000056","67608","Narf","protein_coding",514.026743783948
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000056","67608","Narf","protein_coding",493.659871484954
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000056","67608","Narf","protein_coding",320.934857084538
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000056","67608","Narf","protein_coding",584.167743677066
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000056","67608","Narf","protein_coding",400.636551856857
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000056","67608","Narf","protein_coding",579.635686096849
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000058","12390","Cav2","protein_coding",1891.59596804426
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000058","12390","Cav2","protein_coding",1581.65325547903
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000058","12390","Cav2","protein_coding",1795.26382586778
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000058","12390","Cav2","protein_coding",2132.38191131018
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000058","12390","Cav2","protein_coding",1852.01060066648
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000058","12390","Cav2","protein_coding",1955.32533297802
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000058","12390","Cav2","protein_coding",2191.82610383752
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000058","12390","Cav2","protein_coding",2120.63321422604
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000058","12390","Cav2","protein_coding",1689.24979546293
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000078","23849","Klf6","protein_coding",3754.10255503381
"CRISPR","WT","sample.WT_2","WT 2","ENSMUSG00000000078","23849","Klf6","protein_coding",3399.82450546969
"CRISPR","WT","sample.WT_3","WT 3","ENSMUSG00000000078","23849","Klf6","protein_coding",4112.59637608824
"CRISPR","Het","sample.pos.neg_1","Het 1","ENSMUSG00000000078","23849","Klf6","protein_coding",5355.82704007145
"CRISPR","Het","sample.pos.neg_2","Het 2","ENSMUSG00000000078","23849","Klf6","protein_coding",4625.31000607878
"CRISPR","Het","sample.pos.neg_3","Het 3","ENSMUSG00000000078","23849","Klf6","protein_coding",5192.01279905653
"CRISPR","KO","sample.neg.neg_1","KO 1","ENSMUSG00000000078","23849","Klf6","protein_coding",4114.31257175835
"CRISPR","KO","sample.neg.neg_2","KO 2","ENSMUSG00000000078","23849","Klf6","protein_coding",4889.85394074151
"CRISPR","KO","sample.neg.neg_3","KO 3","ENSMUSG00000000078","23849","Klf6","protein_coding",4047.51835011242
"CRISPR","WT","sample.WT_1","WT 1","ENSMUSG00000000085","29871","Scmh1","protein_coding",822.364664411595
