"gene_symbol","ensembl_gene_id","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Msln","ENSMUSG00000063011","56047",521.650893557947,4.5462086912564,0.199102167718786,22.8335469339416,2.12957372111161e-115,3.42861369098969e-111
"Cxadr","ENSMUSG00000022865","13052",784.643329808716,4.52314729584993,0.258367961680386,17.506610596887,1.27567120254544e-68,1.02691531804908e-64
"Zfp518b","ENSMUSG00000046572","100515",178.661046122485,-5.94803925971419,0.366929319018488,-16.2103134075653,4.26388652583807e-59,2.28828576886643e-55
"Ank2","ENSMUSG00000032826","109676",515.789791204147,-2.67821739336458,0.170821611563287,-15.6784458878164,2.12387358169763e-55,8.54859116633295e-52
"Strbp","ENSMUSG00000026915","20744",325.099439416279,3.32507485354139,0.221530102879584,15.009584748619,6.35442669750024e-51,2.04612539659508e-47
"Dgkk","ENSMUSG00000062393","331374",122.584082154602,-4.79411447643839,0.341754312863247,-14.0279560374027,1.05138308277694e-44,2.82121127211813e-41
"Auts2","ENSMUSG00000029673","319974",137.97896125738,-4.41296337178391,0.317501804796007,-13.8990182264294,6.42161468966761e-44,1.47697137862355e-40
"Csrp2","ENSMUSG00000020186","13008",2314.83046300707,-1.45394052880007,0.108061538936705,-13.4547457227283,2.88730830633737e-41,5.81070796650395e-38
"Gria1","ENSMUSG00000020524","14799",1685.05034602299,-3.13433312494539,0.238126171528868,-13.1624890486488,1.44254121754396e-39,2.58054595582864e-36
"Serpinf1","ENSMUSG00000000753","20317",2570.49480762643,-3.28138649168578,0.250419979887026,-13.1035330853638,3.14280009736238e-39,5.05990815675343e-36
"Klhl13","ENSMUSG00000036782","67455",127.640873705554,-4.26789084795685,0.326696037349594,-13.0637974141995,5.3015802186346e-39,7.75958559272882e-36
"Bcl6b","ENSMUSG00000000317","12029",1412.06889444527,-1.79535717821402,0.142004963873387,-12.6429184532928,1.22423978348463e-36,1.64252170950854e-33
"Cytip","ENSMUSG00000026832","227929",770.695584927879,-2.07182316376353,0.164311748729045,-12.6090993479719,1.88130620081643e-36,2.32992537178035e-33
"Npr3","ENSMUSG00000022206","18162",353.955960012478,3.0367601441787,0.241216120151426,12.5893747991318,2.41579154486779e-36,2.77816027659796e-33
"Sod3","ENSMUSG00000072941","20657",203.087890620622,4.12743435580139,0.328563684750959,12.5620527993831,3.41359709024579e-36,3.66392754353048e-33
"Zdhhc2","ENSMUSG00000039470","70546",175.705751195379,3.62896232089792,0.289007682610284,12.5566292498578,3.65577947451171e-36,3.67862809622741e-33
"Chst2","ENSMUSG00000033350","54371",130.32220490997,-3.83907004452192,0.318255045760174,-12.0628725158215,1.65894143585581e-33,1.57111512454579e-30
