"experiment","condition","sample","sample_label","gene_symbol","ensembl_gene_id","normalized_count","reference_condition","reference_mean","ratio_to_reference","percent_of_reference","loss_fraction"
"CRISPR","WT","sample.WT_1","WT 1","Ubr5","ENSMUSG00000037487",9862.08637703542,"WT",8358.19612011415,1.17993000347313,117.993000347313,-0.179930003473134
"CRISPR","WT","sample.WT_2","WT 2","Ubr5","ENSMUSG00000037487",7592.90895137964,"WT",8358.19612011415,0.908438715993655,90.8438715993654,0.0915612840063454
"CRISPR","WT","sample.WT_3","WT 3","Ubr5","ENSMUSG00000037487",7619.59303192738,"WT",8358.19612011415,0.911631280533211,91.1631280533211,0.0883687194667887
"CRISPR","Het","sample.pos.neg_1","Het 1","Ubr5","ENSMUSG00000037487",4180.75084944277,"WT",8358.19612011415,0.500197744748023,50.0197744748023,0.499802255251977
"CRISPR","Het","sample.pos.neg_2","Het 2","Ubr5","ENSMUSG00000037487",4039.41644310619,"WT",8358.19612011415,0.483288066594329,48.3288066594329,0.516711933405671
"CRISPR","Het","sample.pos.neg_3","Het 3","Ubr5","ENSMUSG00000037487",3907.08472309955,"WT",8358.19612011415,0.46745549720915,46.745549720915,0.53254450279085
"CRISPR","KO","sample.neg.neg_1","KO 1","Ubr5","ENSMUSG00000037487",3792.30207370686,"WT",8358.19612011415,0.45372255199667,45.372255199667,0.54627744800333
"CRISPR","KO","sample.neg.neg_2","KO 2","Ubr5","ENSMUSG00000037487",3198.56738958032,"WT",8358.19612011415,0.38268632891766,38.2686328917661,0.61731367108234
"CRISPR","KO","sample.neg.neg_3","KO 3","Ubr5","ENSMUSG00000037487",1804.81578895265,"WT",8358.19612011415,0.215933649200852,21.5933649200852,0.784066350799148
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","Ubr5","ENSMUSG00000037487",39653.695134918,"Control",67691.7404187568,0.585798132676321,58.5798132676321,0.414201867323679
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","Ubr5","ENSMUSG00000037487",38028.4985100671,"Control",67691.7404187568,0.561789344974941,56.1789344974941,0.438210655025059
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","Ubr5","ENSMUSG00000037487",41358.0839423502,"Control",67691.7404187568,0.61097681469703,61.097681469703,0.38902318530297
"mouseKD","Control","sample.jw23.3_3","Control 3","Ubr5","ENSMUSG00000037487",63610.8295858142,"Control",67691.7404187568,0.939713312027477,93.9713312027477,0.0602866879725229
"mouseKD","Control","sample.jw23.3_2","Control 2","Ubr5","ENSMUSG00000037487",69552.9603139262,"Control",67691.7404187568,1.02749552432328,102.749552432328,-0.0274955243232846
"mouseKD","Control","sample.jw23.3_1","Control 1","Ubr5","ENSMUSG00000037487",69911.43135653,"Control",67691.7404187568,1.03279116364924,103.279116364924,-0.0327911636492384
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","UBR5","ENSG00000104517",1595.1471726485,"Control",25018.1548016433,0.0637595852010524,6.37595852010524,0.936240414798948
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","UBR5","ENSG00000104517",1572.57737752881,"Control",25018.1548016433,0.0628574485207644,6.28574485207644,0.937142551479236
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","UBR5","ENSG00000104517",2505.49322823614,"Control",25018.1548016433,0.100147003170336,10.0147003170336,0.899852996829664
"humanKD","Control","sample.jh_2_002_3","Control 3","UBR5","ENSG00000104517",25174.7083700417,"Control",25018.1548016433,1.00625759851754,100.625759851754,-0.00625759851753971
"humanKD","Control","sample.jh_2_002_2","Control 2","UBR5","ENSG00000104517",25520.6192652311,"Control",25018.1548016433,1.02008399370663,102.008399370663,-0.0200839937066339
"humanKD","Control","sample.jh_2_002_1","Control 1","UBR5","ENSG00000104517",24359.1367696572,"Control",25018.1548016433,0.973658407775827,97.3658407775827,0.0263415922241734
