"experiment","condition","sample","sample_label","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","normalized_count"
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000000003","7105","TSPAN6","protein_coding",763.802452488897
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000000003","7105","TSPAN6","protein_coding",778.503652241985
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000000003","7105","TSPAN6","protein_coding",734.354837039999
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000000003","7105","TSPAN6","protein_coding",4.90066349426546
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000000003","7105","TSPAN6","protein_coding",13.0300312801139
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000000003","7105","TSPAN6","protein_coding",5.35954604392898
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000000419","8813","DPM1","protein_coding",676.85974623193
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000000419","8813","DPM1","protein_coding",739.866804315901
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000000419","8813","DPM1","protein_coding",667.595306399999
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000000419","8813","DPM1","protein_coding",820.04435804042
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000000419","8813","DPM1","protein_coding",773.983858038767
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000000419","8813","DPM1","protein_coding",817.330771699169
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000000457","57147","SCYL3","protein_coding",255.798375433723
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000000457","57147","SCYL3","protein_coding",271.034604854617
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000000457","57147","SCYL3","protein_coding",329.77599472771
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000000457","57147","SCYL3","protein_coding",421.45706050683
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000000457","57147","SCYL3","protein_coding",400.021960299497
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000000457","57147","SCYL3","protein_coding",412.685045382531
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000000460","55732","C1orf112","protein_coding",510.878216104992
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000000460","55732","C1orf112","protein_coding",407.705246025988
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000000460","55732","C1orf112","protein_coding",382.861886561927
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000000460","55732","C1orf112","protein_coding",256.468056199892
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000000460","55732","C1orf112","protein_coding",204.571491097789
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000000460","55732","C1orf112","protein_coding",273.336848240378
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000000938","2268","FGR","protein_coding",0.718534762454278
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000000938","2268","FGR","protein_coding",0.5766693720311
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000000938","2268","FGR","protein_coding",0.80433169445783
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000000938","2268","FGR","protein_coding",120.883032858548
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000000938","2268","FGR","protein_coding",63.8471532725582
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000000938","2268","FGR","protein_coding",64.3145525271477
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000000971","3075","CFH","protein_coding",1278.27334240616
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000000971","3075","CFH","protein_coding",1173.52217208329
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000000971","3075","CFH","protein_coding",830.07030868048
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000000971","3075","CFH","protein_coding",153.554122820318
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000000971","3075","CFH","protein_coding",179.814431665572
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000000971","3075","CFH","protein_coding",163.466154339834
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001036","2519","FUCA2","protein_coding",1140.31466801494
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001036","2519","FUCA2","protein_coding",1105.47518618362
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001036","2519","FUCA2","protein_coding",912.112141515179
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001036","2519","FUCA2","protein_coding",215.62919374768
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001036","2519","FUCA2","protein_coding",205.8744942258
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001036","2519","FUCA2","protein_coding",219.741387801088
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001084","2729","GCLC","protein_coding",717.097692929369
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001084","2729","GCLC","protein_coding",735.830118711683
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001084","2729","GCLC","protein_coding",733.550505345541
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001084","2729","GCLC","protein_coding",1254.56985453196
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001084","2729","GCLC","protein_coding",1198.76287777048
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001084","2729","GCLC","protein_coding",1238.05513614759
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001167","4800","NFYA","protein_coding",1472.27772826882
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001167","4800","NFYA","protein_coding",1336.71960436809
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001167","4800","NFYA","protein_coding",1435.73207460723
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001167","4800","NFYA","protein_coding",2159.55904647298
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001167","4800","NFYA","protein_coding",2344.10262729249
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001167","4800","NFYA","protein_coding",1944.17532743524
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001460","90529","STPG1","protein_coding",128.617722479316
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001460","90529","STPG1","protein_coding",144.167343007775
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001460","90529","STPG1","protein_coding",132.714729585542
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001460","90529","STPG1","protein_coding",40.8388624522122
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001460","90529","STPG1","protein_coding",19.5450469201709
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001460","90529","STPG1","protein_coding",12.0589785988402
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001461","57185","NIPAL3","protein_coding",770.269265350986
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001461","57185","NIPAL3","protein_coding",775.620305381829
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001461","57185","NIPAL3","protein_coding",867.873898319998
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001461","57185","NIPAL3","protein_coding",176.423885793557
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001461","57185","NIPAL3","protein_coding",201.965484841766
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001461","57185","NIPAL3","protein_coding",167.48581387278
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001497","81887","LAS1L","protein_coding",2094.52883255422
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001497","81887","LAS1L","protein_coding",1949.14247746512
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001497","81887","LAS1L","protein_coding",1632.79333974939
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001497","81887","LAS1L","protein_coding",1364.01800590389
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001497","81887","LAS1L","protein_coding",1481.51455654895
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001497","81887","LAS1L","protein_coding",1405.54095002037
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001561","22875","ENPP4","protein_coding",95.565123406419
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001561","22875","ENPP4","protein_coding",96.3037851291937
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001561","22875","ENPP4","protein_coding",127.888739418795
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001561","22875","ENPP4","protein_coding",241.766065717096
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001561","22875","ENPP4","protein_coding",229.328550530005
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001561","22875","ENPP4","protein_coding",269.317188707431
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001617","6405","SEMA3F","protein_coding",98.439262456236
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001617","6405","SEMA3F","protein_coding",114.757205034189
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001617","6405","SEMA3F","protein_coding",103.75878858506
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001617","6405","SEMA3F","protein_coding",1001.36890732824
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001617","6405","SEMA3F","protein_coding",1123.18869634582
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001617","6405","SEMA3F","protein_coding",1138.90353433491
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001626","1080","CFTR","protein_coding",5.02974333717994
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001626","1080","CFTR","protein_coding",7.4967018364043
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001626","1080","CFTR","protein_coding",8.0433169445783
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001626","1080","CFTR","protein_coding",465.563031955219
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001626","1080","CFTR","protein_coding",386.991929019384
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000001626","1080","CFTR","protein_coding",487.718689997537
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000001629","54467","ANKIB1","protein_coding",2235.36164599526
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000001629","54467","ANKIB1","protein_coding",2153.28343516413
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000001629","54467","ANKIB1","protein_coding",1981.87329514409
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000001629","54467","ANKIB1","protein_coding",1613.95184411143
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000001629","54467","ANKIB1","protein_coding",1641.78394129435
