"ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","description","sample.shrubr5_3_2002","sample.shrubr5_2_2002","sample.shrubr5_1_2002","sample.jh_2_002_3","sample.jh_2_002_2","sample.jh_2_002_1"
"ENSG00000000003","7105","TSPAN6","protein_coding","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]",763.802452488897,778.503652241985,734.354837039999,4.90066349426546,13.0300312801139,5.35954604392898
"ENSG00000000419","8813","DPM1","protein_coding","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",676.85974623193,739.866804315901,667.595306399999,820.04435804042,773.983858038767,817.330771699169
"ENSG00000000457","57147","SCYL3","protein_coding","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]",255.798375433723,271.034604854617,329.77599472771,421.45706050683,400.021960299497,412.685045382531
"ENSG00000000460","55732","C1orf112","protein_coding","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]",510.878216104992,407.705246025988,382.861886561927,256.468056199892,204.571491097789,273.336848240378
"ENSG00000000938","2268","FGR","protein_coding","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",0.718534762454278,0.5766693720311,0.80433169445783,120.883032858548,63.8471532725582,64.3145525271477
"ENSG00000000971","3075","CFH","protein_coding","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]",1278.27334240616,1173.52217208329,830.07030868048,153.554122820318,179.814431665572,163.466154339834
"ENSG00000001036","2519","FUCA2","protein_coding","alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]",1140.31466801494,1105.47518618362,912.112141515179,215.62919374768,205.8744942258,219.741387801088
"ENSG00000001084","2729","GCLC","protein_coding","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]",717.097692929369,735.830118711683,733.550505345541,1254.56985453196,1198.76287777048,1238.05513614759
"ENSG00000001167","4800","NFYA","protein_coding","nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]",1472.27772826882,1336.71960436809,1435.73207460723,2159.55904647298,2344.10262729249,1944.17532743524
"ENSG00000001460","90529","STPG1","protein_coding","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]",128.617722479316,144.167343007775,132.714729585542,40.8388624522122,19.5450469201709,12.0589785988402
"ENSG00000001461","57185","NIPAL3","protein_coding","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]",770.269265350986,775.620305381829,867.873898319998,176.423885793557,201.965484841766,167.48581387278
"ENSG00000001497","81887","LAS1L","protein_coding","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]",2094.52883255422,1949.14247746512,1632.79333974939,1364.01800590389,1481.51455654895,1405.54095002037
"ENSG00000001561","22875","ENPP4","protein_coding","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]",95.565123406419,96.3037851291937,127.888739418795,241.766065717096,229.328550530005,269.317188707431
"ENSG00000001617","6405","SEMA3F","protein_coding","semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]",98.439262456236,114.757205034189,103.75878858506,1001.36890732824,1123.18869634582,1138.90353433491
"ENSG00000001626","1080","CFTR","protein_coding","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]",5.02974333717994,7.4967018364043,8.0433169445783,465.563031955219,386.991929019384,487.718689997537
"ENSG00000001629","54467","ANKIB1","protein_coding","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]",2235.36164599526,2153.28343516413,1981.87329514409,1613.95184411143,1641.78394129435,1681.55757128272
"ENSG00000001630","1595","CYP51A1","protein_coding","cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]",278.79148783226,276.224629202897,201.887255308915,539.072984369201,534.231282484671,519.875966261111
"ENSG00000001631","889","KRIT1","protein_coding","KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]",1227.25737427191,1230.61243991437,1158.23764001927,1226.79942806445,994.191386672692,1378.74321980073
"ENSG00000002016","5893","RAD52","protein_coding","RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]",364.297124564319,371.375075588028,309.667702366264,148.653459326052,168.08740351347,132.648764587242
"ENSG00000002079","NA","MYH16","transcribed_unitary_pseudogene","myosin heavy chain 16 pseudogene [Source:HGNC Symbol;Acc:HGNC:31038]",224.901380648189,223.747716348067,257.386142226506,151.920568322229,140.72433782523,174.185246427692
"ENSG00000002330","572","BAD","protein_coding","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]",212.686289686466,232.974426300564,279.103097976867,29.4039809655928,35.1810844563076,57.6151199722365
"ENSG00000002549","51056","LAP3","protein_coding","leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]",1077.80214368142,1195.43560822047,1046.43553448964,2474.83506460406,2718.06452503176,2449.31254207554
"ENSG00000002586","4267","CD99","protein_coding","CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]",3443.93711644335,3785.25775801214,3740.14237922891,6.53421799235395,16.9390406641481,14.7387516208047
"ENSG00000002587","9957","HS3ST1","protein_coding","heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]",2.87413904981711,13.2633955567153,12.8693071113253,372.450425564175,315.326756978757,276.016621262342
"ENSG00000002745","51384","WNT16","protein_coding","Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]",4.31120857472567,5.766693720311,1.60866338891566,19.6026539770618,16.9390406641481,16.0786381317869
"ENSG00000002746","23072","HECW1","protein_coding","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]",139.39574391613,110.14385005794,171.322650919518,133.951468843256,144.633347209265,101.831374834651
"ENSG00000002822","8379","MAD1L1","protein_coding","mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]",3982.11965352161,4175.66292287719,3992.70253128867,929.492509412349,918.617205248032,996.87556417079
"ENSG00000002834","3927","LASP1","protein_coding","LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]",19568.5757206798,19426.8378049837,18149.7446854409,10180.3116320875,10382.3289239948,9891.04222407092
