"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSG00000005249",2032.78013622413,-3.57075444251453,0.0901295330733786,0,0,"5577","PRKAR2B","protein_coding","protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"ENSG00000013810",2782.68129097277,4.89677867728263,0.122655276607374,0,0,"10460","TACC3","protein_coding","transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]"
"ENSG00000069702",1575.42022690915,-4.19862591915584,0.0984528206960595,0,0,"7049","TGFBR3","protein_coding","transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]"
"ENSG00000069869",17758.8756904187,-3.34733984423935,0.0866522031918607,0,0,"4734","NEDD4","protein_coding","NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]"
"ENSG00000076344",7338.01092478572,-7.99452932152174,0.137140855220744,0,0,"8786","RGS11","protein_coding","regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]"
"ENSG00000089009",5790.37155368202,5.12212268362275,0.127586140317845,0,0,"6128","RPL6","protein_coding","ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]"
"ENSG00000100784",5036.92656318358,-5.71964008236418,0.116200385765587,0,0,"9252","RPS6KA5","protein_coding","ribosomal protein S6 kinase A5 [Source:HGNC Symbol;Acc:HGNC:10434]"
"ENSG00000104313",5203.73844830841,-7.35618744843606,0.157053791748008,0,0,"2138","EYA1","protein_coding","EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]"
"ENSG00000106333",8452.80274059216,-5.23538020415593,0.104116236234462,0,0,"5118","PCOLCE","protein_coding","procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]"
"ENSG00000106366",8381.50498263706,7.53217215590596,0.18239832346387,0,0,"5054","SERPINE1","protein_coding","serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]"
"ENSG00000107796",9659.4499116784,-6.4465852497007,0.104893288111819,0,0,"59","ACTA2","protein_coding","actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]"
"ENSG00000108515",2846.13764872702,-4.84327871630539,0.107526197564817,0,0,"2027","ENO3","protein_coding","enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]"
"ENSG00000108828",18044.4523207955,-3.23905919680106,0.0637613822678128,0,0,"10493","VAT1","protein_coding","vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]"
"ENSG00000110719",1644.13501653457,-5.40145547716823,0.116334424885289,0,0,"10312","TCIRG1","protein_coding","T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]"
"ENSG00000111275",4969.07816145824,-4.47997268835738,0.0969038513100243,0,0,"217","ALDH2","protein_coding","aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]"
"ENSG00000113739",8410.82283709657,6.38378317065419,0.10470342043084,0,0,"8614","STC2","protein_coding","stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]"
"ENSG00000114270",13594.2758134871,3.68591503078498,0.0768563158381427,0,0,"1294","COL7A1","protein_coding","collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]"
"ENSG00000116641",6024.42620101118,-3.62081807841301,0.0717795255091354,0,0,"85440","DOCK7","protein_coding","dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]"
"ENSG00000118523",8432.15949057965,5.62169943705503,0.119898712694223,0,0,"1490","CCN2","protein_coding","cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500]"
"ENSG00000118785",7644.06852161691,-6.18024602149693,0.142771388052708,0,0,"6696","SPP1","protein_coding","secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]"
"ENSG00000118971",3872.47901314394,6.31560080103741,0.161489737074428,0,0,"894","CCND2","protein_coding","cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]"
"ENSG00000121089",2249.66930535649,-5.66760923726583,0.113405025574548,0,0,"NA","NACA3P","processed_pseudogene","NACA family member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:33442]"
"ENSG00000125534",3306.47165229443,4.88241604959732,0.121455154887625,0,0,"79144","PPDPF","protein_coding","pancreatic progenitor cell differentiation and proliferation factor [Source:HGNC Symbol;Acc:HGNC:16142]"
"ENSG00000127824",9290.31492511622,-5.96549063795455,0.102932610797108,0,0,"7277","TUBA4A","protein_coding","tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]"
"ENSG00000130830",7312.16200496058,-4.94097187828296,0.0959146861388756,0,0,"4354","MPP1","protein_coding","membrane palmitoylated protein 1 [Source:HGNC Symbol;Acc:HGNC:7219]"
"ENSG00000132386",4571.50512838162,-6.09238249751996,0.14679384741938,0,0,"5176","SERPINF1","protein_coding","serpin family F member 1 [Source:HGNC Symbol;Acc:HGNC:8824]"
"ENSG00000133392",5338.17192764491,-7.64675453574457,0.127189319672098,0,0,"4629","MYH11","protein_coding","myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]"
"ENSG00000133639",4323.91235339685,-3.63701288269515,0.0910742892005289,0,0,"694","BTG1","protein_coding","BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]"
"ENSG00000134871",31234.5046874865,4.42904383469078,0.107223598956543,0,0,"1284","COL4A2","protein_coding","collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]"
"ENSG00000136193",10346.4829809934,4.74604777220377,0.0941036892777437,0,0,"9805","SCRN1","protein_coding","secernin 1 [Source:HGNC Symbol;Acc:HGNC:22192]"
"ENSG00000139239",3601.00878504254,-4.43057079850546,0.102395360064047,0,0,"NA","RPL14P1","processed_pseudogene","ribosomal protein L14 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31384]"
"ENSG00000140285",4314.15796853104,-8.91158283808351,0.186983713446707,0,0,"2252","FGF7","protein_coding","fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]"
"ENSG00000140945",5874.53820220672,5.26943448506953,0.0996225839413407,0,0,"1012","CDH13","protein_coding","cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]"
"ENSG00000140988",38781.9461608239,5.49069433018805,0.116022678409899,0,0,"6187","RPS2","protein_coding","ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]"
"ENSG00000142089",4541.48662073694,6.05162229939947,0.148474127862387,0,0,"10410","IFITM3","protein_coding","interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]"
"ENSG00000143632",6596.56784901575,-7.2215145278145,0.121769009835609,0,0,"58","ACTA1","protein_coding","actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]"
"ENSG00000143819",3667.96783237365,-3.69330657176811,0.0883620208990574,0,0,"2052","EPHX1","protein_coding","epoxide hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3401]"
"ENSG00000145147",12188.1243063109,-4.66099175726213,0.105585583171641,0,0,"9353","SLIT2","protein_coding","slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]"
