"experiment","condition","sample","sample_label","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","normalized_count"
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000001","14679","Gnai3","protein_coding",13542.0430251854
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000001","14679","Gnai3","protein_coding",14448.671751646
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000001","14679","Gnai3","protein_coding",14456.8817197173
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000001","14679","Gnai3","protein_coding",15854.6559501624
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000001","14679","Gnai3","protein_coding",15018.9515916788
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000001","14679","Gnai3","protein_coding",14657.0930295994
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000028","12544","Cdc45","protein_coding",2044.60469570107
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000028","12544","Cdc45","protein_coding",1875.62372594684
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000028","12544","Cdc45","protein_coding",1857.52237123633
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000028","12544","Cdc45","protein_coding",2098.47862063643
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000028","12544","Cdc45","protein_coding",2120.67256486919
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000028","12544","Cdc45","protein_coding",2267.91768728778
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000031","14955","H19","lincRNA",179.156870355017
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000031","14955","H19","lincRNA",228.766303372588
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000031","14955","H19","lincRNA",103.032144204868
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000031","14955","H19","lincRNA",14.8564858098154
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000031","14955","H19","lincRNA",10.6246120484428
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000031","14955","H19","lincRNA",25.3115813313368
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000037","107815","Scml2","protein_coding",33.2456048081475
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000037","107815","Scml2","protein_coding",28.5957879215735
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000037","107815","Scml2","protein_coding",15.7001362597894
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000037","107815","Scml2","protein_coding",27.855910893404
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000037","107815","Scml2","protein_coding",38.2486033743942
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000037","107815","Scml2","protein_coding",21.9367038204919
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000056","67608","Narf","protein_coding",1850.67200098688
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000056","67608","Narf","protein_coding",1754.7415315511
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000056","67608","Narf","protein_coding",1812.38447948944
"mouseKD","Control","sample.jw23.3_3","Control 3","ENSMUSG00000000056","67608","Narf","protein_coding",1595.21516382893
"mouseKD","Control","sample.jw23.3_2","Control 2","ENSMUSG00000000056","67608","Narf","protein_coding",1499.13276003528
"mouseKD","Control","sample.jw23.3_1","Control 1","ENSMUSG00000000056","67608","Narf","protein_coding",1586.19243009711
"mouseKD","KD","sample.shrubr5_3_jw","KD 3 jw","ENSMUSG00000000058","12390","Cav2","protein_coding",1083.25262333214
"mouseKD","KD","sample.shrubr5_2_jw","KD 2 jw","ENSMUSG00000000058","12390","Cav2","protein_coding",1215.32098666687
"mouseKD","KD","sample.shrubr5_1_jw","KD 1 jw","ENSMUSG00000000058","12390","Cav2","protein_coding",1190.26658019528
