"ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","description","sample.shrubr5_3_jw","sample.shrubr5_2_jw","sample.shrubr5_1_jw","sample.jw23.3_3","sample.jw23.3_2","sample.jw23.3_1"
"ENSMUSG00000000001","14679","Gnai3","protein_coding","guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]",13542.0430251854,14448.671751646,14456.8817197173,15854.6559501624,15018.9515916788,14657.0930295994
"ENSMUSG00000000028","12544","Cdc45","protein_coding","cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]",2044.60469570107,1875.62372594684,1857.52237123633,2098.47862063643,2120.67256486919,2267.91768728778
"ENSMUSG00000000031","14955","H19","lincRNA","H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]",179.156870355017,228.766303372588,103.032144204868,14.8564858098154,10.6246120484428,25.3115813313368
"ENSMUSG00000000037","107815","Scml2","protein_coding","Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]",33.2456048081475,28.5957879215735,15.7001362597894,27.855910893404,38.2486033743942,21.9367038204919
"ENSMUSG00000000056","67608","Narf","protein_coding","nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]",1850.67200098688,1754.7415315511,1812.38447948944,1595.21516382893,1499.13276003528,1586.19243009711
"ENSMUSG00000000058","12390","Cav2","protein_coding","caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]",1083.25262333214,1215.32098666687,1190.26658019528,1970.34143052677,1672.3139364249,1533.0381093013
"ENSMUSG00000000078","23849","Klf6","protein_coding","Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]",15618.9698366722,16675.243783903,16649.9945035067,26954.3079108208,27482.6839857071,28748.8940761324
"ENSMUSG00000000085","29871","Scmh1","protein_coding","sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]",3088.14729106792,3360.00508078489,3137.08347640917,2986.1536477729,2904.76893404427,3031.48372411644
"ENSMUSG00000000088","12858","Cox5a","protein_coding","cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]",8298.4723557226,7802.7506769639,7727.4108153651,8782.96870469027,8435.94196646361,7228.98762822979
"ENSMUSG00000000093","21385","Tbx2","protein_coding","T-box 2 [Source:MGI Symbol;Acc:MGI:98494]",54.485852324464,70.189661262044,52.0067013605524,133.708372288339,154.056874702421,118.964432257283
"ENSMUSG00000000126","216795","Wnt9a","protein_coding","wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]",84.9609900652659,81.8879381390514,81.4444568476575,296.201185833195,247.553460728718,199.961492517561
"ENSMUSG00000000127","14158","Fer","protein_coding","fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]",2010.43560187048,2000.40534596826,2006.67366570433,1039.02547632397,1196.33131665466,1139.86487928787
"ENSMUSG00000000131","74204","Xpo6","protein_coding","exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]",10633.976093495,9908.44051482522,10249.2452020938,9877.70600280104,10173.066036384,9392.28411268138
"ENSMUSG00000000134","209446","Tfe3","protein_coding","transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]",6273.26092949295,6106.50052979783,6202.53508113305,5458.83000474406,5412.17737747678,5251.30940687468
"ENSMUSG00000000142","12006","Axin2","protein_coding","axin 2 [Source:MGI Symbol;Acc:MGI:1270862]",60.9502754816038,50.6925331336985,54.9504769092629,116.066295389183,112.620887713494,133.307661678374
"ENSMUSG00000000148","231841","Brat1","protein_coding","BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]",1328.90070330345,1280.31141376136,1499.36301280989,1484.72005061843,1337.63865689895,1232.6740108361
"ENSMUSG00000000149","14673","Gna12","protein_coding","guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]",14277.1402870545,14097.7234453357,14084.0034835473,9597.28983314077,8894.92520695634,7983.27275190363
"ENSMUSG00000000167","72614","Pih1d2","protein_coding","PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]",29.5516487183533,41.5938733404705,32.3815310358156,23.2132590778366,29.7489137356399,32.0613363530266
"ENSMUSG00000000168","235339","Dlat","protein_coding","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]",5228.79484510365,5285.02153132354,5415.56575111111,4059.53474753207,3940.66860876745,3599.30686531609
"ENSMUSG00000000171","66925","Sdhd","protein_coding","succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]",7516.27715370868,7379.01309230785,7570.4094527672,10986.3712563585,9998.82239878955,8494.56669479663
"ENSMUSG00000000184","12444","Ccnd2","protein_coding","cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]",21824.8160675264,21757.4951826918,23234.2391474558,17065.4595436624,17344.6791690829,16395.1549476846
"ENSMUSG00000000194","277463","Gpr107","protein_coding","G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]",3512.95224139425,4111.29441799713,4031.00998470093,2505.17491968013,2816.5846540422,2738.71310005064
"ENSMUSG00000000223","13497","Drp2","protein_coding","dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]",36.9395608979417,18.1973195864559,35.3253065845262,55.7118217868079,107.308581689273,75.0910246162992
"ENSMUSG00000000253","66355","Gmpr","protein_coding","guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]",220.713876365202,262.56132546172,203.120512861025,200.562558432508,152.994413497577,149.338329854887
"ENSMUSG00000000266","23947","Mid2","protein_coding","midline 2 [Source:MGI Symbol;Acc:MGI:1344333]",989.980232064837,1064.54319580767,1022.47137391878,1183.87621296967,1013.58798942145,1134.8025630216
"ENSMUSG00000000275","217069","Trim25","protein_coding","tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]",10651.5223849215,10593.4396164011,11366.8986520875,7870.22335774973,7928.08551054804,7830.5595445379
"ENSMUSG00000000276","56077","Dgke","protein_coding","diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]",798.818004417989,816.279764306734,819.350861057759,1394.65260539642,1382.26202750241,1199.76895510536
"ENSMUSG00000000278","74617","Scpep1","protein_coding","serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]",32710.9046641498,31273.3935178663,32735.7653601771,35674.1365508193,34425.8679593645,34287.0680714288
"ENSMUSG00000000282","17428","Mnt","protein_coding","max binding protein [Source:MGI Symbol;Acc:MGI:109150]",8471.16480292048,7830.04665634358,8065.9450034668,8412.48508980799,9602.52436938263,10291.6889693215
"ENSMUSG00000000290","16414","Itgb2","protein_coding","integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611]",45.2509620999786,46.7931075080294,54.9504769092629,9.28530363113465,28.6864525307957,31.2176169753154
"ENSMUSG00000000295","69692","Hddc2","protein_coding","HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]",404.488191832461,397.74141381825,337.552929585472,359.341250524911,285.802064103112,302.051537220619
"ENSMUSG00000000296","21987","Tpd52l1","protein_coding","tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]",92.3489022448542,93.5862150160587,100.088368656157,104.923931031822,103.058736869895,95.3402896813687
"ENSMUSG00000000301","18618","Pemt","protein_coding","phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]",196.703161781539,243.064197333375,162.888913695315,76.1394897753041,97.7464308456741,75.9347439940104
"ENSMUSG00000000317","12029","Bcl6b","protein_coding","B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]",1219.00550963208,1388.1955227382,1328.62403098468,845.891160796367,889.280028454665,811.6580413582
"ENSMUSG00000000325","11877","Arvcf","protein_coding","armadillo repeat gene deleted in velocardiofacial syndrome [Source:MGI Symbol;Acc:MGI:109620]",324.144646879438,335.350603807544,299.283847452235,502.334926444385,528.043218807609,458.983341474907
"ENSMUSG00000000326","12846","Comt","protein_coding","catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]",5241.72369141792,5603.47462408652,5340.00884536087,5556.32569287098,5671.41791145878,5269.87123318432
"ENSMUSG00000000339","66368","Rtca","protein_coding","RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]",3288.54440893926,3253.42078034993,3458.93626973485,3362.20844483386,3413.68785116468,2995.20379087486
"ENSMUSG00000000340","13171","Dbt","protein_coding","dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]",3606.22463266156,3838.3346242003,3728.78236169998,2447.60603716709,2648.7157836768,2682.18390174399
"ENSMUSG00000000346","23994","Dazap2","protein_coding","DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]",9653.23075165461,9556.19239997311,8970.66535543717,10843.377580439,10109.3183640934,9964.32585076959
"ENSMUSG00000000355","68995","Mcts1","protein_coding","malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]",823.7522080241,851.374594937756,880.188889064443,714.968379597368,707.599162426293,575.416615599057
"ENSMUSG00000000374","216131","Trappc10","protein_coding","trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209]",4706.10005839777,4936.6728420971,5434.20966291961,7463.52705870603,7067.49193462417,6890.65615776759
"ENSMUSG00000000378","216527","Ccm2","protein_coding","cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]",4585.12299645701,4202.28101592941,4408.79451345211,3645.41020558346,3253.2562092332,3279.53722116354
"ENSMUSG00000000384","21379","Tbrg4","protein_coding","transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]",5386.71146794235,5125.1450806711,5615.74248842342,4523.7999290888,4564.33333601104,4051.54045176931
"ENSMUSG00000000386","NA","Mx1","protein_coding","MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243]",51.7153852571184,66.2902356363749,51.0254428443155,5.57118217868079,8.49968963875427,1.68743875542245
"ENSMUSG00000000399","66108","Ndufa9","protein_coding","NADH:ubiquinone oxidoreductase subunit A9 [Source:MGI Symbol;Acc:MGI:1913358]",6885.53415137633,6639.42203197261,6939.46022682692,7606.5207346255,6918.74736594597,6365.86270483121
"ENSMUSG00000000409","16818","Lck","protein_coding","lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756]",615.043688950729,644.705036777293,589.736368258339,432.695149210875,467.482930131485,423.547127611036
"ENSMUSG00000000420","14423","Galnt1","protein_coding","polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]",3973.77326359608,4308.86531636437,4005.49726327877,3629.62518941053,3217.13252826849,3505.65401439015
"ENSMUSG00000000439","67027","Mkrn2","protein_coding","makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]",1363.9932861565,1355.70030919096,1437.54372628697,1267.44394564988,1136.83348918338,1130.58396613304
"ENSMUSG00000000441","110157","Raf1","protein_coding","v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]",6002.67864591552,6313.17008795829,6197.62878855187,5629.67959155694,5534.36041603387,5344.11853842291
"ENSMUSG00000000486","54204","45536","protein_coding","septin 1 [Source:MGI Symbol;Acc:MGI:1858916]",224.407832454996,231.365920456367,181.532825503815,334.270930720847,432.421710371623,373.767684326074
"ENSMUSG00000000489","18591","Pdgfb","protein_coding","platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]",0,1.2998085418897,2.94377554871051,41.7838663401059,30.8113749404842,25.3115813313368
"ENSMUSG00000000530","11482","Acvrl1","protein_coding","activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]",20.3167584938679,41.5938733404705,19.6251703247368,20.4276679884962,35.0612197598614,23.6241425759144
"ENSMUSG00000000531","56149","Grasp","protein_coding","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:MGI Symbol;Acc:MGI:1860303]",1646.58092702575,1632.55952861347,1643.6080146967,2358.4671223082,2176.98300872594,2720.151273741
"ENSMUSG00000000532","11479","Acvr1b","protein_coding","activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]",1013.9909466485,1095.73860081302,1248.16083265326,2079.90801337416,2205.66946125673,2068.79991414793
"ENSMUSG00000000538","216810","Tom1l2","protein_coding","target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306]",7435.01011973321,7242.53319540943,7331.96363332165,7337.2469293226,8933.17381033073,7525.13312980643
