"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","description"
"ENSMUSG00000028037",3097.3936944808,3.17544563324005,0.0725450421491115,0,0,"99899","Ifi44","protein_coding","interferon-induced protein 44 [Source:MGI Symbol;Acc:MGI:2443016]"
"ENSMUSG00000033880",3718.53341852319,3.0320637235621,0.0731360003639655,0,0,"19039","Lgals3bp","protein_coding","lectin, galactoside-binding, soluble, 3 binding protein [Source:MGI Symbol;Acc:MGI:99554]"
"ENSMUSG00000035783",2897.15228327536,3.76884805739409,0.0968196879699159,0,0,"11475","Acta2","protein_coding","actin, alpha 2, smooth muscle, aorta [Source:MGI Symbol;Acc:MGI:87909]"
"ENSMUSG00000029561",3485.5947443886,2.65594839594937,0.0696723611449146,4.25301589253062e-319,1.59796439375074e-315,"23962","Oasl2","protein_coding","2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390]"
"ENSMUSG00000018593",66132.994453486,1.83871221950977,0.0521626607275102,3.1329558495612e-273,9.41703869261106e-270,"20692","Sparc","protein_coding","secreted acidic cysteine rich glycoprotein [Source:MGI Symbol;Acc:MGI:98373]"
"ENSMUSG00000022389",5330.74200785226,-2.0451361137847,0.0623075317877468,1.58896571496923e-237,3.98009428837876e-234,"21685","Tef","protein_coding","thyrotroph embryonic factor [Source:MGI Symbol;Acc:MGI:98663]"
"ENSMUSG00000021453",2110.46527457525,-3.03776823356211,0.0971407249306402,8.86080832979104e-216,1.90241554840614e-212,"23882","Gadd45g","protein_coding","growth arrest and DNA-damage-inducible 45 gamma [Source:MGI Symbol;Acc:MGI:1346325]"
"ENSMUSG00000040618",4315.61124536122,2.38884402130579,0.0769436511849394,8.8856667443774e-213,1.6692835687656e-209,"74551","Pck2","protein_coding","phosphoenolpyruvate carboxykinase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1860456]"
"ENSMUSG00000028268",1341.11371654773,2.83419693567005,0.0926965611042669,2.26056947888399e-206,3.77489985534972e-203,"55932","Gbp3","protein_coding","guanylate binding protein 3 [Source:MGI Symbol;Acc:MGI:1926263]"
"ENSMUSG00000036256",1066.13924965804,3.26200623334599,0.107111830653629,1.09436414838456e-204,1.64471987860715e-201,"29817","Igfbp7","protein_coding","insulin-like growth factor binding protein 7 [Source:MGI Symbol;Acc:MGI:1352480]"
"ENSMUSG00000028179",8826.93583735816,1.68561220570359,0.0563152941296943,6.83958496690698e-198,9.34473840614954e-195,"107869","Cth","protein_coding","cystathionase (cystathionine gamma-lyase) [Source:MGI Symbol;Acc:MGI:1339968]"
"ENSMUSG00000025498",1117.20642349579,2.86667760869945,0.0968659124511484,1.02012438374036e-193,1.27762078026949e-190,"54123","Irf7","protein_coding","interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]"
"ENSMUSG00000070327",33936.2504206497,1.69520972498523,0.0611336327691345,3.91724666149297e-170,4.52863846735214e-167,"672511","Rnf213","protein_coding","ring finger protein 213 [Source:MGI Symbol;Acc:MGI:1289196]"
"ENSMUSG00000001123",925.843829783382,2.99675378539338,0.109949627857345,8.32097742379434e-165,8.93256926444323e-162,"16859","Lgals9","protein_coding","lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]"
"ENSMUSG00000027737",4128.16804616206,1.88226077792194,0.0699832152025247,2.37899311534877e-160,2.23461797066105e-157,"26570","Slc7a11","protein_coding","solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 [Source:MGI Symbol;Acc:MGI:1347355]"
"ENSMUSG00000030107",1504.13497516757,2.63295716583646,0.097977694362127,2.32970285206867e-160,2.23461797066105e-157,"24110","Usp18","protein_coding","ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364]"
"ENSMUSG00000025492",27354.2933216428,1.74873164575305,0.0662115042173913,9.50566822746705e-155,8.40356987003542e-152,"66141","Ifitm3","protein_coding","interferon induced transmembrane protein 3 [Source:MGI Symbol;Acc:MGI:1913391]"
"ENSMUSG00000003617",1283.18164379532,3.10268965646256,0.118971302225947,4.22898132922979e-151,3.5309644664997e-148,"12870","Cp","protein_coding","ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]"
"ENSMUSG00000087141",3334.04622220076,-2.26674788277774,0.0887814713186326,7.60665848363826e-145,6.01686686055786e-142,"433022","Plcxd2","protein_coding","phosphatidylinositol-specific phospholipase C, X domain containing 2 [Source:MGI Symbol;Acc:MGI:3647874]"
"ENSMUSG00000031007",12901.272558711,-1.341278033736,0.0528881675842663,7.99125563949104e-143,6.00502905029554e-140,"70495","Atp6ap2","protein_coding","ATPase, H+ transporting, lysosomal accessory protein 2 [Source:MGI Symbol;Acc:MGI:1917745]"
"ENSMUSG00000031673",4399.82759025376,2.03268732008439,0.0802614766857636,1.29905722574767e-142,9.29691954560083e-140,"12552","Cdh11","protein_coding","cadherin 11 [Source:MGI Symbol;Acc:MGI:99217]"
"ENSMUSG00000024598",12038.6375463037,1.46460194677919,0.0582421698518871,1.64159655770844e-140,1.12143430299092e-137,"14119","Fbn2","protein_coding","fibrillin 2 [Source:MGI Symbol;Acc:MGI:95490]"
"ENSMUSG00000015312",6213.77642912195,-2.06100708200436,0.0832630767619478,2.20059633967912e-136,1.43794619082772e-133,"17873","Gadd45b","protein_coding","growth arrest and DNA-damage-inducible 45 beta [Source:MGI Symbol;Acc:MGI:107776]"
