"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_ADIPOGENESIS","sample.WT_1",0.315950607205444,"WT 1","WT","CRISPR"
"HALLMARK_ADIPOGENESIS","sample.WT_2",0.324525524231985,"WT 2","WT","CRISPR"
"HALLMARK_ADIPOGENESIS","sample.WT_3",0.308166323037582,"WT 3","WT","CRISPR"
"HALLMARK_ADIPOGENESIS","sample.pos.neg_1",0.317039825922758,"Het 1","Het","CRISPR"
"HALLMARK_ADIPOGENESIS","sample.pos.neg_2",0.30326230616974,"Het 2","Het","CRISPR"
"HALLMARK_ADIPOGENESIS","sample.pos.neg_3",0.306964554158207,"Het 3","Het","CRISPR"
"HALLMARK_ADIPOGENESIS","sample.neg.neg_1",0.310004593207966,"KO 1","KO","CRISPR"
"HALLMARK_ADIPOGENESIS","sample.neg.neg_2",0.305766212417733,"KO 2","KO","CRISPR"
"HALLMARK_ADIPOGENESIS","sample.neg.neg_3",0.305750206308315,"KO 3","KO","CRISPR"
"HALLMARK_ALLOGRAFT_REJECTION","sample.WT_1",0.227043921543415,"WT 1","WT","CRISPR"
"HALLMARK_ALLOGRAFT_REJECTION","sample.WT_2",0.238742458834349,"WT 2","WT","CRISPR"
"HALLMARK_ALLOGRAFT_REJECTION","sample.WT_3",0.232745862298957,"WT 3","WT","CRISPR"
"HALLMARK_ALLOGRAFT_REJECTION","sample.pos.neg_1",0.264413844414435,"Het 1","Het","CRISPR"
"HALLMARK_ALLOGRAFT_REJECTION","sample.pos.neg_2",0.239171338213042,"Het 2","Het","CRISPR"
"HALLMARK_ALLOGRAFT_REJECTION","sample.pos.neg_3",0.238457301178088,"Het 3","Het","CRISPR"
"HALLMARK_ALLOGRAFT_REJECTION","sample.neg.neg_1",0.233557750908464,"KO 1","KO","CRISPR"
"HALLMARK_ALLOGRAFT_REJECTION","sample.neg.neg_2",0.233316233119663,"KO 2","KO","CRISPR"
"HALLMARK_ALLOGRAFT_REJECTION","sample.neg.neg_3",0.227449777148813,"KO 3","KO","CRISPR"
"HALLMARK_ANDROGEN_RESPONSE","sample.WT_1",0.417119795685562,"WT 1","WT","CRISPR"
"HALLMARK_ANDROGEN_RESPONSE","sample.WT_2",0.41822918973943,"WT 2","WT","CRISPR"
"HALLMARK_ANDROGEN_RESPONSE","sample.WT_3",0.409882697943988,"WT 3","WT","CRISPR"
"HALLMARK_ANDROGEN_RESPONSE","sample.pos.neg_1",0.43144137529072,"Het 1","Het","CRISPR"
"HALLMARK_ANDROGEN_RESPONSE","sample.pos.neg_2",0.429130687089137,"Het 2","Het","CRISPR"
"HALLMARK_ANDROGEN_RESPONSE","sample.pos.neg_3",0.424691338212737,"Het 3","Het","CRISPR"
"HALLMARK_ANDROGEN_RESPONSE","sample.neg.neg_1",0.423464306793165,"KO 1","KO","CRISPR"
"HALLMARK_ANDROGEN_RESPONSE","sample.neg.neg_2",0.42138819484807,"KO 2","KO","CRISPR"
