"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_ADIPOGENESIS","sample.shrubr5_3_2002",0.430591348687504,"KD 3 2002","KD","humanKD"
"HALLMARK_ADIPOGENESIS","sample.shrubr5_2_2002",0.428887727188963,"KD 2 2002","KD","humanKD"
"HALLMARK_ADIPOGENESIS","sample.shrubr5_1_2002",0.416594767833589,"KD 1 2002","KD","humanKD"
"HALLMARK_ADIPOGENESIS","sample.jh_2_002_3",0.454419796710099,"Control 3","Control","humanKD"
"HALLMARK_ADIPOGENESIS","sample.jh_2_002_2",0.4603981928691,"Control 2","Control","humanKD"
"HALLMARK_ADIPOGENESIS","sample.jh_2_002_1",0.463111630675765,"Control 1","Control","humanKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.shrubr5_3_2002",0.158132974387509,"KD 3 2002","KD","humanKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.shrubr5_2_2002",0.163274736001878,"KD 2 2002","KD","humanKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.shrubr5_1_2002",0.176257174805027,"KD 1 2002","KD","humanKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.jh_2_002_3",0.111015713787117,"Control 3","Control","humanKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.jh_2_002_2",0.116203049285654,"Control 2","Control","humanKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.jh_2_002_1",0.113097041380595,"Control 1","Control","humanKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.shrubr5_3_2002",0.562306721188098,"KD 3 2002","KD","humanKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.shrubr5_2_2002",0.561806904821809,"KD 2 2002","KD","humanKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.shrubr5_1_2002",0.56582784085367,"KD 1 2002","KD","humanKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.jh_2_002_3",0.501651266229964,"Control 3","Control","humanKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.jh_2_002_2",0.503906803527212,"Control 2","Control","humanKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.jh_2_002_1",0.506942266529383,"Control 1","Control","humanKD"
"HALLMARK_ANGIOGENESIS","sample.shrubr5_3_2002",0.563964379755476,"KD 3 2002","KD","humanKD"
"HALLMARK_ANGIOGENESIS","sample.shrubr5_2_2002",0.560942744002305,"KD 2 2002","KD","humanKD"
"HALLMARK_ANGIOGENESIS","sample.shrubr5_1_2002",0.548769427632234,"KD 1 2002","KD","humanKD"
"HALLMARK_ANGIOGENESIS","sample.jh_2_002_3",0.42562596371632,"Control 3","Control","humanKD"
"HALLMARK_ANGIOGENESIS","sample.jh_2_002_2",0.435181547197828,"Control 2","Control","humanKD"
"HALLMARK_ANGIOGENESIS","sample.jh_2_002_1",0.423846499449826,"Control 1","Control","humanKD"
"HALLMARK_APICAL_JUNCTION","sample.shrubr5_3_2002",0.445871669858818,"KD 3 2002","KD","humanKD"
"HALLMARK_APICAL_JUNCTION","sample.shrubr5_2_2002",0.445953866359965,"KD 2 2002","KD","humanKD"
"HALLMARK_APICAL_JUNCTION","sample.shrubr5_1_2002",0.449179374941835,"KD 1 2002","KD","humanKD"
"HALLMARK_APICAL_JUNCTION","sample.jh_2_002_3",0.408418524574593,"Control 3","Control","humanKD"
"HALLMARK_APICAL_JUNCTION","sample.jh_2_002_2",0.415182771438458,"Control 2","Control","humanKD"
"HALLMARK_APICAL_JUNCTION","sample.jh_2_002_1",0.409032670164107,"Control 1","Control","humanKD"
"HALLMARK_APICAL_SURFACE","sample.shrubr5_3_2002",0.282498086174732,"KD 3 2002","KD","humanKD"
"HALLMARK_APICAL_SURFACE","sample.shrubr5_2_2002",0.276977806588537,"KD 2 2002","KD","humanKD"
"HALLMARK_APICAL_SURFACE","sample.shrubr5_1_2002",0.286493000916682,"KD 1 2002","KD","humanKD"
"HALLMARK_APICAL_SURFACE","sample.jh_2_002_3",0.190066964637016,"Control 3","Control","humanKD"
"HALLMARK_APICAL_SURFACE","sample.jh_2_002_2",0.200985406213922,"Control 2","Control","humanKD"
"HALLMARK_APICAL_SURFACE","sample.jh_2_002_1",0.185109039998906,"Control 1","Control","humanKD"
