"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_ADIPOGENESIS","sample.shrubr5_3_jw",0.308553709178725,"KD 3 jw","KD","mouseKD"
"HALLMARK_ADIPOGENESIS","sample.shrubr5_2_jw",0.311047798797405,"KD 2 jw","KD","mouseKD"
"HALLMARK_ADIPOGENESIS","sample.shrubr5_1_jw",0.307324427792349,"KD 1 jw","KD","mouseKD"
"HALLMARK_ADIPOGENESIS","sample.jw23.3_3",0.297292875017352,"Control 3","Control","mouseKD"
"HALLMARK_ADIPOGENESIS","sample.jw23.3_2",0.288834051122868,"Control 2","Control","mouseKD"
"HALLMARK_ADIPOGENESIS","sample.jw23.3_1",0.2807056502891,"Control 1","Control","mouseKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.shrubr5_3_jw",0.214862422145441,"KD 3 jw","KD","mouseKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.shrubr5_2_jw",0.21882061241727,"KD 2 jw","KD","mouseKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.shrubr5_1_jw",0.216756846291908,"KD 1 jw","KD","mouseKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.jw23.3_3",0.204610031053899,"Control 3","Control","mouseKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.jw23.3_2",0.194993234468984,"Control 2","Control","mouseKD"
"HALLMARK_ALLOGRAFT_REJECTION","sample.jw23.3_1",0.196276294016566,"Control 1","Control","mouseKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.shrubr5_3_jw",0.391063196501967,"KD 3 jw","KD","mouseKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.shrubr5_2_jw",0.394959278192294,"KD 2 jw","KD","mouseKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.shrubr5_1_jw",0.386873767815195,"KD 1 jw","KD","mouseKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.jw23.3_3",0.398883629882597,"Control 3","Control","mouseKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.jw23.3_2",0.390574741271338,"Control 2","Control","mouseKD"
"HALLMARK_ANDROGEN_RESPONSE","sample.jw23.3_1",0.397987666903655,"Control 1","Control","mouseKD"
"HALLMARK_ANGIOGENESIS","sample.shrubr5_3_jw",0.45510143280233,"KD 3 jw","KD","mouseKD"
"HALLMARK_ANGIOGENESIS","sample.shrubr5_2_jw",0.471848929009428,"KD 2 jw","KD","mouseKD"
"HALLMARK_ANGIOGENESIS","sample.shrubr5_1_jw",0.457296821816464,"KD 1 jw","KD","mouseKD"
"HALLMARK_ANGIOGENESIS","sample.jw23.3_3",0.380313290718671,"Control 3","Control","mouseKD"
"HALLMARK_ANGIOGENESIS","sample.jw23.3_2",0.378981318162484,"Control 2","Control","mouseKD"
"HALLMARK_ANGIOGENESIS","sample.jw23.3_1",0.369422971069557,"Control 1","Control","mouseKD"
"HALLMARK_APICAL_JUNCTION","sample.shrubr5_3_jw",0.296413409603853,"KD 3 jw","KD","mouseKD"
"HALLMARK_APICAL_JUNCTION","sample.shrubr5_2_jw",0.2994937717487,"KD 2 jw","KD","mouseKD"
"HALLMARK_APICAL_JUNCTION","sample.shrubr5_1_jw",0.297943281749454,"KD 1 jw","KD","mouseKD"
"HALLMARK_APICAL_JUNCTION","sample.jw23.3_3",0.286381596331429,"Control 3","Control","mouseKD"
"HALLMARK_APICAL_JUNCTION","sample.jw23.3_2",0.292483045915383,"Control 2","Control","mouseKD"
"HALLMARK_APICAL_JUNCTION","sample.jw23.3_1",0.291805414489509,"Control 1","Control","mouseKD"
"HALLMARK_APICAL_SURFACE","sample.shrubr5_3_jw",0.117248668043234,"KD 3 jw","KD","mouseKD"
"HALLMARK_APICAL_SURFACE","sample.shrubr5_2_jw",0.118113423947406,"KD 2 jw","KD","mouseKD"
"HALLMARK_APICAL_SURFACE","sample.shrubr5_1_jw",0.111477024455441,"KD 1 jw","KD","mouseKD"
"HALLMARK_APICAL_SURFACE","sample.jw23.3_3",0.0821803589503363,"Control 3","Control","mouseKD"
"HALLMARK_APICAL_SURFACE","sample.jw23.3_2",0.0774772140787458,"Control 2","Control","mouseKD"
"HALLMARK_APICAL_SURFACE","sample.jw23.3_1",0.0800671218500251,"Control 1","Control","mouseKD"
"HALLMARK_APOPTOSIS","sample.shrubr5_3_jw",0.39206241453747,"KD 3 jw","KD","mouseKD"
"HALLMARK_APOPTOSIS","sample.shrubr5_2_jw",0.397690950427412,"KD 2 jw","KD","mouseKD"
"HALLMARK_APOPTOSIS","sample.shrubr5_1_jw",0.389566755058552,"KD 1 jw","KD","mouseKD"
"HALLMARK_APOPTOSIS","sample.jw23.3_3",0.387093212491582,"Control 3","Control","mouseKD"
"HALLMARK_APOPTOSIS","sample.jw23.3_2",0.376651738827954,"Control 2","Control","mouseKD"
"HALLMARK_APOPTOSIS","sample.jw23.3_1",0.37394293983942,"Control 1","Control","mouseKD"
"HALLMARK_BILE_ACID_METABOLISM","sample.shrubr5_3_jw",-0.0454133572922653,"KD 3 jw","KD","mouseKD"
"HALLMARK_BILE_ACID_METABOLISM","sample.shrubr5_2_jw",-0.0379173061105773,"KD 2 jw","KD","mouseKD"
"HALLMARK_BILE_ACID_METABOLISM","sample.shrubr5_1_jw",-0.0477703554685632,"KD 1 jw","KD","mouseKD"
"HALLMARK_BILE_ACID_METABOLISM","sample.jw23.3_3",-0.0616481735676272,"Control 3","Control","mouseKD"
"HALLMARK_BILE_ACID_METABOLISM","sample.jw23.3_2",-0.0718234311453267,"Control 2","Control","mouseKD"
"HALLMARK_BILE_ACID_METABOLISM","sample.jw23.3_1",-0.0665942068365158,"Control 1","Control","mouseKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.shrubr5_3_jw",0.36505623548113,"KD 3 jw","KD","mouseKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.shrubr5_2_jw",0.373793355543056,"KD 2 jw","KD","mouseKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.shrubr5_1_jw",0.359390519511608,"KD 1 jw","KD","mouseKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.jw23.3_3",0.352727849160271,"Control 3","Control","mouseKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.jw23.3_2",0.341600577428626,"Control 2","Control","mouseKD"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","sample.jw23.3_1",0.338931701331017,"Control 1","Control","mouseKD"
"HALLMARK_COAGULATION","sample.shrubr5_3_jw",0.277897902246254,"KD 3 jw","KD","mouseKD"
"HALLMARK_COAGULATION","sample.shrubr5_2_jw",0.280080931803253,"KD 2 jw","KD","mouseKD"
"HALLMARK_COAGULATION","sample.shrubr5_1_jw",0.269242957555039,"KD 1 jw","KD","mouseKD"
"HALLMARK_COAGULATION","sample.jw23.3_3",0.232639658379724,"Control 3","Control","mouseKD"
"HALLMARK_COAGULATION","sample.jw23.3_2",0.230102769358871,"Control 2","Control","mouseKD"
"HALLMARK_COAGULATION","sample.jw23.3_1",0.228099085614631,"Control 1","Control","mouseKD"
"HALLMARK_COMPLEMENT","sample.shrubr5_3_jw",0.280914205588751,"KD 3 jw","KD","mouseKD"
"HALLMARK_COMPLEMENT","sample.shrubr5_2_jw",0.286624610208993,"KD 2 jw","KD","mouseKD"
"HALLMARK_COMPLEMENT","sample.shrubr5_1_jw",0.274914310066842,"KD 1 jw","KD","mouseKD"
"HALLMARK_COMPLEMENT","sample.jw23.3_3",0.245881961420613,"Control 3","Control","mouseKD"
"HALLMARK_COMPLEMENT","sample.jw23.3_2",0.238136507550197,"Control 2","Control","mouseKD"
"HALLMARK_COMPLEMENT","sample.jw23.3_1",0.240662294176568,"Control 1","Control","mouseKD"
"HALLMARK_DNA_REPAIR","sample.shrubr5_3_jw",0.267570466301033,"KD 3 jw","KD","mouseKD"
"HALLMARK_DNA_REPAIR","sample.shrubr5_2_jw",0.265908053794576,"KD 2 jw","KD","mouseKD"
"HALLMARK_DNA_REPAIR","sample.shrubr5_1_jw",0.264854744849845,"KD 1 jw","KD","mouseKD"
"HALLMARK_DNA_REPAIR","sample.jw23.3_3",0.275933518395723,"Control 3","Control","mouseKD"
"HALLMARK_DNA_REPAIR","sample.jw23.3_2",0.269042571173813,"Control 2","Control","mouseKD"
"HALLMARK_DNA_REPAIR","sample.jw23.3_1",0.265522840734363,"Control 1","Control","mouseKD"
"HALLMARK_E2F_TARGETS","sample.shrubr5_3_jw",0.421126144325401,"KD 3 jw","KD","mouseKD"
