"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"GO_BP","GOBP_NEUROBLAST_PROLIFERATION",2.33347258956436e-06,0.0079034716608545,-0.614301571178574,-2.11653346651876,53,23,"20312;14168;18128;16842;68519;18015;195018;100182;216739;15904;14182;231871;18032;216858;18472;14183;320265;20678;12387;140570;233064;26934;22341","Cx3cl1;Fgf13;Notch1;Lef1;Eml1;Nf1;Zzef1;Akna;Acsl6;Id4;Fgfr1;Daglb;Nfix;Kctd11;Pafah1b1;Fgfr2;Tafa1;Sox5;Ctnnb1;Plxnb2;Wdr62;Racgap1;Vegfc"
"GO_BP","GOBP_REGULATION_OF_NEUROGENESIS",1.20877551001015e-05,0.0204706132620218,-0.36643199813839,-1.63268545879695,318,96,"20317;103743;76901;108100;20312;14168;18128;16842;11484;20666;13169;14254;239667;13649;268902;17756;14375;18015;107503;15982;235402;21938;328572;15901;20315;228357;15904;13385;19876;17380;20393;13631;20660;70237;330914;14268;75788;20346;67784;18846;12257;13838;20238;216858;235472;76854;18472;224617;217166;20481;83431;20720;22418;94091;56320;13841;21817;12704;23999;11421;216869;12387;17118;76441;20983;235611;140570;233064;21648;22422;22084;18080;22341;213084;74498;56381;71751;15205;17755;13643;11858;20356;18109;18627;20893;23879;230674;235106;69807;50849;56741;26396;22368;66713;21803;29869","Serpinf1;Tmem98;Jade2;Baiap2;Cx3cl1;Fgf13;Notch1;Lef1;Aspa;Sox11;Dbnl;Flt1;Dip2b;Egfr;Robo2;Map2;Xrcc6;Nf1;Atf5;Ifrd1;Lingo1;Tnfrsf1b;Ep300;Id1;Cxcl12;Lrp4;Id4;Dlg4;Robo1;Mme;Sgk1;Eef2k;Sorl1;Bhlhb9;Arhgap32;Fn1;Smurf1;Sema3a;Plxnd1;Plxna3;Tspo;Epha4;Atxn1;Kctd11;Prtg;Gper1;Pafah1b1;Tbc1d24;Nr1d1;Ski;Ndel1;Serpine2;Wnt5a;Trim11;Dbn1;Epha7;Tgm2;Cit;Twf2;Ace;Arrb2;Ctnnb1;Marcks;Daam2;Syt4;Plxnb1;Plxnb2;Wdr62;Dynlt1b;Wnt7b;Tsc2;Nin;Vegfc;Cdkl3;Gorasp1;Spen;Map3k13;Hes1;Map1b;Efnb3;Rnd2;Sema5a;Mycn;Per2;Bhlhe40;Fxr2;Kdm4a;Ntm;Trim32;Rnf10;Igdcc4;Map2k2;Trpv2;Actr2;Tgfb1;Ulk2"
"GO_BP","GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS",2.91929217894913e-05,0.0329588087003357,-0.38161465939933,-1.6663331486012,249,80,"14799;20296;269823;18104;210274;19274;75409;13110;11669;56448;14862;14463;11622;17395;12494;18439;12842;17967;16948;14923;74370;328572;667034;22631;237823;12833;217124;56208;105787;18984;14362;104184;18673;170472;20787;17025;68312;22059;12257;71111;12038;12894;14863;217337;11864;14811;54611;11761;14860;13435;11898;27364;68021;12578;216964;74134;12387;14629;13433;15184;14673;20512;17101;17260;14462;19366;57138;18618;14281;99586;12359;67702;22341;19299;17711;17755;11655;22433;27973;56615","Gria1;Ccl2;Pon3;Nqo1;Shank2;Ptprm;Slitrk5;Cyp2j6;Aldh2;Cyp2d22;Gstm1;Gata4;Ahr;Mmp9;Cd38;P2rx7;Col1a1;Ncam1;Lox;Guk1;Rptor;Ep300;Pnp2;Ywhaz;Pfas;Col6a1;Ppp1r9b;Becn1;Prkaa1;Por;Fzd1;Blmh;Phb1;Recql5;Srebf1;Alad;Gstm7;Trp53;Tspo;Gpr39;Bche;Cpt1a;Gstm2;Srp68;Arnt2;Grin2a;Pde3a;Aox1;Gsta4;Dnmt3a;Ass1;Srr;Bphl;Cdkn2a;Trp53i13;Cyp2s1;Ctnnb1;Gclc;Dnmt1;Hdac5;Gna12;Slc1a3;Lyst;Mef2c;Gata3;Rad54l;Slc12a5;Pemt;Fos;Dpyd;Cat;Rnf149;Vegfc;Abcd3;mt-Cytb;Map1b;Alas1;Xbp1;Vkorc1;Mgst1"
"GO_BP","GOBP_NEGATIVE_REGULATION_OF_ORGAN_GROWTH",5.28777692212428e-05,0.0447742510880874,0.629697701298784,2.1090418511592,34,14,"13052;232334;19211;108655;52357;16526;19735;14609;211652;17684;15567;14297;28185;17283","Cxadr;Vgll4;Pten;Foxp1;Wwc2;Kcnk2;Rgs2;Gja1;Wwc1;Cited2;Slc6a4;Fxn;Tomm70a;Men1"
"GO_BP","GOBP_CARTILAGE_DEVELOPMENT",0.000106299844632843,0.0514339391102054,-0.414606821264037,-1.72862116061261,162,54,"20204;210719;13601;239337;18750;215798;20682;216616;12006;320910;19411;12842;58250;20613;21833;22402;328572;12833;14534;19401;16969;12111;18984;14182;12825;17313;83925;21857;94352;72043;15434;14042;18133;21417;70235;12411;59056;22418;22410;14633;21827;13521;229534;20678;12387;19092;12399;20289;17260;14462;22422;77006;23967;15530","Prrx2;Mkx;Ecm1;Adamts12;Prkca;Adgrg6;Sox9;Efemp1;Axin2;Itgb8;Rarg;Col1a1;Chst11;Snai1;Thra;Ccn4;Ep300;Col6a1;Kat2a;Rara;Zbtb7a;Bgn;Por;Fgfr1;Col3a1;Mgp;Trps1;Timp1;Loxl2;Sulf2;Hoxd3;Ext1;Ccn3;Zeb1;Poc1a;Cbs;Evc;Wnt5a;Wnt10b;Gli2;Thbs3;Slc26a2;Pbxip1;Sox5;Ctnnb1;Prkg2;Runx3;Scx;Mef2c;Gata3;Wnt7b;Ddrgk1;Osr1;Hspg2"
"GO_BP","GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT",9.86081827824547e-05,0.0514339391102054,-0.391258479917402,-1.65492472509259,187,67,"103743;14168;18128;26365;20666;239667;21930;16362;107829;17756;13610;18015;107503;15982;235402;70673;15901;228357;14461;19401;15904;16950;16852;20535;20660;20850;72147;20346;18846;12257;216858;235472;15507;217166;20481;22418;94091;13841;12704;12578;15284;13866;12387;76441;20983;12399;21648;22422;22084;16149;18708;213084;74498;15205;13643;20356;18102;57259;18109;230674;235106;76566;50849;56741;14118;21803;29869","Tmem98;Fgf13;Notch1;Ceacam1;Sox11;Dip2b;Tnfaip6;Irf1;Thoc5;Map2;S1pr3;Nf1;Atf5;Ifrd1;Lingo1;Prdm16;Id1;Lrp4;Gata2;Rara;Id4;Loxl3;Lgals1;Slc4a2;Sorl1;Stat5a;Zbtb46;Sema3a;Plxna3;Tspo;Kctd11;Prtg;Hspb1;Nr1d1;Ski;Wnt5a;Trim11;Epha7;Cit;Cdkn2a;Hlx;Erbb2;Ctnnb1;Daam2;Syt4;Runx3;Dynlt1b;Wnt7b;Tsc2;Cd74;Pik3r1;Cdkl3;Gorasp1;Hes1;Efnb3;Sema5a;Nme1;Tob2;Mycn;Kdm4a;Ntm;Rflnb;Rnf10;Igdcc4;Fbn1;Tgfb1;Ulk2"
"GO_BP","GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT",9.28387858075292e-05,0.0514339391102054,-0.457959855858454,-1.78692135651586,111,45,"103743;14168;18128;20666;239667;17756;18015;107503;15982;235402;15901;228357;15904;19876;20660;20346;18846;74762;12257;216858;235472;217166;20481;22418;94091;13841;12704;12387;76441;20983;21648;22422;22084;213084;74498;15205;13643;20356;18109;230674;235106;50849;56741;21803;29869","Tmem98;Fgf13;Notch1;Sox11;Dip2b;Map2;Nf1;Atf5;Ifrd1;Lingo1;Id1;Lrp4;Id4;Robo1;Sorl1;Sema3a;Plxna3;Mdga1;Tspo;Kctd11;Prtg;Nr1d1;Ski;Wnt5a;Trim11;Epha7;Cit;Ctnnb1;Daam2;Syt4;Dynlt1b;Wnt7b;Tsc2;Cdkl3;Gorasp1;Hes1;Efnb3;Sema5a;Mycn;Kdm4a;Ntm;Rnf10;Igdcc4;Tgfb1;Ulk2"
"GO_BP","GOBP_CONNECTIVE_TISSUE_DEVELOPMENT",0.000130734503122043,0.0532857483592169,-0.37339732071663,-1.62600848199781,240,71,"20204;18596;210719;13601;18128;239337;18750;215798;20682;216616;12006;320910;15982;19411;12842;216820;58250;20613;16948;21833;22402;328572;12833;71566;14534;19401;105787;16969;230793;12111;18984;15904;268396;237859;13653;14182;20660;12825;17313;83925;12831;21857;94352;72043;15434;14042;18133;22187;21417;70235;12411;59056;22418;22410;14633;21827;13521;666173;229534;114679;20678;12387;19092;12399;20289;17260;14462;22422;77006;23967;15530","Prrx2;Pdgfrb;Mkx;Ecm1;Notch1;Adamts12;Prkca;Adgrg6;Sox9;Efemp1;Axin2;Itgb8;Ifrd1;Rarg;Col1a1;Dhrs7b;Chst11;Snai1;Lox;Thra;Ccn4;Ep300;Col6a1;Clmp;Kat2a;Rara;Prkaa1;Zbtb7a;Ahdc1;Bgn;Por;Id4;Sh3pxd2b;Nsrp1;Egr1;Fgfr1;Sorl1;Col3a1;Mgp;Trps1;Col5a1;Timp1;Loxl2;Sulf2;Hoxd3;Ext1;Ccn3;Ubb;Zeb1;Poc1a;Cbs;Evc;Wnt5a;Wnt10b;Gli2;Thbs3;Slc26a2;Vps13b;Pbxip1;Selenom;Sox5;Ctnnb1;Prkg2;Runx3;Scx;Mef2c;Gata3;Wnt7b;Ddrgk1;Osr1;Hspg2"
"GO_BP","GOBP_EXTRACELLULAR_STRUCTURE_ORGANIZATION",0.000147917543401595,0.0532857483592169,-0.377524839070986,-1.63154906929071,221,59,"170441;17181;237759;210719;12843;18858;18128;216725;239337;11568;20682;241327;12006;21859;15227;320452;18015;17395;107581;195209;12842;71602;16948;21938;213945;12305;241226;224697;12833;14230;229595;102693;18214;94216;16950;268396;12825;58223;12831;12822;545370;94352;72043;14268;26427;66214;14042;16949;12841;15117;50706;20848;74777;219151;107250;100952;229534;18073;118453","Slc2a10;Matn2;Col23a1;Mkx;Col1a2;Pmp22;Notch1;Adamts2;Adamts12;Aebp1;Sox9;Olfml2a;Axin2;Timp3;Foxf1;P4ha3;Nf1;Mmp9;Col16a1;Zfp469;Col1a1;Myo1e;Lox;Tnfrsf1b;Col28a1;Ddr1;Itga8;Adamts10;Col6a1;Fkbp10;Adamtsl4;Phldb1;Ddr2;Col4a6;Loxl3;Sh3pxd2b;Col3a1;Mmp19;Col5a1;Col18a1;Hmcn1;Loxl2;Sulf2;Fn1;Creb3l1;Rgcc;Ext1;Loxl1;Col9a3;Has2;Postn;Stat3;Selenon;Scara3;Kazald1;Emilin1;Pbxip1;Nid1;Mmp28"
"GO_BP","GOBP_REGULATION_OF_BODY_FLUID_LEVELS",0.000157324323469787,0.0532857483592169,0.356843987627438,1.63088562918918,205,59,"14726;18162;101772;14063;16456;11535;18792;228413;19128;11677;14165;21825;21824;18783;11747;22063;12675;109246;13614;15160;15558;13618;21898;279561;14062;14284;235627;14682;14609;18590;20779;14066;67213;14190;22724;102247;15277;71365;192236;16193;12527;71853;11551;15567;16452;67443;11821;18793;21672;17386;13731;83671;11750;22282;11601;59048;70726;19124;14043","Pdpn;Npr3;Ano1;F2rl1;F11r;Adm;Plau;Prrg4;Pros1;Akr1b1;Fgf10;Thbs1;Thbd;Pla2g4a;Anxa5;Trpc1;Chuk;Tspan9;Edn1;Serpind1;Htr2a;Ednrb;Tlr4;Wnk3;F2r;Fosl2;Nbeal2;Gnaq;Gja1;Pdgfa;Src;F3;Cmtm6;Fgl2;Zbtb7b;Gpat4;Hk2;Pdss2;Hps1;Il6;Cd9;Pdia6;Adra2a;Slc6a4;Jak2;Map1lc3b;Aprt;Plaur;Prdx2;Mmp13;Emp2;Sytl2;Anxa7;Usf2;Angpt2;C1galt1c1;Angptl6;Procr;Ext2"
"GO_BP","GOBP_NEURON_PROJECTION_GUIDANCE",0.000193062376556734,0.0594456608543326,-0.405371566391941,-1.69097092342277,164,46,"19274;13723;17181;22253;18128;107448;226251;268902;14451;18612;107449;17967;14432;108699;11876;20351;20315;13845;13617;237847;73710;19876;16564;18844;223435;20346;20564;14042;18846;13838;235472;12569;18209;13924;19271;22418;14633;13841;13637;319504;13866;77579;12399;17260;14462;22422","Ptprm;Emb;Matn2;Unc5c;Notch1;Unc5a;Ablim1;Robo2;Gas1;Etv4;Unc5b;Ncam1;Gap43;Chn1;Artn;Sema4a;Cxcl12;Ephb3;Ednra;Rtn4rl1;Tubb2b;Robo1;Kif21a;Plxna1;Trio;Sema3a;Slit3;Ext1;Plxna3;Epha4;Prtg;Cdk5r1;Ntn3;Ptprv;Ptprj;Wnt5a;Gli2;Epha7;Efna2;Nrcam;Erbb2;Myh10;Runx3;Mef2c;Gata3;Wnt7b"
"GO_BP","GOBP_COLLAGEN_FIBRIL_ORGANIZATION",0.000288592564484351,0.060700434901748,-0.511702083526936,-1.83754885136658,64,26,"210719;12843;216725;239337;11568;320452;18015;195209;12842;16948;213945;12833;14230;18214;94216;16950;12825;12831;94352;14042;16949;74777;219151;100952;66180;20289","Mkx;Col1a2;Adamts2;Adamts12;Aebp1;P4ha3;Nf1;Zfp469;Col1a1;Lox;Col28a1;Col6a1;Fkbp10;Ddr2;Col4a6;Loxl3;Col3a1;Col5a1;Loxl2;Ext1;Loxl1;Selenon;Scara3;Emilin1;P3h4;Scx"
"GO_BP","GOBP_FIBROBLAST_ACTIVATION",0.000319921257943576,0.060700434901748,-0.686399090430927,-1.90966166328653,21,12,"18596;83397;223701;18214;114886;14182;13350;66214;217166;14629;68303;18591","Pdgfrb;Akap12;Mrtfa;Ddr2;Cygb;Fgfr1;Dgat1;Rgcc;Nr1d1;Gclc;Fam114a1;Pdgfb"
"GO_BP","GOBP_GLIAL_CELL_MIGRATION",0.000317212692520226,0.060700434901748,-0.5320698323385,-1.83320971246889,53,14,"20296;17181;20312;18858;105782;216616;12825;14268;13003;328365;12257;13838;18472;12569","Ccl2;Matn2;Cx3cl1;Pmp22;Scrib;Efemp1;Col3a1;Fn1;Vcan;Zmiz1;Tspo;Epha4;Pafah1b1;Cdk5r1"
"GO_BP","GOBP_NEGATIVE_REGULATION_OF_GLIOGENESIS",0.000349901491601479,0.060700434901748,-0.591597933783656,-1.87525947085525,36,17,"103743;18128;20666;18015;107503;235402;15904;12257;217166;20481;12387;76441;15205;18109;230674;235106;50849","Tmem98;Notch1;Sox11;Nf1;Atf5;Lingo1;Id4;Tspo;Nr1d1;Ski;Ctnnb1;Daam2;Hes1;Mycn;Kdm4a;Ntm;Rnf10"
"GO_BP","GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION",0.000256242955486105,0.060700434901748,-0.409670237686801,-1.6708773537996,143,39,"20312;14168;18128;16842;68519;18008;320165;18015;107503;195018;57810;100182;216739;14461;15904;14182;16568;231871;18032;216858;18472;20602;14183;22418;56320;13866;320265;20678;12387;15184;21357;140570;233064;18541;26934;22422;55978;22341;56195","Cx3cl1;Fgf13;Notch1;Lef1;Eml1;Nes;Tacc1;Nf1;Atf5;Zzef1;Cdon;Akna;Acsl6;Gata2;Id4;Fgfr1;Kif3a;Daglb;Nfix;Kctd11;Pafah1b1;Ncor2;Fgfr2;Wnt5a;Dbn1;Erbb2;Tafa1;Sox5;Ctnnb1;Hdac5;Tarbp2;Plxnb2;Wdr62;Pcnt;Racgap1;Wnt7b;Ift20;Vegfc;Ptbp2"
"GO_BP","GOBP_NEURON_RECOGNITION",0.000330596896696856,0.060700434901748,-0.593143668422879,-1.88015917275768,36,15,"13723;268902;17967;14432;22631;13845;19876;20346;67784;14042;13838;235472;12569;22418;319504","Emb;Robo2;Ncam1;Gap43;Ywhaz;Ephb3;Robo1;Sema3a;Plxnd1;Ext1;Epha4;Prtg;Cdk5r1;Wnt5a;Nrcam"
"GO_BP","GOBP_OSTEOBLAST_DIFFERENTIATION",0.000247407402443204,0.060700434901748,-0.396081146971414,-1.65362841739513,168,53,"15903;18128;80752;16842;20666;20682;68588;12006;16009;21930;215653;11622;18015;68713;12842;20613;16948;22402;15901;17130;15904;18214;14362;268396;209011;14182;12606;70152;26427;231633;320799;60530;17966;20481;14632;102657;20750;22410;18018;14633;12608;12387;15184;11911;26399;17260;230587;22422;22341;14119;22057;268935;56233","Id3;Notch1;Fam20c;Lef1;Sox11;Sox9;Cthrc1;Axin2;Igfbp3;Tnfaip6;Rassf2;Ahr;Nf1;Ifitm1;Col1a1;Snai1;Lox;Ccn4;Id1;Smad6;Id4;Ddr2;Fzd1;Sh3pxd2b;Sirt7;Fgfr1;Cebpa;Tmt1a;Creb3l1;Tmem119;Zhx3;Fignl1;Nbr1;Ski;Gli1;Cd276;Spp1;Wnt10b;Nfatc1;Gli2;Cebpb;Ctnnb1;Hdac5;Atf4;Map2k6;Mef2c;Glis1;Wnt7b;Vegfc;Fbn2;Tob1;Scube3;Hdac7"
