"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"Reactome","REACTOME_BIOLOGICAL_OXIDATIONS",7.74882214102319e-05,0.0454608979605009,-0.487985760812466,-1.82500711120895,87,27,"109754;13110;11669;56448;11529;14862;11622;394432;110175;13123;75475;207182;19223;68312;228608;14863;108645;216558;11864;20181;22021;14149;68021;14854;71670;74134;14629","Cyb5r3;Cyp2j6;Aldh2;Cyp2d22;Adh7;Gstm1;Ahr;Ugt1a7c;Ggct;Cyp7b1;Oplah;Ggt7;Ptgis;Gstm7;Smox;Gstm2;Mat2b;Ugp2;Arnt2;Rxra;Tpst1;Fdxr;Bphl;Gss;Acy3;Cyp2s1;Gclc"
"Reactome","REACTOME_COLLAGEN_CHAIN_TRIMERIZATION",0.000402903083844912,0.0454608979605009,-0.690177831247324,-1.94100377954254,20,14,"237759;12834;107581;12835;213945;12833;12825;12831;12822;12841;53867;12814;77018;12816","Col23a1;Col6a2;Col16a1;Col6a3;Col28a1;Col6a1;Col3a1;Col5a1;Col18a1;Col9a3;Col5a3;Col11a1;Col25a1;Col12a1"
"Reactome","REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE",0.000314998182851818,0.0454608979605009,-0.694657671500244,-1.95360254245405,20,9,"13110;56448;11622;13123;19223;11864;20181;14149;74134","Cyp2j6;Cyp2d22;Ahr;Cyp7b1;Ptgis;Arnt2;Rxra;Fdxr;Cyp2s1"
"Reactome","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",0.000213512200895301,0.0454608979605009,-0.397741057799501,-1.63429875713652,166,61,"16997;246707;237759;12843;26365;216725;320910;12834;17395;17150;107581;12835;16651;20649;16948;213945;12305;241226;12833;12111;18214;21858;94216;83964;16950;15529;12825;58223;12831;12822;21857;94352;14268;13003;16949;18453;12841;16775;18542;20750;109700;24051;100952;18073;192897;21809;16421;20648;11492;72947;53867;14119;268935;11465;50817;16399;11490;12814;77018;12816;16398","Ltbp2;Emilin2;Col23a1;Col1a2;Ceacam1;Adamts2;Itgb8;Col6a2;Mmp9;Mfap2;Col16a1;Col6a3;Sspn;Sntb1;Lox;Col28a1;Ddr1;Itga8;Col6a1;Bgn;Ddr2;Timp2;Col4a6;Jam3;Loxl3;Sdc2;Col3a1;Mmp19;Col5a1;Col18a1;Timp1;Loxl2;Fn1;Vcan;Loxl1;P4hb;Col9a3;Lama4;Pcolce;Spp1;Itga1;Sgcb;Emilin1;Nid1;Itgb4;Tgfb3;Itgb7;Snta1;Adam19;Phykpl;Col5a3;Fbn2;Scube3;Actg1;Capn15;Itga2b;Adam15;Col11a1;Col25a1;Col12a1;Itga2"
"Reactome","REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS",0.000220582066184927,0.0454608979605009,-0.603477503143369,-1.94275707674026,37,14,"109754;13110;11669;56448;11529;11622;13123;19223;228608;11864;20181;14149;68021;74134","Cyb5r3;Cyp2j6;Aldh2;Cyp2d22;Adh7;Ahr;Cyp7b1;Ptgis;Smox;Arnt2;Rxra;Fdxr;Bphl;Cyp2s1"
"Reactome","REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA",0.000346494686983043,0.0454608979605009,-0.502343426503608,-1.80280106013879,64,39,"15081;77605;14055;13435;13433;319176;97908;360198;319177;319159;319172;326619;319169;74016;319173;319148;319166;319187;52615;319160;319180;319153;319152;319155;319156;319168;319185;319182;319151;97122;319161;319184;100041230;319178;319157;260423;13436;319181;319179","H3f3b;H2az2;Ezh1;Dnmt3a;Dnmt1;H2ac20;H3c8;H3c1;H2bc1;H4c11;H2ac4;H4c1;H2ac15;Phf19;H2ac10;H3c3;H2ac8;H2bc15;Suz12;H4c12;H2bc7;H3c11;H3c10;H4c3;H4c4;H2ac12;H2bc13;H2bc9;H3c6;H4c14;H4c18;H2bc12;H4c17;H2bc3;H4c6;H3c7;Dnmt3b;H2bc8;H2bc6"
"Reactome","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",0.000476022302556797,0.0460381569758502,0.483732786119808,1.77568364727149,59,30,"13052;16456;83996;19128;21824;18706;16412;11931;22612;16400;14360;20779;330836;270152;20340;20539;20501;50915;12505;17254;11601;19124;16423;16410;11933;12215;16653;17096;20416;67374","Cxadr;F11r;Mmp1b;Pros1;Thbd;Pik3ca;Itgb1;Atp1b1;Yes1;Itga3;Fyn;Src;Slc7a6;Jaml;Glg1;Slc7a5;Slc16a1;Grb14;Cd44;Slc3a2;Angpt2;Procr;Cd47;Itgav;Atp1b3;Bsg;Kras;Lyn;Shc1;Jam2"
"Reactome","REACTOME_COLLAGEN_FORMATION",0.000863388143196324,0.073064221617989,-0.518162544383383,-1.79401911411597,52,20,"237759;12843;216725;12834;17395;107581;12835;16948;213945;12833;94216;16950;12825;12831;12822;94352;16949;18453;12841;18542","Col23a1;Col1a2;Adamts2;Col6a2;Mmp9;Col16a1;Col6a3;Lox;Col28a1;Col6a1;Col4a6;Loxl3;Col3a1;Col5a1;Col18a1;Loxl2;Loxl1;P4hb;Col9a3;Pcolce"
"Reactome","REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES",0.00117837259394488,0.0886398051222984,-0.548726748491044,-1.81531513155145,41,15,"237759;12843;216725;12834;107581;12835;213945;12833;94216;12825;12831;12822;18453;12841;18542","Col23a1;Col1a2;Adamts2;Col6a2;Col16a1;Col6a3;Col28a1;Col6a1;Col4a6;Col3a1;Col5a1;Col18a1;P4hb;Col9a3;Pcolce"
"Reactome","REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES",0.00153076790703733,0.103632987306427,-0.478087773450165,-1.70608576765234,63,37,"15081;77605;20602;381022;20181;56310;319176;97908;360198;319177;319159;319172;326619;319169;319173;319148;319166;319187;319160;319180;319153;319152;319155;319156;319168;319185;319182;319151;97122;319161;319184;100041230;319178;319157;260423;319181;319179","H3f3b;H2az2;Ncor2;Kmt2d;Rxra;Gps2;H2ac20;H3c8;H3c1;H2bc1;H4c11;H2ac4;H4c1;H2ac15;H2ac10;H3c3;H2ac8;H2bc15;H4c12;H2bc7;H3c11;H3c10;H4c3;H4c4;H2ac12;H2bc13;H2bc9;H3c6;H4c14;H4c18;H2bc12;H4c17;H2bc3;H4c6;H3c7;H2bc8;H2bc6"
