"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"Hallmark","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",9.1953383453126e-09,4.50571578920317e-07,-0.496521509661276,-2.07029191557993,165,61,"13601;12931;21859;17181;12843;12111;18596;13612;68588;14451;21857;16852;16010;13003;13732;107581;12834;30794;20720;13132;50706;65112;20649;16949;12842;20750;235106;22418;14314;18542;18787;20692;18858;16009;17313;22003;20564;12406;16419;16948;12332;12825;12814;21817;12831;18129;20563;218952;14119;21810;12552;20315;17220;107528;67305;12835;23876;19288;21826;14173;16402","Ecm1;Crlf1;Timp3;Matn2;Col1a2;Bgn;Pdgfrb;Edil3;Cthrc1;Gas1;Timp1;Lgals1;Igfbp4;Vcan;Emp3;Col16a1;Col6a2;Pdlim4;Serpine2;Dab2;Postn;Pmepa1;Sntb1;Loxl1;Col1a1;Spp1;Ntm;Wnt5a;Fstl1;Pcolce;Serpine1;Sparc;Pmp22;Igfbp3;Mgp;Tpm1;Slit3;Serpinh1;Itgb5;Lox;Capg;Col3a1;Col11a1;Tgm2;Col5a1;Notch2;Slit2;Fermt2;Fbn2;Tgfbi;Cdh11;Cxcl12;Mcm7;Magee1;Gpx7;Col6a3;Fbln5;Ptx3;Thbs2;Fgf2;Itga5"
"Hallmark","HALLMARK_FATTY_ACID_METABOLISM",0.00228156604452785,0.0372655787272881,-0.389717448194731,-1.56034500578639,119,41,"11529;13808;68021;52683;16852;12167;18194;52538;11370;208715;11429;11564;66841;51798;15107;14104;67460;110460;14645;67442;15490;12896;17449;14874;17252;17025;66945;23986;12894;17448;70335;78920;74754;11430;98314;12349;75624;20917;12972;56451;56690","Adh7;Eno3;Bphl;Ncaph2;Lgals1;Bmpr1b;Nsdhl;Acaa2;Acadvl;Hmgcs1;Aco2;Adsl;Etfdh;Ech1;Hadh;Fasn;Decr1;Acat2;Glul;Retsat;Hsd17b7;Cpt2;Mdh1;Gstz1;Rdh11;Alad;Sdha;Eci2;Cpt1a;Mdh2;Reep6;Dlst;Dhcr24;Acox1;D2hgdh;Car2;Metap1;Suclg2;Cryz;Suclg1;Mlycd"
"Hallmark","HALLMARK_XENOBIOTIC_METABOLISM",0.00172255706481738,0.0372655787272881,-0.38818077691242,-1.57644477553412,131,56,"13110;11529;68021;16480;16010;110213;26874;59083;246277;18984;110172;11669;71093;22021;11429;18787;66841;223455;51798;56376;109672;14865;69071;18104;18107;18618;21808;74134;110351;16177;233016;67442;66397;12035;11761;78038;29858;50500;53328;22436;66082;14528;51793;11655;67880;14102;29811;14854;50997;11430;12349;11532;108037;14629;108156;21937","Cyp2j6;Adh7;Bphl;Jup;Igfbp4;Tmbim6;Abcd2;Fetub;Csad;Por;Slc35b1;Aldh2;Atoh8;Tpst1;Aco2;Serpine1;Etfdh;Marchf6;Ech1;Pdlim5;Cyb5a;Gstm4;Tmem97;Nqo1;Nmt1;Pemt;Tgfb2;Cyp2s1;Rap1gap;Il1r1;Blvrb;Retsat;Sar1b;Bcat1;Aox1;Mccc2;Pmm1;Ttpa;Pgrmc1;Xdh;Abhd6;Gch1;Ddah2;Alas1;Dcxr;Fas;Ndrg2;Gss;Mpp2;Acox1;Car2;Adh5;Shmt2;Gclc;Mthfd1;Tnfrsf1a"
"Hallmark","HALLMARK_ANGIOGENESIS",0.00760810083866973,0.0621328235158028,-0.563596580892714,-1.64589117155204,24,11,"20198;21857;13003;50706;20750;14314;12825;14083;14182;11820;16976","S100a4;Timp1;Vcan;Postn;Spp1;Fstl1;Col3a1;Ptk2;Fgfr1;App;Lrpap1"
"Hallmark","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00583634905955358,0.0621328235158028,-0.451168395533085,-1.62038993701746,65,27,"68671;20788;20775;14137;18194;107503;208715;110196;68312;12387;68603;17855;51798;14104;11658;13121;110460;69071;16987;11465;192156;235293;15490;15357;170459;13595;13360","Pcyt2;Srebf2;Sqle;Fdft1;Nsdhl;Atf5;Hmgcs1;Fdps;Gstm7;Ctnnb1;Pmvk;Mvk;Ech1;Fasn;Alcam;Cyp51;Acat2;Tmem97;Lss;Actg1;Mvd;Sc5d;Hsd17b7;Hmgcr;Stard4;Ebp;Dhcr7"
"Hallmark","HALLMARK_INFLAMMATORY_RESPONSE",0.00666285194659258,0.0621328235158028,-0.369089525205837,-1.47775523013081,119,44,"54371;20312;320910;11988;15117;21857;19222;13732;20306;16878;11622;68713;12977;18787;18439;18414;15980;192656;18442;17986;17069;50723;109552;11479;16177;19734;235574;20266;11541;67972;17869;218215;21930;54216;16402;16362;14745;21942;17295;18174;56212;14528;16190;11303","Chst2;Cx3cl1;Itgb8;Slc7a2;Has2;Timp1;Ptgir;Emp3;Ccl7;Lif;Ahr;Ifitm1;Csf1;Serpine1;P2rx7;Osmr;Ifngr2;Ripk2;P2ry2;Ndp;Ly6e;Icosl;Sri;Acvr1b;Il1r1;Rgs16;Atp2c1;Scn1b;Adora2b;Atp2b1;Myc;Rnf144b;Tnfaip6;Pcdh7;Itga5;Irf1;Lpar1;Tnfrsf9;Met;Slc11a2;Rhog;Gch1;Il4ra;Abca1"
"Hallmark","HALLMARK_MYOGENESIS",0.00925029734409204,0.0647520814086443,-0.373870542124967,-1.50584953150563,125,42,"17967;19245;13808;29857;16651;77559;16985;11636;15982;11568;12834;226251;12842;110196;14387;18128;225115;14681;20692;17260;16009;19223;16419;78286;18642;13845;12825;17532;17886;18104;20190;20893;11820;71994;12835;192897;140570;14173;14245;76954;11515;15184","Ncam1;Ptp4a3;Eno3;Mapk12;Sspn;Agl;Lsp1;Ak1;Ifrd1;Aebp1;Col6a2;Ablim1;Col1a1;Fdps;Gaa;Notch1;Svil;Gnao1;Sparc;Mef2c;Igfbp3;Ptgis;Itgb5;Nav2;Pfkm;Ephb3;Col3a1;Mras;Myh9;Nqo1;Ryr1;Bhlhe40;App;Cnn3;Col6a3;Itgb4;Plxnb2;Fgf2;Lpin1;Dennd2b;Adcy9;Hdac5"
"Hallmark","HALLMARK_UV_RESPONSE_DN",0.0172760191464599,0.0940583264640595,-0.345706571880107,-1.41440655956396,136,40,"12843;99633;67916;18596;18750;15117;236915;13132;57265;12842;19274;15529;18787;18858;231070;15901;20975;56376;12825;19088;20747;12814;18129;20893;109552;235574;11541;67972;17869;23876;20238;14007;71175;14745;116870;12306;17295;14815;18186;13866","Col1a2;Adgrl2;Plpp3;Pdgfrb;Prkca;Has2;Arhgef9;Dab2;Fzd2;Col1a1;Ptprm;Sdc2;Serpine1;Pmp22;Insig1;Id1;Synj2;Pdlim5;Col3a1;Prkar2b;Spop;Col11a1;Notch2;Bhlhe40;Sri;Atp2c1;Adora2b;Atp2b1;Myc;Fbln5;Atxn1;Celf2;Nipbl;Lpar1;Mta1;Anxa2;Met;Nr3c1;Nrp1;Erbb2"
"Hallmark","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0169406332649432,0.0940583264640595,-0.509772854288828,-1.58972169095291,31,12,"16842;21414;14362;12006;12387;18128;27373;14534;27401;13543;17869;15184","Lef1;Tcf7;Fzd1;Axin2;Ctnnb1;Notch1;Csnk1e;Kat2a;Skp2;Dvl2;Myc;Hdac5"
"Hallmark","HALLMARK_APOPTOSIS",0.0298599163776804,0.146313590250634,-0.337899508072411,-1.3771225284777,135,43,"21859;12111;16842;18596;11732;223453;21857;18412;12494;13655;21858;15979;12387;235180;14863;16952;18003;16012;14083;99586;107869;15234;12257;229791;21808;11820;21973;19058;11796;67442;235293;16905;16362;12443;13866;12028;13595;14528;12189;65111;14102;12389;19401","Timp3;Bgn;Lef1;Pdgfrb;Ank;Dap;Timp1;Sqstm1;Cd38;Egr3;Timp2;Ifngr1;Ctnnb1;Fez1;Gstm2;Anxa1;Nedd9;Igfbp6;Ptk2;Dpyd;Cth;Hgf;Tspo;Plppr4;Tgfb2;App;Top2a;Ppp3r1;Birc3;Retsat;Sc5d;Lmna;Irf1;Ccnd1;Erbb2;Bax;Ebp;Gch1;Brca1;Dap3;Fas;Cav1;Rara"
