"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"Reactome","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",1.21433384902649e-07,8.22104015790931e-05,-0.478348906221841,-1.97856356997997,166,64,"241226;12843;320910;16997;216725;12111;26365;237759;16651;18453;21857;58223;18214;16950;13003;107581;12834;12833;246707;17150;21858;20649;16949;14789;20750;15529;18542;18787;12822;100952;16998;20648;109700;12406;16948;17395;77018;21809;12825;12814;12336;16775;11492;12831;11465;21808;14119;11820;11490;94216;12835;237360;192897;23876;14173;16402;11501;12305;56693;213945;83964;12816;319480;16398","Itga8;Col1a2;Itgb8;Ltbp2;Adamts2;Bgn;Ceacam1;Col23a1;Sspn;P4hb;Timp1;Mmp19;Ddr2;Loxl3;Vcan;Col16a1;Col6a2;Col6a1;Emilin2;Mfap2;Timp2;Sntb1;Loxl1;P3h3;Spp1;Sdc2;Pcolce;Serpine1;Col18a1;Emilin1;Ltbp3;Snta1;Itga1;Serpinh1;Lox;Mmp9;Col25a1;Tgfb3;Col3a1;Col11a1;Capns1;Lama4;Adam19;Col5a1;Actg1;Tgfb2;Fbn2;App;Adam15;Col4a6;Col6a3;Adamts14;Itgb4;Fbln5;Fgf2;Itga5;Adam8;Ddr1;Crtap;Col28a1;Jam3;Col12a1;Itga11;Itga2"
"Reactome","REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES",7.4818845845188e-06,0.00253261793185961,-0.648269674427822,-2.16163317954083,41,24,"12843;216725;237759;18453;107581;12834;12833;14789;18542;12822;12406;77018;12825;12814;12831;94216;12835;237360;56693;213945;12816;76477;26433;12832","Col1a2;Adamts2;Col23a1;P4hb;Col16a1;Col6a2;Col6a1;P3h3;Pcolce;Col18a1;Serpinh1;Col25a1;Col3a1;Col11a1;Col5a1;Col4a6;Col6a3;Adamts14;Crtap;Col28a1;Col12a1;Pcolce2;Plod3;Col5a2"
"Reactome","REACTOME_COLLAGEN_FORMATION",3.2889344345785e-05,0.00742202870736548,-0.576928202972847,-2.01087048904685,52,29,"12843;216725;237759;18453;16950;107581;12834;12833;16949;14789;18542;12822;12406;16948;17395;77018;12825;12814;12831;94216;12835;237360;56693;213945;12816;76477;26433;13039;12832","Col1a2;Adamts2;Col23a1;P4hb;Loxl3;Col16a1;Col6a2;Col6a1;Loxl1;P3h3;Pcolce;Col18a1;Serpinh1;Lox;Mmp9;Col25a1;Col3a1;Col11a1;Col5a1;Col4a6;Col6a3;Adamts14;Crtap;Col28a1;Col12a1;Pcolce2;Plod3;Ctsl;Col5a2"
"Reactome","REACTOME_GLYCOSAMINOGLYCAN_METABOLISM",0.000114171742319389,0.0193235673875566,-0.462622567804171,-1.76756619328233,94,42,"54371;12111;83398;58250;15117;14042;13003;50786;53418;15529;23908;77590;217119;233781;27029;20441;11881;15366;60322;73836;269941;15476;15586;54616;15531;212898;338362;268512;80982;56386;50917;20443;235534;20442;14735;14733;121021;15442;20969;58193;13039;110006","Chst2;Bgn;Ndst3;Chst11;Has2;Ext1;Vcan;Hs6st2;B4galt2;Sdc2;Hs2st1;Chst15;Xylt2;Xylt1;Sgsh;St3gal3;Arsb;Hmmr;Chst7;Slc35b2;Chsy1;Hs3st1;Hyal1;Extl3;Ndst1;Dse;Ust;Slc26a11;Cemip;B4galt6;Galns;St3gal4;Pxylp1;St3gal1;Gpc4;Gpc1;Cspg4;Hpse;Sdc1;Extl2;Ctsl;Gusb"
"Reactome","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION",0.000210667843504426,0.0285244260104993,-0.412599495616674,-1.69217896680653,150,50,"14799;56358;89867;17309;13032;16834;98388;11733;56447;73710;66111;22151;18195;20440;105522;53418;76510;77371;245828;105785;11842;19324;214895;53334;104318;22142;68137;11840;66251;233824;59288;140481;56418;66913;108124;66397;74498;69608;17156;67091;103534;69162;56386;56494;20443;216131;50907;53857;70349;20742","Gria1;Copz2;Sec16b;Mgat3;Ctsc;Cog1;Chst10;Ank1;Copz1;Tubb2b;Tmed3;Tubb2a;Nsf;St6gal1;Ankrd28;B4galt2;Trappc9;Sec24a;Trappc1;Kdelr3;Arf3;Rab1a;Lman2l;Gosr1;Csnk1d;Tuba1a;Kdelr1;Arf1;Arfgap3;Cog7;Dctn5;Man2a2;Ykt6;Kdelr2;Napa;Sar1b;Gorasp1;Sec24d;Man1a2;Trappc6a;Mgat4b;Sec31a;B4galt6;Gosr2;St3gal4;Trappc10;Preb;Tuba8;Copb1;Sptbn1"
"Reactome","REACTOME_COLLAGEN_CHAIN_TRIMERIZATION",0.000278445327558101,0.0314179144594724,-0.682531930120036,-1.93022108957978,20,12,"237759;107581;12834;12833;12822;77018;12825;12814;12831;12835;213945;12816","Col23a1;Col16a1;Col6a2;Col6a1;Col18a1;Col25a1;Col3a1;Col11a1;Col5a1;Col6a3;Col28a1;Col12a1"
"Reactome","REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",0.000396697175589108,0.0335704984842283,-0.367770241680221,-1.59337704495391,222,84,"14799;56358;89867;17309;13032;14584;16834;98388;24070;11733;56447;73710;66111;22151;18195;20440;105522;53418;67819;223774;76510;77371;245828;105785;11842;22122;19324;214895;53334;14583;12330;104318;22142;20441;68137;13478;102580;11840;66251;233824;59288;22187;192156;140481;56418;66913;108124;66397;74498;69608;29858;20454;17156;67091;103534;69162;56386;56494;75540;20443;20442;216131;50907;53857;70349;20742;74091;14069;66890;68563;50798;208624;50797;317717;69654;68581;20446;69080;50935;381903;22143;12847;213827;78232","Gria1;Copz2;Sec16b;Mgat3;Ctsc;Gfpt2;Cog1;Chst10;Mpdu1;Ank1;Copz1;Tubb2b;Tmed3;Tubb2a;Nsf;St6gal1;Ankrd28;B4galt2;Derl1;Alg12;Trappc9;Sec24a;Trappc1;Kdelr3;Arf3;Gfus;Rab1a;Lman2l;Gosr1;Gfpt1;Canx;Csnk1d;Tuba1a;St3gal3;Kdelr1;Dpagt1;Alg9;Arf1;Arfgap3;Cog7;Dctn5;Ubb;Mvd;Man2a2;Ykt6;Kdelr2;Napa;Sar1b;Gorasp1;Sec24d;Pmm1;St3gal5;Man1a2;Trappc6a;Mgat4b;Sec31a;B4galt6;Gosr2;Fpgt;St3gal4;St3gal1;Trappc10;Preb;Tuba8;Copb1;Sptbn1;Npl;F8;Lman2;Dpm3;Gne;Alg3;Copb2;Sec22a;Dctn2;Tmed10;St6galnac2;Gmppa;St6galnac6;Alg8;Tuba1b;Copa;Arcn1;Trappc6b"
"Reactome","REACTOME_CHOLESTEROL_BIOSYNTHESIS",0.000381422600451246,0.0335704984842283,-0.643467510412757,-1.92573403130478,26,18,"20788;20775;14137;18194;208715;110196;68603;17855;13121;110460;16987;20787;192156;235293;15490;15357;13595;13360","Srebf2;Sqle;Fdft1;Nsdhl;Hmgcs1;Fdps;Pmvk;Mvk;Cyp51;Acat2;Lss;Srebf1;Mvd;Sc5d;Hsd17b7;Hmgcr;Ebp;Dhcr7"
"Reactome","REACTOME_BIOLOGICAL_OXIDATIONS",0.000505469448602517,0.0380225351893227,-0.461240379706582,-1.73634373345597,87,35,"13110;109754;11529;68021;13123;14862;56448;394432;11669;11622;22021;75475;68312;11864;110175;19223;14863;71670;14865;13121;211666;74134;14866;14874;210009;20181;56615;14149;14854;110198;58810;11532;207182;14629;216558","Cyp2j6;Cyb5r3;Adh7;Bphl;Cyp7b1;Gstm1;Cyp2d22;Ugt1a7c;Aldh2;Ahr;Tpst1;Oplah;Gstm7;Arnt2;Ggct;Ptgis;Gstm2;Acy3;Gstm4;Cyp51;Mgst2;Cyp2s1;Gstm5;Gstz1;Mtrr;Rxra;Mgst1;Fdxr;Gss;Akr7a5;Akr1a1;Adh5;Ggt7;Gclc;Ugp2"
"Reactome","REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT",0.000610177997633553,0.0413090504397916,-0.412838219849623,-1.65685566649285,128,51,"14799;56358;89867;13032;16834;11733;56447;73710;66111;22151;18195;105522;76510;77371;245828;105785;11842;19324;214895;53334;104318;22142;68137;11840;66251;233824;59288;56418;66913;108124;66397;74498;69608;67091;69162;56494;216131;50907;53857;70349;20742;14069;66890;50797;317717;69654;68581;22143;12847;213827;78232","Gria1;Copz2;Sec16b;Ctsc;Cog1;Ank1;Copz1;Tubb2b;Tmed3;Tubb2a;Nsf;Ankrd28;Trappc9;Sec24a;Trappc1;Kdelr3;Arf3;Rab1a;Lman2l;Gosr1;Csnk1d;Tuba1a;Kdelr1;Arf1;Arfgap3;Cog7;Dctn5;Ykt6;Kdelr2;Napa;Sar1b;Gorasp1;Sec24d;Trappc6a;Sec31a;Gosr2;Trappc10;Preb;Tuba8;Copb1;Sptbn1;F8;Lman2;Copb2;Sec22a;Dctn2;Tmed10;Tuba1b;Copa;Arcn1;Trappc6b"
