"experiment","contrast","collection","pathway","NES","ES","pval","padj","size","leadingEdge_count","leadingEdge_symbols","leadingEdge_entrez"
"CRISPR","KO_vs_WT","GO_BP","GOBP_CONNECTIVE_TISSUE_DEVELOPMENT",-1.9651078371409,-0.448617505805051,8.58822310259233e-09,1.45441558242401e-05,240,81,"Ecm1;Itgb8;Adamts12;Id4;Adgrg6;Bgn;Pdgfrb;Ccn4;Axin2;Prkca;Chst11;Enpp1;Sorl1;Clmp;Timp1;Ifrd1;Ext1;Rarg;Col6a1;Bmpr1b;Por;Snai1;Mkx;Ccn3;Col1a1;Thra;Zeb1;Ctnnb1;Sh3pxd2b;Csf1;Notch1;Wnt5a;Prkg2;Dhrs7b;Sox5;Prkaa1;Mef2c;Ltbp3;Sox9;Prrx2;Mgp;Rflnb;Pkdcc;Serpinh1;Kat2a;Lox;Scx;Sulf2;Evc;Oxct1;Smad9;Mapk3;Col3a1;Trps1;Col11a1;Ep300;Xbp1;Runx3;Osr1;Col5a1;Smad5;Chsy1;Nsrp1;Fgfr1;Sulf1;Bscl2;Pbxip1;Tgfb2;Tgfbi;Carm1;Il6ra;Wnt10b;Ubb;Vps13b;Thbs3;Gata3;Hyal1;Egr1;Apol6;Fgf2;Lmna","13601;320910;239337;15904;215798;12111;18596;22402;12006;18750;58250;18605;20660;71566;21857;15982;14042;19411;12833;12167;18984;20613;210719;18133;12842;21833;21417;12387;268396;12977;18128;22418;19092;216820;20678;105787;17260;16998;20682;20204;17313;76566;106522;12406;14534;16948;20289;72043;59056;67041;55994;26417;12825;83925;12814;328572;22433;12399;23967;12831;17129;269941;237859;14182;240725;14705;229534;21808;21810;59035;16194;22410;22187;666173;21827;14462;15586;13653;71939;14173;16905"
"CRISPR","KO_vs_WT","GO_BP","GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT",-2.1354707577547,-0.543943637784106,7.02206764563794e-09,1.45441558242401e-05,111,38,"Tmem98;Id4;Sox11;Fgf13;Sorl1;Epha7;Robo1;Lingo1;Dip2b;Ifrd1;Map2;Atf5;Kctd11;Ntm;Ctnnb1;Notch1;Wnt5a;Plxna3;Id1;Ppp3ca;Nr1d1;Sema5a;Syt4;Igdcc4;Ptk2;Ulk2;Slit2;Tspo;App;Trem2;Appl2;Negr1;Mdga1;Nf1;Rnf10;Ryk;Gorasp1;Cdkl3","103743;15904;20666;14168;20660;13841;19876;235402;239667;15982;17756;107503;216858;235106;12387;18128;22418;18846;15901;19055;217166;20356;20983;56741;14083;29869;20563;12257;11820;83433;216190;320840;74762;18015;50849;20187;74498;213084"
"CRISPR","KO_vs_WT","GO_BP","GOBP_BONE_DEVELOPMENT",-1.98681975664491,-0.467669220605788,5.53767969568696e-08,3.75122422585834e-05,182,67,"Ecm1;Timp3;Adamts12;Bgn;Ccn4;Axin2;Fam20c;Enpp1;Has2;Ddr2;Ano6;Ext1;Slc38a10;Pdgfc;Rarg;Col6a1;Lif;Bmpr1b;Por;Ctc1;Col1a1;Sh3pxd2b;Nab2;Sparc;Insig1;Mef2c;Ltbp3;Sox9;Twist1;Tmem119;Rflnb;Slc9b2;Serpinh1;Kat2a;Lox;Scx;Sulf2;P2rx5;Evc;Mapk11;Smad9;Col3a1;Notum;Becn1;Xylt1;Trim45;Tgm2;Phospho1;Pls3;Notch2;Smad5;Chsy1;Ryr1;Tmem107;Sulf1;Carm1;Lrrk1;Blvrb;Spns2;Plxnb1;Thbs3;Ggcx;Fbln5;Prpsap2;Dchs1;Vkorc1;Pafah1b1","13601;21859;239337;12111;22402;12006;80752;18605;15117;18214;105722;14042;72055;54635;19411;12833;16878;12167;18984;68964;12842;268396;17937;20692;231070;17260;16998;20682;22160;231633;76566;97086;12406;14534;16948;20289;72043;94045;59056;19094;55994;12825;77583;56208;233781;229644;21817;237928;102866;18129;17129;269941;20190;66910;240725;59035;233328;233016;216892;235611;21827;56316;23876;212627;233651;27973;18472"
"CRISPR","KO_vs_WT","GO_BP","GOBP_CARTILAGE_DEVELOPMENT",-2.03472461407226,-0.484475101273716,5.23584493537062e-08,3.75122422585834e-05,162,55,"Ecm1;Itgb8;Adamts12;Adgrg6;Bgn;Ccn4;Axin2;Prkca;Chst11;Enpp1;Timp1;Ext1;Rarg;Col6a1;Bmpr1b;Por;Snai1;Mkx;Ccn3;Col1a1;Thra;Zeb1;Ctnnb1;Wnt5a;Prkg2;Sox5;Mef2c;Ltbp3;Sox9;Prrx2;Mgp;Rflnb;Pkdcc;Serpinh1;Kat2a;Scx;Sulf2;Evc;Smad9;Mapk3;Col3a1;Trps1;Col11a1;Ep300;Runx3;Osr1;Smad5;Chsy1;Fgfr1;Sulf1;Pbxip1;Tgfb2;Tgfbi;Carm1;Wnt10b","13601;320910;239337;215798;12111;22402;12006;18750;58250;18605;21857;14042;19411;12833;12167;18984;20613;210719;18133;12842;21833;21417;12387;22418;19092;20678;17260;16998;20682;20204;17313;76566;106522;12406;14534;20289;72043;59056;55994;26417;12825;83925;12814;328572;12399;23967;17129;269941;14182;240725;229534;21808;21810;59035;22410"
"CRISPR","KO_vs_WT","GO_BP","GOBP_REGULATION_OF_NEUROGENESIS",-1.83770695043895,-0.409215245475531,4.33644625174674e-08,3.75122422585834e-05,318,81,"Serpinf1;Tmem98;Cx3cl1;Baiap2;Id4;Lef1;Sox11;Flt1;Mme;Robo2;Fgf13;Sorl1;Epha7;Xrcc6;Robo1;Tnik;Sgk1;Dbnl;Lingo1;Dip2b;Dbn1;Ifrd1;Lif;Serpine2;Map2;Atf5;Dlg4;Jade2;Kctd11;Foxg1;Ntm;Ctnnb1;Ace;Notch1;Wnt5a;Plxnd1;Marcks;Bmal1;Plxna3;Id1;Ppp3ca;Nr1d1;Etv5;Aspa;Sema5a;Syt4;Il6st;Igdcc4;Smurf1;Ptk2;Bhlhb9;Ulk2;Dock7;Cask;Ep300;Tgm2;Enpp2;Xrcc5;Slit2;Arhgap32;Tspo;Bhlhe40;Nin;Wls;Cxcl12;Trem2;Appl2;Smarcd3;Negr1;Nf1;Plxnb1;Myc;Rnf10;Atxn1;Ryk;Gorasp1;Cdkl3;Plxnb2;Obsl1;Eef2k;Pafah1b1","20317;103743;20312;108100;15904;16842;20666;14254;17380;268902;14168;20660;13841;14375;19876;665113;20393;13169;235402;239667;56320;15982;16878;20720;17756;107503;13385;76901;216858;15228;235106;12387;11421;18128;22418;67784;17118;11865;18846;15901;19055;217166;104156;11484;20356;20983;16195;56741;75788;14083;70237;29869;67299;12361;328572;21817;18606;22596;20563;330914;12257;20893;18080;68151;20315;83433;216190;66993;320840;18015;235611;17869;50849;20238;20187;74498;213084;140570;98733;13631;18472"
"CRISPR","KO_vs_WT","GO_BP","GOBP_REGULATION_OF_OSSIFICATION",-2.07167359594551,-0.530862758758278,3.28733682177266e-07,0.000185570163589067,103,43,"Ecm1;Adgrg6;Sox11;Fam20c;Ank;Enpp1;S1pr1;Ddr2;Ano6;Bmpr1b;Mkx;Ccn3;Csf1;Notch1;Wnt5a;Smad6;P2rx7;Mef2c;Ltbp3;Sox9;Twist1;Mgp;Tmem119;Rflnb;Gpm6b;P2ry2;Pkdcc;Smurf1;Mapk3;Notum;Ccdc134;Kremen1;Phospho1;Osr1;Chsy1;Fbn2;Acvr1b;Wnt10b;Atp2b1;Creb3l1;Cd276;Tob2;Nipbl","13601;215798;20666;80752;11732;18605;13609;18214;105722;12167;210719;18133;12977;18128;22418;17130;18439;17260;16998;20682;22160;17313;231633;76566;14758;18442;106522;75788;26417;77583;76457;84035;237928;23967;269941;14119;11479;22410;67972;26427;102657;57259;71175"
"CRISPR","KO_vs_WT","GO_BP","GOBP_EXTRACELLULAR_STRUCTURE_ORGANIZATION",-1.86215264045279,-0.428176458273385,6.00354716603217e-07,0.000290485917876442,221,80,"Itga8;Timp3;Slc2a10;Matn2;Col1a2;P4ha3;Adamts12;Adamts2;Myo1e;Col23a1;Axin2;Has2;Mmp19;Adamtsl4;Ddr2;Loxl3;Zfp469;Ext1;Aebp1;Col16a1;Col6a1;Adamtsl3;Mkx;Postn;Fkbp10;Loxl1;Col1a1;Slc39a8;Sh3pxd2b;Notch1;Foxf1;Pmp22;Col18a1;Emilin1;P3h4;Sox9;Scara3;Kazald1;Adamts10;Gpm6b;Serpinh1;Lox;Scx;Mmp9;Sulf2;Sema5a;Col3a1;Selenon;Ptk2;Gas2;Stat3;Olfml2a;Rgcc;Mmp23;Col11a1;Hmcn1;Antxr1;Col5a1;Sulf1;Adamtsl5;Pbxip1;Dpt;Tgfb2;Tgfbi;App;Col4a6;Thsd4;Nf1;Adamts14;Fbln5;Ptx3;Creb3l1;Atp7a;Apbb1;Npnt;Smarca4;Ddr1;Crtap;Anxa2;Col28a1","241226;21859;170441;17181;12843;320452;239337;216725;71602;237759;12006;15117;58223;229595;18214;16950;195209;14042;11568;107581;12833;269959;210719;50706;14230;16949;12842;67547;268396;18128;15227;18858;12822;100952;66180;20682;219151;107250;224697;14758;12406;16948;20289;17395;72043;20356;12825;74777;14083;14453;20848;241327;66214;26561;12814;545370;69538;12831;240725;66548;229534;56429;21808;21810;11820;94216;207596;18015;237360;23876;19288;26427;11977;11785;114249;20586;12305;56693;12306;213945"
"CRISPR","KO_vs_WT","GO_BP","GOBP_CHONDROCYTE_DIFFERENTIATION",-2.06692859226899,-0.539118892507529,9.67003584647318e-07,0.000409405142650058,93,33,"Ecm1;Adamts12;Ccn4;Axin2;Prkca;Chst11;Ext1;Rarg;Bmpr1b;Por;Mkx;Ccn3;Ctnnb1;Prkg2;Sox5;Mef2c;Ltbp3;Sox9;Rflnb;Pkdcc;Serpinh1;Scx;Sulf2;Col3a1;Trps1;Col11a1;Runx3;Osr1;Chsy1;Fgfr1;Sulf1;Tgfbi;Wnt10b","13601;239337;22402;12006;18750;58250;14042;19411;12167;18984;210719;18133;12387;19092;20678;17260;16998;20682;76566;106522;12406;20289;72043;12825;83925;12814;12399;23967;269941;14182;240725;21810;22410"
"CRISPR","KO_vs_WT","GO_BP","GOBP_OSTEOBLAST_DIFFERENTIATION",-1.86687349476341,-0.443974267586863,1.51346075086494e-06,0.000569565729242174,168,51,"Id3;Id4;Lef1;Sox11;Fzd1;Ccn4;Axin2;Fam20c;Cthrc1;Enpp1;Ddr2;Bmpr1b;Snai1;Ahr;Col1a1;Ifitm1;Spp1;Ctnnb1;Sh3pxd2b;Notch1;Smad6;Rorb;Id1;Penk;Cebpa;Mef2c;Sox9;Igfbp3;Ppp3ca;Twist1;Tmem119;Lox;Fignl1;Mapk11;Il6st;Smad9;Ptk2;Smad5;Fgfr1;Fermt2;Fbn2;Wnt10b;Nf1;Creb3l1;Tnfaip6;Cd276;Fgf2;Dnai3;Lmna;Zhx3;Hdac5","15903;15904;16842;20666;14362;22402;12006;80752;68588;18605;18214;12167;20613;11622;12842;68713;20750;12387;268396;18128;17130;225998;15901;18619;12606;17260;20682;16009;19055;22160;231633;16948;60530;19094;16195;55994;14083;17129;14182;218952;14119;22410;18015;26427;21930;102657;14173;242253;16905;320799;15184"
"CRISPR","KO_vs_WT","GO_BP","GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY",-1.75307272641254,-0.393285058402374,1.97401489709912e-06,0.000668598845647471,294,84,"Clstn2;Baiap2;Adgrl2;Slitrk5;Fzd1;Adgrl3;Prkca;Epha7;Lrrn3;Ywhaz;Arc;Robo1;Sema4a;Dbnl;Mrtfa;Dbn1;Dock1;Nedd4;Dlg4;Lrrk2;Palm;Dock10;Adgre5;Ntm;Ctnnb1;Ppp1r9b;Wnt5a;Marcks;Exoc7;Sdc2;Srgap3;Sparc;Dock4;Pik3r1;Mef2c;Flrt3;Slitrk6;Lrrtm2;Cntnap1;Iglon5;Etv5;Pdlim5;Ngef;Trim47;Ephb3;Asap1;Nedd9;Ptk2;Bhlhb9;Sparcl1;Lrfn1;Tuba1a;Cask;Il1rap;Frmpd4;Slit2;Fgfr1;Arhgap32;Plppr4;Rbmx;Shank2;Dact1;Lrfn5;App;Cdk5r1;Trem2;Negr1;Ccdc141;Mdga1;Nf1;Senp1;Camkv;Thbs2;Eef2k;Pafah1b1;Pcdh7;Pgrmc1;Dtnbp1;Rtn4;Pdzd11;Phactr1;Ank3;Rhog;Pdxp","64085;108100;99633;75409;14362;319387;18750;13841;16981;22631;11838;19876;20351;13169;223701;56320;330662;17999;13385;66725;18483;210293;26364;235106;12387;217124;22418;17118;53413;15529;259302;20692;238130;18708;17260;71436;239250;107065;53321;210094;104156;56376;53972;217333;13845;13196;18003;14083;70237;13602;80749;22142;12361;16180;333605;20563;14182;330914;229791;19655;210274;59036;238205;11820;12569;83433;320840;545428;74762;18015;223870;235604;21826;13631;18472;54216;53328;94245;68585;72621;218194;11735;56212;57028"
