"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"Hallmark","HALLMARK_E2F_TARGETS",8.05446313683837e-13,4.02723156841919e-11,0.500963449899428,2.263468102296,200,87,"2547;4288;10460;1026;5591;6241;9787;1854;701;5425;3609;146909;10615;4605;332;3149;6941;147841;9833;9232;55143;7374;9238;5889;55635;55148;29089;29980;5395;204;3835;9319;4173;9738;4678;6790;6118;3930;9837;3838;197335;4830;57405;27338;672;7083;994;10635;1033;4001;1163;6119;3364;4683;7037;10535;23594;81624;5982;57122;4361;9221;991;8914;4292;64785;1786;7884;84296;5902;5426;10797;9918;64858;79077;3159;1062;10212;81611;4085;9212;24137;10528;55723;4174;7514;9700","XRCC6;MKI67;TACC3;CDKN1A;PRKDC;RRM2;DLGAP5;DUT;BUB1B;POLD2;ILF3;KIF18B;SPAG5;MYBL2;BIRC5;HMGB3;TCF19;SPC24;MELK;PTTG1;CDCA8;UNG;TBRG4;RAD51C;DEPDC1;UBR7;UBE2T;DONSON;PMS2;AK2;KIF22;TRIP13;MCM4;CCP110;NASP;AURKA;RPA2;LBR;GINS1;KPNA2;WDR90;NME1;SPC25;UBE2S;BRCA1;TK1;CDC25B;RAD51AP1;CDKN3;LMNB1;CKS1B;RPA3;HUS1;NBN;TFRC;RNASEH2A;ORC6;DIAPH3;RFC2;NUP107;MRE11;NOLC1;CDC20;TIMELESS;MLH1;GINS3;DNMT1;SLBP;GINS4;RANBP1;POLE;MTHFD2;NCAPD2;DCLRE1B;DCTPP1;HMGA1;CENPE;DDX39A;ANP32E;MAD2L1;AURKB;KIF4A;NOP56;ASF1B;MCM5;XPO1;ESPL1"
"Hallmark","HALLMARK_G2M_CHECKPOINT",4.06521244106461e-07,1.01630311026615e-05,0.420004251795262,1.89884152295703,199,77,"4288;10460;10762;3151;51203;3609;22974;1063;6541;10036;55872;4605;332;3149;57082;10024;7040;9232;4502;699;5371;26271;9156;94239;6491;4088;3835;85236;8140;4678;6790;6118;3930;990;7468;2176;3838;1841;3832;1736;7272;27338;81539;7486;994;1033;9493;4001;1163;3364;11065;9055;1870;1058;23594;595;899;3619;9221;991;51659;5426;1112;1810;3159;10721;51776;1062;10212;4085;56992;9212;24137;5119;4174;7514;9700","MKI67;TACC3;NUP50;HMGN2;NUSAP1;ILF3;TPX2;CENPF;SLC7A1;CHAF1A;PBK;MYBL2;BIRC5;HMGB3;KNL1;TROAP;TGFB1;PTTG1;MT2A;BUB1;PML;FBXO5;EXO1;H2AZ2;STIL;SMAD3;KIF22;H2BC12;SLC7A5;NASP;AURKA;RPA2;LBR;CDC6;NSD2;FANCC;KPNA2;DTYMK;KIF11;DKC1;TTK;UBE2S;SLC38A1;WRN;CDC25B;CDKN3;KIF23;LMNB1;CKS1B;HUS1;UBE2C;PRC1;E2F2;CENPA;ORC6;CCND1;CCNF;INCENP;NOLC1;CDC20;GINS2;POLE;FOXN3;DR1;HMGA1;POLQ;MAP3K20;CENPE;DDX39A;MAD2L1;KIF15;AURKB;KIF4A;CHMP1A;MCM5;XPO1;ESPL1"
"Hallmark","HALLMARK_XENOBIOTIC_METABOLISM",1.54440626042832e-05,0.00025740104340472,-0.357341133589235,-1.75503304864569,172,45,"7498;217;2052;4128;5091;223;10237;54498;3417;2110;9536;4355;4814;978;7358;225;51380;8460;4836;2099;51;50;218;1528;5166;3398;4864;10611;645;55502;488;3162;22949;316;866;65018;5447;4121;9663;131;5627;6747;3735;1573;6539","XDH;ALDH2;EPHX1;MAOA;PC;ALDH9A1;SLC35B1;SMOX;IDH1;ETFDH;PTGES;MPP2;NINJ1;CDA;UGDH;ABCD2;CSAD;TPST1;NMT1;ESR1;ACOX1;ACO2;ALDH3A1;CYB5A;PDK4;ID2;NPC1;PDLIM5;BLVRB;HES6;ATP2A2;HMOX1;PTGR1;AOX1;SERPINA6;PINK1;POR;MAN1A1;LPIN2;ADH7;PROS1;SSR3;KARS1;CYP2J2;SLC6A12"
"Hallmark","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000343892301049783,0.00429865376312229,0.356941768484909,1.61373569048357,199,53,"1282;1294;1490;5054;1284;1301;1293;3371;2303;23705;4638;7070;966;1292;5270;7474;2201;3486;7076;5817;5329;3624;5217;4017;115908;10486;4907;4312;6422;7040;1004;5806;4616;51330;7057;4232;960;284217;6695;22943;11167;290;6443;6641;3485;50863;22795;1289;2669;3915;25878;10272;7980","COL4A1;COL7A1;CCN2;SERPINE1;COL4A2;COL11A1;COL6A3;TNC;FOXC2;CADM1;MYLK;THY1;CD59;COL6A2;SERPINE2;WNT5A;FBN2;IGFBP3;TIMP1;PVR;PLAUR;INHBA;PFN2;LOXL2;CTHRC1;CAP2;NT5E;MMP1;SFRP1;TGFB1;CDH6;PTX3;GADD45B;TNFRSF12A;THBS1;MEST;CD44;LAMA1;SPOCK1;DKK1;FSTL1;ANPEP;SGCB;SNTB1;IGFBP2;NTM;NID2;COL5A1;GEM;LAMC1;MXRA5;FSTL3;TFPI2"
"Hallmark","HALLMARK_HYPOXIA",0.000536943645955219,0.00496252229085123,-0.322671105384609,-1.58473614617789,189,47,"6275;2027;694;3516;230;4601;2026;8459;5230;5165;7511;10397;272;1356;5236;9215;7043;3098;54206;1942;23210;538;2584;2548;26355;2817;3073;54800;55818;10370;9957;123;8839;1466;5033;2821;10957;596;3162;56925;4627;1843;3623;3669;7360;6576;5313","S100A4;ENO3;BTG1;RBPJ;ALDOC;MXI1;ENO2;TPST2;PGK1;PDK3;XPNPEP1;NDRG1;AMPD3;CP;PGM1;LARGE1;TGFB3;HK1;ERRFI1;EFNA1;JMJD6;ATP7A;GALK1;GAA;FAM162A;GPC1;HEXA;KLHL24;KDM3A;CITED2;HS3ST1;PLIN2;CCN5;CSRP2;P4HA1;GPI;PNRC1;BCL2;HMOX1;LXN;MYH9;DUSP1;INHA;ISG20;UGP2;SLC25A1;PKLR"
"Hallmark","HALLMARK_MYC_TARGETS_V2",0.000595502674902148,0.00496252229085123,0.496488593984074,1.84774456421177,57,30,"4869;6949;7374;9238;27346;8886;4173;11335;83743;10244;64216;26354;9064;9221;92856;79050;6652;79077;6573;10528;4174;51388;29078;6723;56342;23223;10199;54663;3177;23082","NPM1;TCOF1;UNG;TBRG4;TMEM97;DDX18;MCM4;CBX3;GRWD1;RABEPK;TFB2M;GNL3;MAP3K6;NOLC1;IMP4;NOC4L;SORD;DCTPP1;SLC19A1;NOP56;MCM5;NIP7;NDUFAF4;SRM;PPAN;RRP12;MPHOSPH10;WDR74;SLC29A2;PPRC1"
"Hallmark","HALLMARK_UV_RESPONSE_UP",0.000971000602994255,0.00693571859281611,-0.325344907651159,-1.56279752577698,155,24,"7277;291;2052;694;2907;4128;2026;6535;650;27161;51706;528;6236;885;3134;1280;2011;3659;5243;8878;1119;4323;3726;3164","TUBA4A;SLC25A4;EPHX1;BTG1;GRINA;MAOA;ENO2;SLC6A8;BMP2;AGO2;CYB5R1;ATP6V1C1;RRAD;CCK;HLA-F;COL2A1;MARK2;IRF1;ABCB1;SQSTM1;CHKA;MMP14;JUNB;NR4A1"
"Hallmark","HALLMARK_PEROXISOME",0.0029308594221993,0.0183178713887456,-0.363113522040602,-1.60462086597723,96,39,"291;223;3416;3417;225;5052;51;51024;26986;80270;10478;5243;6342;5830;51703;866;7533;3992;3265;10057;1384;9525;5825;5195;30;6258;706;1487;3418;6647;2224;6599;774;6833;215;9961;9249;2182;1503","SLC25A4;ALDH9A1;IDE;IDH1;ABCD2;PRDX1;ACOX1;FIS1;PABPC1;HSD3B7;SLC25A17;ABCB1;SCP2;PEX5;ACSL5;SERPINA6;YWHAH;FADS1;HRAS;ABCC5;CRAT;VPS4B;ABCD3;PEX14;ACAA1;RXRG;TSPO;CTBP1;IDH2;SOD1;FDPS;SMARCC1;CACNA1B;ABCC8;ABCD1;MVP;DHRS3;ACSL4;CTPS1"
"Hallmark","HALLMARK_ADIPOGENESIS",0.00460015965221499,0.0239600816940166,-0.29161763504323,-1.43833083907474,191,66,"217;5168;718;2167;33;35;284;47;4199;3417;29103;5236;9131;112;376497;4836;10140;6776;51;50;79071;8491;8436;123;58472;6342;10113;6888;5495;2109;4191;26353;483;23187;5447;23788;10989;10162;1351;7905;6576;7423;1537;1384;6390;9908;4958;3419;5195;1147;1738;2879;57678;5860;26994;6647;25813;27069;54996;1737;25979;4189;1376;3991;10313;1468","ALDH2;ENPP2;C3;FABP4;ACADL;ACADS;ANGPT1;ACLY;ME1;IDH1;DNAJC15;PGM1;AIFM1;ADCY6;SLC27A1;NMT1;TOB1;STAT5A;ACOX1;ACO2;ELOVL6;MAP4K3;CAVIN2;PLIN2;SQOR;SCP2;PREB;TALDO1;PPM1B;ETFB;MDH2;HSPB8;ATP1B3;PHLDB1;POR;MTCH2;IMMT;LPCAT3;COX8A;REEP5;SLC25A1;VEGFB;CYC1;CRAT;SDHB;G3BP2;OMD;IDH3A;PEX14;CHUK;DLD;GPX4;GPAM;QDPR;RNF11;SOD1;SAMM50;GHITM;MTARC2;DLAT;DHRS7B;DNAJB9;CPT2;LIPE;RTN3;SLC25A10"
"Hallmark","HALLMARK_FATTY_ACID_METABOLISM",0.00479201633880332,0.0239600816940166,-0.318983269427197,-1.52479400312218,141,21,"2027;2052;4128;33;2026;5160;35;223;3157;4199;3417;2110;3956;7358;50814;5910;6281;51;50;218;8639","ENO3;EPHX1;MAOA;ACADL;ENO2;PDHA1;ACADS;ALDH9A1;HMGCS1;ME1;IDH1;ETFDH;LGALS1;UGDH;NSDHL;RAP1GDS1;S100A10;ACOX1;ACO2;ALDH3A1;AOC3"
"Hallmark","HALLMARK_BILE_ACID_METABOLISM",0.00650244091418816,0.0295565496099462,-0.349059227569811,-1.54251407899313,96,34,"4734;223;3417;20;8630;225;196743;21;2730;80270;6342;4864;51703;866;3992;5947;5825;23461;6258;10350;64137;9420;3418;5191;5213;6647;64241;3991;215;189;8435;366;50640;9971","NEDD4;ALDH9A1;IDH1;ABCA2;HSD17B6;ABCD2;PAOX;ABCA3;GCLM;HSD3B7;SCP2;NPC1;ACSL5;SERPINA6;FADS1;RBP1;ABCD3;ABCA5;RXRG;ABCA9;ABCG4;CYP7B1;IDH2;PEX7;PFKM;SOD1;ABCG8;LIPE;ABCD1;AGXT;SOAT2;AQP9;PNPLA8;NR1H4"
"Hallmark","HALLMARK_MTORC1_SIGNALING",0.0123435633990723,0.0514315141628013,-0.270936013629379,-1.3362543919631,197,65,"7277;3638;5230;6713;3157;2181;928;47;4199;3417;5236;5052;900;4836;5701;10987;79071;7108;9695;23753;10061;7184;8878;4048;3156;5033;3336;2821;23760;488;5718;441024;3475;10096;3145;26227;10989;3992;516;5685;5719;5684;3308;27071;2107;10213;2717;29110;8615;31;2965;27230;5861;1649;2729;4802;7436;2058;5704;8553;5860;7323;3313;6745;6503","TUBA4A;INSIG1;PGK1;SQLE;HMGCS1;ACSL3;CD9;ACLY;ME1;IDH1;PGM1;PRDX1;CCNG1;NMT1;PSMC2;COPS5;ELOVL6;TM7SF2;EDEM1;SDF2L1;ABCF2;HSP90B1;SQSTM1;LTA4H;HMGCR;P4HA1;HSPE1;GPI;PITPNB;ATP2A2;PSMD12;MTHFD2L;IFRD1;ACTR3;HMBS;PHGDH;IMMT;FADS1;ATP5MC1;PSMA4;PSMD13;PSMA3;HSPA4;DAPP1;ETF1;PSMD14;GLA;TBK1;USO1;ACACA;GTF2H1;SERP1;RAB1A;DDIT3;GCLC;NFYC;VLDLR;EPRS1;PSMC4;BHLHE40;QDPR;UBE2D3;HSPA9;SSR1;SLA"
