"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"KEGG","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",7.29657880359595e-30,3.72563313711609e-26,0.567891297478854,2.69312686298343,319,169,"8614;4288;29128;10460;54908;771;11130;6241;54443;9787;1854;701;51203;5425;22974;55536;9824;51512;221150;55165;55038;10036;3833;84515;55872;10615;4605;55771;332;9401;144455;6941;2175;54058;147841;57082;10024;9833;9232;259266;55215;55835;55806;2305;79172;699;7374;80179;79968;113130;26271;23306;9156;63922;2189;51293;130574;29089;6491;55157;23310;89891;81610;94122;9319;54898;93323;54069;79980;4173;4277;63979;81620;8140;283431;4678;7517;6790;55055;79801;54892;9837;2237;990;79682;2176;51053;10105;2491;3832;2177;64116;4830;7516;7272;9424;84131;283578;672;1763;7083;55839;8458;54470;9493;55526;128239;63967;11169;4001;6119;5984;11065;220042;9055;90417;1870;10535;55388;23213;5982;157570;83879;54790;55151;57122;4361;3619;83990;6781;7298;3556;8208;10202;4796;8914;8836;64785;55540;9735;374393;1786;641;84187;10198;149175;1138;51659;5426;4522;56852;9918;107;64858;5932;10721;90381;9088;91687;124222;1952;7443;10682;9212;24137;23397;81691;113115;55723","STC2;MKI67;UHRF1;TACC3;SPDL1;CA12;ZWINT;RRM2;ANLN;DLGAP5;DUT;BUB1B;NUSAP1;POLD2;TPX2;CDCA7L;ARHGAP11A;GTSE1;SKA3;CEP55;CDCA4;CHAF1A;KIFC1;MCM8;PBK;SPAG5;MYBL2;PRR11;BIRC5;RECQL4;E2F7;TCF19;FANCA;C21orf58;SPC24;KNL1;TROAP;MELK;PTTG1;ASPM;FANCI;CPAP;HR;FOXM1;CENPO;BUB1;UNG;MYO19;WDR76;CDCA5;FBXO5;NEMP1;EXO1;CHTF18;FANCG;CD320;LYPD6;UBE2T;STIL;DARS2;NCAPD3;DYNC2I2;SACK1D;SYTL5;TRIP13;ELOVL2;HAUS8;MIS18A;DSN1;MCM4;MICB;FIGNL1;CDT1;SLC7A5;GAS2L3;NASP;XRCC3;AURKA;ZWILCH;SHCBP1;NCAPG2;GINS1;FEN1;CDC6;CENPU;FANCC;GMNN;PPIF;CENPI;KIF11;FANCD2;SLC39A8;NME1;XRCC2;TTK;KCNK6;CEP78;TMED8;BRCA1;DNA2;TK1;CENPN;TTF2;ARMCX6;KIF23;DHTKD1;IQGAP3;CLSPN;WDHD1;LMNB1;RPA3;RFC4;UBE2C;DDIAS;PRC1;KNSTRN;E2F2;RNASEH2A;MCM10;SULF1;RFC2;ESCO2;CDCA7;TET2;TMEM38B;NUP107;MRE11;INCENP;BRIP1;STC1;TYMS;IL1RAP;CHAF1B;DHRS2;TONSL;TIMELESS;GGH;GINS3;IL17RB;KNTC1;FAM111B;DNMT1;BLM;TMEM164;MPHOSPH9;MANEAL;CHRNA5;GINS2;POLE;MTHFD1;RAD18;NCAPD2;ADCY1;DCLRE1B;RBBP8;POLQ;TICRR;PKMYT1;CENPL;PAQR4;CELSR2;VRK1;EBP;AURKB;KIF4A;NCAPH;REXO5;MTFR2;ASF1B"
"KEGG","FIGAROL_EGFR_TKI_DRUG_TOLERANT_CELL_DN",2.09599626060953e-29,5.35107845333612e-26,0.502877090401694,2.48723352491222,490,254,"4288;29128;10460;26147;54919;10762;11130;6241;54443;9787;1854;701;51203;5425;84823;3609;22974;55355;116832;9656;146909;9824;51512;79017;1063;221150;142;55165;55038;4907;10036;3833;7262;55872;6611;10615;4605;55771;332;3149;6941;2175;147841;10024;9833;9232;259266;55215;84959;112495;1719;2305;79172;699;55143;54913;7374;80179;7851;79968;113130;26271;9928;9156;27346;5889;2189;23636;150468;22822;8091;55635;4188;29089;6491;23310;29980;8061;4521;3835;81610;9319;10572;93323;54069;55159;4173;9388;55270;63979;81620;26586;109;4678;7517;6790;642475;55055;83540;3930;79801;54892;2237;990;79682;220134;2119;3838;5468;3832;2177;4830;7516;10038;8829;7272;57405;1382;27338;54982;83596;23178;3949;55329;84131;3485;672;387103;7083;84986;64946;55839;85414;8458;10785;994;10635;1033;1848;90233;9493;55526;81848;63967;221178;11169;2178;4001;2232;1163;6119;8727;29015;5984;145508;11065;220042;9055;995;90417;30001;136;1870;10535;1058;595;55388;5982;25886;89958;157570;10189;83879;899;57122;3619;83990;7298;23234;8208;991;6627;146956;4796;54566;8914;64785;9735;55166;10541;1786;641;7884;10198;388962;84296;5223;51659;97;5902;5426;4522;4998;3092;9918;9610;23580;11138;64858;84321;79077;29901;3159;10721;90381;100131211;9088;91687;124222;1062;4085;56992;7443;54820;2222;11073;5305;10682;9212;24137;9771;23397;116028;113115;55723;4174;145773;9700;1017;64105;23682;580;84904;54830;201255;51361;4176;64151;675;7153;728833;284403;64793;6382","MKI67;UHRF1;TACC3;PHF19;DNAAF5;NUP50;ZWINT;RRM2;ANLN;DLGAP5;DUT;BUB1B;NUSAP1;POLD2;LMNB2;ILF3;TPX2;HJURP;RPL39L;MDC1;KIF18B;ARHGAP11A;GTSE1;GGCT;CENPF;SKA3;PARP1;CEP55;CDCA4;NT5E;CHAF1A;KIFC1;PHLDA2;PBK;SMS;SPAG5;MYBL2;PRR11;BIRC5;HMGB3;TCF19;FANCA;SPC24;TROAP;MELK;PTTG1;ASPM;FANCI;UBASH3B;GTF3C6;DHFR;FOXM1;CENPO;BUB1;CDCA8;RPP25;UNG;MYO19;MALL;WDR76;CDCA5;FBXO5;KIF14;EXO1;TMEM97;RAD51C;FANCG;NUP62;CKAP2L;PHLDA1;HMGA2;DEPDC1;MDFI;UBE2T;STIL;NCAPD3;DONSON;FOSL1;NUDT1;KIF22;SACK1D;TRIP13;SIVA1;HAUS8;MIS18A;RFWD3;MCM4;LIPG;NUDT15;FIGNL1;CDT1;CKAP2;ADCY3;NASP;XRCC3;AURKA;MROH6;ZWILCH;NUF2;LBR;SHCBP1;NCAPG2;FEN1;CDC6;CENPU;SKA1;ETV5;KPNA2;PPARG;KIF11;FANCD2;NME1;XRCC2;PARP2;NRP1;TTK;SPC25;CRABP2;UBE2S;CLN6;BCL2L12;PASK;LDLR;MNS1;CEP78;IGFBP2;BRCA1;CENPW;TK1;ARHGAP19;CENPH;CENPN;SLC45A3;TTF2;WDR4;CDC25B;RAD51AP1;CDKN3;DUSP6;ZNF551;KIF23;DHTKD1;SPRY4;CLSPN;SPATA13;WDHD1;FANCE;LMNB1;FDXR;CKS1B;RPA3;CTNNAL1;SLC43A3;RFC4;CEP128;UBE2C;DDIAS;PRC1;CDC25C;KNSTRN;ERO1A;ADORA2B;E2F2;RNASEH2A;CENPA;CCND1;MCM10;RFC2;POC1A;SAPCD2;ESCO2;ALYREF;CDCA7;CCNF;NUP107;INCENP;BRIP1;TYMS;DNAJC9;CHAF1B;CDC20;SNRPA1;EME1;TONSL;EPB41L4B;TIMELESS;GINS3;KNTC1;CENPQ;ANP32B;DNMT1;BLM;SLBP;MPHOSPH9;BOLA3;GINS4;PGAM1;GINS2;ACYP1;RANBP1;POLE;MTHFD1;ORC1;HIP1;NCAPD2;RIN1;CDC42EP4;TBC1D8;DCLRE1B;THOC3;DCTPP1;SAC3D1;HMGA1;POLQ;TICRR;NEMP2;PKMYT1;CENPL;PAQR4;CENPE;MAD2L1;KIF15;VRK1;NDE1;FDFT1;TOPBP1;PIP4K2A;EBP;AURKB;KIF4A;RAPGEF5;NCAPH;RMI2;MTFR2;ASF1B;MCM5;FAM81A;ESPL1;CDK2;CENPK;RAB38;BARD1;ARHGEF39;NUP62CL;LRRC45;HOOK1;MCM7;NCAPG;BRCA2;TOP2A;FAM72D;WDR62;CEP85;SDC1"
"KEGG","KOBAYASHI_EGFR_SIGNALING_24HR_DN",1.6714646391959e-23,2.84483281591143e-20,0.56887628603965,2.6388033416617,247,109,"4288;54908;63901;11130;6241;9787;1854;701;7378;51203;84823;22974;55355;146909;51512;55568;55165;11135;55038;4907;10036;6949;7262;55872;10615;4605;332;1846;81831;9833;259266;55215;1719;699;55143;7374;23306;9928;131566;9156;8091;55635;51018;6491;23310;29980;8061;9319;51330;54478;55159;79980;4173;55270;81620;6790;22943;55055;79801;54892;9837;2237;990;79682;51053;2119;3838;10105;3832;4830;10038;7272;57405;27338;672;7083;55839;10635;1033;1848;7039;9493;4001;1163;29015;5984;11065;22936;7980;3589;9055;136;10535;1058;23594;595;55388;5982;56829;899;6574;9221;6781;7298;23234;991;6627;8914;64785","MKI67;SPDL1;FAM111A;ZWINT;RRM2;DLGAP5;DUT;BUB1B;UPP1;NUSAP1;LMNB2;TPX2;HJURP;KIF18B;GTSE1;GALNT10;CEP55;CDC42EP1;CDCA4;NT5E;CHAF1A;TCOF1;PHLDA2;PBK;SPAG5;MYBL2;BIRC5;DUSP4;NETO2;MELK;ASPM;FANCI;DHFR;BUB1;CDCA8;UNG;NEMP1;KIF14;DCBLD2;EXO1;HMGA2;DEPDC1;RRP15;STIL;NCAPD3;DONSON;FOSL1;TRIP13;TNFRSF12A;PIMREG;RFWD3;DSN1;MCM4;NUDT15;CDT1;AURKA;DKK1;ZWILCH;SHCBP1;NCAPG2;GINS1;FEN1;CDC6;CENPU;GMNN;ETV5;KPNA2;PPIF;KIF11;NME1;PARP2;TTK;SPC25;UBE2S;BRCA1;TK1;CENPN;RAD51AP1;CDKN3;DUSP6;TGFA;KIF23;LMNB1;CKS1B;SLC43A3;RFC4;UBE2C;ELL2;TFPI2;IL11;PRC1;ADORA2B;RNASEH2A;CENPA;ORC6;CCND1;MCM10;RFC2;ZC3HAV1;CCNF;SLC20A1;NOLC1;STC1;TYMS;DNAJC9;CDC20;SNRPA1;TIMELESS;GINS3"
"KEGG","BASAKI_YBX1_TARGETS_UP",1.04203733532132e-18,1.33016065853767e-15,0.514084104079862,2.41413528801009,282,120,"4288;1490;29128;26147;54908;27122;10602;10762;9265;5591;11130;54443;2736;701;3897;1663;84823;22974;3654;55355;9180;1643;9656;51512;53838;55627;134265;55165;10036;23677;348235;55872;332;144455;147841;9833;9232;259266;79581;55215;359845;4502;1719;55323;79172;699;55143;7374;80179;2304;11098;1969;94239;55635;27242;11164;3835;81610;23406;9319;51330;10572;54069;2618;7057;4173;144501;8140;6273;3608;6790;22943;55055;83540;79801;9837;2237;990;79682;7468;10055;3838;1841;2491;6341;6510;55630;3858;387103;7083;55839;10785;1033;10395;9493;22795;154;7739;11169;55871;7866;7077;11065;116461;9055;90417;1058;23594;55388;81624;5982;10189;4726;7298;23234;23623;6591;991;390;6627","MKI67;CCN2;UHRF1;PHF19;SPDL1;DKK3;CDC42EP3;NUP50;CYTH3;PRKDC;ZWINT;ANLN;GLI2;BUB1B;L1CAM;DDX11;LMNB2;TPX2;IRAK1;HJURP;OSMR;DDB2;MDC1;GTSE1;C11orf24;SMPD4;AFAP1L1;CEP55;CHAF1A;SH3BP4;SKA2;PBK;BIRC5;E2F7;SPC24;MELK;PTTG1;ASPM;SLC52A2;FANCI;RFLNB;MT2A;DHFR;LARP6;CENPO;BUB1;CDCA8;UNG;MYO19;FOXE1;PRSS23;EPHA2;H2AZ2;DEPDC1;TNFRSF21;NUDT5;KIF22;SACK1D;COTL1;TRIP13;TNFRSF12A;SIVA1;MIS18A;GART;THBS1;MCM4;KRT80;SLC7A5;S100A2;ILF2;AURKA;DKK1;ZWILCH;NUF2;SHCBP1;GINS1;FEN1;CDC6;CENPU;NSD2;SAE1;KPNA2;DTYMK;CENPI;SCO1;SLC1A5;SLC39A4;KRT10;CENPW;TK1;CENPN;WDR4;CDKN3;DLC1;KIF23;NID2;ADRB2;ZNF185;WDHD1;ZNG1A;IFRD2;TIMP2;UBE2C;TSEN15;PRC1;KNSTRN;CENPA;ORC6;MCM10;DIAPH3;RFC2;ALYREF;NDUFS6;TYMS;DNAJC9;RUSC1;SNAI2;CDC20;RND3;SNRPA1"
"KEGG","CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN",1.35703016225026e-18,1.38579920168996e-15,0.447303974944096,2.19838417636291,456,151,"1282;5054;1284;164284;1293;2273;4638;54908;27122;57493;1292;302;9590;5270;90411;7837;54443;8793;9697;51665;81792;7378;7076;4267;3609;1075;1956;3624;64411;5214;55355;1021;143888;9180;976;3428;9469;146909;4017;26278;53827;8492;1291;9263;4907;3460;3945;10687;11245;5836;332;586;25927;118429;6422;9945;7040;23180;9232;359845;1806;84959;54751;9900;22873;3912;23731;55323;699;84668;1687;1969;131566;2151;3269;51312;5327;5793;150468;23432;8091;5578;55619;84969;55635;79707;5806;493869;439921;6491;84141;2791;4088;8061;7035;6891;2313;91624;84168;83742;2770;960;55970;5293;6273;9194;55701;56975;51232;285550;5069;182;79780;5797;3575;7025;56938;2119;81029;8406;26010;11167;8829;84056;114818;27338;79642;51186;6443;25959;79850;10391;56034;56648;4240;6624;22795;6744;84002;1289;8727;3915;7077;55862;3589;51201;171023;136;51334;221687;10097","COL4A1;SERPINE1;COL4A2;APCDD1L;COL6A3;FHL1;MYLK;SPDL1;DKK3;HEG1;COL6A2;ANXA2;AKAP12;SERPINE2;MCFD2;PXDN;ANLN;TNFRSF10D;TRAM2;ASB1;ADAMTS12;UPP1;TIMP1;CD99;ILF3;CTSC;EGFR;INHBA;ARAP3;PFKP;HJURP;CDK6;POGLUT3;OSMR;ADGRE5;IFI16;CHST3;KIF18B;LOXL2;SACS;FXYD5;PRSS12;COL6A1;STK17A;NT5E;IFNGR2;LDHB;PNMA2;GPR176;PYGL;BIRC5;BCAT1;CNRIP1;ANTXR2;SFRP1;GFPT2;TGFB1;RFTN1;PTTG1;RFLNB;DPYD;UBASH3B;FBLIM1;SV2A;DZIP1;LAMB1;TMEM245;LARP6;BUB1;HYCC1;GSDME;EPHA2;DCBLD2;F2RL2;HRH1;SLC25A37;PLAT;PTPRG;CKAP2L;GPR161;HMGA2;PRKCA;DOCK10;TOX2;DEPDC1;NOL9;PTX3;GPX8;MXRA7;STIL;EVA1A;GNG11;SMAD3;FOSL1;TFPI;TAP2;FLI1;NEXN;ANTXR1;MARVELD1;GNAI1;CD44;GNG12;PIK3CD;S100A2;SLC16A7;ARHGEF40;FAM20C;CRIM1;FAM200B;PAPPA;JAG1;CCDC82;PTPRM;IL7R;NR2F1;BMAL2;ETV5;WNT5B;SRPX;SPATS2L;FSTL1;NRP1;KATNAL1;KLHL29;UBE2S;ARSJ;TCEAL9;SGCB;KANK2;TLCD3A;CORO2B;PDGFC;EIF5A2;MFGE8;FSCN1;NID2;ITPRID2;B3GNT5;COL5A1;CTNNAL1;LAMC1;TIMP2;ECHDC1;IL11;ZDHHC2;ASXL1;ADORA2B;PRR16;RNF182;ACTR2"
"KEGG","FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN",2.16751780025904e-18,1.84455764802045e-15,0.5810053924285,2.58474101532309,179,112,"4288;5054;10460;63901;11130;6241;54443;9787;701;3151;51203;22974;79649;55355;143888;146909;9824;51512;1063;221150;3833;55872;10615;4605;55771;332;10024;22995;9833;9232;259266;55215;2305;699;55143;113130;26271;23306;9928;9156;150468;55635;29089;7035;4038;55320;3835;54478;79980;26586;151246;283431;6790;83540;79801;54892;9837;79682;220134;3838;3832;55026;2177;205;11167;7516;7272;57405;3949;672;2012;7083;84986;10635;1033;9493;128239;4001;1163;2669;286827;11065;9055;90417;1058;25886;157570;4439;83990;991;8914;9735;80723;641;7368;81930;9918;151648;9037;10721;79730;91687;4163;51170;1062;81611;4085;56992;54820;9212;24137;23397","MKI67;SERPINE1;TACC3;FAM111A;ZWINT;RRM2;ANLN;DLGAP5;BUB1B;HMGN2;NUSAP1;TPX2;MAP7D3;HJURP;POGLUT3;KIF18B;ARHGAP11A;GTSE1;CENPF;SKA3;KIFC1;PBK;SPAG5;MYBL2;PRR11;BIRC5;TROAP;CEP152;MELK;PTTG1;ASPM;FANCI;FOXM1;BUB1;CDCA8;CDCA5;FBXO5;NEMP1;KIF14;EXO1;CKAP2L;DEPDC1;UBE2T;TFPI;LRP4;MIS18BP1;KIF22;PIMREG;DSN1;CKAP2;SGO2;GAS2L3;AURKA;NUF2;SHCBP1;NCAPG2;GINS1;CENPU;SKA1;KPNA2;KIF11;TMEM255A;FANCD2;AK4;FSTL1;XRCC2;TTK;SPC25;LDLR;BRCA1;EMP1;TK1;ARHGAP19;RAD51AP1;CDKN3;KIF23;IQGAP3;LMNB1;CKS1B;GEM;TRIM59;UBE2C;PRC1;KNSTRN;CENPA;POC1A;ESCO2;MSH5;BRIP1;CDC20;TIMELESS;KNTC1;SLC35G2;BLM;UGT8;KIF18A;NCAPD2;SGO1;SEMA5A;POLQ;NSUN7;CENPL;MCC;HSD17B11;CENPE;ANP32E;MAD2L1;KIF15;NDE1;AURKB;KIF4A;NCAPH"
"KEGG","ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",4.84580838653035e-18,3.53467108880342e-15,0.610118982924645,2.62935504647686,140,82,"4288;10460;54908;11130;6241;9787;701;51203;22974;55355;146909;51512;1829;1063;55165;3833;55872;10615;4605;332;81831;9833;9232;259266;55215;1951;1719;2305;699;55143;26271;9928;6491;9319;1789;4173;6790;79801;9837;2237;990;79682;51053;3838;1841;3832;7272;27338;81539;672;1763;7083;25941;10635;9493;4001;6119;11065;637;9055;1058;55388;899;7298;8208;991;8836;84296;9582;10166;29901;3159;10721;124222;1062;81611;4085;56992;10682;9212;24137;23397","MKI67;TACC3;SPDL1;ZWINT;RRM2;DLGAP5;BUB1B;NUSAP1;TPX2;HJURP;KIF18B;GTSE1;DSG2;CENPF;CEP55;KIFC1;PBK;SPAG5;MYBL2;BIRC5;NETO2;MELK;PTTG1;ASPM;FANCI;CELSR3;DHFR;FOXM1;BUB1;CDCA8;FBXO5;KIF14;STIL;TRIP13;DNMT3B;MCM4;AURKA;SHCBP1;GINS1;FEN1;CDC6;CENPU;GMNN;KPNA2;DTYMK;KIF11;TTK;UBE2S;SLC38A1;BRCA1;DNA2;TK1;TPGS2;RAD51AP1;KIF23;LMNB1;RPA3;UBE2C;BID;PRC1;CENPA;MCM10;CCNF;TYMS;CHAF1B;CDC20;GGH;GINS4;APOBEC3B;SLC25A15;SAC3D1;HMGA1;POLQ;PAQR4;CENPE;ANP32E;MAD2L1;KIF15;EBP;AURKB;KIF4A;NCAPH"
"KEGG","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",7.59628370821915e-17,4.84832807677087e-14,0.587403085716356,2.56295322622861,151,83,"4288;10460;11130;6241;9787;701;51203;22974;55355;146909;51512;1063;23560;55165;3833;1349;10615;4605;332;3149;6637;10024;9833;9232;259266;79581;2305;699;55143;26271;9928;9156;94239;6491;29980;4521;9319;54478;54069;79980;4173;11260;8140;6790;54892;9837;2237;79682;3838;2491;3832;4830;7272;27338;55839;1033;4001;5984;7295;11065;9055;6921;10535;1058;6182;55388;6631;23234;991;8914;641;7296;9582;10721;9088;1062;10212;4085;56992;7443;9212;24137;23397","MKI67;TACC3;ZWINT;RRM2;DLGAP5;BUB1B;NUSAP1;TPX2;HJURP;KIF18B;GTSE1;CENPF;GTPBP4;CEP55;KIFC1;COX7B;SPAG5;MYBL2;BIRC5;HMGB3;SNRPG;TROAP;MELK;PTTG1;ASPM;SLC52A2;FOXM1;BUB1;CDCA8;FBXO5;KIF14;EXO1;H2AZ2;STIL;DONSON;NUDT1;TRIP13;PIMREG;MIS18A;DSN1;MCM4;XPOT;SLC7A5;AURKA;NCAPG2;GINS1;FEN1;CENPU;KPNA2;CENPI;KIF11;NME1;TTK;UBE2S;CENPN;CDKN3;LMNB1;RFC4;TXN;UBE2C;PRC1;ELOC;RNASEH2A;CENPA;MRPL12;MCM10;SNRPC;DNAJC9;CDC20;TIMELESS;BLM;TXNRD1;APOBEC3B;POLQ;PKMYT1;CENPE;DDX39A;MAD2L1;KIF15;VRK1;AURKB;KIF4A;NCAPH"
"KEGG","HORIUCHI_WTAP_TARGETS_DN",1.09616790441988e-16,6.21892591107547e-14,0.483064927045966,2.28119936163489,309,138,"5478;4288;29128;6130;23089;2739;114991;7919;57506;5137;64710;6241;54443;9787;701;51203;1663;84823;22974;114908;55355;3454;146909;51512;221150;151011;55165;3945;55872;1349;10615;4605;55771;332;147841;57082;10024;9833;9232;259266;1719;90135;2305;23731;699;55143;7374;3320;9928;27346;150468;8091;94239;23521;55635;3835;81610;55973;9319;54478;221830;79080;960;26586;151246;257194;51181;10234;6790;22943;83540;3930;56938;6122;51053;3832;26010;2177;7272;57405;51567;27338;57587;387103;7083;55839;994;10635;1033;64216;9493;127933;6744;5865;1933;4001;58538;1163;165324;11065;9055;10438;1058;58477;11013;170384;54360;2936;7298;991;55629;57563;6526;221079;6137;6857;93663;10574;7903;23333;9582;10944;10622;9918;22929;79187;3159;80328;84650;151188;253832;4085;7443;5228;2222;9331;9212;24137","PPIA;MKI67;UHRF1;RPL7A;PEG10;GLO1;ZNF618;DDX39B;MAVS;PDE1C;NUCKS1;RRM2;ANLN;DLGAP5;BUB1B;NUSAP1;DDX11;LMNB2;TPX2;TMEM123;HJURP;IFNAR1;KIF18B;GTSE1;SKA3;SEPTIN10;CEP55;LDHB;PBK;COX7B;SPAG5;MYBL2;PRR11;BIRC5;SPC24;KNL1;TROAP;MELK;PTTG1;ASPM;DHFR;BTBD6;FOXM1;TMEM245;BUB1;CDCA8;UNG;HSP90AA1;KIF14;TMEM97;CKAP2L;HMGA2;H2AZ2;RPL13A;DEPDC1;KIF22;SACK1D;BCAP29;TRIP13;PIMREG;POLR1F;CCDC86;CD44;CKAP2;SGO2;NEGR1;DCXR;LRRC17;AURKA;DKK1;NUF2;LBR;BMAL2;RPL3;GMNN;KIF11;SPATS2L;FANCD2;TTK;SPC25;TDP2;UBE2S;CFAP97;CENPW;TK1;CENPN;CDC25B;RAD51AP1;CDKN3;TFB2M;KIF23;UHMK1;ITPRID2;RAB3B;EEF1B2;LMNB1;MPP4;CKS1B;UBXN2A;UBE2C;PRC1;C1D;CENPA;SRPRB;TMSB15A;POFUT4;CYTL1;GSR;TYMS;CDC20;PNRC2;KLHL8;SLC5A3;ARL5B;RPL13;SYT1;ARHGAP18;CCT7;ST8SIA4;DPY19L1;APOBEC3B;C11orf58;POLR3G;NCAPD2;SEPHS1;FSD1;HMGA1;ULBP2;EBPL;ARL6IP6;ZDHHC20;MAD2L1;VRK1;PGF;FDFT1;B4GALT6;AURKB;KIF4A"
"KEGG","RUIZ_TNC_TARGETS_DN",1.69491019397634e-16,8.65421145044317e-14,0.59513077906568,2.56803512854463,141,58,"8614;54908;10602;5270;63901;11130;6241;1956;5214;55355;116372;6541;23677;55872;332;9833;23180;55215;1719;2305;27341;9156;27346;5792;8061;9052;9319;51330;55159;7057;8682;4173;4232;79080;960;8140;51232;22943;55055;79801;54892;9837;3575;2237;990;79682;51053;1736;57405;100133941;81539;10635;347902;5984;23576;11065;1983;5055","STC2;SPDL1;CDC42EP3;SERPINE2;FAM111A;ZWINT;RRM2;EGFR;PFKP;HJURP;LYPD1;SLC7A1;SH3BP4;PBK;BIRC5;MELK;RFTN1;FANCI;DHFR;FOXM1;RRP7A;EXO1;TMEM97;PTPRF;FOSL1;GPRC5A;TRIP13;TNFRSF12A;RFWD3;THBS1;PEA15;MCM4;MEST;CCDC86;CD44;SLC7A5;CRIM1;DKK1;ZWILCH;SHCBP1;NCAPG2;GINS1;IL7R;FEN1;CDC6;CENPU;GMNN;DKC1;SPC25;CD24;SLC38A1;RAD51AP1;AMIGO2;RFC4;DDAH1;UBE2C;EIF5;SERPINB2"
