"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"Reactome","REACTOME_MITOCHONDRIAL_TRANSLATION",2.57328632023491e-13,2.84090809753934e-10,0.599126435582286,2.4777315033046,113,49,"4514;4513;4538;4508;4512;4539;4535;4519;4540;5018;11222;64969;4537;7818;23107;90480;55173;60488;51253;6150;55037;64975;128308;51318;9553;4536;740;65003;64963;65080;54998;64983;79590;26284;4509;57129;7284;26589;91574;10573;6182;219402;51021;78988;51264;54516;51263;64968;64979","MT-CO3;MT-CO2;MT-ND4;MT-ATP6;MT-CO1;MT-ND4L;MT-ND1;MT-CYB;MT-ND5;OXA1L;MRPL3;MRPS5;MT-ND3;DAP3;MRPS27;GADD45GIP1;MRPS10;MRPS35;MRPL37;MRPL23;PTCD3;MRPL41;MRPL55;MRPL35;MRPL33;MT-ND2;MRPL49;MRPL11;MRPS11;MRPL44;AURKAIP1;MRPL32;MRPL24;ERAL1;MT-ATP8;MRPL47;TUFM;MRPL46;MTRFR;MRPL28;MRPL12;MTIF3;MRPS16;MRPL57;MRPL27;MTRF1L;MRPL30;MRPS6;MRPL36"
"Reactome","REACTOME_RRNA_PROCESSING",1.31044992336803e-12,7.23368357699155e-10,0.494170526268446,2.22878949116188,207,75,"6187;6130;6128;6228;6146;3921;6159;6129;6171;29960;116832;6133;51504;114049;6218;6231;6230;6136;81554;6224;25926;27341;54913;6144;51335;81875;6232;23521;79707;51121;285367;6124;9045;11224;55720;6158;6189;60528;11102;26995;6122;9692;1736;6201;6233;6170;10813;118460;22868;6173;6235;88745;6210;51077;26354;6204;55127;10200;28987;10438;84946;6234;55623;115939;55505;92856;6205;6137;6141;79050;9790;79922;9277;27042;6139","RPS2;RPL7A;RPL6;RPS23;RPL22;RPSA;RPL29;RPL7;RPL41;MRM2;RPL39L;RPL9;TRMT112;BUD23;RPS17;RPS26;RPS25;RPL12;RCC1L;RPS20;NOL11;RRP7A;RPP25;RPL21;NGRN;ISG20L2;RPS27;RPL13A;NOL9;RPL26L1;RPUSD3;RPL4;RPL14;RPL35;TSR1;RPL28;RPS3A;ELAC2;RPP14;TRUB2;RPL3;PRORP;DKC1;RPS7;RPS27A;RPL39;UTP14A;EXOSC6;FASTKD2;RPL36A;RPS29;RRP36;RPS15A;FCF1;GNL3;RPS10;HEATR1;MPHOSPH6;NOB1;C1D;LTV1;RPS28;THUMPD1;TSR3;NOP10;IMP4;RPS11;RPL13;RPL18;NOC4L;BMS1;MRM1;WDR46;UTP25;RPL17"
"Reactome","REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS",8.77851965606885e-12,3.23049523343334e-09,-0.544499388949581,-2.50545558351862,114,51,"9252;3708;5707;5530;10768;5691;4775;2033;3710;5709;5686;6714;4790;5689;5701;9039;5717;5694;7322;7979;4791;8454;7321;11047;5058;2534;5718;5580;3265;5685;5719;5684;4772;10213;5690;5568;56667;727897;1147;30835;94025;5532;4792;801;7334;9040;23118;5971;5704;5687;84433","RPS6KA5;ITPR1;PSMD1;PPP3CA;AHCYL1;PSMB3;NFATC3;EP300;ITPR3;PSMD3;PSMA5;SRC;NFKB1;PSMB1;PSMC2;UBA3;PSMD11;PSMB6;UBE2D2;SEM1;NFKB2;CUL1;UBE2D1;ADRM1;PAK1;FYN;PSMD12;PRKCD;HRAS;PSMA4;PSMD13;PSMA3;NFATC1;PSMD14;PSMB2;PRKACG;MUC13;MUC5B;CHUK;CD209;MUC16;PPP3CB;NFKBIA;CALM1;UBE2N;UBE2M;TAB2;RELB;PSMC4;PSMA6;CARD11"
"Reactome","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES",1.50170959223435e-11,4.14471847456679e-09,-0.405588777740397,-2.12417739017205,287,100,"2252;3082;8997;57731;5156;5595;5525;11221;23179;2263;23112;5515;5707;5593;27161;5691;284;58489;4763;5290;5709;3717;5501;5686;10048;26523;4319;5295;51104;6714;5747;2308;9978;5037;5689;8315;5701;5526;8036;5519;3718;28956;2675;5717;5694;5921;4313;5900;1740;817;7979;5906;11047;2260;408;2668;5147;5159;148170;5058;1439;27327;8831;2534;1843;5718;2255;8452;1741;3265;5518;5685;5719;5684;5528;818;10213;5690;5568;4254;3716;3084;9986;2902;673;5786;3561;5291;115727;1852;801;1847;4609;5704;5604;998;2906;5687;8649;5778","FGF7;HGF;KALRN;SPTBN4;PDGFRA;MAPK3;PPP2R5A;DUSP10;RGL1;FGFR2;TNRC6B;PPP2CA;PSMD1;PRKG2;AGO2;PSMB3;ANGPT1;ABHD17C;NF1;PIK3CA;PSMD3;JAK2;PPP1CC;PSMA5;RANBP9;AGO1;MMP10;PIK3R1;ABHD17B;SRC;PTK2;FOXO1;RBX1;PEBP1;PSMB1;BRAP;PSMC2;PPP2R5B;SHOC2;PPP2R1B;JAK3;LAMTOR2;GFRA2;PSMD11;PSMB6;RASA1;MMP2;RALGDS;DLG2;CAMK2D;SEM1;RAP1A;ADRM1;FGFR1;ARRB1;GDNF;PDE6D;PDGFRB;CDC42EP5;PAK1;CSF2RB;TNRC6A;SYNGAP1;FYN;DUSP1;PSMD12;FGF10;CUL3;DLG3;HRAS;PPP2R1A;PSMA4;PSMD13;PSMA3;PPP2R5D;CAMK2G;PSMD14;PSMB2;PRKACG;KITLG;JAK1;NRG1;RCE1;GRIN1;BRAF;PTPRA;IL2RG;PIK3CB;RASGRP4;DUSP9;CALM1;DUSP5;MYC;PSMC4;MAP2K1;CDC42;GRIN2D;PSMA6;LAMTOR3;PTPN7"
"Reactome","REACTOME_MAPK1_MAPK3_SIGNALING",2.37343185324745e-11,5.24053753197036e-09,-0.42608205223172,-2.16480872986289,247,88,"2252;3082;57731;5156;5595;5525;11221;23179;2263;5515;5707;5593;5691;284;58489;4763;5290;5709;3717;5501;5686;10048;5295;51104;6714;5747;9978;5037;5689;8315;5701;5526;8036;5519;3718;28956;2675;5717;5694;5921;5900;1740;817;7979;5906;11047;2260;408;2668;5147;5159;1439;8831;2534;1843;5718;2255;8452;1741;3265;5518;5685;5719;5684;5528;818;10213;5690;4254;3716;3084;9986;2902;673;5786;3561;5291;115727;1852;801;1847;5704;5604;2906;5687;8649;5778;3667","FGF7;HGF;SPTBN4;PDGFRA;MAPK3;PPP2R5A;DUSP10;RGL1;FGFR2;PPP2CA;PSMD1;PRKG2;PSMB3;ANGPT1;ABHD17C;NF1;PIK3CA;PSMD3;JAK2;PPP1CC;PSMA5;RANBP9;PIK3R1;ABHD17B;SRC;PTK2;RBX1;PEBP1;PSMB1;BRAP;PSMC2;PPP2R5B;SHOC2;PPP2R1B;JAK3;LAMTOR2;GFRA2;PSMD11;PSMB6;RASA1;RALGDS;DLG2;CAMK2D;SEM1;RAP1A;ADRM1;FGFR1;ARRB1;GDNF;PDE6D;PDGFRB;CSF2RB;SYNGAP1;FYN;DUSP1;PSMD12;FGF10;CUL3;DLG3;HRAS;PPP2R1A;PSMA4;PSMD13;PSMA3;PPP2R5D;CAMK2G;PSMD14;PSMB2;KITLG;JAK1;NRG1;RCE1;GRIN1;BRAF;PTPRA;IL2RG;PIK3CB;RASGRP4;DUSP9;CALM1;DUSP5;PSMC4;MAP2K1;GRIN2D;PSMA6;LAMTOR3;PTPN7;IRS1"
"Reactome","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",4.23382347059395e-11,7.79023518589287e-09,0.593654944068534,2.38003189778128,90,36,"6187;6130;6128;6228;6146;3921;6159;6129;6171;116832;6133;6218;6231;6230;6136;6224;1936;6144;1915;6232;23521;51121;6124;9045;11224;6158;6189;6122;6201;6233;6170;6173;6235;1933;6210;6204","RPS2;RPL7A;RPL6;RPS23;RPL22;RPSA;RPL29;RPL7;RPL41;RPL39L;RPL9;RPS17;RPS26;RPS25;RPL12;RPS20;EEF1D;RPL21;EEF1A1;RPS27;RPL13A;RPL26L1;RPL4;RPL14;RPL35;RPL28;RPS3A;RPL3;RPS7;RPS27A;RPL39;RPL36A;RPS29;EEF1B2;RPS15A;RPS10"
"Reactome","REACTOME_CLEC7A_DECTIN_1_SIGNALING",5.08678460318908e-11,8.02258600274392e-09,-0.584166207660453,-2.5503539255248,84,41,"3708;5707;5530;10768;5691;4775;3710;5709;5686;6714;4790;5689;5701;9039;5717;5694;7322;7979;4791;8454;7321;11047;5718;5580;5685;5719;5684;4772;10213;5690;1147;5532;4792;801;7334;9040;23118;5971;5704;5687;84433","ITPR1;PSMD1;PPP3CA;AHCYL1;PSMB3;NFATC3;ITPR3;PSMD3;PSMA5;SRC;NFKB1;PSMB1;PSMC2;UBA3;PSMD11;PSMB6;UBE2D2;SEM1;NFKB2;CUL1;UBE2D1;ADRM1;PSMD12;PRKCD;PSMA4;PSMD13;PSMA3;NFATC1;PSMD14;PSMB2;CHUK;PPP3CB;NFKBIA;CALM1;UBE2N;UBE2M;TAB2;RELB;PSMC4;PSMA6;CARD11"
"Reactome","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS",1.86456221648206e-10,2.57309585874524e-08,-0.350137340016989,-1.88434182569461,423,122,"2252;3082;5156;3516;5595;7291;5525;11221;2263;5728;8850;80351;4040;55851;5515;1499;5707;1213;27161;7415;5691;2033;4763;5290;5709;3717;5501;57448;5686;9759;26523;5295;6714;10014;2308;9978;5037;2648;2099;6776;5689;8315;5701;5526;8036;5519;6934;253260;1024;6774;5777;5717;5694;4303;80853;22872;9715;7855;81608;324;817;9611;7979;8878;8454;84447;5906;9061;11047;55914;2260;5495;408;3549;3726;2931;8841;3164;5159;8546;6249;613;4089;1051;2534;4627;399687;139285;5718;2255;8496;9444;27044;57599;6868;55294;3265;5518;5685;5719;5684;5528;818;4000;10213;6907;51107;102;5690;4254;3084;9372;7175;673;1147;3065;5431;1487;5291;5430;1852;801","FGF7;HGF;PDGFRA;RBPJ;MAPK3;TWIST1;PPP2R5A;DUSP10;FGFR2;PTEN;KAT2B;TNKS2;LRP6;PSENEN;PPP2CA;CTNNB1;PSMD1;CLTC;AGO2;VCP;PSMB3;EP300;NF1;PIK3CA;PSMD3;JAK2;PPP1CC;BIRC6;PSMA5;HDAC4;AGO1;PIK3R1;SRC;HDAC5;FOXO1;RBX1;PEBP1;KAT2A;ESR1;STAT5A;PSMB1;BRAP;PSMC2;PPP2R5B;SHOC2;PPP2R1B;TCF7L2;RICTOR;CDK8;STAT3;PTPN6;PSMD11;PSMB6;FOXO4;KDM7A;SEC31A;FAM131B;FZD5;FIP1L1;APC;CAMK2D;NCOR1;SEM1;SQSTM1;CUL1;SYVN1;RAP1A;PAPSS1;ADRM1;ERBIN;FGFR1;PPM1B;ARRB1;IHH;JUNB;GSK3A;HDAC3;NR4A1;PDGFRB;AP3B1;CLIP1;BCR;SMAD4;CEBPB;FYN;MYH9;MYO18A;AMER1;PSMD12;FGF10;PPFIBP1;QKI;SND1;WDR48;ADAM17;FBXW7;HRAS;PPP2R1A;PSMA4;PSMD13;PSMA3;PPP2R5D;CAMK2G;LMNA;PSMD14;TBL1X;APH1A;ADAM10;PSMB2;KITLG;NRG1;ZFYVE9;TPR;BRAF;CHUK;HDAC1;POLR2B;CTBP1;PIK3CB;POLR2A;DUSP9;CALM1"
"Reactome","REACTOME_INFLUENZA_INFECTION",2.23389492777407e-10,2.74024444473619e-08,0.506608973595136,2.19316037505786,155,50,"6187;293;6130;6128;6228;10762;6146;3921;9883;6159;6129;100101267;6171;116832;142;6133;6218;55746;5610;6231;7040;6230;6136;6224;3320;6144;23636;11097;6232;23521;51121;6124;9045;11224;6158;6189;348995;6122;3838;6201;6233;6170;6173;6235;6210;9636;6204;5439;23225;6234","RPS2;SLC25A6;RPL7A;RPL6;RPS23;NUP50;RPL22;RPSA;POM121;RPL29;RPL7;POM121C;RPL41;RPL39L;PARP1;RPL9;RPS17;NUP133;EIF2AK2;RPS26;TGFB1;RPS25;RPL12;RPS20;HSP90AA1;RPL21;NUP62;NUP42;RPS27;RPL13A;RPL26L1;RPL4;RPL14;RPL35;RPL28;RPS3A;NUP43;RPL3;KPNA2;RPS7;RPS27A;RPL39;RPL36A;RPS29;RPS15A;ISG15;RPS10;POLR2J;NUP210;RPS28"
"Reactome","REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",7.91249905282101e-10,8.7353989543144e-08,-0.512363230319441,-2.35028539163898,113,46,"3708;5595;10451;5707;5530;10768;5691;4775;3710;5290;5709;5686;5295;4790;5689;5701;5717;5694;7322;7979;6416;8454;7321;11047;5058;2534;5718;3265;5685;5719;5684;4772;10213;5690;1147;5532;5291;4792;115727;801;7334;23118;5704;5687;5602;84433","ITPR1;MAPK3;VAV3;PSMD1;PPP3CA;AHCYL1;PSMB3;NFATC3;ITPR3;PIK3CA;PSMD3;PSMA5;PIK3R1;NFKB1;PSMB1;PSMC2;PSMD11;PSMB6;UBE2D2;SEM1;MAP2K4;CUL1;UBE2D1;ADRM1;PAK1;FYN;PSMD12;HRAS;PSMA4;PSMD13;PSMA3;NFATC1;PSMD14;PSMB2;CHUK;PPP3CB;PIK3CB;NFKBIA;RASGRP4;CALM1;UBE2N;TAB2;PSMC4;PSMA6;MAPK10;CARD11"
