"experiment","contrast","collection","pathway","NES","ES","pval","padj","size","leadingEdge_count","leadingEdge_symbols","leadingEdge_entrez"
"humanKD","KD_vs_Control","GO_BP","GOBP_RIBOSOME_BIOGENESIS",2.06304420194767,0.433987203037201,6.98632777837749e-12,2.64781822800507e-08,324,140,"RPL7A;RPL7L1;RPS23;NPM1;XRCC5;PRKDC;RPSA;NOP53;RPL7;MRM2;DDX56;RRP1B;GTPBP4;NUDT16;TRMT112;TCOF1;BUD23;RPS17;SLX9;RPS25;RCC1L;NOL11;RRP7A;RPP25;ABT1;METTL17;MTG2;NGRN;ISG20L2;USP36;RPS27;URB1;NOL9;RPL26L1;RRP15;SURF6;RPUSD3;RPL14;CINP;RPL35;DDX18;AIRIM;SPOUT1;NSUN5;TSR1;GTPBP6;RPS3A;FSAF1;NOC2L;POP4;ERCC2;DKC1;UTP23;RPS7;RPS27A;NOL8;GRWD1;UTP14A;ZNHIT6;LTO1;ERAL1;EXOSC6;AATF;TFB2M;RNASEL;FASTKD2;DNTTIP2;RSL24D1;RPS19BP1;RRP36;GTF3A;RPS15A;FCF1;TRMT61B;EIF5;SBDS;HEATR1;MPHOSPH6;TUFM;NOB1;TMA16;KRI1;C1D;LTV1;RPS28;RRN3;TSR3;NOP10;TSR2;YBEY;REXO4;RPUSD2;NOLC1;TRMT2B;IMP4;RPS11;ZNHIT3;METTL15;REXO1;PWP1;NOC4L;BMS1;MRM1;DDX31;DDX55;WDR46;UTP25;MRPS2;GLUL;EIF1AX;PAK1IP1;MTERF4;METTL16;EBNA1BP2;MTG1;MALSU1;NGDN;MRM3;DDX51;GTPBP10;NOP56;REXO5;GEMIN4;DDX52;XPO1;NIP7;NOL6;NAT10;METTL5;COPRS;RPS4X;RPS6;PPAN;SDE2;DDX21;RPP40;MPHOSPH10;PDCD11;RPUSD1;WDR74","6130;285855;6228;4869;7520;5591;3921;29997;6129;29960;54606;23076;23560;131870;51504;6949;114049;6218;85395;6230;81554;25926;27341;54913;29777;64745;26164;51335;81875;57602;6232;9875;79707;51121;51018;6838;285367;9045;51550;11224;8886;54955;51490;55695;55720;8225;6189;128061;26155;10775;2068;1736;84294;6201;6233;55035;83743;10813;54680;220064;26284;118460;26574;64216;6041;22868;30836;51187;91582;88745;2971;6210;51077;55006;1983;51119;55127;10200;7284;28987;55319;65095;10438;84946;6234;54700;115939;55505;90121;54059;57109;27079;9221;79979;92856;6205;9326;196074;57455;11137;79050;9790;79922;64794;57696;9277;27042;51116;2752;1964;55003;130916;79066;10969;92170;115416;25983;55178;317781;85865;10528;81691;50628;11056;7514;51388;65083;55226;29081;55352;6191;6194;56342;163859;9188;10799;10199;22984;113000;54663"
"humanKD","KD_vs_Control","GO_BP","GOBP_MACROAUTOPHAGY",-1.93909855585194,-0.360913019883302,1.71898442573647e-10,2.87745118855262e-07,377,114,"SLC25A4;TCIRG1;NEDD4;ATP6V1A;RETREG1;LRRK2;MAPK3;GABARAP;EHMT2;ERN1;VAMP8;PLAA;VCP;TEX264;SNX4;STUB1;VPS11;UBQLN2;PIK3CA;ULK2;ATP6V1C1;ATP6V1H;SESN3;SRC;PPTC7;ATP6V0B;SNX18;RBX1;LIX1L;BECN1;RAB2A;TBC1D25;SH3GLB1;CDK5;SREBF2;WDFY3;ZNRF1;ATP6V0A1;GAA;UVRAG;VPS35;STX4;WDR81;WIPI1;TOM1;FZD5;CHMP6;ARL8B;ATP6V0A2;RAB7A;SQSTM1;RETREG2;CUL1;PHF23;USP30;PDCD6IP;EXOC1;STX12;TSG101;NSFL1C;PEX5;GSK3A;NPC1;EXOC4;VPS13D;ATP2A2;HMOX1;HSPB8;FUNDC1;HUWE1;VPS25;ZFYVE1;OGT;SNAPIN;ATP6V0D1;SREBF1;AMBRA1;PINK1;MCOLN1;TECPR1;RB1CC1;HTRA2;ARFIP2;GNAI3;FBXW7;SNX7;SMCR8;SNX32;PSMD14;ATP6V1G1;VPS4B;KAT5;MTMR14;CHMP1B;TMEM41B;MAP1LC3A;SEC62;PIKFYVE;TBK1;NOD2;TSPO;RAB1A;PIP4K2C;IFT20;MTMR3;CALM1;RIMOC1;PAFAH1B2;RETREG3;ZDHHC19;CHMP4B;RAB33B;CHMP2A;GBA1","291;10312;4734;523;54463;120892;5595;11337;10919;2081;8673;9373;7415;51368;8723;10273;55823;29978;5290;9706;528;51606;143686;6714;160760;533;112574;9978;128077;8678;5862;4943;51100;1020;6721;23001;84937;535;2548;7405;55737;6810;124997;55062;10043;7855;79643;55207;23545;7879;8878;79137;8454;79142;84749;10015;55763;23673;7251;55968;5830;2931;4864;60412;55187;488;3162;26353;139341;10075;84313;53349;8473;23557;9114;6720;55626;65018;57192;25851;9821;27429;23647;2773;55294;51375;140775;254122;10213;9550;9525;10524;64419;57132;440026;84557;7095;200576;29110;64127;706;5861;79837;90410;8897;801;285636;5049;162427;131540;128866;83452;27243;2629"
"humanKD","KD_vs_Control","GO_BP","GOBP_MITOCHONDRIAL_GENE_EXPRESSION",2.18778586555079,0.493249546031733,2.27766584845854e-10,2.87745118855262e-07,169,84,"OXA1L;MRPL3;MRPS5;DAP3;MRPS27;SLIRP;GADD45GIP1;MRPS10;POLRMT;MRPS35;TBRG4;MTG2;MRPL37;TFAM;MRPL23;PTCD3;MRPL41;NGRN;MRPL55;MRPL35;MRPL33;DARS2;RPUSD3;MRPL49;QRSL1;ELAC2;TRUB2;MRPL11;MRPS11;PRORP;PNPT1;MRPL44;AURKAIP1;MRPL32;MRPL24;TACO1;GTPBP3;TFB2M;FASTKD2;MRPL47;GATC;TRMT61B;TUFM;MRPL46;FASTKD1;MTRFR;MRPL28;MRPL12;MTIF3;MRPS16;LARS2;MRPL57;MRPL27;MTRF1L;MRPL30;MRPS6;CDK5RAP1;MRPL36;MTO1;LRPPRC;RARS2;TRMT5;MRPS2;MRPL9;AARS2;MRPS31;MTG1;MTRES1;MALSU1;METTL4;FASTKD5;MRPL50;MRPS34;MTIF2;MRPL20;MRPL19;MTERF1;KAT8;MTPAP;MRPS17;RMND1;IARS2;METTL8;ALKBH1","5018;11222;64969;7818;23107;81892;90480;55173;5442;60488;9238;26164;51253;7019;6150;55037;64975;51335;128308;51318;9553;55157;285367;740;55278;60528;26995;65003;64963;9692;87178;65080;54998;64983;79590;51204;84705;64216;22868;57129;283459;55006;7284;26589;79675;91574;10573;6182;219402;51021;23395;78988;51264;54516;51263;64968;51654;64979;25821;10128;57038;57570;51116;65005;57505;10240;92170;51250;115416;64863;60493;54534;65993;4528;55052;9801;7978;84148;55149;51373;55005;55699;79828;8846"
"humanKD","KD_vs_Control","GO_BP","GOBP_MITOCHONDRIAL_TRANSLATION",2.17110282204697,0.503178887144003,8.01489473611471e-09,7.23893620935177e-06,130,82,"OXA1L;MRPL3;MRPS5;DAP3;MRPS27;GADD45GIP1;MRPS10;MRPS35;MTG2;MRPL37;MRPL23;PTCD3;MRPL41;NGRN;MRPL55;MRPL35;MRPL33;DARS2;RPUSD3;MRPL49;QRSL1;TRUB2;MRPL11;MRPS11;MRPL44;AURKAIP1;MRPL32;MRPL24;TACO1;FASTKD2;MRPL47;GATC;TUFM;MRPL46;MTRFR;MRPL28;MRPL12;MTIF3;MRPS16;LARS2;MRPL57;MRPL27;MTRF1L;MRPL30;MRPS6;CDK5RAP1;MRPL36;LRPPRC;RARS2;MRPS2;MRPL9;AARS2;MRPS31;MTG1;MALSU1;MRPL50;MRPS34;MTIF2;MRPL20;MRPL19;MRPS17;RMND1;IARS2;METTL8;ALKBH1;MRPL53;MRPL51;MRPS28;MRPS24;MRPL18;MRPS23;MRPS26;MRPS18C;RPUSD4;FASTKD3;MRPL48;MRPS7;EARS2;HARS2;MRPL52;MTRF1;MRPL1","5018;11222;64969;7818;23107;90480;55173;60488;26164;51253;6150;55037;64975;51335;128308;51318;9553;55157;285367;740;55278;26995;65003;64963;65080;54998;64983;79590;51204;22868;57129;283459;7284;26589;91574;10573;6182;219402;51021;23395;78988;51264;54516;51263;64968;51654;64979;10128;57038;51116;65005;57505;10240;92170;115416;54534;65993;4528;55052;9801;51373;55005;55699;79828;8846;116540;51258;28957;64951;29074;51649;64949;51023;84881;79072;51642;51081;124454;23438;122704;9617;65008"
"humanKD","KD_vs_Control","GO_BP","GOBP_RRNA_PROCESSING",1.98521369572049,0.430517347562619,9.55004776959336e-09,7.23893620935177e-06,231,116,"RPL7A;RPL7L1;PRKDC;NOP53;RPL7;MRM2;DDX56;RRP1B;GTPBP4;NUDT16;TRMT112;BUD23;RPS17;SLX9;RPS25;NOL11;RRP7A;RPP25;ABT1;USP36;RPS27;URB1;NOL9;RRP15;RPUSD3;RPL14;RPL35;DDX18;SPOUT1;NSUN5;TSR1;FSAF1;POP4;ERCC2;DKC1;UTP23;RPS7;NOL8;UTP14A;ZNHIT6;EXOSC6;AATF;TFB2M;RNASEL;DNTTIP2;RRP36;FCF1;TRMT61B;SBDS;HEATR1;MPHOSPH6;NOB1;KRI1;C1D;RPS28;TSR3;NOP10;TSR2;YBEY;REXO4;RPUSD2;NOLC1;TRMT2B;IMP4;ZNHIT3;METTL15;REXO1;PWP1;NOC4L;BMS1;MRM1;DDX55;WDR46;UTP25;PAK1IP1;MTERF4;METTL16;EBNA1BP2;NGDN;MRM3;DDX51;NOP56;REXO5;GEMIN4;DDX52;NOL6;NAT10;METTL5;COPRS;RPS6;PPAN;SDE2;DDX21;RPP40;MPHOSPH10;PDCD11;RPUSD1;WDR74;KRR1;EIF6;WDR18;PWP2;WDR55;ERI1;MRTO4;DHX37;NOL10;POP7;DDX47;PELP1;NOP9;RPS15;TBL3;RPUSD4;RPP38;RPP30","6130;285855;5591;29997;6129;29960;54606;23076;23560;131870;51504;114049;6218;85395;6230;25926;27341;54913;29777;57602;6232;9875;79707;51018;285367;9045;11224;8886;51490;55695;55720;128061;10775;2068;1736;84294;6201;55035;10813;54680;118460;26574;64216;6041;30836;88745;51077;55006;51119;55127;10200;28987;65095;10438;6234;115939;55505;90121;54059;57109;27079;9221;79979;92856;9326;196074;57455;11137;79050;9790;79922;57696;9277;27042;55003;130916;79066;10969;25983;55178;317781;10528;81691;50628;11056;65083;55226;29081;55352;6194;56342;163859;9188;10799;10199;22984;113000;54663;11103;3692;57418;5822;54853;90459;51154;57647;79954;10248;51202;27043;161424;6209;10607;84881;10557;10556"
"humanKD","KD_vs_Control","GO_BP","GOBP_RNA_MODIFICATION",2.04500914369568,0.460450680314468,2.04516339263582e-08,1.29186154301496e-05,173,98,"ADARB1;ADAR;MRM2;TRMT112;BUD23;SNRPG;SLC35F2;RPUSD3;METTL3;ELP6;TYW3;TRMT61A;SPOUT1;QTRT1;NSUN5;METTL2A;TRUB2;TARBP1;DKC1;QTRT2;DUS1L;QTGAL;ALKBH7;WDR4;QNG1;GTPBP3;TFB2M;FASTKD2;THUMPD2;TGS1;TRMT61B;TRMO;FTSJ1;THUMPD1;CDKAL1;TSR3;DTWD1;BAG4;NOP10;RPUSD2;MOCS3;TRMT2B;TRMU;APOBEC3C;TRMT9B;CDK5RAP1;METTL15;MTO1;DPH3;MRM1;TRUB1;TRMT5;RAMAC;APOBEC3B;TYW1;ELP1;OSGEP;CTU2;TYW1B;METTL16;PARN;WDR6;APOBEC3G;METTL4;DALRD3;MRM3;NOP56;METTL1;ELP3;APOBEC3F;NAT10;METTL5;RNMT;LARP7;HENMT1;RPUSD1;LSM11;METTL8;ALKBH1;GON7;THADA;THG1L;DUS4L;NSUN6;SNRPE;PUS7L;LCMT2;TRMT1;SNRPD2;ALKBH8;RPUSD4;PTCD1;TRMT6;SSB;DUS3L;GAR1;DTWD2;FTSJ3","104;103;29960;51504;114049;6637;54733;285367;56339;54859;127253;115708;51490;81890;55695;339175;26995;6894;1736;79691;64118;146712;84266;10785;84267;84705;64216;22868;80745;96764;55006;51531;24140;55623;54901;115939;56986;9530;55505;27079;27304;79979;55687;27350;57604;51654;196074;25821;285381;79922;142940;57570;83640;9582;55253;8518;55644;348180;441250;79066;5073;11180;60489;64863;55152;55178;10528;4234;55140;200316;55226;29081;8731;51574;113802;113000;134353;79828;8846;84520;63892;54974;11062;221078;6635;83448;9836;55621;6633;91801;84881;26024;51605;6741;56931;54433;285605;117246"
"humanKD","KD_vs_Control","GO_BP","GOBP_RRNA_METABOLIC_PROCESS",1.91693112901004,0.406065926297245,2.43566557618733e-08,1.31873893339286e-05,283,116,"RPL7A;SLFN5;RPL7L1;PRKDC;NOP53;RPL7;DDX11;MRM2;DDX56;RRP1B;GTPBP4;NUDT16;TRMT112;TCOF1;BUD23;RPS17;SLX9;RPS25;GTF3C6;NOL11;RRP7A;RPP25;ABT1;USP36;RPS27;URB1;NOL9;RRP15;MACROH2A2;RPUSD3;RPL14;NIFK;RPL35;POLR1F;DDX18;SPOUT1;NSUN5;TSR1;FSAF1;POP4;ERCC2;GTF3C5;DKC1;UTP23;RPS7;NOL8;UTP14A;ZNHIT6;EXOSC6;AATF;TFB2M;RNASEL;DNTTIP2;RRP36;GTF3A;FCF1;TRMT61B;SBDS;HEATR1;MPHOSPH6;NOB1;KRI1;C1D;RPS28;GTF3C1;TSR3;NOP10;TSR2;YBEY;REXO4;RPUSD2;NOLC1;TRMT2B;IMP4;ZNHIT3;METTL15;REXO1;PWP1;NOC4L;BMS1;MRM1;DDX55;SLFN12;WDR46;POLR1G;UTP25;PAK1IP1;BRF1;MTERF4;METTL16;EBNA1BP2;ERCC6;NGDN;MRM3;DDX51;NOP56;REXO5;GEMIN4;POLR1B;DDX52;NOL6;NAT10;METTL5;COPRS;POLR1E;MARS1;RPS6;PPAN;POLR2L;SDE2;DDX21;RPP40;MPHOSPH10;PDCD11;RPUSD1;WDR74","6130;162394;285855;5591;29997;6129;1663;29960;54606;23076;23560;131870;51504;6949;114049;6218;85395;6230;112495;25926;27341;54913;29777;57602;6232;9875;79707;51018;55506;285367;9045;84365;11224;221830;8886;51490;55695;55720;128061;10775;2068;9328;1736;84294;6201;55035;10813;54680;118460;26574;64216;6041;30836;88745;2971;51077;55006;51119;55127;10200;28987;65095;10438;6234;2975;115939;55505;90121;54059;57109;27079;9221;79979;92856;9326;196074;57455;11137;79050;9790;79922;57696;55106;9277;10849;27042;55003;2972;130916;79066;10969;2074;25983;55178;317781;10528;81691;50628;84172;11056;65083;55226;29081;55352;64425;4141;6194;56342;5441;163859;9188;10799;10199;22984;113000;54663"
"humanKD","KD_vs_Control","GO_BP","GOBP_REGULATION_OF_AUTOPHAGY",-1.80090119952055,-0.338758956480739,3.57709621705598e-08,1.69464933283027e-05,356,100,"SLC25A4;DDB1;NEDD4;ATP6V1A;HGF;LRRK2;ITPR1;MAPK3;GPR137B;EHMT2;TMEM59;ERN1;SNX4;STUB1;UBQLN2;EP300;RRAGC;PIK3CA;ULK2;SIRT2;ATP6V1C1;RRAGA;ATP6V1H;SESN3;PPTC7;FOXO1;ATP6V0B;KLHL22;SNX18;RBX1;BECN1;PRKAA1;TBC1D25;SH3GLB1;CDK5;NLRP6;STAT3;SREBF2;ATP6V0A1;UVRAG;VPS35;RASIP1;USP20;WIPI1;TOM1;FZD5;ATP6V0A2;SQSTM1;CUL1;VPS29;PHF23;USP30;RMC1;EXOC1;MTDH;TRIM8;GSK3A;NPC1;EXOC4;VPS13D;BCL2;HMOX1;RAB8A;HSPB8;DAPK2;HUWE1;CDK16;ATP6V0D1;SREBF1;AMBRA1;PINK1;TECPR1;RB1CC1;HTRA2;GNAI3;FBXW7;SNX7;SMCR8;PTPN22;DEPDC5;PLEKHF1;ZMPSTE24;SNX32;PSMD14;ATP6V1G1;UBR4;WNK1;KDM4A;FBXL2;CTSA;KAT5;TBK1;DEPTOR;NOD2;TPCN1;TSPO;PIP4K2C;PLK3;DDIT3;PIK3CB","291;1642;4734;523;3082;120892;3708;5595;7107;10919;9528;2081;8723;10273;29978;2033;64121;5290;9706;22933;528;10670;51606;143686;160760;2308;533;84861;112574;9978;8678;5562;4943;51100;1020;171389;6774;6721;535;7405;55737;54922;10868;55062;10043;7855;23545;8878;8454;51699;79142;84749;29919;55763;92140;81603;2931;4864;60412;55187;596;3162;4218;26353;23604;10075;5127;9114;6720;55626;65018;25851;9821;27429;2773;55294;51375;140775;26191;9681;79156;10269;254122;10213;9550;23352;65125;9682;25827;5476;10524;29110;64798;64127;53373;706;79837;1263;1649;5291"
"humanKD","KD_vs_Control","GO_BP","GOBP_REGULATION_OF_MACROAUTOPHAGY",-2.02334246334273,-0.405411067146809,6.44970942751073e-08,2.71604430336285e-05,192,59,"SLC25A4;NEDD4;ATP6V1A;LRRK2;MAPK3;EHMT2;ERN1;SNX4;STUB1;UBQLN2;PIK3CA;ATP6V1C1;ATP6V1H;SESN3;PPTC7;ATP6V0B;SNX18;RBX1;BECN1;TBC1D25;SH3GLB1;CDK5;SREBF2;ATP6V0A1;UVRAG;VPS35;WIPI1;TOM1;FZD5;ATP6V0A2;CUL1;PHF23;USP30;EXOC1;GSK3A;NPC1;EXOC4;VPS13D;HMOX1;HSPB8;HUWE1;ATP6V0D1;SREBF1;AMBRA1;PINK1;TECPR1;HTRA2;GNAI3;FBXW7;SNX7;SMCR8;SNX32;PSMD14;ATP6V1G1;KAT5;TBK1;NOD2;TSPO;PIP4K2C","291;4734;523;120892;5595;10919;2081;8723;10273;29978;5290;528;51606;143686;160760;533;112574;9978;8678;4943;51100;1020;6721;535;7405;55737;55062;10043;7855;23545;8454;79142;84749;55763;2931;4864;60412;55187;3162;26353;10075;9114;6720;55626;65018;25851;27429;2773;55294;51375;140775;254122;10213;9550;10524;29110;64127;706;79837"
"humanKD","KD_vs_Control","GO_BP","GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING",1.96498133237894,0.433523621696989,9.32145259294503e-08,3.01965990743954e-05,200,82,"SPDL1;CDKN1A;PRKDC;ZWINT;NOP53;BUB1B;MDC1;CENPF;SKA3;MAD1L1;BIRC5;SPC24;KNL1;XPC;BUB1;CDCA8;GEN1;WDR76;INIP;DGKZ;EME2;CDK5RAP2;CDK5RAP3;DONSON;VPS4A;TRIP13;RHNO1;RFWD3;CDT1;XRCC3;RPA2;ZWILCH;NUF2;CDC6;TP53BP1;SKA1;FANCD2;TTK;MRNIP;SPC25;ETAA1;CCAR2;TELO2;BRCA1;DNA2;DTX3L;CLSPN;HUS1;RFC4;NBN;EIF2AK4;TTI2;CCND1;DOT1L;RFC2;MRE11;INCENP;BRIP1;NEK11;CDC20;PTPN11;EME1;TIMELESS;KNTC1;BLM;TRIAP1;BRCC3;ORC1;CEP63;FOXN3;ABRAXAS1;RBBP8;SETMAR;TICRR;MAP3K20;ATRIP;MAD2L1;ERCC6;TOPBP1;ZFYVE19;AURKB;CHMP4C","54908;1026;5591;11130;29997;701;9656;1063;221150;8379;332;147841;57082;7508;699;55143;348654;79968;58493;8525;197342;55755;80279;29980;27183;9319;83695;55159;81620;7517;6118;55055;83540;990;7158;220134;2177;7272;51149;57405;54465;57805;9894;672;1763;151636;63967;3364;5984;4683;440275;80185;595;84444;5982;4361;3619;83990;79858;991;5781;146956;8914;9735;641;51499;79184;4998;80254;1112;84142;5932;6419;90381;51776;84126;4085;2074;11073;84936;9212;92421"
