"experiment","contrast","pathway","NES","padj","leadingEdge_symbols","leadingEdge_entrez","size"
"CRISPR","Het_vs_WT","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.74833696479467,0.00176309767104215,"Crlf1;Edil3;Igfbp4;Matn2;Pdgfrb;Pdlim4;Col1a2;Ecm1;Pmp22;Cthrc1;Igfbp3;Timp3;Gas1;Col6a2;Dab2;Col16a1;Col1a1;Col6a3;Sntb1;Lox;Cdh11;Cxcl12;Bgn;Emp3;Lgals1;Col3a1;Mgp;Col5a1;Sparc;Timp1;Fn1;Vcan;Slit3;Loxl1;Tpm2;Postn;Pcolce;Serpine2;Spp1;Wnt5a;Tgm2;Sgcb;Notch2;Pmepa1;Tpm1;Rgs4;Basp1;Vegfc;Col5a3;Fbn2;Fstl1;Gpx7;Col11a1;Col12a1;Itga2;Tgfbi;Ntm;Fbn1;Fuca1;Nnmt;Scg2;Tgfb1;Tnc;Fermt2","12931;13612;16010;17181;18596;30794;12843;13601;18858;68588;16009;21859;14451;12834;13132;107581;12842;12835;20649;16948;12552;20315;12111;13732;16852;12825;17313;12831;20692;21857;14268;13003;20564;16949;22004;50706;18542;20720;20750;22418;21817;24051;18129;65112;22003;19736;70350;22341;53867;14119;14314;67305;12814;12816;16398;21810;235106;14118;71665;18113;20254;21803;21923;218952",165
"CRISPR","Het_vs_WT","HALLMARK_XENOBIOTIC_METABOLISM",-1.54911689461085,0.0400884492451892,"Nqo1;Igfbp4;Abcd2;Cyp2j6;Aldh2;Adh7;Rap1gap;Tmbim6;Cyb5a;Jup;Atoh8;Csad;Gch1;Fetub;Por;Nmt1;Aco2;Smox;Blvrb;Sar1b;Tmem97;Ddah2;Slc35b1;Tpst1;Aox1;Mpp2;Marchf6;Bphl;Abhd6;Etfdh;Gss;Cyp2s1;Gclc;Xdh;Acox1;Pemt;Car2;Cat;Pmm1;Ndrg2;Alas1;Pdlim5;Angptl3","18104;16010;26874;13110;11669;11529;110351;110213;109672;16480;71093;246277;14528;59083;18984;18107;11429;228608;233016;66397;69071;51793;110172;22021;11761;50997;223455;68021;66082;66841;14854;74134;14629;22436;11430;18618;12349;12359;29858;29811;11655;56376;30924",131
"CRISPR","Het_vs_WT","HALLMARK_HYPOXIA",1.46137425554953,0.0431147291222528,"Adm;Large1;Ier3;Ccn1;Ero1a;Ampd3;Tpbg;Tpd52;Atf3;Pgf;Pam;Sdc3;Dusp1;Ak4;Stc1;Fosl2;Ccn2;Pdk1;Noct;Casp6;Maff;Gcnt2;Klf6;F3;Sap30;Mxi1;Irs2;Siah2;Xpnpep1;Cited2;Kif5a;Nfil3;Plac8;Isg20;Hk2;Pim1;Glrx;Hk1;Pgk1;Il6;Aldoa;Errfi1;Dtna;Stbd1;Slc2a1;Fam162a;Plaur","11535;16795;15937;16007;50527;11717;21983;21985;11910;18654;18484;20970;19252;11639;20855;14284;14219;228026;12457;12368;17133;14538;23849;14066;60406;17859;384783;20439;170750;17684;16572;18030;231507;57444;15277;18712;93692;15275;18655;16193;11674;74155;13527;52331;20525;70186;18793",168
"CRISPR","Het_vs_WT","HALLMARK_MITOTIC_SPINDLE",-1.47690653800388,0.0431147291222528,"Septin9;Synpo;Tubgcp6;Abr;Nedd9;Fgd4;Ccdc88a;Nf1;Rictor;Rapgef6;Arhgef3;Myo1e;Clip2;Myh9;Espl1;Cep131;Kntc1;Cdc42ep1;Sptbn1;Trio;Top2a;Tubd1;Tbcd;Pafah1b1;Cntrob;Mid1ip1;Shroom1;Cdc42ep4;Llgl1;Notch2;Wasf1;Marcks;Ndc80;Ssh2;Myh10;Dock4;Pcnt;Racgap1;Cdc27;Birc5;Ywhae;Arhgdia;Nin;Cdk5rap2;Csnk1d;Rfc1;Ophn1;Pdlim5;Epb41l2;Wasf2;Cep250;Pkd2;Cep192;Nusap1","53860;104027;328580;109934;18003;224014;108686;18015;78757;192786;71704;71602;269713;17886;105988;12009;208628;104445;20742;223435;21973;56427;108903;18472;216846;68041;71774;56699;16897;18129;83767;17118;67052;237860;77579;238130;18541;26934;217232;11799;22627;192662;18080;214444;104318;19687;94190;56376;13822;242687;16328;18764;70799;108907",194
"CRISPR","Het_vs_WT","HALLMARK_PROTEIN_SECRETION",1.53190574519813,0.0431147291222528,"Clcn3;M6pr;Snap23;Tpd52;Pam;Scamp1;Galc;Vps4b;Mapk1;Sod1;Ica1;Ap1g1;Ap2m1;Sgms1;Ap3s1;Vamp4;Dnm1l;Gbf1;Atp6v1h;Cog2;Stam;Rps6ka3;Yipf6;Adam10;Rab5a;Lamp2;Stx7;Tsg101","12725;17113;20619;21985;18484;107767;14420;20479;26413;20655;15893;11765;11773;208449;11777;53330;74006;107338;108664;76332;20844;110651;77929;11487;271457;16784;53331;22088",90
"CRISPR","Het_vs_WT","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.48432951306428,0.0431147291222528,"Rcan1;Ptgs2;F2rl1;Plau;Cxcl1;Ier3;Ccn1;Tgif1;Pde4b;Btg3;Ifit2;Bmp2;Zbtb10;Litaf;Fosb;Ptpre;Atf3;Edn1;Inhba;Dusp1;Fosl2;Dusp5;Slc16a6;B4galt1;Rela;Maff;Sat1;Nfkb1;Klf6;F3;Irs2;Nfil3;Bcl6;Nr4a3;Nampt;Il6","54720;19225;14063;18792;14825;15937;16007;21815;18578;12228;15958;12156;229055;56722;14282;19267;11910;13614;16323;19252;14284;240672;104681;14595;19697;17133;20229;18033;23849;14066;384783;18030;12053;18124;59027;16193",169
"CRISPR","Het_vs_WT","HALLMARK_WNT_BETA_CATENIN_SIGNALING",-1.68366858584119,0.0829870485322056,"Notch1;Lef1;Axin2;Dvl2;Tcf7;Kat2a;Fzd1;Trp53;Maml1;Ncor2;Ctnnb1;Hdac5","18128;16842;12006;13543;21414;14534;14362;22059;103806;20602;12387;15184",31
"CRISPR","Het_vs_WT","HALLMARK_MYOGENESIS",-1.43584218543119,0.110322562680429,"Mapk12;Nqo1;Notch1;Aebp1;Ablim1;Eno3;Igfbp3;Gnao1;Col6a2;Ifrd1;Svil;Col1a1;Ncam1;Col6a3;Sspn;Ephb3;Myh9;Gaa;Agl;Pfkm;Ptp4a3;Col3a1;Speg;Ptgis;Sparc;Nav2;Tpm2;Ryr1;Itgb4;Hdac5;Mef2c;Plxnb2;Lsp1;Tsc2;Lpin1;Igfbp7;Flii;Pick1;Dennd2b;Bhlhe40;Sphk1;Sorbs3;Tgfb1;Pgam2;Smtn;Myo1c;Fabp3","29857;18104;18128;11568;226251;13808;16009;14681;12834;15982;225115;12842;17967;12835;16651;13845;17886;14387;77559;18642;19245;12825;11790;19223;20692;78286;22004;20190;192897;15184;17260;140570;16985;22084;14245;29817;14248;18693;76954;20893;20698;20410;21803;56012;29856;17913;14077",125
"CRISPR","Het_vs_WT","HALLMARK_UV_RESPONSE_UP",1.34472036225212,0.131786331565782,"Chka;Cxcl1;Btg3;Bmp2;Mark2;Fosb;Atf3;Ppp1r2;Ggh;Slc6a12;Hspa13;Furin;Nxf1;Shox2;Stip1;Eif5;Polr2h;Ccne1;Tchh;Cdc34;Atp6v1f;Il6;Aldoa;Cyb5b;Olfm1;Gls;Mmp14;E2f5;Dnajb1;Cdk2;Grpel1;Abcb1a;Hyal2;Bsg;Nup58;Eif2s3x","12660;14825;12228;12156;13728;14282;11910;66849;14590;14411;110920;18550;53319;20429;20867;217869;245841;12447;99681;216150;66144;16193;11674;66427;56177;14660;17387;13559;81489;12566;17713;18671;15587;12215;71844;26905",124
"CRISPR","Het_vs_WT","HALLMARK_KRAS_SIGNALING_DN",-1.38895361713396,0.22123745819398,"Prodh;Selenop;Chst2;Synpo;Copz2;Tcf7l1;Kcnd1;Sgk1;Arhgdig;Camk1d;Lgals7;Kmt2d;Ryr1;Ptprj","19125;20363;54371;104027;56358;21415;16506;20393;14570;227541;16858;381022;20190;19271",70
