"pathway","n_conditions","tau","NES_mouseKD","NES_Het","NES_KO","min_padj"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3,-1,2.6080357632293,-1.74833696479467,-2.07029191557993,1.6974129096857e-16
"HALLMARK_GLYCOLYSIS",3,-1,1.82015729999304,1.07314005205095,-1.31154339464648,9.33067814800049e-05
"HALLMARK_MYC_TARGETS_V1",3,-1,1.72789076505066,0.954526622273128,-0.741798197149728,0.000404055880349778
"HALLMARK_COAGULATION",3,-1,1.83293578431386,1.24121692402398,-1.12249150355432,0.00152221408405938
"HALLMARK_G2M_CHECKPOINT",3,1,-1.54829478943104,-0.678534154520283,0.653503156612407,0.0023498326521384
"HALLMARK_MITOTIC_SPINDLE",3,1,-1.49010245941208,-1.47690653800388,-1.19950557272706,0.00269771506515953
"HALLMARK_ANGIOGENESIS",3,-1,1.88607134821022,-1.1801875312974,-1.64589117155204,0.00818354640104516
"HALLMARK_MTORC1_SIGNALING",3,-1,1.51624766372501,1.1950436715759,-0.981100899942585,0.00837141331741403
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",3,-1,1.63325286629346,1.08777183602841,-1.14009615520555,0.00837141331741403
"HALLMARK_FATTY_ACID_METABOLISM",3,-1,1.5959150693927,-1.2682539171926,-1.56034500578639,0.00900431081315706
"HALLMARK_XENOBIOTIC_METABOLISM",3,-1,1.57196210145003,-1.54911689461085,-1.57644477553412,0.00918625071930966
"HALLMARK_INFLAMMATORY_RESPONSE",3,-1,1.58150069495489,1.23716369525125,-1.47775523013081,0.0097825685612956
"HALLMARK_ADIPOGENESIS",3,-1,1.55510220313644,-1.02327063449978,-1.2771084963934,0.0103020581752077
"HALLMARK_KRAS_SIGNALING_UP",3,-1,1.5729297835617,1.15311370811978,-1.27859603418036,0.0103020581752077
"HALLMARK_SPERMATOGENESIS",3,1,-1.60118878276724,1.30858168173434,1.33651184850486,0.0115081574876728
"HALLMARK_ALLOGRAFT_REJECTION",3,-1,1.52175623210621,-0.823202680477937,-1.05772476378302,0.017223987525016
"HALLMARK_HYPOXIA",3,-1,1.47579275786817,1.46137425554953,-1.17216661690643,0.0187274779525795
"HALLMARK_COMPLEMENT",3,-1,1.45831092015259,1.19669647235503,-0.860938458728123,0.0304304792594677
"HALLMARK_E2F_TARGETS",3,1,-1.28531224369927,-1.22667582871556,-1.21232246203851,0.036839833350515
"HALLMARK_UV_RESPONSE_DN",3,-1,1.43474098936622,-1.21761548945046,-1.41440655956396,0.0510263935286012
"HALLMARK_IL2_STAT5_SIGNALING",3,-1,1.36817318457235,1.21947449132321,-1.25639458042565,0.0561809895587001
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",3,-1,1.30025980119489,1.03909323326547,-1.62038993701746,0.0621328235158028
"HALLMARK_MYOGENESIS",3,-1,1.17489111164562,-1.43584218543119,-1.50584953150563,0.0647520814086443
"HALLMARK_MYC_TARGETS_V2",3,-1,1.42036446911094,0.788223852314149,0.488084256612864,0.0748319159204528
"HALLMARK_APOPTOSIS",3,-1,1.30627461764041,-1.15275497931856,-1.3771225284777,0.102999659129644
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",3,-1,1.26602400186416,-1.07893898924524,-1.16567908081432,0.103839441535777
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",3,-1,1.36684114605039,1.05501397663159,0.796144889462303,0.103839441535777
"HALLMARK_APICAL_JUNCTION",3,-1,1.09722796505412,-1.14149216830237,-1.33643794116975,0.151458951533135
"HALLMARK_ESTROGEN_RESPONSE_EARLY",3,-1,1.13027497991485,-1.14306788697213,-1.27327509768983,0.181618759455371
"HALLMARK_ANDROGEN_RESPONSE",3,-1,1.05905652988225,-0.858300497641036,-1.26610284735315,0.257413423653833
"HALLMARK_ESTROGEN_RESPONSE_LATE",3,-1,1.16923526175918,1.1338753895178,-0.985639125661976,0.261924342105263
"HALLMARK_IL6_JAK_STAT3_SIGNALING",3,-1,1.18656913078917,-0.982822982213178,-1.23818393296727,0.281815956926089
"HALLMARK_PEROXISOME",3,-1,1.15112002102759,-0.886097475005177,-1.11392431495897,0.281815956926089
"HALLMARK_APICAL_SURFACE",3,-1,1.15740449837001,-1.18191046469081,-1.21808298441258,0.313718782073212
"HALLMARK_NOTCH_SIGNALING",3,-1,-0.747522315751084,-1.04768092964358,-1.20473832218442,0.332282712511939
"HALLMARK_DNA_REPAIR",3,-1,0.929556273997751,-0.994771187560575,-1.05994033481937,0.44171153532387
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",3,-1,0.998551342408655,0.950579506163255,-0.666887907790556,0.522364277855761
"HALLMARK_INTERFERON_ALPHA_RESPONSE",3,-0.333333333333333,2.87597141514525,-0.59939091897361,1.35100653572237,7.00229284634794e-19
"HALLMARK_INTERFERON_GAMMA_RESPONSE",3,-0.333333333333333,2.53106215916742,-0.814313631026841,1.11412405883414,2.23213640177101e-14
