"experiment","contrast","pathway","NES","padj","leadingEdge_symbols","leadingEdge_entrez","size","dose_label","pathway_label","sig_tier"
"CRISPR","Het_vs_WT","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.74833696479467,0.00176309767104215,"Crlf1;Edil3;Igfbp4;Matn2;Pdgfrb;Pdlim4;Col1a2;Ecm1;Pmp22;Cthrc1;Igfbp3;Timp3;Gas1;Col6a2;Dab2;Col16a1;Col1a1;Col6a3;Sntb1;Lox;Cdh11;Cxcl12;Bgn;Emp3;Lgals1;Col3a1;Mgp;Col5a1;Sparc;Timp1;Fn1;Vcan;Slit3;Loxl1;Tpm2;Postn;Pcolce;Serpine2;Spp1;Wnt5a;Tgm2;Sgcb;Notch2;Pmepa1;Tpm1;Rgs4;Basp1;Vegfc;Col5a3;Fbn2;Fstl1;Gpx7;Col11a1;Col12a1;Itga2;Tgfbi;Ntm;Fbn1;Fuca1;Nnmt;Scg2;Tgfb1;Tnc;Fermt2","12931;13612;16010;17181;18596;30794;12843;13601;18858;68588;16009;21859;14451;12834;13132;107581;12842;12835;20649;16948;12552;20315;12111;13732;16852;12825;17313;12831;20692;21857;14268;13003;20564;16949;22004;50706;18542;20720;20750;22418;21817;24051;18129;65112;22003;19736;70350;22341;53867;14119;14314;67305;12814;12816;16398;21810;235106;14118;71665;18113;20254;21803;21923;218952",165,"CRISPR Het","Epithelial mesenchymal transition","padj <= 0.05"
"CRISPR","Het_vs_WT","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.48432951306428,0.0431147291222528,"Rcan1;Ptgs2;F2rl1;Plau;Cxcl1;Ier3;Ccn1;Tgif1;Pde4b;Btg3;Ifit2;Bmp2;Zbtb10;Litaf;Fosb;Ptpre;Atf3;Edn1;Inhba;Dusp1;Fosl2;Dusp5;Slc16a6;B4galt1;Rela;Maff;Sat1;Nfkb1;Klf6;F3;Irs2;Nfil3;Bcl6;Nr4a3;Nampt;Il6","54720;19225;14063;18792;14825;15937;16007;21815;18578;12228;15958;12156;229055;56722;14282;19267;11910;13614;16323;19252;14284;240672;104681;14595;19697;17133;20229;18033;23849;14066;384783;18030;12053;18124;59027;16193",169,"CRISPR Het","Tnfa signaling via nfkb","padj <= 0.05"
"CRISPR","Het_vs_WT","HALLMARK_E2F_TARGETS",-1.22667582871556,0.29240208438393,"Cenpm;Xrcc6;Dscc1;Rpa1;Psmc3ip;Timeless;Tubg1;Cbx5;Atad2;Brca1;Spag5;Espl1;Rad50;Pold2;Mxd3;Kif18b;Top2a;Rfc3;Trp53;Jpt1;Ppm1d;Shmt1;Aurkb;Spc24;Rad51c;Tk1;Rad21;Rfc2;Cit;Cdkn2a;Hmmr;Dnmt1;Tcf19;Tbrg4;Mlh1;Rad1;Racgap1;Birc5;Phf5a;Rfc1;Srsf2;Nme1;Mcm3;Ncapd2;Melk","66570;14375;72107;68275;19183;21853;103733;12419;70472;12189;54141;105988;19360;18972;17121;70218;21973;69263;22059;15374;53892;20425;20877;67629;114714;21877;19357;19718;12704;12578;15366;13433;106795;21379;17350;19355;26934;11799;68479;19687;20382;18102;17215;68298;17279",199,"CRISPR Het","E2f targets","not significant"
"CRISPR","Het_vs_WT","HALLMARK_INFLAMMATORY_RESPONSE",1.23716369525125,0.29240208438393,"Pdpn;Sgms2;Fzd5;Adm;Il18rap;Pvr;Pde4b;Cd14;Dcbld2;Tpbg;Ptpre;Edn1;Inhba;C3ar1;Rela;Abi1;Nfkb1;Klf6;F3;Ereg;Nampt;Il6;Plaur;Pcdh7;Mmp14;Irak2;Ifnar1","14726;74442;14367;11535;16174;52118;18578;12475;73379;21983;19267;13614;16323;12267;19697;11308;18033;23849;14066;13874;59027;16193;18793;54216;17387;108960;15975",119,"CRISPR Het","Inflammatory response","not significant"
"CRISPR","Het_vs_WT","HALLMARK_MTORC1_SIGNALING",1.1950436715759,0.29240208438393,"Add3;Qdpr;Ero1a;M6pr;Mllt11;Got1;Ddx39a;Gsr;Ak4;Stc1;Serp1;Sdf2l1;Stip1;Pdk1;Lgmn;Egln3;Psat1;Fgl2;Nfil3;Hk2;Slc7a5;Glrx;Pgk1;Nampt;Cd9;Ufm1;Aldoa;Slc2a1;Plod2;Cyb5b;Cth;Sytl2;Gsk3b;Ube2d3;Hsp90b1;Fads1;Eif2s2;Calr;Tm7sf2;Tes;Mthfd2l;Ppp1r15a;Gtf2h1;Slc1a5;Gmps;Tpi1;Psmg1;Gbe1;Cacybp;Tcea1;Idh1;Psma3;Hspa5;P4ha1;Nupr1;Hprt1;Ldha;Actr3;Nufip1;Gpi1;Ldlr;Fads2;Rrm2;Cct6a;Hspe1;Psmc6;Eef1e1","27360;110391;50527;17113;56772;14718;68278;14782;11639;20855;28146;64136;20867;228026;19141;112407;107272;14190;18030;15277;20539;93692;18655;59027;12527;67890;11674;20525;26432;66427;107869;83671;56637;66105;22027;76267;67204;12317;73166;21753;665563;17872;14884;20514;229363;21991;56088;74185;12301;21399;15926;19167;14828;18451;56312;15452;16828;74117;27275;14751;16835;56473;20135;12466;15528;67089;66143",193,"CRISPR Het","Mtorc1 signaling","not significant"
"CRISPR","Het_vs_WT","HALLMARK_COMPLEMENT",1.19669647235503,0.305470737913486,"Cdh13;Phex;Pla2g4a;Anxa5;Rce1;Ppp2cb;Pik3ca;Pdp1;Dusp5;Lgmn;Maff;Adam9;Fyn;Dyrk2;Src;F3;Xpnpep1;Pim1;Il6;Jak2;Dock9;Plaur;Mmp13;Mmp14;Gpd2;Prdm4;Kif2a;Tnfaip3;Rnf4;Lamp2;Raf1;Serpine1;Ehd1;Lyn;Ppp4c;Psmb9;Pik3r5;Usp15;Usp16;Hspa5;Calm1","12554;18675;18783;11747;19671;19053;18706;381511;240672;19141;17133;11502;14360;69181;20779;14066;170750;18712;16193;16452;105445;18793;17386;17387;14571;72843;16563;21929;19822;16784;110157;18787;13660;17096;56420;16912;320207;14479;74112;14828;12313",122,"CRISPR Het","Complement","not significant"
"CRISPR","Het_vs_WT","HALLMARK_KRAS_SIGNALING_UP",1.15311370811978,0.369693094629156,"Ptgs2;Ano1;F2rl1;Plau;Dcbld2;Ero1a;Mmp10;Cpe;Bmp2;Inhba;Mmd;Avl9;Zfp639;C3ar1;Gpnmb;Spry2;Rbm4;Glrx;Ereg;Rabgap1l;Scg5;Tor1aip2;Btbd3;Plaur;Ccnd2;Yrdc;Tnfaip3;Evi5;Atg10;Abcb1a;Mtmr10","19225;101772;14063;18792;73379;50527;17384;12876;12156;16323;67468;78937;67778;12267;93695;24064;19653;93692;13874;29809;20394;240832;228662;18793;12444;230734;21929;14020;66795;18671;233315",129,"CRISPR Het","Kras signaling up","not significant"
"CRISPR","Het_vs_WT","HALLMARK_APOPTOSIS",-1.15275497931856,0.375784336509412,"Pdgfrb;Lef1;Sqstm1;Nedd9;Timp3;Egr3;Irf1;Cd38;Ank;Gch1;Brca1;Igfbp6;Rara;Bgn;Timp2;Dap;Timp1;Top2a;Tspo;Ifngr1;Gstm2;Hspb1;H1f0;Fdxr;Erbb2;Ctnnb1;Fez1;Dpyd","18596;16842;18412;18003;21859;13655;16362;12494;11732;14528;12189;16012;19401;12111;21858;223453;21857;21973;12257;15979;14863;15507;14958;14149;13866;12387;235180;99586",135,"CRISPR Het","Apoptosis","not significant"
"CRISPR","Het_vs_WT","HALLMARK_DNA_REPAIR",-0.994771187560575,0.61461666453347,"Aaas;Nt5c;Cant1;Supt4a;Guk1;Mpg;Vps28;Ak3;Alyref;Polr2a;Usp11;Polr2f;Zfp707;Rfc3;Trp53;Gsdme;Tyms;Rfc2;Tarbp2;Polr2k;Rbx1;Rrm2b;Nme1;Nudt9;Nelfe;Ccno;Pold1;Edf1;Snapc4;Vps37d;Rad51;Lig1;Taf12;Cstf3;Prim1;Dctn4;Nelfcd","223921;50773;76025;20922;14923;268395;66914;56248;21681;20020;236733;69833;69020;69263;22059;54722;22171;19718;21357;17749;56438;382985;18102;74167;27632;218630;18971;59022;227644;194309;19361;16881;66464;228410;19075;67665;57314",143,"CRISPR Het","Dna repair","not significant"
"CRISPR","Het_vs_WT","HALLMARK_IL6_JAK_STAT3_SIGNALING",-0.982822982213178,0.61461666453347,"Ccl7;Irf1;Cd38;Tnfrsf1b;Osmr;Ifngr1;Stat3;Il12rb1;Grb2","20306;16362;12494;21938;18414;15979;20848;16161;14784",56,"CRISPR Het","Il6 jak stat3 signaling","not significant"
"CRISPR","Het_vs_WT","HALLMARK_P53_PATHWAY",-0.964174251244978,0.657470687817418,"S100a4;Baiap2;Fgf13;Notch1;Phlda3;Steap3;Csrnp2;Rrad;Ccng1;Klf4;Hint1;Osgin1;Cebpa;Rack1;Hexim1;Trp53;Ppm1d;Def6;Cdk5r1;Rad51c;Zfp36l1;Rxra;Mknk2;Fdxr;Cdkn2a;Cd82;Itgb4;Plxnb2;Ralgds;Fos;Vamp8;Tax1bp3;Pmm1;Vdr;Tob1;Traf4;Ddit4;Trib3;Retsat;Sphk1;Fuca1;Tgfb1;Slc7a11;Kif13b;Bax;Foxo3;Iscu;Ddit3;Hmox1;Mxd1;Fas;Pitpnc1;Mapkapk3;Ptpn14;Prkab1;Ak1;Pidd1;Trafd1;Dcxr;Tm7sf3;Apaf1;Pvt1;Socs1","20198;108100;14168;18128;27280;68428;207785;56437;12450;16600;15254;71839;12606;14694;192231;22059;53892;23853;12569;114714;12192;20181;17347;14149;12578;12521;192897;140570;19730;14281;22320;76281;29858;22337;22057;22032;74747;228775;67442;20698;71665;21803;26570;16554;12028;56484;66383;13198;15368;17119;14102;71795;102626;19250;19079;11636;57913;231712;67880;67623;11783;19296;12703",176,"CRISPR Het","P53 pathway","not significant"
"CRISPR","Het_vs_WT","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.950579506163255,0.657470687817418,"Itpr2;Ppp1ca;Pla2g12a;Cfl1;Grk2;Pten;Pdk1;Mapk8;Pitx2;Mapk1;Ap2m1;Slc2a1;Cab39;Plcb1;E2f1;Gsk3b;Ube2d3;Cdk2;Hsp90b1;Rps6ka3;Gna14;Calr","16439;19045;66350;12631;110355;19211;228026;26419;18741;26413;11773;20525;12283;18795;13555;56637;66105;12566;22027;110651;14675;12317",95,"CRISPR Het","Pi3k akt mtor signaling","not significant"
"CRISPR","Het_vs_WT","HALLMARK_MYC_TARGETS_V1",0.954526622273128,0.678721174004193,"Psmd8;Odc1;Hnrnpd;Eef1b2;Got2;Hddc2;Tfdp1;Psmd7;Abce1;Eif4g2;Pgk1;Gspt1;Rsl1d1;Ap3s1;Prdx3;Hdgf;Vdac3;Nolc1;Tomm70a;Ranbp1;Hnrnpa2b1;Cdk2;Kars1;Prps2;Eif2s2;Rps5;Psmd1;Rps2;Ccna2;Vbp1;Gnl3;Tra2b;Cct2;Cnbp;Hnrnpc;Hsp90ab1;Cul1;Ilf2;Uba2;Rpl6;Erh;Ctps1;Cct3;Ncbp2;Hprt1;Rps3;Rpl22;Ldha;Eif4e;Psma1;Mrpl9;Cbx3;Ube2e1;Hspe1;Dut;Psmc6;Pcbp1;Tcp1;Rpl14;Rps6;Mcm4;Nop56;Psmd14;Pole3;Nap1l1;Psma2;Syncrip;Hdac2;Glo1;Nop16;Hnrnpa3;Ssb;Exosc7;Hspd1;Srsf3;Orc2","57296;18263;11991;55949;14719;69692;21781;17463;24015;13690;18655;14852;66409;11777;11757;15191;22335;70769;28185;19385;53379;12566;85305;110639;67204;20103;70247;16898;12428;22327;30877;20462;12461;12785;15381;15516;26965;67781;50995;19988;13877;51797;12462;68092;15452;27050;19934;16828;13684;26440;78523;12417;22194;15528;110074;67089;23983;21454;67115;20104;17217;67134;59029;59001;53605;19166;56403;15182;109801;28126;229279;20823;66446;15510;20383;18393",192,"CRISPR Het","Myc targets v1","not significant"
"CRISPR","Het_vs_WT","HALLMARK_MYC_TARGETS_V2",0.788223852314149,0.91008864499789,"Slc29a2;Rcl1;Plk4;Hk2;Pprc1;Nip7;Nolc1;Wdr74;Ndufaf4;Gnl3","13340;59028;20873;15277;226169;66164;70769;107071;68493;30877",58,"CRISPR Het","Myc targets v2","not significant"
"CRISPR","Het_vs_WT","HALLMARK_INTERFERON_GAMMA_RESPONSE",-0.814313631026841,0.922627594308837,"Ccl7;Auts2;Tnfaip6;Irf1;Cd38;Rapgef6;Vamp5;Sspn;Gch1;Sp110;Stat3;Ripk2;Vamp8;Irf5;Itgb7;Cd74;Pnpt1;Ly6e;Nfkbia;Tnfaip2;Apol6;Psme2;St3gal5;Ccl5;Casp8;Trim25;Isoc1","20306;319974;21930;16362;12494;192786;53620;16651;14528;109032;20848;192656;22320;27056;16421;16149;71701;17069;18035;21928;71939;19188;20454;20304;12370;217069;66307",151,"CRISPR Het","Interferon gamma response","not significant"
"CRISPR","Het_vs_WT","HALLMARK_G2M_CHECKPOINT",-0.678534154520283,0.998542274052478,"Atf5;H2az2;Cdc6;Espl1;Lig3;Top2a;Sqle;Ewsr1;Jpt1;Pafah1b1;Aurkb;Troap;Rad21;Cbx1;Notch2;Hmmr;Marcks;Ndc80;Rad54l;Racgap1;Cdc27;Birc5;Dtymk;G3bp1;E2f2;Srsf2;Mcm3;Nusap1;Ccnt1;Traip;Tle3;Tgfb1;Chaf1a;Numa1;Meis1;Smad3;Nup50;Ttk;Sfpq;Xpo1;Kpnb1;Pds5b","107503;77605;23834;105988;16882;21973;20775;14030;15374;18472;20877;78733;19357;12412;18129;15366;17118;67052;19366;26934;217232;11799;21915;27041;242705;20382;17215;108907;12455;22036;21887;21803;27221;101706;17268;17127;18141;22137;71514;103573;16211;100710",193,"CRISPR Het","G2m checkpoint","not significant"
"CRISPR","Het_vs_WT","HALLMARK_INTERFERON_ALPHA_RESPONSE",-0.59939091897361,0.998542274052478,"Gmpr;Irf1;Ifitm1;Sp110;Cnp;Ripk2;Cd74;Pnpt1;Ly6e;Psme2;Casp8;Trim25;Nub1","66355;16362;68713;109032;12799;192656;16149;71701;17069;19188;12370;217069;53312",86,"CRISPR Het","Interferon alpha response","not significant"
"CRISPR","KO_vs_WT","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-2.07029191557993,4.50571578920317e-07,"Ecm1;Crlf1;Timp3;Matn2;Col1a2;Bgn;Pdgfrb;Edil3;Cthrc1;Gas1;Timp1;Lgals1;Igfbp4;Vcan;Emp3;Col16a1;Col6a2;Pdlim4;Serpine2;Dab2;Postn;Pmepa1;Sntb1;Loxl1;Col1a1;Spp1;Ntm;Wnt5a;Fstl1;Pcolce;Serpine1;Sparc;Pmp22;Igfbp3;Mgp;Tpm1;Slit3;Serpinh1;Itgb5;Lox;Capg;Col3a1;Col11a1;Tgm2;Col5a1;Notch2;Slit2;Fermt2;Fbn2;Tgfbi;Cdh11;Cxcl12;Mcm7;Magee1;Gpx7;Col6a3;Fbln5;Ptx3;Thbs2;Fgf2;Itga5","13601;12931;21859;17181;12843;12111;18596;13612;68588;14451;21857;16852;16010;13003;13732;107581;12834;30794;20720;13132;50706;65112;20649;16949;12842;20750;235106;22418;14314;18542;18787;20692;18858;16009;17313;22003;20564;12406;16419;16948;12332;12825;12814;21817;12831;18129;20563;218952;14119;21810;12552;20315;17220;107528;67305;12835;23876;19288;21826;14173;16402",165,"CRISPR KO","Epithelial mesenchymal transition","padj <= 0.05"
