"pathway","contrast_a","contrast_b","n_a","n_b","overlap","union","jaccard","overlap_entrez"
"HALLMARK_XENOBIOTIC_METABOLISM","CRISPR_Het","CRISPR_KO",43,56,40,59,0.677966101694915,"18104;16010;26874;13110;11669;11529;110351;110213;109672;16480;71093;246277;14528;59083;18984;18107;11429;233016;66397;69071;51793;110172;22021;11761;50997;223455;68021;66082;66841;14854;74134;14629;22436;11430;18618;12349;29858;29811;11655;56376"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","CRISPR_Het","CRISPR_KO",64,61,49,76,0.644736842105263,"12931;13612;16010;17181;18596;30794;12843;13601;18858;68588;16009;21859;14451;12834;13132;107581;12842;12835;20649;16948;12552;20315;12111;13732;16852;12825;17313;12831;20692;21857;13003;20564;16949;50706;18542;20720;20750;22418;21817;18129;65112;22003;14119;14314;67305;12814;21810;235106;218952"
"HALLMARK_MYOGENESIS","CRISPR_Het","CRISPR_KO",47,42,34,55,0.618181818181818,"29857;18104;18128;11568;226251;13808;16009;14681;12834;15982;225115;12842;17967;12835;16651;13845;17886;14387;77559;18642;19245;12825;19223;20692;78286;20190;192897;15184;17260;140570;16985;14245;76954;20893"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","CRISPR_Het","CRISPR_KO",12,12,9,15,0.6,"18128;16842;12006;13543;21414;14534;14362;12387;15184"
"HALLMARK_ANGIOGENESIS","CRISPR_KO","mouseKD",11,16,9,18,0.5,"20198;21857;13003;50706;20750;14314;12825;14083;11820"
"HALLMARK_KRAS_SIGNALING_DN","CRISPR_Het","CRISPR_KO",14,8,7,15,0.466666666666667,"19125;20363;54371;104027;56358;20393;14570"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","CRISPR_Het","mouseKD",64,71,38,97,0.391752577319588,"12931;16010;17181;12843;13601;16009;21859;14451;12834;107581;12842;12835;16948;12552;20315;12111;13732;12825;17313;20692;21857;14268;13003;20564;16949;22004;18542;20720;20750;14119;14314;12816;21810;235106;14118;18113;20254;21923"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","CRISPR_KO","mouseKD",61,71,37,95,0.389473684210526,"13601;12931;21859;17181;12843;12111;14451;21857;16010;13003;13732;107581;12834;20720;16949;12842;20750;235106;14314;18542;20692;16009;17313;20564;16419;16948;12332;12825;20563;14119;21810;12552;20315;12835;23876;19288;21826"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","CRISPR_KO","mouseKD",46,48,25,69,0.36231884057971,"71586;319236;100121;231655;56791;58185;209086;19106;64685;234311;17858;547253;246730;243771;67775;15959;16391;54123;99899;24110;20847;69550;100038882;72075;80285"
"HALLMARK_GLYCOLYSIS","CRISPR_KO","mouseKD",59,71,31,99,0.313131313131313,"54371;83398;11876;14042;13003;18194;22021;53418;15529;74747;16009;22122;78688;57875;107869;21810;14635;11541;21351;14381;14936;268373;14733;110006;76524;50797;104458;14629;23897;69080;18451"
