"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"GO_BP","GOBP_RESPONSE_TO_INTERFERON_BETA",3.13390849810344e-16,1.09843492858526e-12,0.756708788605841,2.80372973998635,61,35,"55932;66141;15944;15959;246730;15950;15951;54396;60440;15957;381308;100040462;69550;327959;229900;16145;236312;15953;14469;23960;102639543;20846;80876;240327;226691;213002;100039796;226695;23961;71701;21822;64704;100033459;68713;240328","Gbp3;Ifitm3;Irgm1;Ifit3;Oas1a;Ifi203;Ifi204;Irgm2;Iigp1;Ifit1;Ifi211;Mndal;Bst2;Xaf1;Gbp7;Igtp;Ifi209;Ifi47;Gbp2;Oas1g;Ifi206;Stat1;Ifitm2;Iigp1c;Ifi207;Ifitm6;Tgtp2;Ifi205;Oas1b;Pnpt1;Tgtp1;Htra2;Ifi208;Ifitm1;F830016B08Rik"
"GO_BP","GOBP_RESPONSE_TO_VIRUS",5.01396501646164e-13,8.78697369134903e-10,0.449774238026683,2.10435735790828,328,91,"99899;11475;23962;54123;16859;24110;66141;15944;15959;246730;54396;100038882;67775;20128;15957;230073;58203;80285;69550;209387;229900;246728;71586;16145;14469;667370;26943;209200;74747;23960;246727;18263;76933;64685;66854;20846;26939;12048;80861;20847;142980;234311;15364;56048;80287;80876;27998;12176;226691;319236;17454;104721;213002;70428;19106;19777;17858;78781;217069;23961;56213;75788;21822;52513;56491;74568;14468;16819;94094;100689;58185;78308;66700;68713;28185;231655;17874;72162;16765;67005;14082;67160;66799;67040;434341;73945;76952;668661;17472;11993;11810","Ifi44;Acta2;Oasl2;Irf7;Lgals9;Usp18;Ifitm3;Irgm1;Ifit3;Oas1a;Irgm2;Isg15;Rtp4;Trim30a;Ifit1;Rigi;Zbp1;Parp9;Bst2;Trim30d;Gbp7;Oas2;Ifih1;Igtp;Gbp2;Ifit3b;Serinc3;Dtx3l;Ddit4;Oas1g;Oas3;Odc1;Ifi27l2a;Nmi;Trim35;Stat1;Polr3e;Bcl2l1;Dhx58;Stat2;Tlr3;Ddx60;Hmga2;Lgals8;Apobec3;Ifitm2;Exosc5;Bnip3;Ifi207;Trim12c;Mov10;Ddx1;Ifitm6;Polr3b;Eif2ak2;Uri1;Mx2;Zc3hav1;Trim25;Oas1b;Htra1;Smurf1;Tgtp1;Ddx56;Vapb;Mlkl;Gbp2b;Lcn2;Trim34a;Spon2;Rsad2;Gpr108;Chmp3;Ifitm1;Tomm70a;Oasl1;Myd88;Dhx36;Stmn1;Polr3k;Fadd;Eef1g;Ube2w;Ddx17;Nlrc5;Otud4;Nt5c2;2410002F23Rik;Gbp4;Aup1;Apobec1"
"GO_BP","GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION",1.35550846869106e-12,1.58368572758739e-09,0.691268058080264,2.57990848810412,65,28,"23962;66141;246730;100038882;20568;69550;229900;246728;71586;19358;23960;246727;21974;15364;80287;80876;226691;213002;19106;17858;78781;13194;23961;56491;268373;58185;68713;231655","Oasl2;Ifitm3;Oas1a;Isg15;Slpi;Bst2;Gbp7;Oas2;Ifih1;Rad23a;Oas1g;Oas3;Top2b;Hmga2;Apobec3;Ifitm2;Ifi207;Ifitm6;Eif2ak2;Mx2;Zc3hav1;Ddb1;Oas1b;Vapb;Ppia;Rsad2;Ifitm1;Oasl1"
"GO_BP","GOBP_DEFENSE_RESPONSE_TO_VIRUS",4.41084021826343e-12,3.86499874125333e-09,0.468156403656691,2.13695916751173,253,69,"23962;54123;24110;66141;15944;15959;246730;54396;100038882;67775;20128;15957;230073;58203;80285;69550;209387;229900;246728;71586;16145;14469;667370;26943;209200;74747;23960;246727;66854;20846;26939;12048;80861;20847;142980;234311;80287;80876;27998;12176;226691;319236;17454;104721;213002;70428;19106;17858;78781;217069;23961;56213;75788;52513;56491;74568;14468;94094;100689;58185;78308;66700;68713;28185;231655;17874;72162;67005;14082","Oasl2;Irf7;Usp18;Ifitm3;Irgm1;Ifit3;Oas1a;Irgm2;Isg15;Rtp4;Trim30a;Ifit1;Rigi;Zbp1;Parp9;Bst2;Trim30d;Gbp7;Oas2;Ifih1;Igtp;Gbp2;Ifit3b;Serinc3;Dtx3l;Ddit4;Oas1g;Oas3;Trim35;Stat1;Polr3e;Bcl2l1;Dhx58;Stat2;Tlr3;Ddx60;Apobec3;Ifitm2;Exosc5;Bnip3;Ifi207;Trim12c;Mov10;Ddx1;Ifitm6;Polr3b;Eif2ak2;Mx2;Zc3hav1;Trim25;Oas1b;Htra1;Smurf1;Ddx56;Vapb;Mlkl;Gbp2b;Trim34a;Spon2;Rsad2;Gpr108;Chmp3;Ifitm1;Tomm70a;Oasl1;Myd88;Dhx36;Polr3k;Fadd"
"GO_BP","GOBP_VIRAL_GENOME_REPLICATION",5.81819035912841e-12,4.07855144174902e-09,0.631748004000299,2.47652362802487,87,31,"23962;66141;246730;100038882;20587;20568;69550;229900;246728;71586;19358;23960;246727;21974;15364;80287;80876;226691;213002;19106;17858;78781;13194;23961;52513;56491;268373;30960;58185;68713;231655","Oasl2;Ifitm3;Oas1a;Isg15;Smarcb1;Slpi;Bst2;Gbp7;Oas2;Ifih1;Rad23a;Oas1g;Oas3;Top2b;Hmga2;Apobec3;Ifitm2;Ifi207;Ifitm6;Eif2ak2;Mx2;Zc3hav1;Ddb1;Oas1b;Ddx56;Vapb;Ppia;Vapa;Rsad2;Ifitm1;Oasl1"
"GO_BP","GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE",1.86910945054669e-11,1.09187143736102e-08,0.612095279675411,2.43574759452627,95,35,"23962;66141;246730;100038882;20128;20568;69550;209387;229900;246728;71586;19358;23960;246727;22088;21974;15364;80287;80876;26362;226691;319236;213002;19106;17858;76681;78781;13194;217069;23961;56491;268373;58185;68713;231655","Oasl2;Ifitm3;Oas1a;Isg15;Trim30a;Slpi;Bst2;Trim30d;Gbp7;Oas2;Ifih1;Rad23a;Oas1g;Oas3;Tsg101;Top2b;Hmga2;Apobec3;Ifitm2;Axl;Ifi207;Trim12c;Ifitm6;Eif2ak2;Mx2;Trim12a;Zc3hav1;Ddb1;Trim25;Oas1b;Vapb;Ppia;Rsad2;Ifitm1;Oasl1"
"GO_BP","GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS",1.35420416579959e-10,6.78069371589653e-08,0.656764451071917,2.45113623029395,65,28,"23962;66141;246730;100038882;15957;20568;69550;246728;71586;20684;23960;246727;19288;20846;15364;80287;80876;226691;213002;19106;17858;78781;23961;56491;268373;58185;68713;231655","Oasl2;Ifitm3;Oas1a;Isg15;Ifit1;Slpi;Bst2;Oas2;Ifih1;Sp100;Oas1g;Oas3;Ptx3;Stat1;Hmga2;Apobec3;Ifitm2;Ifi207;Ifitm6;Eif2ak2;Mx2;Zc3hav1;Oas1b;Vapb;Ppia;Rsad2;Ifitm1;Oasl1"
"GO_BP","GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION",2.76408262287511e-10,1.21101369914716e-07,0.742258814488759,2.49494231279811,41,22,"23962;66141;246730;100038882;20568;69550;246728;71586;23960;246727;15364;80287;80876;226691;213002;19106;17858;78781;23961;58185;68713;231655","Oasl2;Ifitm3;Oas1a;Isg15;Slpi;Bst2;Oas2;Ifih1;Oas1g;Oas3;Hmga2;Apobec3;Ifitm2;Ifi207;Ifitm6;Eif2ak2;Mx2;Zc3hav1;Oas1b;Rsad2;Ifitm1;Oasl1"
"GO_BP","GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY",3.13640302498526e-10,1.22145473361926e-07,0.607843922266544,2.37015313615335,84,34,"23962;54123;24110;66141;15944;246730;547253;54396;100038882;58203;80285;246728;71586;16145;23960;246727;22059;20846;20847;80876;213002;13194;23961;99375;26987;78308;68713;231655;16179;17874;14082;16451;208727;434341","Oasl2;Irf7;Usp18;Ifitm3;Irgm1;Oas1a;Parp14;Irgm2;Isg15;Zbp1;Parp9;Oas2;Ifih1;Igtp;Oas1g;Oas3;Trp53;Stat1;Stat2;Ifitm2;Ifitm6;Ddb1;Oas1b;Cul4a;Eif4e2;Gpr108;Ifitm1;Oasl1;Irak1;Myd88;Fadd;Jak1;Hdac4;Nlrc5"
"GO_BP","GOBP_REGULATION_OF_VIRAL_PROCESS",1.05528891836983e-09,3.69878765888626e-07,0.544699087341609,2.25915141719874,122,41,"23962;66141;246730;100038882;20128;15957;20568;69550;209387;229900;246728;71586;20684;19358;23960;246727;19288;22088;20846;21974;15364;80287;80876;26362;226691;319236;213002;19106;17858;76681;78781;13194;217069;23961;18643;56491;268373;58185;16543;68713;231655","Oasl2;Ifitm3;Oas1a;Isg15;Trim30a;Ifit1;Slpi;Bst2;Trim30d;Gbp7;Oas2;Ifih1;Sp100;Rad23a;Oas1g;Oas3;Ptx3;Tsg101;Stat1;Top2b;Hmga2;Apobec3;Ifitm2;Axl;Ifi207;Trim12c;Ifitm6;Eif2ak2;Mx2;Trim12a;Zc3hav1;Ddb1;Trim25;Oas1b;Pfn1;Vapb;Ppia;Rsad2;Mdfic;Ifitm1;Oasl1"
