"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"KEGG","GENGQIU_LUAD_CAF_MARKER_GENES",3.64753582573666e-27,1.7285672278166e-23,0.649126389357121,2.85983642072206,191,97,"19039;11475;20692;29817;66141;12552;74761;12842;16775;20317;12843;13731;98932;12111;58859;16010;50908;12826;14118;12833;12835;19672;21804;12834;17150;15901;15903;14314;21859;22154;18933;14609;17385;21838;13003;213019;21857;320183;16949;18542;17387;16009;12832;17750;12825;19038;17313;12827;20363;16419;13730;268977;192176;22004;15529;52377;13038;12816;22352;68303;14268;14230;56213;107589;12476;20200;21413;72565;13601;12837;16971;18113;27279;21826;19035;12955;100689;20657;69202;11568;19376;67533;109754;66357;11820;56429;76281;18791;114679;109624;17775;14115;109042;16997;21858;26561;17755","Lgals3bp;Acta2;Sparc;Igfbp7;Ifitm3;Cdh11;Mxra8;Col1a1;Lama4;Serpinf1;Col1a2;Emp2;Myl9;Bgn;Efemp2;Igfbp4;C1s1;Col4a1;Fbn1;Col6a1;Col6a3;Rcn1;Tgfb1i1;Col6a2;Mfap2;Id1;Id3;Fstl1;Timp3;Tubb5;Prrx1;Gja1;Mmp11;Thy1;Vcan;Pdlim2;Timp1;Msrb3;Loxl1;Pcolce;Mmp14;Igfbp3;Col5a2;Mt2;Col3a1;Ppic;Mgp;Col4a2;Selenop;Itgb5;Emp1;Ltbp1;Flna;Tpm2;Sdc2;Rcn3;Ctsk;Col12a1;Vim;Fam114a1;Fn1;Fkbp10;Htra1;Mylk;Cd151;S100a6;Tcf4;Uaca;Ecm1;Col8a1;Lrp1;Nnmt;Tnfrsf12a;Thbs2;Ppib;Cryab;Spon2;Sod3;Ptms;Aebp1;Rab34;Ppfibp1;Cyb5r3;Ostc;App;Dpt;Tax1bp3;Plat;Selenom;Cald1;Laptm4a;Fbln2;Cavin3;Ltbp2;Timp2;Mmp23;Map1b"
"KEGG","GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP",1.07452282139936e-21,2.54608182530577e-18,0.611670097261683,2.67511236063317,183,89,"99899;19039;55932;29817;54123;24110;12870;15944;15959;246730;547253;15951;54396;100038882;67775;236573;12266;15957;243771;58203;12111;80285;100040462;69550;70110;246728;71586;20684;22169;14469;16391;14314;217410;23960;74153;19171;20846;208263;94249;223672;12832;12825;94279;142980;234311;20363;67991;30935;319236;14600;19106;227613;69089;17858;24088;170571;213819;57810;12977;226695;217069;21917;18003;53614;217378;18113;109032;108958;94094;93888;58185;67840;11461;22333;226861;104111;30050;12338;20306;18295;17472;12369;11826;67371;17975;66074;67468;56526;11600","Ifi44;Lgals3bp;Gbp3;Igfbp7;Irf7;Usp18;Cp;Irgm1;Ifit3;Oas1a;Parp14;Ifi204;Irgm2;Isg15;Rtp4;Gbp9;C3;Ifit1;Parp12;Zbp1;Bgn;Parp9;Mndal;Bst2;Ifi35;Oas2;Ifih1;Sp100;Cmpk2;Gbp2;Irf9;Fstl1;Trib2;Oas1g;Uba7;Psmb10;Stat1;Tor1aip1;Slc24a3;Apol9a;Col5a2;Col3a1;Sfxn2;Tlr3;Ddx60;Selenop;Nacc2;Tor3a;Trim12c;Ghr;Eif2ak2;Tubb4b;Oxa1l;Mx2;Tlr2;Cntnap4;Casd1;Cdon;Csf1;Ifi205;Trim25;Tmpo;Nedd9;Reck;Dnajc27;Nnmt;Sp110;Miga2;Trim34a;Pcdhb17;Rsad2;Mrpl57;Actb;Vdac1;Hhat;Adcy3;Fbxw2;Capn6;Ccl7;Ogn;Gbp4;Casp7;Aqp1;Gtf3c6;Ncl;Tmem167;Mmd;Septin6;Angpt1"
"KEGG","SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP",1.50591715083757e-20,1.78413534445481e-17,0.553256765471216,2.51026998125196,253,99,"20692;29817;12552;14119;74761;12842;15951;16775;71690;20317;12843;14451;98932;12111;100040462;239273;58859;77446;50908;20720;12826;14118;12833;12835;21804;12834;17150;319939;14314;21859;16177;99543;18933;17385;21838;13003;213019;18186;107581;244745;17534;16949;23892;22240;16009;14007;18764;11492;67951;12832;12825;19038;12827;12778;13730;192216;26362;54381;15529;13038;83675;80982;14268;18793;226695;16948;17392;16952;56213;21413;18484;53614;18113;21810;19735;12444;21826;268739;17698;104156;20198;57342;14017;13732;100689;23984;18301;18595;11568;140792;240185;18073;16518;24052;109624;14115;17386;109042;94352","Sparc;Igfbp7;Cdh11;Fbn2;Mxra8;Col1a1;Ifi204;Lama4;Esm1;Serpinf1;Col1a2;Gas1;Myl9;Bgn;Mndal;Abcc4;Efemp2;Heg1;C1s1;Serpine2;Col4a1;Fbn1;Col6a1;Col6a3;Tgfb1i1;Col6a2;Mfap2;Tns3;Fstl1;Timp3;Il1r1;Olfml3;Prrx1;Mmp11;Thy1;Vcan;Pdlim2;Nrp1;Col16a1;Dpy19l1;Mrc2;Loxl1;Grem1;Dpysl3;Igfbp3;Celf2;Pkd2;Adam19;Tubb6;Col5a2;Col3a1;Ppic;Col4a2;Ackr3;Emp1;Tmem47;Axl;Cpq;Sdc2;Ctsk;Bicc1;Cemip;Fn1;Plaur;Ifi205;Lox;Mmp3;Anxa1;Htra1;Tcf4;Pam;Reck;Nnmt;Tgfbi;Rgs2;Ccnd2;Thbs2;Arhgef40;Msn;Etv5;S100a4;Parva;Evi2a;Emp3;Spon2;Pde10a;Fxyd5;Pdgfra;Aebp1;Colec12;Jcad;Nid1;Kcnj2;Sgcd;Cald1;Fbln2;Mmp13;Cavin3;Loxl2"
"KEGG","XIE_ST_HSC_S1PR3_OE_UP",1.48043471467388e-20,1.78413534445481e-17,0.681676608791658,2.82159797746335,117,52,"99899;19039;54123;672511;24110;66141;15959;246730;209086;100038882;67775;98932;230073;243771;80285;20750;69550;327959;67776;70110;246728;12835;71586;14469;209200;12946;66940;16391;17069;23960;246727;24066;20846;70726;80861;229949;234311;19106;17858;217069;15902;79221;13655;18003;100121;109032;671535;58185;68713;50762;231655;213417","Ifi44;Lgals3bp;Irf7;Rnf213;Usp18;Ifitm3;Ifit3;Oas1a;Samd9l;Isg15;Rtp4;Myl9;Rigi;Parp12;Parp9;Spp1;Bst2;Xaf1;Vwa5a;Ifi35;Oas2;Col6a3;Ifih1;Gbp2;Dtx3l;Cr1l;Shisa5;Irf9;Ly6e;Oas1g;Oas3;Spry4;Stat1;Angptl6;Dhx58;Ak5;Ddx60;Eif2ak2;Mx2;Trim25;Id2;Hdac9;Egr3;Nedd9;Tdrd7;Sp110;Parp10;Rsad2;Ifitm1;Fbxo6;Oasl1;Klhdc8a"
"KEGG","PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP",3.13736153200106e-20,2.9735912600306e-17,0.6329708726214,2.72918352710387,153,59,"11475;20692;29817;12870;12552;12842;209086;16775;20512;12843;12266;98932;18414;50908;12826;14118;12833;11819;399558;319939;14314;21923;18933;14609;21838;16949;18542;22240;21677;12825;208659;19038;238130;319622;12827;19731;67916;103080;22601;56174;12816;71566;68303;14268;15926;107589;68659;20430;20315;18805;18214;18113;57342;12268;114715;13039;18595;13610;109676","Acta2;Sparc;Igfbp7;Cp;Cdh11;Col1a1;Samd9l;Lama4;Slc1a3;Col1a2;C3;Myl9;Osmr;C1s1;Col4a1;Fbn1;Col6a1;Nr2f2;Flrt2;Tns3;Fstl1;Tnc;Prrx1;Gja1;Thy1;Loxl1;Pcolce;Dpysl3;Tead2;Col3a1;Fam20a;Ppic;Dock4;Itpripl2;Col4a2;Rgl1;Plpp3;Septin10;Yap1;Nagk;Col12a1;Clmp;Fam114a1;Fn1;Idh1;Mylk;Gask1b;Cyfip1;Cxcl12;Pld1;Ddr2;Nnmt;Parva;C4b;Spred1;Ctsl;Pdgfra;S1pr3;Ank2"
"KEGG","BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP",1.57743625247602e-16,1.24591173341397e-13,0.61179784594991,2.62680198321607,147,61,"99899;55932;54123;24110;66141;15959;246730;209086;547253;67775;22436;230073;243771;80285;69550;327959;50908;246728;71586;20684;22169;13874;219132;14469;209200;16391;23960;74153;246727;19288;22375;64685;16600;20846;223672;80861;20847;142980;234311;216188;69217;319236;78771;19106;17858;434484;78781;71566;18793;226695;217069;71701;20855;80898;21354;100121;19735;109032;56791;240672;671535","Ifi44;Gbp3;Irf7;Usp18;Ifitm3;Ifit3;Oas1a;Samd9l;Parp14;Rtp4;Xdh;Rigi;Parp12;Parp9;Bst2;Xaf1;C1s1;Oas2;Ifih1;Sp100;Cmpk2;Ereg;Phf11d;Gbp2;Dtx3l;Irf9;Oas1g;Uba7;Oas3;Ptx3;Wars1;Nmi;Klf4;Stat1;Apol9a;Dhx58;Stat2;Tlr3;Ddx60;Aldh1l2;Plekha4;Trim12c;Mctp1;Eif2ak2;Mx2;Sp140;Zc3hav1;Clmp;Plaur;Ifi205;Trim25;Pnpt1;Stc1;Erap1;Tap1;Tdrd7;Rgs2;Sp110;Ube2l6;Dusp5;Parp10"
"KEGG","HECKER_IFNB1_TARGETS",8.35011591473352e-15,4.94639991499027e-12,0.775854060553633,2.78243141511475,52,27,"99899;19039;54123;15959;246730;209086;100038882;67775;98932;230073;243771;58203;80285;327959;70110;246728;22169;209200;17069;23960;246727;20846;80861;234311;80287;19106;17858","Ifi44;Lgals3bp;Irf7;Ifit3;Oas1a;Samd9l;Isg15;Rtp4;Myl9;Rigi;Parp12;Zbp1;Parp9;Xaf1;Ifi35;Oas2;Cmpk2;Dtx3l;Ly6e;Oas1g;Oas3;Stat1;Dhx58;Ddx60;Apobec3;Eif2ak2;Mx2"
"KEGG","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP",8.30585214569075e-15,4.94639991499027e-12,0.620879559895219,2.56994664017306,117,45,"99899;19039;54123;672511;24110;15959;246730;209086;547253;100038882;230073;243771;80285;69550;327959;16010;70110;246728;71586;22169;14469;209200;16391;17069;23960;246727;20846;66412;20847;234311;19224;19225;19106;17858;68617;226695;217069;16948;75909;109032;671535;14017;58185;68713;231655","Ifi44;Lgals3bp;Irf7;Rnf213;Usp18;Ifit3;Oas1a;Samd9l;Parp14;Isg15;Rigi;Parp12;Parp9;Bst2;Xaf1;Igfbp4;Ifi35;Oas2;Ifih1;Cmpk2;Gbp2;Dtx3l;Irf9;Ly6e;Oas1g;Oas3;Stat1;Arrdc4;Stat2;Ddx60;Ptgs1;Ptgs2;Eif2ak2;Mx2;Mtcl1;Ifi205;Trim25;Lox;Vmp1;Sp110;Parp10;Evi2a;Rsad2;Ifitm1;Oasl1"
"KEGG","ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP",1.96949967393214e-14,1.03705099497382e-11,0.670101545588647,2.61960088914992,85,29,"19039;55932;54123;24110;15944;15959;15951;54396;100038882;22436;15957;100040462;12826;70110;14469;66940;74153;231507;22375;19171;20846;14251;19186;19224;16913;19241;217718;226695;19188","Lgals3bp;Gbp3;Irf7;Usp18;Irgm1;Ifit3;Ifi204;Irgm2;Isg15;Xdh;Ifit1;Mndal;Col4a1;Ifi35;Gbp2;Shisa5;Uba7;Plac8;Wars1;Psmb10;Stat1;Flot1;Psme1;Ptgs1;Psmb8;Tmsb4x;Nek9;Ifi205;Psme2"
"KEGG","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP",4.20506081441726e-14,1.99277831995234e-11,0.653578832785113,2.60502391255945,92,27,"99899;19039;54123;672511;24110;15959;246730;100038882;230073;327959;16010;246728;71586;74747;17069;23960;246727;14609;104444;20846;54371;78560;234311;19225;16998;19106;17858","Ifi44;Lgals3bp;Irf7;Rnf213;Usp18;Ifit3;Oas1a;Isg15;Rigi;Xaf1;Igfbp4;Oas2;Ifih1;Ddit4;Ly6e;Oas1g;Oas3;Gja1;Rexo2;Stat1;Chst2;Adgra2;Ddx60;Ptgs2;Ltbp3;Eif2ak2;Mx2"
