"collection","pathway","pval","padj","ES","NES","size","leadingEdge_count","leadingEdge_entrez","leadingEdge_symbols"
"Reactome","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",5.9171913060877e-11,4.13019953164922e-08,0.519599805884812,2.25426758889177,173,73,"11475;14119;16775;12843;14789;12111;23876;20750;58859;12826;14118;12833;16423;12835;12834;17150;11603;56693;21923;17385;58223;13003;21857;107581;16949;18542;17387;17384;11492;12380;241226;12832;12825;12827;16950;234407;12333;237360;210530;216725;268977;13528;16998;15529;16403;13038;12816;18822;14268;16948;17392;56213;18214;12837;108075;19035;69675;13039;319480;11461;11820;18073;24052;26432;14115;17386;94352;12338;16997;12339;23794;21858;268935","Acta2;Fbn2;Lama4;Col1a2;P3h3;Bgn;Fbln5;Spp1;Efemp2;Col4a1;Fbn1;Col6a1;Cd47;Col6a3;Col6a2;Mfap2;Agrn;Crtap;Tnc;Mmp11;Mmp19;Vcan;Timp1;Col16a1;Loxl1;Pcolce;Mmp14;Mmp10;Adam19;Cast;Itga8;Col5a2;Col3a1;Col4a2;Loxl3;Colgalt1;Capn1;Adamts14;P3h2;Adamts2;Ltbp1;Dtnb;Ltbp3;Sdc2;Itga6;Ctsk;Col12a1;Plod1;Fn1;Lox;Mmp3;Htra1;Ddr2;Col8a1;Ltbp4;Ppib;Pxdn;Ctsl;Itga11;Actb;App;Nid1;Sgcd;Plod2;Fbln2;Mmp13;Loxl2;Capn6;Ltbp2;Capn7;Adamts5;Timp2;Scube3"
"Reactome","REACTOME_TRANSLATION",1.2527741730618e-08,2.91478790932378e-06,0.417387615625275,1.91913794459452,286,138,"13627;27397;74776;224045;13685;27207;27979;26444;27050;27370;13629;54709;20091;13681;69089;66855;67768;68028;18458;26961;19946;20085;67427;20103;68537;59029;67707;235606;66047;55949;27367;19934;16898;67895;68836;73830;66407;69956;268449;67840;75452;76808;27398;16341;270106;216080;94067;108067;56040;269261;14852;67115;67160;64659;16785;20813;208643;67281;20102;19181;67871;77987;19981;67891;11837;68436;67673;100043813;121022;65111;56282;55944;20090;19944;70316;68052;66489;20116;66085;211253;19982;20104;67097;19167;107732;94062;66242;67212;71745;66661;118451;239555;19173;22121;67089;66656;19943;19951;67270;353242;69163;67674;20084;100503670;98221;75617;67025;17463;66480;66230;19935;66448;75705;27395;56550;66105;19942;53356;50529;18100;66258;22384;56284;22123;19988;20115;114641;76846;94066;54127;20005;26441;57294;19170;70247;78294;213753;67204","Eef1a1;Mrpl17;Ppa2;Eif2b5;Eif4ebp1;Rps11;Eif3b;Psma7;Rps3;Rps26;Eef2;Eif3i;Rps3a1;Eif4a1;Oxa1l;Tcf25;Hemk2;Rpl22l1;Pabpc1;Rpl8;Rpl30;Rps19;Rps20;Rps5;Mrpl13;Psmd14;Mrpl24;Apeh;Mrpl54;Eef1b2;Rpl3;Rpl22;Rps2;Ppa1;Mrpl52;Eif3k;Mrps15;Ptcd3;Rpl23a;Mrpl57;Ascc2;Rpl18a;Mrpl2;Eif3e;Rpl13;Ube2d1;Mrpl43;Eif2b3;Rplp1;Rpl12;Gspt1;Rpl14;Eef1g;Mrps14;Rpsa;Srp14;Eif4g1;Rpl37;Rps4x;Psmc2;Mrrf;Ascc3;Rpl37a;Rpl4;Rplp0;Rpl34;Elob;Rps27rt;Mrps6;Dap3;Mrpl12;Eif3d;Rps29;Rpl29;Ndufab1;Rps13;Rpl35;Rps8;Eif3f;Mtrf1;Rpl36a;Rps6;Rps10;Psma3;Mrpl10;Mrpl3;Mrps16;Mrpl55;Cul2;Srp72;Mrps2;Mief1;Psmb5;Rpl13a;Psmc6;Eef1d;Rpl28;Rpl32;Mrpl42;Mrpl21;Mrpl44;Trmt112;Rps18;Rpl5;Eif3m;Rps25;Rpl11;Psmd7;Rpl15;Mrps28;Mrpl23;Mrpl20;Eif4b;Mrpl15;Ube2d2a;Ube2d3;Rpl27;Eif3g;Mrps7;Mrpl40;Mrps17;Eif4h;Mrpl19;Psmd3;Rpl6;Rps7;Rpl31;Rps9;Mrpl36;Rps28;Rpl9;Psma4;Rps27;Psmb1;Psmd1;Rps27a;Zfp598;Eif2s2"
"Reactome","REACTOME_ZNF598_AND_THE_RIBOSOME_ASSOCIATED_QUALITY_TRIGGER_RQT_COMPLEX_DISSOCIATE_A_RIBOSOME_STALLED_ON_A_NO_GO_MRNA",1.11959193022096e-08,2.91478790932378e-06,0.578704580083975,2.26484556573788,87,60,"27207;27050;27370;20091;68028;26961;19946;20085;67427;20103;27367;19934;16898;268449;75452;76808;270106;216080;56040;269261;67115;16785;67281;20102;77987;19981;67891;11837;68436;100043813;20090;19944;68052;66489;20116;19982;20104;67097;22121;19943;19951;20084;100503670;75617;67025;66480;56550;66105;19942;19988;20115;114641;76846;54127;20005;57294;78294;213753;110954;19989","Rps11;Rps3;Rps26;Rps3a1;Rpl22l1;Rpl8;Rpl30;Rps19;Rps20;Rps5;Rpl3;Rpl22;Rps2;Rpl23a;Ascc2;Rpl18a;Rpl13;Ube2d1;Rplp1;Rpl12;Rpl14;Rpsa;Rpl37;Rps4x;Ascc3;Rpl37a;Rpl4;Rplp0;Rpl34;Rps27rt;Rps29;Rpl29;Rps13;Rpl35;Rps8;Rpl36a;Rps6;Rps10;Rpl13a;Rpl28;Rpl32;Rps18;Rpl5;Rps25;Rpl11;Rpl15;Ube2d2a;Ube2d3;Rpl27;Rpl6;Rps7;Rpl31;Rps9;Rps28;Rpl9;Rps27;Rps27a;Zfp598;Rpl10;Rpl7"
"Reactome","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",3.85987086492808e-08,6.7354746592995e-06,0.529736697064208,2.15434386460723,111,67,"224045;13685;27207;27979;27050;27370;54709;20091;13681;68028;18458;26961;19946;20085;67427;20103;27367;19934;16898;73830;268449;76808;16341;270106;108067;56040;269261;67115;16785;208643;67281;20102;19981;67891;11837;68436;100043813;55944;20090;19944;68052;66489;20116;66085;19982;20104;67097;22121;19943;19951;20084;100503670;98221;75617;67025;66480;75705;19942;53356;22384;19988;20115;114641;76846;54127;20005;57294","Eif2b5;Eif4ebp1;Rps11;Eif3b;Rps3;Rps26;Eif3i;Rps3a1;Eif4a1;Rpl22l1;Pabpc1;Rpl8;Rpl30;Rps19;Rps20;Rps5;Rpl3;Rpl22;Rps2;Eif3k;Rpl23a;Rpl18a;Eif3e;Rpl13;Eif2b3;Rplp1;Rpl12;Rpl14;Rpsa;Eif4g1;Rpl37;Rps4x;Rpl37a;Rpl4;Rplp0;Rpl34;Rps27rt;Eif3d;Rps29;Rpl29;Rps13;Rpl35;Rps8;Eif3f;Rpl36a;Rps6;Rps10;Rpl13a;Rpl28;Rpl32;Rps18;Rpl5;Eif3m;Rps25;Rpl11;Rpl15;Eif4b;Rpl27;Eif3g;Eif4h;Rpl6;Rps7;Rpl31;Rps9;Rps28;Rpl9;Rps27"
"Reactome","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",2.88981191669482e-07,4.03417743570597e-05,-0.357361587632941,-1.77283371233346,273,103,"18141;68183;228410;74737;68879;27366;70767;17149;108160;208768;238831;20641;72198;51796;66877;74320;81898;67710;545085;67678;74255;19647;66118;60365;231329;22190;66801;67797;69823;67418;98053;227720;19205;67332;193116;330361;67337;209003;192159;98758;73826;54723;69482;24010;56258;76479;13204;237859;22668;54188;70044;107939;18949;212880;67465;69207;69757;27967;71713;94315;53379;19826;67039;70699;192160;209416;320632;22186;68816;60321;227707;67285;83486;67480;66642;433702;13684;75210;69192;53319;66101;269966;73666;68592;64340;83410;70052;28000;20630;69241;108121;21681;50996;101943;67958;68598;56194;69833;66070;53317;28035;210529;67197","Nup50;Bcas2;Cstf3;Pcf11;Prpf6;Txnl4a;Prpf3;Magoh;Fam50a;Sde2;Ppwd1;Snrpd1;Mtrex;Srrm1;Crnkl1;Wdr33;Sf3b1;Polr2g;Wdr70;Lsm3;Smu1;Rbbp6;Sarnp;Rbm8a;Polr2b;Ubc;Prkrip1;Snrnp48;Fyttd1;Ppil4;Gtf2f1;Nup214;Ptbp1;Snrpd3;Slu7;Gcfc2;Cstf1;Rbmx2;Prpf8;Hnrnpf;Poldip3;Tfip11;Nup35;Ik;Hnrnph2;Smndc1;Dhx15;Nsrp1;Sf1;Cpsf4;Tut1;Pom121;Pnn;Ddx46;Sf3a1;Srsf11;Leng1;Cherp;Cdc40;Prcc;Hnrnpa2b1;Rnps1;Rbm25;Nup205;Casc3;Gpkow;Snrnp200;Uba52;Ppil1;Wbp11;BC005624;Cwc27;Rbm5;Cwc25;Ctnnbl1;Ncbp1;Eif4e;Prr3;Dhx16;Nxf1;Ppih;Nup98;Thoc3;Syf2;Dhx38;Cstf2t;Prpf4;Prpf19;Snrpc;Polr2d;U2af1;Alyref;Pdcd7;Sf3b3;U2surp;Dnajc8;Prpf40a;Polr2f;Cwc15;Plrg1;Usp39;Mettl14;Zcrb1"
"Reactome","REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC",4.54073030427457e-07,5.28238292063942e-05,0.545887508038796,2.12882736674483,86,55,"27207;27050;27370;20091;68028;18458;26961;19946;20085;67427;20103;27367;19934;16898;268449;68092;76808;270106;56040;269261;14852;67115;16785;208643;67281;20102;19981;67891;11837;68436;100043813;20090;19944;68052;66489;20116;19982;20104;67097;22121;19943;19951;20084;100503670;75617;67025;66480;19942;19988;20115;114641;76846;54127;20005;57294","Rps11;Rps3;Rps26;Rps3a1;Rpl22l1;Pabpc1;Rpl8;Rpl30;Rps19;Rps20;Rps5;Rpl3;Rpl22;Rps2;Rpl23a;Ncbp2;Rpl18a;Rpl13;Rplp1;Rpl12;Gspt1;Rpl14;Rpsa;Eif4g1;Rpl37;Rps4x;Rpl37a;Rpl4;Rplp0;Rpl34;Rps27rt;Rps29;Rpl29;Rps13;Rpl35;Rps8;Rpl36a;Rps6;Rps10;Rpl13a;Rpl28;Rpl32;Rps18;Rpl5;Rps25;Rpl11;Rpl15;Rpl27;Rpl6;Rps7;Rpl31;Rps9;Rps28;Rpl9;Rps27"
"Reactome","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL",6.15088362306571e-07,6.13330966985695e-05,0.481313985875186,1.99690628399778,130,74,"27207;26444;27050;27370;20091;66855;68028;26961;19946;20085;67427;20103;59029;27367;19934;16898;268449;75452;76808;270106;216080;56040;269261;67115;16785;67281;20102;19181;77987;19981;67891;11837;68436;67673;100043813;20090;19944;68052;66489;20116;19982;20104;67097;19167;71745;19173;22121;67089;19943;19951;20084;100503670;75617;67025;17463;66480;56550;66105;19942;22123;19988;20115;114641;76846;54127;20005;26441;57294;19170;70247;78294;213753;110954;19989","Rps11;Psma7;Rps3;Rps26;Rps3a1;Tcf25;Rpl22l1;Rpl8;Rpl30;Rps19;Rps20;Rps5;Psmd14;Rpl3;Rpl22;Rps2;Rpl23a;Ascc2;Rpl18a;Rpl13;Ube2d1;Rplp1;Rpl12;Rpl14;Rpsa;Rpl37;Rps4x;Psmc2;Ascc3;Rpl37a;Rpl4;Rplp0;Rpl34;Elob;Rps27rt;Rps29;Rpl29;Rps13;Rpl35;Rps8;Rpl36a;Rps6;Rps10;Psma3;Cul2;Psmb5;Rpl13a;Psmc6;Rpl28;Rpl32;Rps18;Rpl5;Rps25;Rpl11;Psmd7;Rpl15;Ube2d2a;Ube2d3;Rpl27;Psmd3;Rpl6;Rps7;Rpl31;Rps9;Rps28;Rpl9;Psma4;Rps27;Psmb1;Psmd1;Rps27a;Zfp598;Rpl10;Rpl7"
"Reactome","REACTOME_COLLAGEN_FORMATION",2.57851870048924e-06,0.000224975756617686,0.586523215188111,2.11118075560626,54,29,"12843;14789;12826;12833;12835;12834;56693;107581;16949;18542;12832;12825;12827;16950;234407;237360;210530;216725;12816;18822;16948;17392;12837;19035;69675;13039;26432;17386;94352","Col1a2;P3h3;Col4a1;Col6a1;Col6a3;Col6a2;Crtap;Col16a1;Loxl1;Pcolce;Col5a2;Col3a1;Col4a2;Loxl3;Colgalt1;Adamts14;P3h2;Adamts2;Col12a1;Plod1;Lox;Mmp3;Col8a1;Ppib;Pxdn;Ctsl;Plod2;Mmp13;Loxl2"
"Reactome","REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS",3.21636155541829e-06,0.000249446707297996,0.525781207113883,2.03168191088807,81,27,"29817;12870;74761;12266;20750;16010;71898;14118;19672;56453;66940;14314;21923;13003;21857;16009;20856;223672;208659;22393;268977;15529;382014;14268;18491;12977;20254","Igfbp7;Cp;Mxra8;C3;Spp1;Igfbp4;Apol9b;Fbn1;Rcn1;Mbtps1;Shisa5;Fstl1;Tnc;Vcan;Timp1;Igfbp3;Stc2;Apol9a;Fam20a;Wfs1;Ltbp1;Sdc2;Ano8;Fn1;Pappa;Csf1;Scg2"
"Reactome","REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",7.47398174009273e-06,0.000474258114053157,0.566721117935295,2.10589926502867,63,36,"14119;20750;12826;14118;12833;12835;12834;17385;58223;21857;17387;17384;12380;12832;12825;12827;12333;13038;12816;14268;17392;56213;12837;13039;18073;17386;12338;12339;23794;21858;268935;12336;12337;53867;12814;11490","Fbn2;Spp1;Col4a1;Fbn1;Col6a1;Col6a3;Col6a2;Mmp11;Mmp19;Timp1;Mmp14;Mmp10;Cast;Col5a2;Col3a1;Col4a2;Capn1;Ctsk;Col12a1;Fn1;Mmp3;Htra1;Col8a1;Ctsl;Nid1;Mmp13;Capn6;Capn7;Adamts5;Timp2;Scube3;Capns1;Capn5;Col5a3;Col11a1;Adam15"
