"class","external_gene_name","ensembl_gene_id","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cell cycle","Pcna","ENSMUSG00000027342","18538",4285.70608004429,0.479373315602108,0.134950459702687,3.55221698879891,0.000381999703016529,0.00387048157241417
"Cell cycle","Top2a","ENSMUSG00000020914","21973",18468.2681717405,-0.330762694544351,0.119646578552982,-2.76449772776313,0.0057010504228063,0.0343771205270342
"Cell cycle","Ccnb1","ENSMUSG00000041431","268697",4309.51583396894,0.0529767049033763,0.203545107293049,0.260270097414351,0.794655436752806,0.913108024510814
"Cell cycle","Mki67","ENSMUSG00000031004","17345",8446.03727863159,-0.0122534579599676,0.193099946362059,-0.0634565580717075,0.949402951125338,0.981468313414533
"Cell cycle","Cdk1","ENSMUSG00000019942","12534",5551.96957359319,-0.00688030579491181,0.169965242079938,-0.0404806636387213,0.967709922585258,0.988862437336702
"Chromatin/PRC2","Suz12","ENSMUSG00000017548","52615",3794.46212109519,-0.104247440663552,0.105396909941889,-0.989093899631684,0.322617202036726,0.581395301256766
"Chromatin/PRC2","Ezh2","ENSMUSG00000029687","14056",2548.64676665601,0.107626475531102,0.112559232169668,0.956176347834979,0.338983147371367,0.596392302246852
"Chromatin/PRC2","Eed","ENSMUSG00000030619","13626",1396.57464224078,-0.075109456260238,0.130455553676157,-0.575747479840452,0.564785877636129,0.781392981611595
"Interferon/viral mimicry","Ifit2","ENSMUSG00000045932","15958",1157.48517570095,0.722591800844446,0.122063352468453,5.91980955980379,3.22314623512077e-09,1.50413490972303e-07
"Interferon/viral mimicry","Ifih1","ENSMUSG00000026896","71586",548.521760015497,1.11484152899253,0.489943692678153,2.275448272226,0.0228790524011078,0.100695990097664
"Interferon/viral mimicry","Ifit1","ENSMUSG00000034459","15957",784.453597782394,1.07759569068577,0.587768824465482,1.83336653090735,0.0667480814190721,0.218645800782719
"Interferon/viral mimicry","Cxcl10","ENSMUSG00000034855","15945",319.438449388382,0.980539197181638,0.600679226326408,1.63238406491656,0.102598603904043,0.291618743557019
"Interferon/viral mimicry","Oas1a","ENSMUSG00000052776","246730",84.998745674477,1.76554401455082,1.22327079769246,1.4432977701105,0.148936607682576,0.369586834724024
"Interferon/viral mimicry","Tbk1","ENSMUSG00000020115","56480",1036.09347070081,0.150812468321387,0.10914611612674,1.38174837248689,0.167048976098192,0.398442742989762
"Interferon/viral mimicry","Ifit3","ENSMUSG00000074896","15959",203.371430067237,1.07566815303024,0.808454443125967,1.33052414044639,0.183345637991478,0.421333824102597
"Interferon/viral mimicry","Irf7","ENSMUSG00000025498","54123",240.090434390643,1.32639364126399,1.07065403192806,1.23886297693699,0.21539624657787,0.462480939394239
"Interferon/viral mimicry","Stat2","ENSMUSG00000040033","20847",669.845168650775,0.791183715647983,0.773029013484431,1.02348514977688,0.306078517738965,0.563477181232762
"Interferon/viral mimicry","Isg15","ENSMUSG00000035692","100038882",116.697096177814,0.81298032763195,0.866023539552185,0.938750842791568,0.347858682774553,0.605266238203031
"Interferon/viral mimicry","Stat1","ENSMUSG00000026104","20846",251.586736750338,0.136195847212712,0.346061146097913,0.393560065174659,0.693905869854295,0.860965205352508
"MAPK/MPNST","Nf1","ENSMUSG00000020716","18015",2154.85525580944,-0.365013722501792,0.139784860949843,-2.61125360801957,0.00902109674662375,0.0492326138666509
"MAPK/MPNST","Erbb2","ENSMUSG00000062312","13866",873.423585161857,-0.274483607694504,0.130465336571969,-2.10388149761978,0.0353887853398538,0.139921277989108
"MAPK/MPNST","Pdgfra","ENSMUSG00000029231","18595",4159.10920384638,0.04352493228002,0.501760428240475,0.0867444498017691,0.930874643722583,0.973088140036545
"NF-kB/inflammation","Nfkbia","ENSMUSG00000021025","18035",594.980791114947,-0.109319388473015,0.197201358554109,-0.554354134649732,0.579336508632672,0.790752048475275
"NF-kB/inflammation","Nfkb1","ENSMUSG00000028163","18033",4693.37257064302,0.0566158252075989,0.102571620852951,0.551963834994522,0.580973131330201,0.79201248216903
"NF-kB/inflammation","Il6","ENSMUSG00000025746","16193",23.4128365205226,-0.307464504591011,0.800846748782925,-0.383924271476753,0.701034576355585,0.86432460071273
"UBR5","Ubr5","ENSMUSG00000037487","70790",5110.83618091453,-1.51192658021133,0.223201165839592,-6.77382922496877,1.25417706349727e-11,8.93462421340973e-10
