"class","gene_symbol"
"UBR5","Ubr5"
"Interferon/viral mimicry","Stat1"
"Interferon/viral mimicry","Stat2"
"Interferon/viral mimicry","Irf7"
"Interferon/viral mimicry","Isg15"
"Interferon/viral mimicry","Ifit1"
"Interferon/viral mimicry","Ifit2"
"Interferon/viral mimicry","Ifit3"
"Interferon/viral mimicry","Oas1a"
"Interferon/viral mimicry","Oas2"
"Interferon/viral mimicry","Mx1"
"Interferon/viral mimicry","Ddx58"
"Interferon/viral mimicry","Ifih1"
"Interferon/viral mimicry","Tbk1"
"Interferon/viral mimicry","Cxcl10"
"NF-kB/inflammation","Nfkb1"
"NF-kB/inflammation","Nfkbia"
"NF-kB/inflammation","Tnf"
"NF-kB/inflammation","Il6"
"Cell cycle","Mki67"
"Cell cycle","Ccnb1"
"Cell cycle","Cdk1"
"Cell cycle","Top2a"
"Cell cycle","Pcna"
"MAPK/MPNST","Nf1"
"MAPK/MPNST","Erbb2"
"MAPK/MPNST","Sox10"
"MAPK/MPNST","Pdgfra"
"Chromatin/PRC2","Eed"
"Chromatin/PRC2","Suz12"
"Chromatin/PRC2","Ezh2"
