"ensembl_gene_id","external_gene_name","lfc_a","padj_a","lfc_b","padj_b","sig_class","label_gene"
"ENSMUSG00000063011","Msln",4.5462086912564,3.42861369098969e-111,4.76259548445701,8.81868562186451e-123,"both padj<0.05","Msln"
"ENSMUSG00000022865","Cxadr",4.52314729584993,1.02691531804908e-64,4.78778088645568,6.5783634264967e-73,"both padj<0.05","Cxadr"
"ENSMUSG00000046572","Zfp518b",-5.94803925971419,2.28828576886643e-55,-8.14918500176368,3.5505590420486e-30,"both padj<0.05","Zfp518b"
"ENSMUSG00000032826","Ank2",-2.67821739336458,8.54859116633295e-52,-1.5303896625623,1.43348179179423e-18,"both padj<0.05","Ank2"
"ENSMUSG00000026915","Strbp",3.32507485354139,2.04612539659508e-47,3.2211483610077,2.6406936944727e-44,"both padj<0.05","Strbp"
"ENSMUSG00000062393","Dgkk",-4.79411447643839,2.82121127211813e-41,-3.09344423488923,1.3272311379015e-28,"both padj<0.05","Dgkk"
"ENSMUSG00000029673","Auts2",-4.41296337178391,1.47697137862355e-40,-9.95238855190125,1.98867052628688e-14,"both padj<0.05","Auts2"
"ENSMUSG00000020186","Csrp2",-1.45394052880007,5.81070796650395e-38,-1.3297152980433,8.03021018338888e-32,"both padj<0.05",NA
"ENSMUSG00000020524","Gria1",-3.13433312494539,2.58054595582864e-36,-2.79680120296516,4.1821999759277e-29,"both padj<0.05","Gria1"
"ENSMUSG00000000753","Serpinf1",-3.28138649168578,5.05990815675343e-36,-4.00278055984366,3.75477314576195e-53,"both padj<0.05","Serpinf1"
"ENSMUSG00000036782","Klhl13",-4.26789084795685,7.75958559272882e-36,-8.93772342108723,3.36022350781826e-15,"both padj<0.05","Klhl13"
"ENSMUSG00000000317","Bcl6b",-1.79535717821402,1.64252170950854e-33,-1.49047704453484,2.34196715443709e-23,"both padj<0.05","Bcl6b"
"ENSMUSG00000026832","Cytip",-2.07182316376353,2.32992537178035e-33,-0.859801337017637,2.0533326716891e-06,"both padj<0.05",NA
"ENSMUSG00000022206","Npr3",3.0367601441787,2.77816027659796e-33,2.99857578935353,2.90796154470348e-32,"both padj<0.05","Npr3"
"ENSMUSG00000072941","Sod3",4.12743435580139,3.66392754353048e-33,2.87420066527886,9.641880831739e-16,"both padj<0.05","Sod3"
"ENSMUSG00000039470","Zdhhc2",3.62896232089792,3.67862809622741e-33,4.26091091178963,2.04656495390065e-46,"both padj<0.05","Zdhhc2"
"ENSMUSG00000033350","Chst2",-3.83907004452192,1.57111512454579e-30,-2.23986410385768,8.32359372028659e-14,"both padj<0.05","Chst2"
"ENSMUSG00000028583","Pdpn",1.20020420336597,3.49604968612991e-30,1.31635483558153,3.50269202258304e-36,"both padj<0.05",NA
"ENSMUSG00000028108","Ecm1",-2.01052460224748,1.74617271933334e-29,-1.34763524660981,1.44121494750291e-13,"both padj<0.05","Ecm1"
"ENSMUSG00000031239","Itm2a",-5.84760128817326,2.25812651939171e-28,-4.63378854583604,1.10751932754576e-26,"both padj<0.05","Itm2a"
"ENSMUSG00000046318","Ccbe1",3.19837719443199,7.84942027331811e-28,3.9378628585393,7.92350379739522e-43,"both padj<0.05","Ccbe1"
"ENSMUSG00000029851","Tcaf2",3.94317460127186,2.73934028256244e-27,1.84545044320286,5.83430894166519e-06,"both padj<0.05","Tcaf2"
"ENSMUSG00000120741","Gm33302",6.80427512746307,7.36627073122344e-27,7.32207796471614,3.79789232457515e-31,"both padj<0.05","Gm33302"
"ENSMUSG00000021214","Akr1c18",2.18295655727342,1.86955774702141e-26,2.32985897288823,4.01142029219455e-30,"both padj<0.05","Akr1c18"
"ENSMUSG00000032340","Neo1",1.30047614101412,1.1316542800223e-25,1.03032883302225,3.85209186996267e-16,"both padj<0.05",NA
"ENSMUSG00000025185","Loxl4",1.30076450192536,2.72764740608183e-25,1.24359428741052,3.83306187620819e-23,"both padj<0.05",NA
"ENSMUSG00000026768","Itga8",-3.09725056132334,5.48598192605948e-25,-1.33586872811538,1.23327890893911e-05,"both padj<0.05","Itga8"
"ENSMUSG00000022995","Enah",6.63300667220704,5.70143892033177e-25,1.04017329838959,0.270212701305766,"CRISPR__KO_vs_WT only",NA
"ENSMUSG00000007888","Crlf1",-2.34846414865699,1.11245303694589e-24,-2.83672314669269,9.03540407041105e-36,"both padj<0.05","Crlf1"
"ENSMUSG00000025026","Add3",3.3131872537273,1.9846213842756e-24,3.22883563476692,3.61605706322713e-23,"both padj<0.05","Add3"
"ENSMUSG00000021678","F2rl1",2.32944803994994,4.4611419105622e-24,2.11438955053472,9.73465272991226e-20,"both padj<0.05","F2rl1"
"ENSMUSG00000022272","Myo10",-1.14612339322747,7.058358571095e-24,-1.1937728217628,6.5961478625031e-26,"both padj<0.05",NA
"ENSMUSG00000059921","Unc5c",-4.00473229281318,8.38807267094165e-24,-2.87711477040329,1.0320840683336e-14,"both padj<0.05","Unc5c"
"ENSMUSG00000016552","Foxred2",-7.24934213792467,1.20521469305659e-23,-8.57967672448734,3.52727017517624e-14,"both padj<0.05","Foxred2"
"ENSMUSG00000025757","Hspa4l",1.40958835451327,2.28693184293807e-23,1.51236523876685,6.67134413743121e-27,"both padj<0.05",NA
"ENSMUSG00000040964","Arhgef10l",-2.80432912419155,2.28693184293807e-23,-3.10799355833942,6.67134413743121e-27,"both padj<0.05","Arhgef10l"
"ENSMUSG00000047139","Cd24a",6.43828679965316,7.5960671637805e-23,6.57723496412921,7.81536495554227e-24,"both padj<0.05","Cd24a"
"ENSMUSG00000074158","Zfp976",3.94018489290964,1.88310324071765e-22,3.2323503136505,9.9460438865361e-15,"both padj<0.05","Zfp976"
"ENSMUSG00000034285","Nipsnap1",2.41922288641161,2.38235078001391e-22,2.22670591852525,8.88482723463601e-19,"both padj<0.05","Nipsnap1"
"ENSMUSG00000035413","Tmem98",-1.47349016622512,1.52239207527291e-21,-1.36404362943777,1.14074279486033e-18,"both padj<0.05",NA
"ENSMUSG00000031709","Tbc1d9",4.39611593176033,2.65895469329998e-21,5.42268963926902,4.45772620197421e-33,"both padj<0.05","Tbc1d9"
"ENSMUSG00000022747","St3gal6",2.90664712208133,5.36827188053142e-21,3.00529556234192,1.58062281714236e-22,"both padj<0.05","St3gal6"
"ENSMUSG00000020099","Unc5b",-1.62407696391836,5.84524017245976e-21,-0.879665891646891,1.4600234389651e-06,"both padj<0.05",NA
"ENSMUSG00000140314","",3.41145582905947,6.33591772842438e-21,3.20280631029187,2.34960246467167e-18,"both padj<0.05",""
"ENSMUSG00000041620","Mmp1b",2.79959576650454,1.24317411360156e-20,2.28399541818968,1.89574093019849e-13,"both padj<0.05","Mmp1b"
"ENSMUSG00000025932","Eya1",2.31180610950897,1.25840668374824e-20,2.54335821128197,3.66974752571691e-25,"both padj<0.05","Eya1"
"ENSMUSG00000028565","Nfia",4.38239469312878,2.49355643860125e-20,2.18825806822651,3.75291943031773e-05,"both padj<0.05","Nfia"
"ENSMUSG00000020814","Mxra7",-1.10087048050486,5.15667849634779e-20,-0.885396700064148,3.13839899397912e-13,"both padj<0.05",NA
"ENSMUSG00000052914","Cyp2j6",-3.61689895041806,5.62772935473429e-20,-8.60581103467873,8.33376451786208e-11,"both padj<0.05","Cyp2j6"
"ENSMUSG00000030562","Nox4",1.41420564167158,7.69498018625886e-20,1.72282314023388,5.83245412563343e-30,"both padj<0.05","Nox4"
"ENSMUSG00000021550","Qng1",3.13067946746422,9.87645756563668e-20,2.93993535297351,2.7018911687193e-17,"both padj<0.05","Qng1"
"ENSMUSG00000021662","Arhgef28",1.86166906480853,1.76980205303072e-19,1.95753369663928,1.39139218348416e-21,"both padj<0.05","Arhgef28"
"ENSMUSG00000022148","Fyb1",-2.81101880704408,1.82135520161442e-19,-2.87263777835696,3.67532045302992e-20,"both padj<0.05","Fyb1"
"ENSMUSG00000050931","Sgms2",1.29228409260283,1.85963963605274e-19,1.54267174121821,7.48197967422082e-28,"both padj<0.05",NA
"ENSMUSG00000001020","S100a4",-1.10663110757655,2.46507598247746e-19,-1.13686266423682,2.34190826970982e-20,"both padj<0.05",NA
"ENSMUSG00000024805","Pcgf5",1.57635631805498,2.67656022978951e-19,1.22867408560622,8.29313016119579e-12,"both padj<0.05",NA
