"experiment","contrast","deg_direction","ensembl_gene_id","external_gene_name","entrezgene_id","log2FoldChange","stat","padj"
"CRISPR","Het_vs_WT","up","ENSMUSG00000063011","Msln","56047",4.76259548445701,23.9717861888995,8.81868562186451e-123
"CRISPR","Het_vs_WT","up","ENSMUSG00000022865","Cxadr","13052",4.78778088645568,18.5498901676282,6.5783634264967e-73
"CRISPR","Het_vs_WT","down","ENSMUSG00000000753","Serpinf1","20317",-4.00278055984366,-15.8937915054503,3.75477314576195e-53
"CRISPR","Het_vs_WT","up","ENSMUSG00000039470","Zdhhc2","70546",4.26091091178963,14.8710023416685,2.04656495390065e-46
"CRISPR","Het_vs_WT","up","ENSMUSG00000026915","Strbp","20744",3.2211483610077,14.5267595444337,2.6406936944727e-44
"CRISPR","Het_vs_WT","up","ENSMUSG00000046318","Ccbe1","320924",3.9378628585393,14.2791249556876,7.92350379739522e-43
"CRISPR","Het_vs_WT","up","ENSMUSG00000028583","Pdpn","14726",1.31635483558153,13.158392784268,3.50269202258304e-36
"CRISPR","Het_vs_WT","down","ENSMUSG00000007888","Crlf1","12931",-2.83672314669269,-13.0764427094932,9.03540407041105e-36
"CRISPR","Het_vs_WT","up","ENSMUSG00000031709","Tbc1d9","71310",5.42268963926902,12.5869260692211,4.45772620197421e-33
"CRISPR","Het_vs_WT","up","ENSMUSG00000022206","Npr3","18162",2.99857578935353,12.429563128937,2.90796154470348e-32
"CRISPR","Het_vs_WT","down","ENSMUSG00000022103","Gfra2","14586",-3.5978107420685,-12.3935154160044,4.14713441800141e-32
"CRISPR","Het_vs_WT","down","ENSMUSG00000020186","Csrp2","13008",-1.3297152980433,-12.3334185797806,8.03021018338888e-32
"CRISPR","Het_vs_WT","up","ENSMUSG00000120741","Gm33302","102636155",7.32207796471614,12.2010976040522,3.79789232457515e-31
"CRISPR","Het_vs_WT","down","ENSMUSG00000046572","Zfp518b","100515",-8.14918500176368,-12.0116180759994,3.5505590420486e-30
"CRISPR","Het_vs_WT","up","ENSMUSG00000021214","Akr1c18","105349",2.32985897288823,11.9958117975089,4.01142029219455e-30
