"set_a","set_b","n_a","n_b","overlap","union","jaccard","odds_ratio","pvalue","padj"
"CRISPR__Het_vs_WT__down","CRISPR__KO_vs_WT__down",605,500,339,766,0.442558746736292,174.169872212218,0,0
"CRISPR__Het_vs_WT__up","CRISPR__KO_vs_WT__up",361,408,231,538,0.429368029739777,223.102615672015,0,0
"CRISPR__KO_vs_WT__down","mouseKD__KD_vs_Control__up",500,909,140,1269,0.110323089046493,10.9056846913988,1.64778513964183e-79,3.5490756853824e-79
"CRISPR__Het_vs_WT__down","mouseKD__KD_vs_Control__up",605,909,140,1374,0.101892285298399,8.40428191102101,9.89161362578544e-68,1.84643454347995e-67
"CRISPR__Het_vs_WT__up","mouseKD__KD_vs_Control__down",361,971,46,1286,0.0357698289269051,3.40307317294063,3.16712552843377e-11,4.66734288400766e-11
"CRISPR__KO_vs_WT__up","mouseKD__KD_vs_Control__down",408,971,43,1336,0.032185628742515,2.73021592614892,6.27456097974416e-08,8.78438537164182e-08
"CRISPR__Het_vs_WT__down","mouseKD__KD_vs_Control__down",605,971,40,1536,0.0260416666666667,1.620280235047,0.00562596262582984,0.0060587289816629
"CRISPR__KO_vs_WT__up","mouseKD__KD_vs_Control__up",408,909,32,1285,0.0249027237354086,2.09202369170982,0.000277635866037317,0.000337991489088908
"CRISPR__Het_vs_WT__up","mouseKD__KD_vs_Control__up",361,909,29,1241,0.0233682514101531,2.14420235476051,0.000340059119266058,0.000396735639143734
"CRISPR__KO_vs_WT__down","mouseKD__KD_vs_Control__down",500,971,24,1447,0.0165860400829302,1.13921122324833,0.501432659702018,0.501432659702018
"CRISPR__Het_vs_WT__down","CRISPR__KO_vs_WT__up",605,408,5,1008,0.00496031746031746,0.451541296897245,0.0842135928497341,0.0873326148071316
"humanKD__KD_vs_Control__down","humanKD__KD_vs_Control__up",8793,7100,0,15893,0,0,0,0
"humanKD__KD_vs_Control__down","mouseKD__KD_vs_Control__down",8793,971,0,9764,0,0,2.12352681224444e-211,1.48646876857111e-210
"humanKD__KD_vs_Control__down","mouseKD__KD_vs_Control__up",8793,909,0,9702,0,0,1.42029530983241e-197,7.95365373506148e-197
"humanKD__KD_vs_Control__up","mouseKD__KD_vs_Control__down",7100,971,0,8071,0,0,1.04591741495375e-161,4.88094793645083e-161
"humanKD__KD_vs_Control__up","mouseKD__KD_vs_Control__up",7100,909,0,8009,0,0,4.39873981632209e-151,1.75949592652884e-150
"CRISPR__Het_vs_WT__down","humanKD__KD_vs_Control__down",605,8793,0,9398,0,0,1.45717245853174e-130,5.10010360486108e-130
"CRISPR__KO_vs_WT__down","humanKD__KD_vs_Control__down",500,8793,0,9293,0,0,1.10569677439896e-107,3.43994552035231e-107
"CRISPR__Het_vs_WT__down","humanKD__KD_vs_Control__up",605,7100,0,7705,0,0,7.14471668258983e-100,2.00052067112515e-99
"CRISPR__KO_vs_WT__up","humanKD__KD_vs_Control__down",408,8793,0,9201,0,0,9.90912683629626e-88,2.52232319469359e-87
"CRISPR__KO_vs_WT__down","humanKD__KD_vs_Control__up",500,7100,0,7600,0,0,1.9243879208116e-82,4.49023848189373e-82
"CRISPR__Het_vs_WT__up","humanKD__KD_vs_Control__down",361,8793,0,9154,0,0,1.20388999919246e-77,2.40777999838493e-77
"CRISPR__KO_vs_WT__up","humanKD__KD_vs_Control__up",408,7100,0,7508,0,0,3.81777935210521e-67,6.68111386618412e-67
"CRISPR__Het_vs_WT__up","humanKD__KD_vs_Control__up",361,7100,0,7461,0,0,1.92789112047511e-59,3.17535008078254e-59
"mouseKD__KD_vs_Control__down","mouseKD__KD_vs_Control__up",971,909,0,1880,0,0,5.00650736287689e-18,7.78790034225294e-18
"CRISPR__Het_vs_WT__down","CRISPR__Het_vs_WT__up",605,361,0,966,0,0,9.59992143733297e-05,0.000127998952497773
"CRISPR__KO_vs_WT__down","CRISPR__KO_vs_WT__up",500,408,0,908,0,0,0.000217801882522301,0.000277202395937474
"CRISPR__Het_vs_WT__up","CRISPR__KO_vs_WT__down",361,500,0,861,0,0,0.000738194193247411,0.000826777496437101
