"ensembl_gene_id","external_gene_name","lfc_a","padj_a","lfc_b","padj_b","sig_class","label_gene"
"ENSMUSG00000028037","Ifi44",3.17860006910031,0,1.87802519896252,0.325323166184155,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000033880","Lgals3bp",3.0353847879921,0,-0.297503853927301,0.858880509025498,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000035783","Acta2",3.7735910816934,0,0.852599790369791,0.428564116193367,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000029561","Oasl2",2.6593516711042,1.59796439375074e-315,0.523618413680635,0.782018486033066,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000018593","Sparc",1.84131555370121,9.41703869261106e-270,-0.689922227264444,0.000808792986743582,"both padj<0.05",NA
"ENSMUSG00000022389","Tef",-2.04890521130597,3.98009428837876e-234,-1.10310364726796,2.39936188715703e-06,"both padj<0.05","Tef"
"ENSMUSG00000021453","Gadd45g",-3.04364122668903,1.90241554840614e-212,-0.530854560353308,0.0235054416366636,"both padj<0.05","Gadd45g"
"ENSMUSG00000040618","Pck2",2.39332567440081,1.6692835687656e-209,-0.323396622221087,0.262016894046969,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000028268","Gbp3",2.83984594522255,3.77489985534972e-203,0.385542876262139,0.848842609158824,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000036256","Igfbp7",3.26863417491427,1.64471987860715e-201,-0.647323799886924,0.0751384464101761,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000028179","Cth",1.68882913211301,9.34473840614954e-195,0.554582722761151,0.0435754157987454,"both padj<0.05",NA
"ENSMUSG00000025498","Irf7",2.87278778637876,1.27762078026949e-190,1.05276032663524,0.584407199163446,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000070327","Rnf213",1.69849337968033,4.52863846735214e-167,-0.187362314519332,0.921049358031345,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000001123","Lgals9",3.004344328732,8.93256926444323e-162,-0.830864511542638,0.378762485638053,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000027737","Slc7a11",1.88682648121787,2.23461797066105e-157,-0.644920443549709,0.201729109398079,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000030107","Usp18",2.64000501369318,2.23461797066105e-157,1.42123251727647,0.470458628428326,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000025492","Ifitm3",1.75310154809924,8.40356987003542e-152,-0.01436729696735,0.983280586360081,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000003617","Cp",3.11127245133938,3.5309644664997e-148,0.668898782864942,0.532462493844441,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000087141","Plcxd2",-2.27305277613573,6.01686686055786e-142,1.5567710064161,1.14488848985654e-09,"both padj<0.05","Plcxd2"
"ENSMUSG00000031007","Atp6ap2",-1.34500896353565,6.00502905029554e-140,0.587613772805439,0.00135423807032487,"both padj<0.05",NA
"ENSMUSG00000031673","Cdh11",2.03840267328625,9.29691954560083e-140,-2.35455642736212,6.37296654701422e-06,"both padj<0.05","Cdh11"
"ENSMUSG00000024598","Fbn2",1.46838090686122,1.12143430299092e-137,-0.939632108861813,0.0751565292897007,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000015312","Gadd45b",-2.06703205616454,1.43794619082772e-133,0.00670058928189957,0.990978788030485,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000024521","Pmaip1",-1.73452175670799,1.3446930142971e-132,0.570264127651145,0.0295069346691675,"both padj<0.05",NA
"ENSMUSG00000020277","Pfkl",1.90626723869911,6.60444215045984e-131,0.0279141150687939,0.951577194991488,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000028278","Rragd",-2.06898823710353,9.65629934061544e-131,-0.433295976784823,0.740174068070058,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000046879","Irgm1",1.82690274918379,1.58933649715892e-130,-0.445778119300543,0.734924465475113,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000029070","Mxra8",1.7536255126198,6.22820871731893e-130,0.259342957415858,0.274709386935711,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000040675","Mthfd1l",1.56180486182609,1.10575915862499e-129,-0.304750998702917,0.0728937524944685,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000067212","H2-T23",2.29021546234251,5.04753148597942e-127,0.173205701952492,0.924933416675485,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000074896","Ifit3",2.52296608293775,3.12553073496189e-123,0.851766531985559,0.548696949710208,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000040010","Slc7a5",1.23027644358179,4.31828238340601e-123,0.456037554384007,0.0141834132285702,"both padj<0.05",NA
"ENSMUSG00000027227","Sord",-1.31174133508857,4.94118841951221e-122,-0.114593888960369,0.754997242959434,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000053846","Lipg",-2.93168893507072,3.20811456614889e-119,1.30796193642271,0.0525432467434036,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000052776","Oas1a",3.30180954304944,3.55124861837273e-114,0.540583209409816,0.842484640791655,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000001506","Col1a1",2.07992589611612,1.42393269339649e-110,-3.40127118237247,1.38786265550032e-06,"both padj<0.05","Col1a1"
"ENSMUSG00000031558","Slit2",1.2324453490603,2.98962586201741e-109,-0.268699531038088,0.270880186311553,"mouseKD__KD_vs_Control only",NA
"ENSMUSG00000047735","Samd9l",1.71940438218332,3.50257306805638e-109,0.65305976573581,0.522223535664727,"mouseKD__KD_vs_Control only",NA
