"class","gene_symbol"
"UBR5","UBR5"
"Interferon/viral mimicry","STAT1"
"Interferon/viral mimicry","STAT2"
"Interferon/viral mimicry","IRF7"
"Interferon/viral mimicry","ISG15"
"Interferon/viral mimicry","IFIT1"
"Interferon/viral mimicry","IFIT2"
"Interferon/viral mimicry","IFIT3"
"Interferon/viral mimicry","OAS1A"
"Interferon/viral mimicry","OAS2"
"Interferon/viral mimicry","MX1"
"Interferon/viral mimicry","DDX58"
"Interferon/viral mimicry","IFIH1"
"Interferon/viral mimicry","TBK1"
"Interferon/viral mimicry","CXCL10"
"NF-kB/inflammation","NFKB1"
"NF-kB/inflammation","NFKBIA"
"NF-kB/inflammation","TNF"
"NF-kB/inflammation","IL6"
"Cell cycle","MKI67"
"Cell cycle","CCNB1"
"Cell cycle","CDK1"
"Cell cycle","TOP2A"
"Cell cycle","PCNA"
"MAPK/MPNST","NF1"
"MAPK/MPNST","ERBB2"
"MAPK/MPNST","SOX10"
"MAPK/MPNST","PDGFRA"
"Chromatin/PRC2","EED"
"Chromatin/PRC2","SUZ12"
"Chromatin/PRC2","EZH2"
